# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 9K of event 'cycles'
# Event count (approx.): 2752739082
#
# Overhead  Command      Shared Object          Symbol                                        
# ........  ...........  .....................  ..............................................
#
     0.35%  mc-lrumaint  [kernel.kallsyms]      [k] nf_hook_slow
     0.35%  mc-lrumaint  [kernel.kallsyms]      [k] __perf_event_task_sched_in
     0.35%  mc-worker    [kernel.kallsyms]      [k] __ksize
     0.35%  mc-worker    [kernel.kallsyms]      [k] update_load_avg
     0.35%  mc-lrumaint  [kernel.kallsyms]      [k] __update_idle_core
     0.35%  mc-lrumaint  [kernel.kallsyms]      [k] ktime_get
     0.35%  mc-worker    [kernel.kallsyms]      [k] kmem_cache_free
     0.34%  mc-worker    libc.so.6              [.] sendmsg
     0.34%  mc-worker    [kernel.kallsyms]      [k] kfree
     0.34%  mc-lrumaint  libc.so.6              [.] __libc_alloca_cutoff
     0.34%  mc-worker    libevent-2.1.so.7.0.1  [.] event_reinit
     0.33%  mc-worker    [kernel.kallsyms]      [k] tcp_stream_memory_free
     0.33%  mc-lrumaint  libc.so.6              [.] clock_nanosleep
     0.33%  mc-lrumaint  [kernel.kallsyms]      [k] dequeue_task_fair
     0.33%  mc-worker    [kernel.kallsyms]      [k] reweight_entity
     0.33%  mc-worker    [kernel.kallsyms]      [k] tcp_write_xmit
     0.33%  mc-worker    [kernel.kallsyms]      [k] __netif_receive_skb_core
     0.32%  mc-worker    [kernel.kallsyms]      [k] copy_user_enhanced_fast_string
     0.32%  mc-lrumaint  [kernel.kallsyms]      [k] timerqueue_add
     0.32%  mc-worker    [kernel.kallsyms]      [k] common_file_perm
     0.31%  mc-worker    [kernel.kallsyms]      [k] newidle_balance
     0.31%  mc-worker    [kernel.kallsyms]      [k] _raw_spin_lock_bh
     0.31%  mc-worker    [kernel.kallsyms]      [k] __ip_local_out
     0.31%  mc-lrumaint  memcached              [.] pthread_mutex_lock@plt
     0.31%  mc-worker    [kernel.kallsyms]      [k] veth_xmit
     0.30%  mc-worker    [kernel.kallsyms]      [k] ip_output
     0.30%  mc-worker    [kernel.kallsyms]      [k] __perf_event_task_sched_in
     0.30%  mc-worker    [kernel.kallsyms]      [k] process_backlog
     0.30%  mc-worker    [kernel.kallsyms]      [k] __nf_conntrack_find_get
     0.30%  mc-worker    [kernel.kallsyms]      [k] __kmalloc_node_track_caller
     0.29%  mc-worker    [kernel.kallsyms]      [k] _raw_spin_lock_irqsave
     0.29%  mc-worker    [kernel.kallsyms]      [k] __x86_indirect_thunk_rax
     0.29%  mc-worker    [kernel.kallsyms]      [k] ep_send_events_proc
     0.29%  mc-lrumaint  [kernel.kallsyms]      [k] handle_edge_irq
     0.29%  mc-lrumaint  [kernel.kallsyms]      [k] hrtimer_nanosleep
     0.29%  mc-worker    memcached              [.] assoc_find
     0.28%  mc-worker    libevent-2.1.so.7.0.1  [.] event_changelist_remove_all_
     0.28%  mc-worker    [kernel.kallsyms]      [k] aa_label_sk_perm.part.0
     0.28%  mc-worker    memcached              [.] process_get_command.constprop.0
     0.28%  mc-worker    [kernel.kallsyms]      [k] ipv4_mtu
     0.28%  mc-lrumaint  [kernel.kallsyms]      [k] pick_next_task_fair
     0.28%  mc-worker    [kernel.kallsyms]      [k] nf_conntrack_tcp_packet
     0.28%  mc-worker    [kernel.kallsyms]      [k] mutex_lock
     0.27%  mc-lrumaint  [kernel.kallsyms]      [k] update_load_avg
     0.27%  mc-worker    memcached              [.] try_read_command_ascii
     0.26%  mc-worker    memcached              [.] transmit
     0.26%  mc-lrumaint  [kernel.kallsyms]      [k] perf_pmu_disable.part.0
     0.26%  mc-worker    libc.so.6              [.] __libc_alloca_cutoff
     0.26%  mc-worker    [kernel.kallsyms]      [k] __ip_finish_output
     0.26%  mc-lrumaint  [kernel.kallsyms]      [k] ip_finish_output2
     0.25%  mc-worker    [kernel.kallsyms]      [k] vxlan_xmit
     0.25%  mc-worker    [kernel.kallsyms]      [k] fsnotify
     0.25%  mc-lrumaint  [kernel.kallsyms]      [k] schedule
     0.25%  mc-worker    [kernel.kallsyms]      [k] tcp_event_new_data_sent
     0.25%  mc-worker    libevent-2.1.so.7.0.1  [.] bufferevent_base_set
     0.25%  mc-worker    [kernel.kallsyms]      [k] ___sys_sendmsg
     0.24%  mc-worker    [kernel.kallsyms]      [k] tcp_in_window
     0.24%  mc-worker    [kernel.kallsyms]      [k] ip_route_input_slow
     0.24%  mc-worker    [kernel.kallsyms]      [k] _copy_from_iter_full
     0.24%  mc-worker    [kernel.kallsyms]      [k] nf_conntrack_udp_packet
     0.24%  mc-worker    libc.so.6              [.] __clock_gettime
     0.23%  mc-lrumaint  [kernel.kallsyms]      [k] migrate_task_rq_fair
     0.23%  mc-worker    [kernel.kallsyms]      [k] dev_hard_start_xmit
     0.22%  mc-worker    [kernel.kallsyms]      [k] __ip_queue_xmit
     0.22%  mc-worker    [kernel.kallsyms]      [k] exit_to_usermode_loop
     0.22%  mc-lrumaint  [kernel.kallsyms]      [k] __x86_indirect_thunk_rax
     0.22%  mc-lrumaint  [kernel.kallsyms]      [k] task_ctx_sched_out
     0.22%  mc-worker    [kernel.kallsyms]      [k] iptable_mangle_hook
     0.22%  mc-worker    [kernel.kallsyms]      [k] sk_stream_alloc_skb
     0.22%  mc-worker    [kernel.kallsyms]      [k] get_nohz_timer_target
     0.22%  mc-worker    [kernel.kallsyms]      [k] tcp_current_mss
     0.22%  mc-lrumaint  [kernel.kallsyms]      [k] __update_load_avg_cfs_rq
     0.21%  mc-worker    [kernel.kallsyms]      [k] __schedule
     0.21%  mc-lrumaint  [kernel.kallsyms]      [k] lock_hrtimer_base
     0.21%  mc-worker    [kernel.kallsyms]      [k] perf_swevent_add
     0.21%  mc-worker    [kernel.kallsyms]      [k] ipv4_dst_check
     0.21%  mc-worker    memcached              [.] itoa_u32
     0.21%  mc-worker    [kernel.kallsyms]      [k] ip_vs_out.part.0
     0.21%  mc-lrumaint  [kernel.kallsyms]      [k] perf_event_update_userpage
     0.21%  mc-worker    [kernel.kallsyms]      [k] conntrack_mt
     0.21%  mc-worker    [kernel.kallsyms]      [k] nf_nat_ipv4_pre_routing
     0.21%  mc-lrumaint  memcached              [.] item_trylock
     0.21%  mc-worker    [kernel.kallsyms]      [k] net_rx_action
     0.20%  mc-worker    [kernel.kallsyms]      [k] __tcp_select_window
     0.20%  mc-lrumaint  memcached              [.] do_item_unlink_q
     0.20%  mc-worker    [kernel.kallsyms]      [k] kmem_cache_alloc
     0.20%  mc-worker    [kernel.kallsyms]      [k] find_exception
     0.19%  mc-worker    memcached              [.] tokenize_command.constprop.0
     0.19%  mc-worker    [kernel.kallsyms]      [k] __virt_addr_valid
     0.19%  mc-lrumaint  [kernel.kallsyms]      [k] hrtimer_active
     0.19%  mc-worker    [kernel.kallsyms]      [k] __x64_sys_read
     0.19%  mc-worker    [kernel.kallsyms]      [k] sock_sendmsg
     0.19%  mc-worker    [kernel.kallsyms]      [k] netdev_core_pick_tx
     0.19%  mc-worker    [kernel.kallsyms]      [k] tcp_gso_segment
     0.19%  mc-worker    [kernel.kallsyms]      [k] update_blocked_averages
     0.19%  mc-worker    [kernel.kallsyms]      [k] dst_cache_per_cpu_get.isra.0
     0.18%  mc-worker    memcached              [.] conn_set_state
     0.18%  mc-worker    memcached              [.] do_item_get
     0.18%  mc-worker    [kernel.kallsyms]      [k] aa_label_next_confined
     0.18%  mc-worker    [kernel.kallsyms]      [k] ksoftirqd_running
     0.18%  mc-worker    [kernel.kallsyms]      [k] mod_timer
     0.18%  mc-worker    [kernel.kallsyms]      [k] ipv4_conntrack_defrag
     0.18%  mc-lrumaint  [kernel.kallsyms]      [k] ctx_sched_out
     0.18%  mc-worker    [kernel.kallsyms]      [k] conntrack_mt_v3
     0.17%  mc-worker    [kernel.kallsyms]      [k] tcp_release_cb
     0.17%  mc-worker    [kernel.kallsyms]      [k] memcg_kmem_put_cache
     0.17%  mc-worker    [kernel.kallsyms]      [k] skb_network_protocol
     0.17%  mc-lrumaint  [kernel.kallsyms]      [k] __dev_queue_xmit
     0.17%  mc-worker    [kernel.kallsyms]      [k] nf_ct_deliver_cached_events
     0.17%  mc-lrumaint  libc.so.6              [.] usleep
     0.17%  mc-worker    [kernel.kallsyms]      [k] __update_load_avg_cfs_rq
     0.17%  mc-worker    [kernel.kallsyms]      [k] sk_reset_timer
     0.17%  mc-worker    memcached              [.] do_cache_alloc
     0.17%  mc-lrumaint  [kernel.kallsyms]      [k] lapic_next_deadline
     0.17%  mc-worker    [kernel.kallsyms]      [k] ____sys_sendmsg
     0.17%  mc-worker    [kernel.kallsyms]      [k] __cgroup_account_cputime
     0.17%  mc-worker    [kernel.kallsyms]      [k] ip_vs_reply4
     0.17%  mc-worker    [kernel.kallsyms]      [k] __check_object_size
     0.16%  mc-lrumaint  memcached              [.] bipbuf_peek_all
     0.16%  mc-worker    [kernel.kallsyms]      [k] ip_forward_finish
     0.16%  mc-worker    [kernel.kallsyms]      [k] dequeue_task_fair
     0.16%  mc-worker    [kernel.kallsyms]      [k] mlx5e_xmit
     0.16%  mc-worker    [kernel.kallsyms]      [k] br_fdb_update
     0.16%  mc-worker    [kernel.kallsyms]      [k] ip_forward
     0.15%  mc-worker    [kernel.kallsyms]      [k] pskb_expand_head
     0.15%  mc-worker    [kernel.kallsyms]      [k] sock_rfree
     0.15%  mc-worker    [kernel.kallsyms]      [k] enqueue_task_fair
     0.15%  mc-worker    [kernel.kallsyms]      [k] __get_xps_queue_idx
     0.15%  mc-worker    [kernel.kallsyms]      [k] br_handle_frame_finish
     0.15%  mc-worker    [kernel.kallsyms]      [k] _raw_write_lock_irq
     0.15%  mc-worker    [kernel.kallsyms]      [k] tcp_update_skb_after_send
     0.15%  mc-worker    [kernel.kallsyms]      [k] __softirqentry_text_start
     0.14%  mc-worker    [kernel.kallsyms]      [k] iptable_filter_hook
     0.14%  mc-worker    [kernel.kallsyms]      [k] mark_mt
     0.14%  mc-worker    libc.so.6              [.] pthread_mutex_unlock
     0.14%  mc-lrumaint  [kernel.kallsyms]      [k] fib_table_lookup
     0.14%  mc-worker    memcached              [.] event_handler
     0.14%  mc-worker    [kernel.kallsyms]      [k] eth_type_trans
     0.14%  mc-worker    [kernel.kallsyms]      [k] ep_poll
     0.14%  mc-worker    [kernel.kallsyms]      [k] finish_task_switch
     0.14%  mc-worker    memcached              [.] item_get
     0.13%  mc-worker    [kernel.kallsyms]      [k] fput_many
     0.13%  mc-worker    [kernel.kallsyms]      [k] skb_segment
     0.13%  mc-worker    [kernel.kallsyms]      [k] __usecs_to_jiffies
     0.13%  mc-worker    libevent-2.1.so.7.0.1  [.] event_active_nolock_
     0.13%  mc-worker    [kernel.kallsyms]      [k] inet_sendmsg
     0.13%  mc-worker    [kernel.kallsyms]      [k] ip_sabotage_in
     0.13%  mc-lrumaint  [kernel.kallsyms]      [k] update_nohz_stats
     0.13%  mc-lrumaint  [kernel.kallsyms]      [k] get_nohz_timer_target
     0.13%  mc-worker    [kernel.kallsyms]      [k] __kmalloc_reserve.isra.0
     0.13%  mc-lrumaint  [kernel.kallsyms]      [k] __put_user_4
     0.13%  mc-worker    [kernel.kallsyms]      [k] kmem_cache_alloc_node
     0.13%  mc-worker    memcached              [.] MurmurHash3_x86_32
     0.13%  mc-worker    memcached              [.] limited_get
     0.13%  mc-worker    [kernel.kallsyms]      [k] idle_cpu
     0.13%  mc-worker    libevent-2.1.so.7.0.1  [.] event_callback_activate_nolock_
     0.13%  mc-lrumaint  [kernel.kallsyms]      [k] __x64_sys_clock_nanosleep
     0.12%  mc-worker    [kernel.kallsyms]      [k] vxlan_find_mac
     0.12%  mc-worker    [kernel.kallsyms]      [k] iptunnel_handle_offloads
     0.12%  mc-worker    [kernel.kallsyms]      [k] entry_SYSCALL_64_after_hwframe
     0.12%  mc-worker    [kernel.kallsyms]      [k] ctx_sched_out
     0.12%  mc-worker    [kernel.kallsyms]      [k] ip_vs_in.part.0
     0.12%  mc-worker    [kernel.kallsyms]      [k] aa_profile_af_perm
     0.12%  mc-worker    [kernel.kallsyms]      [k] blkcg_maybe_throttle_current
     0.12%  mc-worker    memcached              [.] resp_finish
     0.12%  mc-worker    [kernel.kallsyms]      [k] skb_push
     0.12%  mc-worker    [kernel.kallsyms]      [k] nf_nat_inet_fn
     0.12%  mc-lrumaint  [kernel.kallsyms]      [k] exit_to_usermode_loop
     0.12%  mc-worker    [kernel.kallsyms]      [k] dma_direct_map_page
     0.12%  mc-worker    [kernel.kallsyms]      [k] rw_copy_check_uvector
     0.12%  mc-worker    [kernel.kallsyms]      [k] select_idle_sibling.part.0
     0.12%  mc-worker    [kernel.kallsyms]      [k] __pm_relax
     0.12%  mc-worker    [kernel.kallsyms]      [k] __vxlan_find_mac
     0.12%  mc-worker    [kernel.kallsyms]      [k] _copy_from_user
     0.12%  mc-worker    [kernel.kallsyms]      [k] release_sock
     0.12%  mc-worker    [kernel.kallsyms]      [k] memcmp
     0.12%  mc-worker    [kernel.kallsyms]      [k] iptunnel_xmit
     0.12%  mc-worker    [kernel.kallsyms]      [k] skb_entail
     0.12%  mc-worker    [kernel.kallsyms]      [k] pick_next_task_fair
     0.12%  mc-lrumaint  [kernel.kallsyms]      [k] native_sched_clock
     0.11%  mc-worker    [kernel.kallsyms]      [k] netif_receive_skb
     0.11%  mc-worker    [kernel.kallsyms]      [k] udp_tunnel_xmit_skb
     0.11%  mc-lrumaint  [kernel.kallsyms]      [k] do_nanosleep
     0.11%  mc-lrumaint  [kernel.kallsyms]      [k] _raw_spin_lock_irqsave
     0.11%  mc-worker    [kernel.kallsyms]      [k] vxlan_rcv
     0.11%  mc-worker    [kernel.kallsyms]      [k] map_id_range_down
     0.11%  mc-worker    [kernel.kallsyms]      [k] native_sched_clock
     0.11%  mc-worker    [kernel.kallsyms]      [k] copy_msghdr_from_user
     0.11%  mc-worker    [kernel.kallsyms]      [k] udp4_gro_receive
     0.11%  mc-worker    [kernel.kallsyms]      [k] switch_fpu_return
     0.11%  mc-lrumaint  [kernel.kallsyms]      [k] perf_swevent_add
     0.11%  mc-worker    [kernel.kallsyms]      [k] __skb_ext_put
     0.11%  mc-worker    [kernel.kallsyms]      [k] ep_scan_ready_list.constprop.0
     0.11%  mc-worker    memcached              [.] _transmit_pre.isra.0
     0.11%  mc-worker    memcached              [.] do_cache_free
     0.11%  mc-worker    [kernel.kallsyms]      [k] br_nf_pre_routing_finish
     0.11%  mc-worker    memcached              [.] conn_release_items
     0.11%  mc-worker    [kernel.kallsyms]      [k] read_tsc
     0.11%  mc-worker    [kernel.kallsyms]      [k] resched_curr
     0.10%  mc-worker    [kernel.kallsyms]      [k] update_rq_clock
     0.10%  mc-worker    [kernel.kallsyms]      [k] kmalloc_slab
     0.10%  mc-worker    [kernel.kallsyms]      [k] mlx5_cq_tasklet_cb
     0.10%  mc-worker    [kernel.kallsyms]      [k] get_l4proto
     0.10%  mc-lrumaint  libc.so.6              [.] pthread_mutex_unlock
     0.10%  mc-worker    [kernel.kallsyms]      [k] encap_bypass_if_local
     0.10%  mc-worker    [kernel.kallsyms]      [k] perf_event_update_userpage
     0.10%  mc-worker    memcached              [.] resp_start
     0.10%  mc-worker    [kernel.kallsyms]      [k] tcp_rcv_space_adjust
     0.10%  mc-worker    memcached              [.] item_is_flushed
     0.10%  mc-worker    [kernel.kallsyms]      [k] __enqueue_entity
     0.10%  mc-lrumaint  [kernel.kallsyms]      [k] common_nsleep
     0.10%  mc-worker    [kernel.kallsyms]      [k] __copy_skb_header
     0.10%  mc-worker    [kernel.kallsyms]      [k] inet_gso_segment
     0.10%  mc-worker    [kernel.kallsyms]      [k] validate_xmit_skb
     0.10%  mc-worker    [kernel.kallsyms]      [k] br_pass_frame_up
     0.09%  mc-worker    [kernel.kallsyms]      [k] memcpy_erms
     0.09%  mc-worker    [kernel.kallsyms]      [k] put_prev_task_fair
     0.09%  mc-worker    [kernel.kallsyms]      [k] __clear_user
     0.09%  mc-worker    [kernel.kallsyms]      [k] tasklet_action_common.isra.0
     0.09%  mc-worker    [kernel.kallsyms]      [k] inet_recvmsg
     0.09%  mc-worker    [vdso]                 [.] __vdso_clock_gettime
     0.09%  mc-worker    [kernel.kallsyms]      [k] netif_skb_features
     0.09%  mc-worker    [kernel.kallsyms]      [k] skb_udp_tunnel_segment
     0.09%  mc-worker    [kernel.kallsyms]      [k] apparmor_socket_recvmsg
     0.09%  mc-worker    [kernel.kallsyms]      [k] br_allowed_ingress
     0.09%  mc-worker    [kernel.kallsyms]      [k] security_file_permission
     0.09%  mc-worker    [kernel.kallsyms]      [k] page_frag_free
     0.09%  mc-worker    [kernel.kallsyms]      [k] comment_mt
     0.09%  mc-worker    [kernel.kallsyms]      [k] __intel_pmu_disable_all
     0.09%  mc-lrumaint  [kernel.kallsyms]      [k] hrtimer_start_range_ns
     0.09%  mc-worker    [kernel.kallsyms]      [k] __update_idle_core
     0.09%  mc-worker    [kernel.kallsyms]      [k] enqueue_to_backlog
     0.09%  mc-worker    [kernel.kallsyms]      [k] __calc_delta
     0.09%  mc-worker    [kernel.kallsyms]      [k] apparmor_socket_sendmsg
     0.08%  mc-worker    [kernel.kallsyms]      [k] ip_idents_reserve
     0.08%  mc-worker    [kernel.kallsyms]      [k] br_netif_receive_skb
     0.08%  mc-worker    memcached              [.] _transmit_post
     0.08%  mc-worker    [kernel.kallsyms]      [k] ctx_sched_in
     0.08%  mc-worker    [kernel.kallsyms]      [k] vxlan_build_skb
     0.08%  mc-worker    [kernel.kallsyms]      [k] skb_csum_hwoffload_help
     0.08%  mc-worker    [kernel.kallsyms]      [k] __rseq_handle_notify_resume
     0.08%  mc-worker    [kernel.kallsyms]      [k] __x86_indirect_thunk_r9
     0.08%  mc-worker    [kernel.kallsyms]      [k] tcp_v4_early_demux
     0.08%  mc-worker    [kernel.kallsyms]      [k] ip_rcv_finish
     0.08%  mc-worker    [kernel.kallsyms]      [k] update_min_vruntime
     0.08%  mc-worker    [kernel.kallsyms]      [k] ip_vs_local_reply4
     0.08%  mc-worker    [kernel.kallsyms]      [k] tcp_rearm_rto
     0.08%  mc-lrumaint  [kernel.kallsyms]      [k] __perf_event_task_sched_out
     0.08%  mc-worker    [kernel.kallsyms]      [k] mutex_unlock
     0.08%  mc-worker    [kernel.kallsyms]      [k] ___slab_alloc
     0.08%  mc-worker    [kernel.kallsyms]      [k] netif_rx_internal
     0.08%  mc-lrumaint  [kernel.kallsyms]      [k] enqueue_hrtimer
     0.08%  mc-lrumaint  [kernel.kallsyms]      [k] mlx5e_poll_tx_cq
     0.08%  mc-worker    [kernel.kallsyms]      [k] fib_validate_source
     0.08%  mc-worker    [kernel.kallsyms]      [k] udp_queue_rcv_one_skb
     0.08%  mc-worker    [kernel.kallsyms]      [k] __cgroup_bpf_run_filter_skb
     0.08%  mc-worker    [kernel.kallsyms]      [k] ip_vs_local_request4
     0.08%  mc-lrumaint  [kernel.kallsyms]      [k] prepare_exit_to_usermode
     0.08%  mc-worker    [kernel.kallsyms]      [k] tcp_v4_fill_cb
     0.08%  mc-worker    [kernel.kallsyms]      [k] tcp_established_options
     0.08%  mc-worker    [kernel.kallsyms]      [k] ipv4_conntrack_in
     0.07%  mc-worker    [kernel.kallsyms]      [k] ip_vs_out
     0.07%  mc-worker    [kernel.kallsyms]      [k] select_task_rq_fair
     0.07%  mc-lrumaint  [kernel.kallsyms]      [k] group_sched_in
     0.07%  mc-worker    memcached              [.] item_remove
     0.07%  mc-worker    memcached              [.] bipbuf_request
     0.07%  mc-worker    libc.so.6              [.] __lll_lock_wait_private
     0.07%  mc-worker    [kernel.kallsyms]      [k] tcp_wfree
     0.07%  mc-worker    libevent-2.1.so.7.0.1  [.] evmap_io_active_@plt
     0.07%  mc-worker    [kernel.kallsyms]      [k] do_softirq_own_stack
     0.07%  mc-worker    [kernel.kallsyms]      [k] __sys_sendmsg
     0.07%  mc-worker    [kernel.kallsyms]      [k] skb_page_frag_refill
     0.07%  mc-worker    [kernel.kallsyms]      [k] ipv4_confirm
     0.07%  mc-worker    [kernel.kallsyms]      [k] __x64_sys_epoll_wait
     0.07%  mc-worker    [kernel.kallsyms]      [k] sch_direct_xmit
     0.07%  mc-worker    [kernel.kallsyms]      [k] nf_nat_ipv4_out
     0.07%  mc-worker    [kernel.kallsyms]      [k] rw_verify_area
     0.07%  mc-worker    [kernel.kallsyms]      [k] dst_release
     0.07%  mc-worker    [kernel.kallsyms]      [k] nbp_switchdev_frame_mark
     0.07%  mc-worker    [kernel.kallsyms]      [k] netdev_pick_tx
     0.07%  mc-worker    [kernel.kallsyms]      [k] rb_next
     0.07%  mc-worker    [kernel.kallsyms]      [k] memset_erms
     0.06%  mc-worker    [kernel.kallsyms]      [k] iov_iter_advance
     0.06%  mc-worker    [kernel.kallsyms]      [k] skb_release_all
     0.06%  mc-worker    [kernel.kallsyms]      [k] irq_entries_start
     0.06%  mc-worker    [kernel.kallsyms]      [k] fpregs_assert_state_consistent
     0.06%  mc-worker    [kernel.kallsyms]      [k] __perf_event_task_sched_out
     0.06%  mc-lrumaint  [kernel.kallsyms]      [k] entry_SYSCALL_64_after_hwframe
     0.06%  mc-worker    [kernel.kallsyms]      [k] passthru_features_check
     0.06%  mc-worker    [kernel.kallsyms]      [k] ip_rcv
     0.06%  mc-worker    [kernel.kallsyms]      [k] inet_get_local_port_range
     0.06%  mc-worker    [kernel.kallsyms]      [k] copyin
     0.06%  mc-worker    [kernel.kallsyms]      [k] rcu_all_qs
     0.06%  mc-worker    [kernel.kallsyms]      [k] ktime_get
     0.06%  mc-worker    [kernel.kallsyms]      [k] ip_local_out
     0.06%  mc-worker    [kernel.kallsyms]      [k] br_multicast_count
     0.06%  mc-lrumaint  [kernel.kallsyms]      [k] irq_entries_start
     0.06%  mc-worker    [kernel.kallsyms]      [k] ip_sublist_rcv
     0.06%  mc-worker    [kernel.kallsyms]      [k] __skb_clone
     0.06%  mc-worker    [kernel.kallsyms]      [k] aa_check_perms
     0.06%  mc-worker    [kernel.kallsyms]      [k] amd_clear_divider
     0.06%  mc-worker    [kernel.kallsyms]      [k] update_nohz_stats
     0.06%  mc-worker    [kernel.kallsyms]      [k] nf_nat_ipv4_fn
     0.06%  mc-worker    [kernel.kallsyms]      [k] __netif_receive_skb_one_core
     0.06%  mc-worker    [kernel.kallsyms]      [k] skb_put
     0.06%  mc-worker    [kernel.kallsyms]      [k] rb_first
     0.06%  mc-worker    [kernel.kallsyms]      [k] jiffies_to_usecs
     0.05%  mc-worker    [kernel.kallsyms]      [k] nf_ct_seq_offset
     0.05%  mc-worker    [kernel.kallsyms]      [k] ip_rcv_core.isra.0
     0.05%  mc-worker    [kernel.kallsyms]      [k] __ip_rt_update_pmtu
     0.05%  mc-worker    [kernel.kallsyms]      [k] ip_rcv_finish_core.isra.0
     0.05%  mc-worker    [kernel.kallsyms]      [k] x86_pmu_disable
