# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 138174030
#
# Overhead  Command          Shared Object       Symbol                                                                                                                                                                                                                                                                                                                                      
# ........  ...............  ..................  ............................................................................................................................................................................................................................................................................................................................................
#
     0.82%  ftdc             [kernel.kallsyms]   [k] select_task_rq_fair
     0.81%  ftdc             mongod              [.] std::__find_if<char const*, __gnu_cxx::__ops::_Iter_pred<mongo::procparser::parseProcNetstat(std::vector<mongo::StringData, std::allocator<mongo::StringData> > const&, mongo::StringData, mongo::BSONObjBuilder*)::{lambda(char)#2}> >
     0.81%  ftdc             [kernel.kallsyms]   [k] get_futex_value_locked
     0.81%  ftdc             [vdso]              [.] gettimeofday
     0.81%  ftdc             libpthread-2.27.so  [.] __pthread_enable_asynccancel
     0.79%  ftdc             [kernel.kallsyms]   [k] __inode_wait_for_writeback
     0.78%  ftdc             [kernel.kallsyms]   [k] kobject_get
     0.78%  ftdc             mongod              [.] __curstat_get_value
     0.75%  DeadlineMonitor  mongod              [.] mongo::Date_t::now
     0.74%  ftdc             [kernel.kallsyms]   [k] do_dentry_open
     0.74%  ftdc             mongod              [.] tcmalloc::CentralFreeList::tc_length
     0.61%  ftdc             mongod              [.] mongo::NumberParser::operator()
     0.59%  ftdc             mongod              [.] mongo::procparser::parseProcNetstat
     0.53%  ftdc             mongod              [.] mongo::BSONObjBuilderValueStream::endField
     0.49%  ftdc             [kernel.kallsyms]   [k] netif_skb_features
     0.48%  ftdc             mongod              [.] mongo::BasicBufBuilder<mongo::SharedBufferAllocator>::appendNumImpl<char>
     0.46%  mongod           libpthread-2.27.so  [.] __condvar_cancel_waiting
     0.44%  ftdc             mongod              [.] __session_transaction_pinned_range
     0.44%  ftdc             [kernel.kallsyms]   [k] _raw_spin_lock
     0.44%  ftdc             [kernel.kallsyms]   [k] __check_object_size
     0.43%  ftdc             mongod              [.] memcmp@plt
     0.40%  mongod           [kernel.kallsyms]   [k] do_futex
     0.32%  mongod           [kernel.kallsyms]   [k] psi_task_change
     0.25%  mongod           [kernel.kallsyms]   [k] __update_load_avg_cfs_rq
     0.20%  ftdc             mongod              [.] mongo::procparser::parseProcDiskStats
     0.19%  ftdc             [kernel.kallsyms]   [k] do_syscall_64
     0.17%  ftdc             [kernel.kallsyms]   [k] vmstat_show
     0.16%  ftdc             mongod              [.] tcmalloc::PageHeap::Carve
     0.14%  ftdc             [kernel.kallsyms]   [k] apparmor_file_free_security
     0.14%  ftdc             [kernel.kallsyms]   [k] seq_put_decimal_ull
     0.13%  ftdc             mongod              [.] mongo::repl::ReplicationCoordinator::get
     0.13%  ftdc             [kernel.kallsyms]   [k] sum_vm_events
     0.12%  mongod           [kernel.kallsyms]   [k] __mutex_init
     0.06%  ftdc             [kernel.kallsyms]   [k] vxlan_rcv
     0.06%  ftdc             [kernel.kallsyms]   [k] pid_revalidate
     0.05%  ftdc             [kernel.kallsyms]   [k] lookup_fast
     0.05%  DeadlineMonitor  mongod              [.] std::_V2::condition_variable_any::wait_until<std::unique_lock<mongo::latch_detail::Latch>, std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >
     0.05%  ftdc             [kernel.kallsyms]   [k] cpumask_next
     0.05%  ftdc             mongod              [.] mongo::ServerStatusMetricField<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::appendAtLeaf
     0.04%  ftdc             [kernel.kallsyms]   [k] prepend_path.isra.0
     0.04%  ftdc             [kernel.kallsyms]   [k] read_tsc
     0.04%  ftdc             mongod              [.] boost::detail::function::function_obj_invoker2<boost::algorithm::detail::token_finderF<mongo::procparser::parseProcNetstat(std::vector<mongo::StringData, std::allocator<mongo::StringData> > const&, mongo::StringData, mongo::BSONObjBuilder*)::{lambda(char)#1}>, boost::iterator_range<char const*>, char const, char const>::invoke
     0.04%  ftdc             [kernel.kallsyms]   [k] apparmor_file_alloc_security
     0.04%  ftdc             [kernel.kallsyms]   [k] memcpy_erms
     0.04%  ftdc             [kernel.kallsyms]   [k] vsnprintf
     0.04%  ftdc             mongod              [.] std::_Rb_tree_increment
     0.04%  mongod           libpthread-2.27.so  [.] pthread_cond_timedwait@@GLIBC_2.3.2
     0.04%  mongod           [kernel.kallsyms]   [k] mlx5e_poll_tx_cq
     0.02%  mongod           [kernel.kallsyms]   [k] update_blocked_averages
     0.02%  mongod           [kernel.kallsyms]   [k] __lock_text_start
     0.02%  mongod           [kernel.kallsyms]   [k] perf_event_update_userpage
     0.02%  mongod           libc-2.27.so        [.] __nss_group_lookup
     0.01%  mongod           [kernel.kallsyms]   [k] native_write_msr
     0.01%  DeadlineMonitor  [kernel.kallsyms]   [k] do_syscall_64
     0.00%  JournalFlusher   [kernel.kallsyms]   [k] native_write_msr
     0.00%  Backgro.kSource  [kernel.kallsyms]   [k] native_write_msr
     0.00%  FlowCon.fresher  [kernel.kallsyms]   [k] native_write_msr
     0.00%  Timesta.Monitor  [kernel.kallsyms]   [k] native_write_msr
     0.00%  WTCheck.tThread  [kernel.kallsyms]   [k] native_write_msr
     0.00%  DeadlineMonitor  [kernel.kallsyms]   [k] native_write_msr
     0.00%  ftdc             [kernel.kallsyms]   [k] native_write_msr
     0.00%  clientcursormon  [kernel.kallsyms]   [k] native_write_msr
     0.00%  decreas.ressure  [kernel.kallsyms]   [k] native_write_msr
     0.00%  conn5            [kernel.kallsyms]   [k] native_write_msr
     0.00%  WTIdleS.Sweeper  [kernel.kallsyms]   [k] native_write_msr
     0.00%  FreeMon.ocessor  [kernel.kallsyms]   [k] native_write_msr
     0.00%  Logical.Refresh  [kernel.kallsyms]   [k] native_write_msr
     0.00%  Logical.cheReap  [kernel.kallsyms]   [k] native_write_msr
     0.00%  Periodi.kRunner  [kernel.kallsyms]   [k] native_write_msr
     0.00%  TTLMonitor       [kernel.kallsyms]   [k] native_write_msr
     0.00%  abortEx.actions  [kernel.kallsyms]   [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
