# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 26K of event 'cycles'
# Event count (approx.): 41462566372
#
# Overhead  Command  Shared Object       Symbol                                                                                             
# ........  .......  ..................  ...................................................................................................
#
     0.46%  rate     [kernel.kallsyms]   [k] native_write_msr
     0.45%  rate     rate                [.] runtime.adjustframe
     0.43%  rate     [kernel.kallsyms]   [k] cpuacct_charge
     0.40%  rate     [kernel.kallsyms]   [k] __fget_light
     0.40%  rate     rate                [.] encoding/json.(*decodeState).rescanLiteral
     0.39%  rate     rate                [.] time.Time.AppendFormat
     0.37%  rate     rate                [.] runtime.casgstatus
     0.37%  rate     [kernel.kallsyms]   [k] try_to_wake_up
     0.36%  rate     [kernel.kallsyms]   [k] switch_fpu_return
     0.35%  rate     [kernel.kallsyms]   [k] nf_hook_slow
     0.35%  rate     rate                [.] encoding/json.(*decodeState).object
     0.35%  rate     rate                [.] runtime.retake
     0.33%  rate     [kernel.kallsyms]   [k] __tcp_transmit_skb
     0.32%  rate     rate                [.] runtime.mapassign
     0.32%  rate     [kernel.kallsyms]   [k] native_queued_spin_lock_slowpath
     0.31%  rate     rate                [.] runtime.checkTimers
     0.31%  rate     rate                [.] runtime.growslice
     0.31%  rate     rate                [.] runtime.(*itabTableType).find
     0.30%  rate     rate                [.] runtime.netpoll
     0.29%  rate     [kernel.kallsyms]   [k] __update_load_avg_se
     0.29%  rate     rate                [.] runtime.adjustpointers
     0.29%  rate     rate                [.] memeqbody
     0.29%  rate     [kernel.kallsyms]   [k] _raw_spin_lock_irqsave
     0.28%  rate     rate                [.] time.parse
     0.28%  rate     rate                [.] runtime.mapiternext
     0.28%  rate     rate                [.] encoding/json.stateInString
     0.27%  rate     rate                [.] runtime.mapaccess2_faststr
     0.27%  rate     rate                [.] runtime.(*lfstack).push
     0.27%  rate     rate                [.] path/filepath.Clean
     0.27%  rate     [kernel.kallsyms]   [k] futex_wake
     0.26%  rate     rate                [.] runtime.unlock2
     0.26%  rate     [kernel.kallsyms]   [k] veth_xmit
     0.26%  rate     [kernel.kallsyms]   [k] tcp_recvmsg
     0.24%  rate     rate                [.] runtime.mapaccess1
     0.24%  rate     [kernel.kallsyms]   [k] native_sched_clock
     0.24%  rate     [kernel.kallsyms]   [k] update_cfs_rq_h_load
     0.23%  rate     [kernel.kallsyms]   [k] perf_swevent_add
     0.23%  rate     [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
     0.23%  rate     [kernel.kallsyms]   [k] read_tsc
     0.22%  rate     rate                [.] time.nextStdChunk
     0.22%  rate     [kernel.kallsyms]   [k] finish_task_switch
     0.22%  rate     rate                [.] runtime.schedule
     0.22%  rate     rate                [.] runtime.getempty
     0.22%  rate     [kernel.kallsyms]   [k] dequeue_task_fair
     0.22%  rate     rate                [.] fmt.(*pp).doPrintf
     0.22%  rate     rate                [.] io.ReadAtLeast
     0.21%  rate     [kernel.kallsyms]   [k] __perf_event_task_sched_in
     0.21%  rate     rate                [.] runtime.sysmon
     0.21%  rate     rate                [.] runtime.scanblock
     0.20%  rate     rate                [.] github.com/rs/zerolog/internal/json.appendStringComplex
     0.20%  rate     rate                [.] runtime.mapassign_faststr
     0.20%  rate     [kernel.kallsyms]   [k] tcp_sendmsg_locked
     0.20%  rate     [kernel.kallsyms]   [k] common_file_perm
     0.20%  rate     [kernel.kallsyms]   [k] available_idle_cpu
     0.20%  rate     rate                [.] golang.org/x/net/http2/hpack.huffmanDecode
     0.20%  rate     [kernel.kallsyms]   [k] __calc_delta
     0.19%  rate     rate                [.] internal/poll.(*FD).Write
     0.19%  rate     rate                [.] aeshashbody
     0.19%  rate     rate                [.] fmt.isSpace
     0.19%  rate     rate                [.] runtime.checkTimersNoP
     0.18%  rate     rate                [.] runtime.mDoFixup
     0.18%  rate     [kernel.kallsyms]   [k] perf_event_update_userpage
     0.18%  rate     rate                [.] encoding/json.(*decodeState).literalStore
     0.18%  rate     [kernel.kallsyms]   [k] __dev_queue_xmit
     0.18%  rate     [kernel.kallsyms]   [k] __netif_receive_skb_core
     0.18%  rate     rate                [.] path/filepath.Rel
     0.18%  rate     rate                [.] runtime.nanotime1.abi0
     0.18%  rate     rate                [.] runtime.exitsyscall
     0.18%  rate     rate                [.] runtime.usleep.abi0
     0.18%  rate     rate                [.] bufio.(*Reader).Read
     0.17%  rate     rate                [.] runtime.runqgrab
     0.17%  rate     rate                [.] runtime.slicebytetostring
     0.17%  rate     rate                [.] runtime.reentersyscall
     0.17%  rate     rate                [.] google.golang.org/grpc/transport.(*http2Server).itemHandler
     0.17%  rate     [kernel.kallsyms]   [k] tcp_rcv_established
     0.17%  rate     [kernel.kallsyms]   [k] dequeue_entity
     0.17%  rate     [kernel.kallsyms]   [k] deactivate_task
     0.17%  rate     [kernel.kallsyms]   [k] ip_finish_output2
     0.16%  rate     rate                [.] runtime.notesleep
     0.16%  rate     [kernel.kallsyms]   [k] kmem_cache_alloc_node
     0.16%  rate     [kernel.kallsyms]   [k] tcp_write_xmit
     0.16%  rate     [kernel.kallsyms]   [k] __schedule
     0.16%  rate     [kernel.kallsyms]   [k] newidle_balance
     0.16%  rate     [kernel.kallsyms]   [k] __x86_indirect_thunk_rax
     0.16%  rate     rate                [.] runtime.getitab
     0.16%  rate     [kernel.kallsyms]   [k] timerqueue_add
     0.16%  rate     rate                [.] google.golang.org/grpc/transport.(*http2Server).operateHeaders
     0.15%  rate     [kernel.kallsyms]   [k] __virt_addr_valid
     0.15%  rate     rate                [.] runtime.mapaccess1_faststr
     0.15%  rate     rate                [.] internal/poll.(*FD).Read
     0.15%  rate     [kernel.kallsyms]   [k] __wake_up_common
     0.15%  rate     [kernel.kallsyms]   [k] resched_curr
     0.15%  rate     [kernel.kallsyms]   [k] rb_next
     0.15%  rate     [kernel.kallsyms]   [k] smp_call_function_many
     0.15%  rate     rate                [.] runtime.checkRunqsNoP
     0.15%  rate     rate                [.] runtime.markroot
     0.15%  rate     [kernel.kallsyms]   [k] update_rq_clock
     0.15%  rate     [kernel.kallsyms]   [k] aa_profile_af_perm
     0.15%  rate     rate                [.] encoding/json.checkValid
     0.15%  rate     rate                [.] runtime.runqget
     0.15%  rate     rate                [.] runtime.futex.abi0
     0.15%  rate     rate                [.] sync.(*Pool).Get
     0.14%  rate     [kernel.kallsyms]   [k] prepare_exit_to_usermode
     0.14%  rate     [kernel.kallsyms]   [k] copy_user_generic_unrolled
     0.14%  rate     [kernel.kallsyms]   [k] fsnotify
     0.14%  rate     rate                [.] runtime.mapaccess2
     0.14%  rate     rate                [.] runtime.trygetfull
     0.14%  rate     rate                [.] runtime.(*mheap).allocSpan
     0.14%  rate     rate                [.] encoding/json.stateEndValue
     0.14%  rate     rate                [.] runtime.systemstack.abi0
     0.14%  rate     [kernel.kallsyms]   [k] __nf_conntrack_find_get
     0.14%  rate     [kernel.kallsyms]   [k] br_nf_pre_routing
     0.13%  rate     [kernel.kallsyms]   [k] record_times
     0.13%  rate     rate                [.] github.com/golang/protobuf/proto.(*Buffer).unmarshalType
     0.13%  rate     [kernel.kallsyms]   [k] rb_insert_color
     0.13%  rate     [kernel.kallsyms]   [k] pick_next_task_idle
     0.13%  rate     [kernel.kallsyms]   [k] put_prev_entity
     0.13%  rate     [kernel.kallsyms]   [k] _raw_read_lock_irqsave
     0.13%  rate     rate                [.] google.golang.org/grpc/transport.(*decodeState).processHeaderField
     0.13%  rate     [kernel.kallsyms]   [k] kmem_cache_free
     0.13%  rate     rate                [.] runtime.(*spanSet).pop
     0.13%  rate     [kernel.kallsyms]   [k] tcp_ack
     0.13%  rate     [kernel.kallsyms]   [k] set_task_cpu
     0.13%  rate     rate                [.] github.com/harlow/go-micro-services/services/rate.(*Server).GetRates
     0.13%  rate     [kernel.kallsyms]   [k] lapic_next_deadline
     0.13%  rate     [kernel.kallsyms]   [k] ctx_sched_in
     0.13%  rate     rate                [.] runtime.makechan
     0.13%  rate     rate                [.] google.golang.org/grpc/transport.loopyWriter
     0.12%  rate     [kernel.kallsyms]   [k] kfree
     0.12%  rate     [kernel.kallsyms]   [k] memset_erms
     0.12%  rate     [kernel.kallsyms]   [k] __update_idle_core
     0.12%  rate     rate                [.] runtime.makeslice
     0.12%  rate     [kernel.kallsyms]   [k] kmem_cache_alloc
     0.12%  rate     [kernel.kallsyms]   [k] nf_conntrack_in
     0.12%  rate     [kernel.kallsyms]   [k] fib_table_lookup
     0.12%  rate     rate                [.] strconv.ParseUint
     0.12%  rate     rate                [.] encoding/json.indirect
     0.12%  rate     rate                [.] runtime.resolveTypeOff
     0.12%  rate     [kernel.kallsyms]   [k] __lock_text_start
     0.12%  rate     rate                [.] runtime.newMarkBits
     0.12%  rate     [kernel.kallsyms]   [k] futex_wait
     0.12%  rate     [kernel.kallsyms]   [k] ip_vs_out.part.0
     0.12%  rate     [kernel.kallsyms]   [k] select_idle_sibling.part.0
     0.12%  rate     [kernel.kallsyms]   [k] ipv4_mtu
     0.12%  rate     [kernel.kallsyms]   [k] copy_user_enhanced_fast_string
     0.12%  rate     [kernel.kallsyms]   [k] __x64_sys_futex
     0.11%  rate     [kernel.kallsyms]   [k] tcp_clean_rtx_queue
     0.11%  rate     rate                [.] unicode/utf8.DecodeRuneInString
     0.11%  rate     [kernel.kallsyms]   [k] ip_vs_local_reply4
     0.11%  rate     rate                [.] runtime.exitsyscallfast
     0.11%  rate     rate                [.] runtime.chansend
     0.11%  rate     rate                [.] golang.org/x/net/http2.(*Framer).checkFrameOrder
     0.11%  rate     rate                [.] github.com/uber/jaeger-client-go.(*Tracer).startSpanWithOptions
     0.11%  rate     [kernel.kallsyms]   [k] fput_many
     0.11%  rate     [kernel.kallsyms]   [k] __perf_event_task_sched_out
     0.11%  rate     [kernel.kallsyms]   [k] pick_next_task_fair
     0.11%  rate     [kernel.kallsyms]   [k] account_entity_dequeue
     0.11%  rate     rate                [.] runtime.stackalloc
     0.11%  rate     [kernel.kallsyms]   [k] net_rx_action
     0.11%  rate     [kernel.kallsyms]   [k] futex_wait_setup
     0.11%  rate     [kernel.kallsyms]   [k] ktime_get
     0.11%  rate     [kernel.kallsyms]   [k] do_nanosleep
     0.11%  rate     rate                [.] runtime.epollwait.abi0
     0.11%  rate     rate                [.] fmt.(*pp).printArg
     0.10%  rate     rate                [.] runtime.futexsleep
     0.10%  rate     rate                [.] github.com/uber/jaeger-client-go.(*Tracer).startSpanInternal
     0.10%  rate     [kernel.kallsyms]   [k] rb_erase
     0.10%  rate     rate                [.] sync.(*RWMutex).Unlock
     0.10%  rate     rate                [.] golang.org/x/net/http2.(*Framer).ReadFrame
     0.10%  rate     [kernel.kallsyms]   [k] do_epoll_wait
     0.10%  rate     [kernel.kallsyms]   [k] nf_conntrack_tcp_packet
     0.10%  rate     [kernel.kallsyms]   [k] futex_wait_queue_me
     0.10%  rate     [kernel.kallsyms]   [k] process_backlog
     0.10%  rate     rate                [.] runtime.pidleput
     0.10%  rate     rate                [.] fmt.(*ss).scanOne
     0.10%  rate     [kernel.kallsyms]   [k] aa_dfa_match
     0.10%  rate     rate                [.] runtime.gopark
     0.10%  rate     [kernel.kallsyms]   [k] __enqueue_entity
     0.10%  rate     rate                [.] indexbytebody
     0.10%  rate     rate                [.] runtime.stackfree
     0.10%  rate     rate                [.] github.com/rs/zerolog.ConsoleWriter.Write
     0.10%  rate     [kernel.kallsyms]   [k] native_flush_tlb_one_user
     0.10%  rate     rate                [.] encoding/json.stateBeginValue
     0.10%  rate     [kernel.kallsyms]   [k] account_entity_enqueue
     0.10%  rate     [kernel.kallsyms]   [k] swapgs_restore_regs_and_return_to_usermode
     0.10%  rate     [kernel.kallsyms]   [k] __x64_sys_nanosleep
     0.10%  rate     rate                [.] golang.org/x/net/http2.(*Framer).readMetaFrame.func1
     0.10%  rate     rate                [.] reflect.Value.assignTo
     0.09%  rate     [kernel.kallsyms]   [k] put_prev_task_fair
     0.09%  rate     rate                [.] runtime.typedmemmove
     0.09%  rate     rate                [.] fmt.(*ss).advance
     0.09%  rate     rate                [.] github.com/bradfitz/gomemcache/memcache.(*Client).GetMulti
     0.09%  rate     [kernel.kallsyms]   [k] mod_timer
     0.09%  rate     [kernel.kallsyms]   [k] br_nf_hook_thresh
     0.09%  rate     rate                [.] syscall.Getenv
     0.09%  rate     rate                [.] runtime.duffcopy
     0.09%  rate     rate                [.] runtime.memequal
     0.09%  rate     [kernel.kallsyms]   [k] ep_poll
     0.09%  rate     rate                [.] runtime.timeSleepUntil
     0.09%  rate     rate                [.] github.com/rs/zerolog/internal/json.Encoder.AppendString
     0.09%  rate     rate                [.] bufio.(*Writer).Flush
     0.09%  rate     rate                [.] reflect.(*rtype).Elem
     0.09%  rate     rate                [.] runtime.gogo.abi0
     0.09%  rate     [kernel.kallsyms]   [k] ep_poll_callback
     0.09%  rate     rate                [.] runtime.pidleget
     0.09%  rate     [kernel.kallsyms]   [k] mutex_lock
     0.09%  rate     rate                [.] runtime.(*sweepLocked).sweep
     0.09%  rate     [kernel.kallsyms]   [k] sock_poll
     0.09%  rate     rate                [.] google.golang.org/grpc.(*Server).processUnaryRPC
     0.09%  rate     [kernel.kallsyms]   [k] sched_clock_cpu
     0.09%  rate     [kernel.kallsyms]   [k] update_min_vruntime
     0.09%  rate     [kernel.kallsyms]   [k] br_handle_frame
     0.09%  rate     [kernel.kallsyms]   [k] _raw_spin_lock_bh
     0.09%  rate     [kernel.kallsyms]   [k] nf_ct_get_tuple
     0.09%  rate     [kernel.kallsyms]   [k] tcp_v4_rcv
     0.09%  rate     rate                [.] time.(*Location).lookup
     0.09%  rate     rate                [.] encoding/json.(*Decoder).Decode
     0.09%  rate     rate                [.] bytes.(*Buffer).WriteByte
     0.09%  rate     [kernel.kallsyms]   [k] do_futex
     0.09%  rate     rate                [.] time.appendInt
     0.08%  rate     rate                [.] encoding/json.(*decodeState).scanWhile
     0.08%  rate     [kernel.kallsyms]   [k] ip_route_input_slow
     0.08%  rate     rate                [.] runtime.(*spanSet).reset
     0.08%  rate     [kernel.kallsyms]   [k] migrate_task_rq_fair
     0.08%  rate     [kernel.kallsyms]   [k] schedule
     0.08%  rate     [kernel.kallsyms]   [k] __cgroup_bpf_run_filter_skb
     0.08%  rate     rate                [.] sync.(*Mutex).Unlock
     0.08%  rate     rate                [.] time.absDate
     0.08%  rate     [kernel.kallsyms]   [k] __inet_lookup_established
     0.08%  rate     rate                [.] runtime.(*mcache).prepareForSweep
     0.08%  rate     rate                [.] runtime.netpollblock
     0.08%  rate     rate                [.] internal/poll.(*fdMutex).rwlock
     0.08%  rate     rate                [.] internal/reflectlite.(*rtype).Comparable
     0.08%  rate     [kernel.kallsyms]   [k] __local_bh_enable_ip
     0.08%  rate     rate                [.] sync.(*RWMutex).Lock
     0.08%  rate     [kernel.kallsyms]   [k] __hrtimer_init
     0.08%  rate     rate                [.] time.tzsetNum
     0.08%  rate     [kernel.kallsyms]   [k] eth_type_trans
     0.08%  rate     rate                [.] syscall.Syscall.abi0
     0.08%  rate     rate                [.] syscall.Getwd
     0.08%  rate     [kernel.kallsyms]   [k] __ksize
     0.08%  rate     [kernel.kallsyms]   [k] memcmp
     0.08%  rate     [kernel.kallsyms]   [k] __x64_sys_epoll_pwait
     0.08%  rate     rate                [.] reflect.Value.Type
     0.08%  rate     rate                [.] github.com/rs/zerolog.ConsoleWriter.writePart
     0.08%  rate     [kernel.kallsyms]   [k] sock_read_iter
     0.08%  rate     rate                [.] fmt.(*fmt).fmtInteger
     0.08%  rate     [kernel.kallsyms]   [k] aa_label_sk_perm.part.0
     0.08%  rate     rate                [.] runtime.netpollready
     0.08%  rate     rate                [.] runtime.netpollblockcommit
     0.08%  rate     [kernel.kallsyms]   [k] fdb_find_rcu
     0.08%  rate     [kernel.kallsyms]   [k] _raw_write_lock_irq
     0.08%  rate     [kernel.kallsyms]   [k] br_handle_frame_finish
     0.08%  rate     [kernel.kallsyms]   [k] __slab_free
     0.08%  rate     [kernel.kallsyms]   [k] conntrack_mt
     0.07%  rate     [kernel.kallsyms]   [k] tcp_schedule_loss_probe
     0.07%  rate     [kernel.kallsyms]   [k] ipv4_dst_check
     0.07%  rate     [kernel.kallsyms]   [k] ip_rcv_core.isra.0
     0.07%  rate     [kernel.kallsyms]   [k] tcp_in_window
     0.07%  rate     [kernel.kallsyms]   [k] flexible_sched_in
     0.07%  rate     [kernel.kallsyms]   [k] get_l4proto
     0.07%  rate     rate                [.] context.(*cancelCtx).Done
     0.07%  rate     rate                [.] github.com/rs/zerolog.ConsoleWriter.writeFields
     0.07%  rate     [kernel.kallsyms]   [k] hash_futex
     0.07%  rate     rate                [.] net/url.unescape
     0.07%  rate     rate                [.] runtime.releaseSudog
     0.07%  rate     rate                [.] fmt.(*ss).getRune
     0.07%  rate     rate                [.] golang.org/x/net/http2.(*MetaHeadersFrame).checkPseudos
     0.07%  rate     rate                [.] syscall.write
     0.07%  rate     [kernel.kallsyms]   [k] check_preempt_curr
     0.07%  rate     rate                [.] fmt.(*readRune).ReadRune
     0.07%  rate     [kernel.kallsyms]   [k] __ip_queue_xmit
     0.07%  rate     [kernel.kallsyms]   [k] ctx_sched_out
     0.07%  rate     [kernel.kallsyms]   [k] ksys_write
     0.07%  rate     rate                [.] fmt.(*ss).ReadRune
     0.07%  rate     rate                [.] os.(*File).Write
     0.07%  rate     rate                [.] reflect.valueInterface
     0.07%  rate     [kernel.kallsyms]   [k] get_futex_key_refs.isra.0
     0.07%  rate     rate                [.] runtime.(*spanSet).push
     0.07%  rate     rate                [.] github.com/golang/protobuf/proto.(*Buffer).enc_proto3_string
     0.07%  rate     rate                [.] net.(*conn).Read
     0.07%  rate     [kernel.kallsyms]   [k] br_nf_forward_ip
     0.07%  rate     rate                [.] fmt.indexRune
     0.07%  rate     rate                [.] runtime.(*mcentral).cacheSpan
     0.07%  rate     rate                [.] countbody
     0.07%  rate     [kernel.kallsyms]   [k] intel_pstate_update_util
     0.07%  rate     rate                [.] runtime.runqput
     0.07%  rate     rate                [.] google.golang.org/grpc/transport.(*http2Server).HandleStreams
     0.07%  rate     rate                [.] runtime.duffzero
     0.07%  rate     [kernel.kallsyms]   [k] sock_def_readable
     0.07%  rate     rate                [.] github.com/uber/jaeger-client-go.(*Span).FinishWithOptions
     0.07%  rate     [kernel.kallsyms]   [k] __softirqentry_text_start
     0.07%  rate     rate                [.] sync.(*Pool).Put
     0.07%  rate     rate                [.] runtime.convTslice
     0.07%  rate     rate                [.] runtime.pcdatavalue
     0.07%  rate     [kernel.kallsyms]   [k] hrtimer_active
     0.07%  rate     [kernel.kallsyms]   [k] netif_rx_internal
     0.07%  rate     [kernel.kallsyms]   [k] get_futex_key
     0.07%  rate     [kernel.kallsyms]   [k] dev_hard_start_xmit
     0.07%  rate     [kernel.kallsyms]   [k] validate_xmit_skb
     0.07%  rate     [kernel.kallsyms]   [k] find_next_bit
     0.07%  rate     rate                [.] runtime.startm
     0.06%  rate     [kernel.kallsyms]   [k] __x64_sys_getcwd
     0.06%  rate     [kernel.kallsyms]   [k] ksoftirqd_running
     0.06%  rate     [kernel.kallsyms]   [k] tcp_stream_memory_free
     0.06%  rate     rate                [.] github.com/golang/protobuf/proto.(*Buffer).enc_struct
     0.06%  rate     [kernel.kallsyms]   [k] new_sync_write
     0.06%  rate     rate                [.] runtime.newstack
     0.06%  rate     [kernel.kallsyms]   [k] __kmalloc_node_track_caller
     0.06%  rate     rate                [.] fmt.(*fmt).pad
     0.06%  rate     [kernel.kallsyms]   [k] skb_ext_add
     0.06%  rate     rate                [.] reflect.Value.Elem
     0.06%  rate     rate                [.] net.(*TCPConn).Write
     0.06%  rate     rate                [.] fmt.(*fmt).padString
     0.06%  rate     [kernel.kallsyms]   [k] x86_pmu_disable
     0.06%  rate     [kernel.kallsyms]   [k] clear_page_erms
     0.06%  rate     rate                [.] strconv.readFloat
     0.06%  rate     rate                [.] runtime.gcResetMarkState.func1
     0.06%  rate     rate                [.] github.com/uber/jaeger-client-go.(*Span).Finish
     0.06%  rate     [kernel.kallsyms]   [k] sock_recvmsg
     0.06%  rate     [kernel.kallsyms]   [k] tcp_poll
     0.06%  rate     rate                [.] bufio.(*Writer).Write
     0.06%  rate     rate                [.] runtime.save
     0.06%  rate     [kernel.kallsyms]   [k] path_init
     0.06%  rate     [kernel.kallsyms]   [k] hrtimer_nanosleep
     0.06%  rate     [kernel.kallsyms]   [k] __x86_indirect_thunk_rcx
     0.06%  rate     [kernel.kallsyms]   [k] skb_scrub_packet
     0.06%  rate     rate                [.] runtime.notewakeup
     0.06%  rate     rate                [.] runtime.stopm
     0.06%  rate     rate                [.] runtime.sweepone
     0.06%  rate     [kernel.kallsyms]   [k] hrtimer_start_range_ns
     0.06%  rate     [kernel.kallsyms]   [k] mem_cgroup_throttle_swaprate
     0.06%  rate     rate                [.] runtime.gcBgMarkWorker
     0.06%  rate     [kernel.kallsyms]   [k] prepend_path.isra.0
     0.06%  rate     [kernel.kallsyms]   [k] netif_skb_features
     0.06%  rate     rate                [.] sync.(*Pool).pin
     0.06%  rate     rate                [.] runtime.bulkBarrierPreWrite
     0.06%  rate     rate                [.] time.Time.Format
     0.06%  rate     [kernel.kallsyms]   [k] nf_nat_inet_fn
     0.06%  rate     [kernel.kallsyms]   [k] skb_release_data
     0.06%  rate     rate                [.] github.com/rs/zerolog.(*Event).msg
     0.06%  rate     [kernel.kallsyms]   [k] mlx5e_post_rx_wqes
     0.06%  rate     rate                [.] runtime.mPark
     0.06%  rate     [kernel.kallsyms]   [k] common_perm
     0.06%  rate     [kernel.kallsyms]   [k] sk_free
     0.06%  rate     rate                [.] runtime.forEachG
     0.06%  rate     rate                [.] strings.genSplit
     0.06%  rate     [kernel.kallsyms]   [k] mlx5e_napi_poll
     0.06%  rate     rate                [.] google.golang.org/grpc/transport.(*controlBuffer).put
     0.05%  rate     rate                [.] strings.ToLower
     0.05%  rate     rate                [.] google.golang.org/grpc/transport.(*http2Server).Write
     0.05%  rate     rate                [.] runtime.(*mspan).refillAllocCache
     0.05%  rate     [kernel.kallsyms]   [k] ip_vs_reply4
     0.05%  rate     rate                [.] fmt.(*pp).printValue
     0.05%  rate     [kernel.kallsyms]   [k] mlx5e_poll_rx_cq
     0.05%  rate     rate                [.] reflect.(*rtype).Kind
     0.05%  rate     [kernel.kallsyms]   [k] select_estimate_accuracy
     0.05%  rate     [kernel.kallsyms]   [k] br_nf_dev_queue_xmit
     0.05%  rate     [kernel.kallsyms]   [k] tcp_ack_update_rtt.isra.0
     0.05%  rate     rate                [.] runtime.wirep
     0.05%  rate     rate                [.] runtime.acquireSudog
     0.05%  rate     [kernel.kallsyms]   [k] ip_output
     0.05%  rate     rate                [.] runtime.interhash
     0.05%  rate     rate                [.] syscall.read
     0.05%  rate     [kernel.kallsyms]   [k] tcp_rcv_space_adjust
     0.05%  rate     [kernel.kallsyms]   [k] fpregs_assert_state_consistent
     0.05%  rate     [kernel.kallsyms]   [k] sk_stream_alloc_skb
     0.05%  rate     rate                [.] google.golang.org/grpc/transport.(*http2Server).WriteHeader
     0.05%  rate     [kernel.kallsyms]   [k] place_entity
     0.05%  rate     [kernel.kallsyms]   [k] mark_mt
     0.05%  rate     rate                [.] runtime.newproc1
     0.05%  rate     [kernel.kallsyms]   [k] conntrack_mt_v3
     0.05%  rate     rate                [.] github.com/rs/zerolog.(*Event).caller
     0.05%  rate     rate                [.] fmt.(*ss).doScanf
     0.05%  rate     rate                [.] reflect.makeString
     0.05%  rate     [kernel.kallsyms]   [k] raw_local_deliver
     0.05%  rate     rate                [.] runtime.mapdelete_fast32
     0.05%  rate     [kernel.kallsyms]   [k] terminate_walk
     0.05%  rate     [kernel.kallsyms]   [k] check_cfs_rq_runtime
     0.05%  rate     rate                [.] runtime.selunlock
     0.05%  rate     rate                [.] runtime.concatstrings
     0.05%  rate     [kernel.kallsyms]   [k] update_blocked_averages
     0.05%  rate     [kernel.kallsyms]   [k] sock_rfree
     0.05%  rate     [kernel.kallsyms]   [k] tcp_recv_timestamp
     0.05%  rate     rate                [.] github.com/bradfitz/gomemcache/memcache.parseGetResponse
     0.05%  rate     [kernel.kallsyms]   [k] copy_fpstate_to_sigframe
     0.05%  rate     rate                [.] github.com/rs/zerolog.(*LevelWriterAdapter).WriteLevel
     0.05%  rate     rate                [.] runtime.funcMaxSPDelta
     0.05%  rate     [kernel.kallsyms]   [k] security_socket_recvmsg
     0.05%  rate     [kernel.kallsyms]   [k] mark_wake_futex
     0.05%  rate     rate                [.] runtime.isSystemGoroutine
     0.05%  rate     [kernel.kallsyms]   [k] ip_local_deliver
     0.05%  rate     rate                [.] github.com/golang/protobuf/proto.GetProperties
     0.05%  rate     rate                [.] runtime.wbBufFlush1
     0.05%  rate     rate                [.] golang.org/x/net/http2/hpack.(*Decoder).parseFieldIndexed
     0.05%  rate     [kernel.kallsyms]   [k] ipv4_neigh_lookup
     0.05%  rate     [kernel.kallsyms]   [k] ip_rcv
     0.05%  rate     [kernel.kallsyms]   [k] wake_up_q
     0.05%  rate     rate                [.] runtime.runOneTimer
     0.05%  rate     [kernel.kallsyms]   [k] skb_entail
     0.05%  rate     [kernel.kallsyms]   [k] tcp_mstamp_refresh
     0.05%  rate     rate                [.] time.Date
     0.05%  rate     rate                [.] internal/poll.(*fdMutex).rwunlock
     0.05%  rate     rate                [.] fmt.(*fmt).fmtS
