# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 2617358776
#
# Overhead  Command      Shared Object          Symbol                                        
# ........  ...........  .....................  ..............................................
#
     0.26%  mc-lrumaint  [kernel.kallsyms]      [k] syscall_return_via_sysret
     0.26%  mc-lrumaint  [kernel.kallsyms]      [k] __update_load_avg_se
     0.25%  mc-worker    [kernel.kallsyms]      [k] __inet_lookup_established
     0.25%  mc-worker    [kernel.kallsyms]      [k] nf_conntrack_in
     0.25%  mc-worker    [kernel.kallsyms]      [k] __update_load_avg_se
     0.25%  mc-worker    [kernel.kallsyms]      [k] ip_output
     0.25%  mc-worker    libevent-2.1.so.7.0.1  [.] event_base_loop
     0.25%  mc-worker    memcached              [.] conn_set_state
     0.25%  mc-worker    [kernel.kallsyms]      [k] copy_user_enhanced_fast_string
     0.25%  mc-worker    [kernel.kallsyms]      [k] ____sys_sendmsg
     0.24%  mc-worker    memcached              [.] event_handler
     0.24%  mc-worker    [kernel.kallsyms]      [k] _raw_spin_lock
     0.24%  mc-lrumaint  [kernel.kallsyms]      [k] do_nanosleep
     0.24%  mc-worker    [kernel.kallsyms]      [k] ep_poll
     0.23%  mc-worker    [kernel.kallsyms]      [k] mutex_lock
     0.23%  mc-lrumaint  [kernel.kallsyms]      [k] __hrtimer_run_queues
     0.23%  mc-worker    libevent-2.1.so.7.0.1  [.] event_callback_activate_nolock_
     0.23%  mc-lrumaint  [kernel.kallsyms]      [k] find_next_bit
     0.22%  mc-worker    [kernel.kallsyms]      [k] ip_vs_local_reply4
     0.22%  mc-worker    [kernel.kallsyms]      [k] __wake_up_common
     0.22%  mc-worker    [kernel.kallsyms]      [k] common_file_perm
     0.22%  mc-worker    memcached              [.] _transmit_pre.isra.0
     0.22%  mc-lrumaint  [kernel.kallsyms]      [k] put_prev_entity
     0.22%  mc-worker    [kernel.kallsyms]      [k] br_nf_pre_routing
     0.22%  mc-worker    [kernel.kallsyms]      [k] tcp_in_window
     0.21%  mc-worker    [kernel.kallsyms]      [k] rw_copy_check_uvector
     0.21%  mc-worker    [kernel.kallsyms]      [k] reweight_entity
     0.21%  mc-worker    [kernel.kallsyms]      [k] select_task_rq_fair
     0.21%  mc-worker    [kernel.kallsyms]      [k] __slab_free
     0.21%  mc-worker    memcached              [.] resp_free
     0.21%  mc-lrumaint  [kernel.kallsyms]      [k] entry_SYSCALL_64_after_hwframe
     0.20%  mc-worker    [kernel.kallsyms]      [k] nf_xfrm_me_harder
     0.20%  mc-lrumaint  [kernel.kallsyms]      [k] get_timespec64
     0.20%  mc-worker    [kernel.kallsyms]      [k] tcp_sendmsg_locked
     0.20%  mc-worker    [kernel.kallsyms]      [k] fdb_find_rcu
     0.20%  mc-lrumaint  [kernel.kallsyms]      [k] finish_task_switch
     0.20%  mc-worker    [kernel.kallsyms]      [k] _raw_spin_lock_bh
     0.19%  mc-worker    [kernel.kallsyms]      [k] nf_ct_seq_offset
     0.19%  mc-worker    [kernel.kallsyms]      [k] tcp_rearm_rto
     0.19%  mc-worker    [kernel.kallsyms]      [k] __schedule
     0.19%  mc-worker    [kernel.kallsyms]      [k] ktime_get
     0.19%  mc-worker    [kernel.kallsyms]      [k] ip_local_deliver
     0.19%  mc-worker    [kernel.kallsyms]      [k] tcp_poll
     0.19%  mc-lrumaint  [kernel.kallsyms]      [k] newidle_balance
     0.19%  mc-worker    [kernel.kallsyms]      [k] skb_release_data
     0.18%  mc-worker    [kernel.kallsyms]      [k] conntrack_mt_v3
     0.18%  mc-worker    [kernel.kallsyms]      [k] try_to_wake_up
     0.18%  mc-worker    memcached              [.] try_read_command_ascii
     0.18%  mc-worker    memcached              [.] MurmurHash3_x86_32
     0.18%  mc-worker    [kernel.kallsyms]      [k] kmem_cache_free
     0.18%  mc-worker    [kernel.kallsyms]      [k] kmem_cache_alloc_node
     0.18%  mc-worker    libc.so.6              [.] sendmsg
     0.17%  mc-lrumaint  [kernel.kallsyms]      [k] read_tsc
     0.17%  mc-worker    [kernel.kallsyms]      [k] __alloc_skb
     0.17%  mc-worker    [kernel.kallsyms]      [k] ep_scan_ready_list.constprop.0
     0.17%  mc-worker    [kernel.kallsyms]      [k] __softirqentry_text_start
     0.17%  mc-worker    [kernel.kallsyms]      [k] tcp_ack
     0.17%  mc-lrumaint  [kernel.kallsyms]      [k] cpuacct_account_field
     0.17%  mc-worker    [kernel.kallsyms]      [k] dst_release
     0.17%  mc-worker    memcached              [.] transmit
     0.17%  mc-worker    [kernel.kallsyms]      [k] ctx_sched_in
     0.16%  mc-worker    [kernel.kallsyms]      [k] switch_fpu_return
     0.16%  mc-worker    [kernel.kallsyms]      [k] memset_erms
     0.16%  mc-worker    [kernel.kallsyms]      [k] apparmor_socket_sock_rcv_skb
     0.16%  mc-worker    [kernel.kallsyms]      [k] available_idle_cpu
     0.16%  mc-worker    memcached              [.] resp_start
     0.16%  mc-worker    [kernel.kallsyms]      [k] dequeue_task_fair
     0.16%  mc-worker    libevent-2.1.so.7.0.1  [.] evmap_io_active_
     0.16%  mc-worker    [kernel.kallsyms]      [k] sock_put
     0.15%  mc-worker    [kernel.kallsyms]      [k] ktime_get_with_offset
     0.15%  mc-lrumaint  [kernel.kallsyms]      [k] get_nohz_timer_target
     0.15%  mc-lrumaint  [kernel.kallsyms]      [k] schedule
     0.15%  mc-worker    [kernel.kallsyms]      [k] __ksize
     0.15%  mc-lrumaint  [kernel.kallsyms]      [k] deactivate_task
     0.15%  mc-worker    memcached              [.] do_item_get
     0.15%  mc-lrumaint  [kernel.kallsyms]      [k] ctx_sched_out
     0.15%  mc-worker    [kernel.kallsyms]      [k] iov_iter_advance
     0.15%  mc-lrumaint  [kernel.kallsyms]      [k] common_nsleep
     0.15%  mc-worker    [kernel.kallsyms]      [k] __perf_event_task_sched_out
     0.15%  mc-lrumaint  [kernel.kallsyms]      [k] exit_to_usermode_loop
     0.14%  mc-worker    [kernel.kallsyms]      [k] ctx_sched_out
     0.14%  mc-worker    [kernel.kallsyms]      [k] nf_conntrack_tcp_packet
     0.14%  mc-worker    libevent-2.1.so.7.0.1  [.] event_active_nolock_
     0.14%  mc-lrumaint  [kernel.kallsyms]      [k] ipt_do_table
     0.14%  mc-worker    libc.so.6              [.] __read
     0.14%  mc-lrumaint  [kernel.kallsyms]      [k] rb_next
     0.14%  mc-lrumaint  libc.so.6              [.] pthread_mutex_unlock
     0.14%  mc-worker    [kernel.kallsyms]      [k] netif_rx_internal
     0.13%  mc-worker    [kernel.kallsyms]      [k] tcp_v4_rcv
     0.13%  mc-worker    [kernel.kallsyms]      [k] kmem_cache_alloc
     0.13%  mc-worker    [kernel.kallsyms]      [k] ep_item_poll.isra.0
     0.13%  mc-worker    [kernel.kallsyms]      [k] tcp_cleanup_rbuf
     0.13%  mc-lrumaint  [kernel.kallsyms]      [k] perf_swevent_add
     0.13%  mc-worker    [kernel.kallsyms]      [k] __skb_datagram_iter
     0.13%  mc-worker    [kernel.kallsyms]      [k] l4proto_manip_pkt
     0.13%  mc-worker    [kernel.kallsyms]      [k] eth_type_trans
     0.13%  mc-worker    [kernel.kallsyms]      [k] netdev_core_pick_tx
     0.13%  mc-worker    memcached              [.] itoa_u32
     0.13%  mc-worker    [kernel.kallsyms]      [k] xfrm_lookup_with_ifid
     0.13%  mc-worker    [kernel.kallsyms]      [k] update_rq_clock
     0.13%  mc-worker    [kernel.kallsyms]      [k] __kmalloc_node_track_caller
     0.12%  mc-worker    [kernel.kallsyms]      [k] iptable_filter_hook
     0.12%  mc-worker    [kernel.kallsyms]      [k] tcp_release_cb
     0.12%  mc-worker    [kernel.kallsyms]      [k] __perf_event_task_sched_in
     0.12%  mc-worker    [kernel.kallsyms]      [k] __cgroup_account_cputime
     0.12%  mc-worker    [kernel.kallsyms]      [k] __check_object_size
     0.12%  mc-lrumaint  [kernel.kallsyms]      [k] hrtick_update
     0.12%  mc-worker    memcached              [.] do_cache_alloc
     0.12%  mc-worker    libc.so.6              [.] pthread_mutex_unlock
     0.12%  mc-worker    [kernel.kallsyms]      [k] inet_sendmsg
     0.12%  mc-worker    [kernel.kallsyms]      [k] _raw_spin_lock_irqsave
     0.12%  mc-worker    [kernel.kallsyms]      [k] flexible_sched_in
     0.12%  mc-worker    [kernel.kallsyms]      [k] brnf_get_logical_dev
     0.11%  mc-lrumaint  [kernel.kallsyms]      [k] lapic_next_deadline
     0.11%  mc-worker    [kernel.kallsyms]      [k] check_preempt_curr
     0.11%  mc-worker    [kernel.kallsyms]      [k] dev_hard_start_xmit
     0.11%  mc-worker    [kernel.kallsyms]      [k] skb_page_frag_refill
     0.11%  mc-worker    [kernel.kallsyms]      [k] sockfd_lookup_light
     0.11%  mc-worker    libevent-2.1.so.7.0.1  [.] bufferevent_base_set
     0.11%  mc-worker    [kernel.kallsyms]      [k] sock_rfree
     0.11%  mc-worker    [kernel.kallsyms]      [k] br_fdb_update
     0.11%  mc-worker    [kernel.kallsyms]      [k] rb_next
     0.11%  mc-worker    [kernel.kallsyms]      [k] _raw_read_lock_irqsave
     0.10%  mc-worker    [kernel.kallsyms]      [k] release_sock
     0.10%  mc-worker    [kernel.kallsyms]      [k] nf_nat_packet
     0.10%  mc-worker    [kernel.kallsyms]      [k] tcp_v4_send_check
     0.10%  mc-worker    memcached              [.] itoa_u64
     0.10%  mc-worker    [kernel.kallsyms]      [k] ip_vs_out.part.0
     0.10%  mc-worker    [kernel.kallsyms]      [k] ipv4_mtu
     0.10%  mc-worker    [kernel.kallsyms]      [k] __x86_indirect_thunk_rax
     0.10%  mc-worker    [kernel.kallsyms]      [k] nf_ct_deliver_cached_events
     0.10%  mc-worker    [kernel.kallsyms]      [k] tcp_stream_memory_free
     0.10%  mc-worker    [kernel.kallsyms]      [k] ip_rcv
     0.10%  mc-worker    [kernel.kallsyms]      [k] ep_poll_callback
     0.10%  mc-worker    [kernel.kallsyms]      [k] tcp_v4_early_demux
     0.10%  mc-worker    [kernel.kallsyms]      [k] tcp_schedule_loss_probe
     0.10%  mc-worker    [kernel.kallsyms]      [k] _copy_to_iter
     0.10%  mc-worker    libevent-2.1.so.7.0.1  [.] epoll_wait@plt
     0.10%  mc-worker    [kernel.kallsyms]      [k] tcp_mstamp_refresh
     0.10%  mc-worker    [kernel.kallsyms]      [k] br_nf_hook_thresh
     0.09%  mc-worker    [kernel.kallsyms]      [k] native_write_msr
     0.09%  mc-lrumaint  [kernel.kallsyms]      [k] wake_up_process
     0.09%  mc-worker    [kernel.kallsyms]      [k] nf_nat_ipv4_pre_routing
     0.09%  mc-lrumaint  memcached              [.] bipbuf_peek_all
     0.09%  mc-worker    [kernel.kallsyms]      [k] lock_timer_base
     0.09%  mc-worker    [kernel.kallsyms]      [k] rb_first
     0.09%  mc-worker    [kernel.kallsyms]      [k] mark_mt
     0.09%  mc-worker    [kernel.kallsyms]      [k] tcp_tx_timestamp
     0.09%  mc-worker    [kernel.kallsyms]      [k] lock_sock_nested
     0.09%  mc-worker    memcached              [.] resp_finish
     0.09%  mc-lrumaint  libc.so.6              [.] __nanosleep
     0.09%  mc-worker    [kernel.kallsyms]      [k] record_times
     0.09%  mc-worker    memcached              [.] do_item_remove
     0.09%  mc-worker    [vdso]                 [.] __vdso_clock_gettime
     0.09%  mc-worker    [kernel.kallsyms]      [k] __tcp_select_window
     0.09%  mc-worker    [kernel.kallsyms]      [k] tcp_event_data_recv
     0.09%  mc-worker    [kernel.kallsyms]      [k] tcp_event_new_data_sent
     0.09%  mc-worker    [kernel.kallsyms]      [k] nbp_switchdev_frame_mark
     0.09%  mc-worker    [kernel.kallsyms]      [k] __usecs_to_jiffies
     0.09%  mc-worker    [kernel.kallsyms]      [k] perf_event_update_userpage
     0.09%  mc-lrumaint  [kernel.kallsyms]      [k] __schedule
     0.08%  mc-worker    [kernel.kallsyms]      [k] aa_file_perm
     0.08%  mc-lrumaint  [kernel.kallsyms]      [k] ctx_sched_in
     0.08%  mc-worker    [kernel.kallsyms]      [k] security_xfrm_decode_session
     0.08%  mc-worker    [kernel.kallsyms]      [k] br_nf_pre_routing_finish
     0.08%  mc-worker    [kernel.kallsyms]      [k] ip_rcv_finish_core.isra.0
     0.08%  mc-worker    memcached              [.] tokenize_command.constprop.0
     0.08%  mc-worker    [kernel.kallsyms]      [k] intel_pmu_disable_all
     0.08%  mc-worker    [kernel.kallsyms]      [k] ipv4_conntrack_defrag
     0.08%  mc-worker    [kernel.kallsyms]      [k] pick_next_task_fair
     0.08%  mc-worker    [kernel.kallsyms]      [k] net_rx_action
     0.08%  mc-worker    [kernel.kallsyms]      [k] tcp_rate_skb_sent
     0.08%  mc-worker    [kernel.kallsyms]      [k] iptable_mangle_hook
     0.08%  mc-worker    [kernel.kallsyms]      [k] br_handle_frame_finish
     0.08%  mc-worker    [kernel.kallsyms]      [k] conntrack_mt
     0.08%  mc-worker    [kernel.kallsyms]      [k] schedule
     0.08%  mc-worker    [kernel.kallsyms]      [k] tcp_check_space
     0.07%  mc-lrumaint  [kernel.kallsyms]      [k] netif_rx_internal
     0.07%  mc-lrumaint  [kernel.kallsyms]      [k] __clear_user
     0.07%  mc-worker    [kernel.kallsyms]      [k] tcp_recv_timestamp
     0.07%  mc-worker    memcached              [.] tcp_sendmsg
     0.07%  mc-lrumaint  [kernel.kallsyms]      [k] inet_ehashfn
     0.07%  mc-worker    [kernel.kallsyms]      [k] resched_curr
     0.07%  mc-worker    [kernel.kallsyms]      [k] validate_xmit_skb
     0.07%  mc-lrumaint  [kernel.kallsyms]      [k] put_prev_task_fair
     0.07%  mc-worker    [kernel.kallsyms]      [k] __update_idle_core
     0.07%  mc-worker    [kernel.kallsyms]      [k] __check_heap_object
     0.07%  mc-lrumaint  [kernel.kallsyms]      [k] hrtimer_try_to_cancel
     0.07%  mc-worker    [kernel.kallsyms]      [k] sock_def_readable
     0.07%  mc-worker    memcached              [.] item_get
     0.07%  mc-worker    [kernel.kallsyms]      [k] __netif_receive_skb_one_core
     0.07%  mc-worker    [kernel.kallsyms]      [k] __local_bh_enable_ip
     0.07%  mc-worker    [kernel.kallsyms]      [k] exit_to_usermode_loop
     0.07%  mc-lrumaint  [kernel.kallsyms]      [k] __hrtimer_next_event_base
     0.07%  mc-worker    [kernel.kallsyms]      [k] account_entity_enqueue
     0.07%  mc-worker    [kernel.kallsyms]      [k] place_entity
     0.07%  mc-lrumaint  [kernel.kallsyms]      [k] update_min_vruntime
     0.07%  mc-worker    [kernel.kallsyms]      [k] nf_csum_update
     0.07%  mc-worker    [kernel.kallsyms]      [k] put_prev_entity
     0.07%  mc-worker    [kernel.kallsyms]      [k] _cond_resched
     0.07%  mc-worker    [kernel.kallsyms]      [k] bictcp_cong_avoid
     0.07%  mc-worker    [kernel.kallsyms]      [k] set_task_cpu
     0.07%  mc-worker    [kernel.kallsyms]      [k] tcp_v4_inbound_md5_hash
     0.07%  mc-worker    [kernel.kallsyms]      [k] security_socket_sendmsg
     0.07%  mc-worker    [kernel.kallsyms]      [k] __xfrm_decode_session
     0.07%  mc-worker    [kernel.kallsyms]      [k] nf_bridge_update_protocol
     0.07%  mc-worker    [kernel.kallsyms]      [k] netif_rx
     0.07%  mc-worker    [kernel.kallsyms]      [k] tcp_current_mss
     0.06%  mc-worker    [kernel.kallsyms]      [k] copyin
     0.06%  mc-worker    [kernel.kallsyms]      [k] aa_sk_perm
     0.06%  mc-worker    [kernel.kallsyms]      [k] _raw_spin_lock_irq
     0.06%  mc-worker    [kernel.kallsyms]      [k] ___sys_sendmsg
     0.06%  mc-worker    [kernel.kallsyms]      [k] newidle_balance
     0.06%  mc-lrumaint  [kernel.kallsyms]      [k] _raw_spin_lock
     0.06%  mc-lrumaint  [kernel.kallsyms]      [k] gro_normal_one
     0.06%  mc-worker    [kernel.kallsyms]      [k] do_softirq.part.0
     0.06%  mc-worker    [kernel.kallsyms]      [k] fsnotify
     0.06%  mc-lrumaint  [kernel.kallsyms]      [k] comment_mt
     0.06%  mc-worker    [kernel.kallsyms]      [k] br_validate_ipv4.isra.0
     0.06%  mc-worker    [kernel.kallsyms]      [k] deactivate_task
     0.06%  mc-worker    [kernel.kallsyms]      [k] nf_confirm
     0.06%  mc-worker    [kernel.kallsyms]      [k] update_cfs_rq_h_load
     0.06%  mc-worker    [kernel.kallsyms]      [k] ipv4_conntrack_in
     0.06%  mc-worker    [kernel.kallsyms]      [k] account_entity_dequeue
     0.06%  mc-worker    [kernel.kallsyms]      [k] br_allowed_ingress
     0.06%  mc-worker    [kernel.kallsyms]      [k] tcp_wfree
     0.06%  mc-worker    [kernel.kallsyms]      [k] ip_vs_in
     0.06%  mc-lrumaint  [kernel.kallsyms]      [k] perf_event_sched_in
     0.06%  mc-worker    [kernel.kallsyms]      [k] tcp_chrono_stop
     0.06%  mc-lrumaint  [kernel.kallsyms]      [k] perf_pmu_nop_void
     0.06%  mc-worker    [kernel.kallsyms]      [k] sock_zerocopy_put
     0.06%  mc-worker    [kernel.kallsyms]      [k] ksoftirqd_running
     0.06%  mc-lrumaint  [kernel.kallsyms]      [k] wakeup_preempt_entity.isra.0
     0.06%  mc-worker    [kernel.kallsyms]      [k] __hrtimer_run_queues
     0.06%  mc-worker    [kernel.kallsyms]      [k] dequeue_entity
     0.06%  mc-worker    [kernel.kallsyms]      [k] vfs_read
     0.06%  mc-worker    [kernel.kallsyms]      [k] ip_route_input_slow
     0.06%  mc-lrumaint  [kernel.kallsyms]      [k] _raw_spin_lock_irqsave
     0.06%  mc-worker    [kernel.kallsyms]      [k] do_epoll_wait
     0.06%  mc-worker    [kernel.kallsyms]      [k] sk_stream_alloc_skb
     0.06%  mc-worker    [kernel.kallsyms]      [k] tcp_rcv_space_adjust
     0.06%  mc-worker    [kernel.kallsyms]      [k] schedule_hrtimeout_range
     0.05%  mc-worker    [kernel.kallsyms]      [k] skb_network_protocol
     0.05%  mc-worker    [kernel.kallsyms]      [k] enqueue_to_backlog
     0.05%  mc-lrumaint  [kernel.kallsyms]      [k] gro_cell_poll
     0.05%  mc-worker    [kernel.kallsyms]      [k] br_nf_forward_ip
     0.05%  mc-worker    [kernel.kallsyms]      [k] check_preempt_wakeup
     0.05%  mc-lrumaint  [kernel.kallsyms]      [k] __x86_indirect_thunk_rax
     0.05%  mc-lrumaint  [kernel.kallsyms]      [k] tcp_clean_rtx_queue
     0.05%  mc-worker    [kernel.kallsyms]      [k] ___slab_alloc
     0.05%  mc-worker    [kernel.kallsyms]      [k] tcp_parse_md5sig_option
     0.05%  mc-worker    memcached              [.] update_event
     0.05%  mc-worker    [kernel.kallsyms]      [k] mlx5e_handle_rx_cqe
     0.05%  mc-worker    [kernel.kallsyms]      [k] copy_msghdr_from_user
     0.05%  mc-worker    [kernel.kallsyms]      [k] ksys_read
     0.05%  mc-worker    [kernel.kallsyms]      [k] __tcp_ack_snd_check
     0.05%  mc-worker    [kernel.kallsyms]      [k] ip_rcv_core.isra.0
     0.05%  mc-worker    [kernel.kallsyms]      [k] __calc_delta
     0.05%  mc-worker    [kernel.kallsyms]      [k] native_queued_spin_lock_slowpath
     0.05%  mc-worker    [kernel.kallsyms]      [k] skb_entail
     0.05%  mc-worker    [kernel.kallsyms]      [k] ip_vs_forward_icmp
     0.05%  mc-lrumaint  [kernel.kallsyms]      [k] hrtimer_active
     0.05%  mc-worker    [kernel.kallsyms]      [k] __netif_receive_skb
     0.05%  mc-worker    [kernel.kallsyms]      [k] aa_label_is_subset
     0.05%  mc-worker    [kernel.kallsyms]      [k] nf_nat_ipv4_manip_pkt
     0.05%  mc-worker    [kernel.kallsyms]      [k] tcp_update_skb_after_send
     0.05%  mc-worker    [kernel.kallsyms]      [k] cgroup_rstat_updated
     0.05%  mc-worker    [kernel.kallsyms]      [k] __lock_text_start
     0.05%  mc-worker    [kernel.kallsyms]      [k] ipv4_confirm
     0.05%  mc-worker    [kernel.kallsyms]      [k] arch_perf_update_userpage
     0.05%  mc-worker    [kernel.kallsyms]      [k] ep_autoremove_wake_function
     0.05%  mc-worker    [kernel.kallsyms]      [k] __account_cfs_rq_runtime
     0.05%  mc-worker    [kernel.kallsyms]      [k] put_prev_task_fair
     0.05%  mc-lrumaint  memcached              [.] do_item_update
     0.05%  mc-worker    [kernel.kallsyms]      [k] event_sched_in.isra.0
     0.05%  mc-worker    [kernel.kallsyms]      [k] enqueue_timer
     0.05%  mc-worker    [kernel.kallsyms]      [k] perf_event_update_time
