# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 30K of event 'cycles'
# Event count (approx.): 42137420497
#
# Overhead  Command      Shared Object       Symbol                                                                                                         
# ........  ...........  ..................  ...............................................................................................................
#
     0.12%  reservation  [kernel.kallsyms]   [k] mlx5_eq_comp_int
     0.12%  reservation  reservation         [.] runtime.gopark
     0.12%  reservation  [kernel.kallsyms]   [k] mlx5e_napi_poll
     0.11%  reservation  [kernel.kallsyms]   [k] available_idle_cpu
     0.11%  reservation  reservation         [.] runtime.stackalloc
     0.11%  reservation  [kernel.kallsyms]   [k] tcp_in_window
     0.11%  reservation  reservation         [.] runtime.retake
     0.11%  reservation  reservation         [.] fmt.(*pp).printArg
     0.11%  reservation  [kernel.kallsyms]   [k] nf_ct_get_tuple
     0.11%  reservation  [kernel.kallsyms]   [k] ip_idents_reserve
     0.11%  reservation  reservation         [.] context.(*cancelCtx).Done
     0.11%  reservation  [kernel.kallsyms]   [k] __perf_event_task_sched_in
     0.11%  reservation  reservation         [.] encoding/json.(*decodeState).object
     0.11%  reservation  reservation         [.] runtime.runqget
     0.11%  reservation  [kernel.kallsyms]   [k] __virt_addr_valid
     0.11%  reservation  reservation         [.] fmt.(*pp).doPrintf
     0.11%  reservation  reservation         [.] memeqbody
     0.11%  reservation  [kernel.kallsyms]   [k] __perf_event_task_sched_out
     0.11%  reservation  reservation         [.] fmt.(*ss).doScanf
     0.11%  reservation  [kernel.kallsyms]   [k] net_rx_action
     0.11%  reservation  [kernel.kallsyms]   [k] __x64_sys_futex
     0.11%  reservation  [kernel.kallsyms]   [k] perf_swevent_add
     0.10%  reservation  reservation         [.] github.com/golang/protobuf/proto.(*Buffer).unmarshalType
     0.10%  reservation  reservation         [.] runtime.(*consistentHeapStats).acquire
     0.10%  reservation  reservation         [.] sync.(*Pool).pin
     0.10%  reservation  [kernel.kallsyms]   [k] do_futex
     0.10%  reservation  reservation         [.] runtime.mapaccess2
     0.10%  reservation  reservation         [.] time.absDate
     0.10%  reservation  reservation         [.] sync.(*RWMutex).Lock
     0.10%  reservation  reservation         [.] runtime.futex.abi0
     0.10%  reservation  reservation         [.] runtime.mcall
     0.10%  reservation  reservation         [.] golang.org/x/net/http2.(*Framer).readMetaFrame.func1
     0.10%  reservation  [kernel.kallsyms]   [k] futex_wait
     0.10%  reservation  [kernel.kallsyms]   [k] netif_receive_skb
     0.10%  reservation  reservation         [.] google.golang.org/grpc.(*Server).processUnaryRPC
     0.10%  reservation  [kernel.kallsyms]   [k] ctx_sched_in
     0.10%  reservation  reservation         [.] runtime.mDoFixup
     0.10%  reservation  [kernel.kallsyms]   [k] ip_vs_local_reply4
     0.10%  reservation  reservation         [.] runtime.sysmon
     0.10%  reservation  [kernel.kallsyms]   [k] account_entity_dequeue
     0.10%  reservation  reservation         [.] runtime.pidleput
     0.10%  reservation  [kernel.kallsyms]   [k] timerqueue_add
     0.10%  reservation  reservation         [.] bufio.(*Reader).Read
     0.10%  reservation  [kernel.kallsyms]   [k] iptunnel_xmit
     0.09%  reservation  [kernel.kallsyms]   [k] ip_rcv_core.isra.0
     0.09%  reservation  reservation         [.] runtime.wakep
     0.09%  reservation  reservation         [.] fmt.(*ss).SkipSpace
     0.09%  reservation  [kernel.kallsyms]   [k] hash_conntrack_raw
     0.09%  reservation  [kernel.kallsyms]   [k] nf_ct_deliver_cached_events
     0.09%  reservation  reservation         [.] golang.org/x/net/http2.(*Framer).ReadFrame
     0.09%  reservation  [kernel.kallsyms]   [k] __softirqentry_text_start
     0.09%  reservation  [kernel.kallsyms]   [k] ktime_get
     0.09%  reservation  [kernel.kallsyms]   [k] __inet_lookup_established
     0.09%  reservation  [kernel.kallsyms]   [k] smp_call_function_many
     0.09%  reservation  [kernel.kallsyms]   [k] pick_next_task_fair
     0.09%  reservation  [kernel.kallsyms]   [k] __ip_finish_output
     0.09%  reservation  [kernel.kallsyms]   [k] dev_hard_start_xmit
     0.09%  reservation  [kernel.kallsyms]   [k] ip_vs_out.part.0
     0.09%  reservation  [kernel.kallsyms]   [k] rb_insert_color
     0.09%  reservation  reservation         [.] runtime.slicebytetostring
     0.09%  reservation  [kernel.kallsyms]   [k] br_nf_pre_routing_finish
     0.09%  reservation  [kernel.kallsyms]   [k] nf_ct_seq_offset
     0.09%  reservation  [kernel.kallsyms]   [k] futex_wait_setup
     0.09%  reservation  reservation         [.] runtime.ready
     0.09%  reservation  [kernel.kallsyms]   [k] perf_event_update_userpage
     0.09%  reservation  [kernel.kallsyms]   [k] ipv4_dst_check
     0.09%  reservation  [kernel.kallsyms]   [k] ovl_path_real
     0.09%  reservation  [kernel.kallsyms]   [k] nf_nat_ipv4_pre_routing
     0.09%  reservation  reservation         [.] runtime.(*headTailIndex).incTail
     0.09%  reservation  [kernel.kallsyms]   [k] update_rq_clock
     0.09%  reservation  reservation         [.] runtime.notesleep
     0.09%  reservation  reservation         [.] sync.(*Pool).Put
     0.09%  reservation  [kernel.kallsyms]   [k] schedule
     0.09%  reservation  reservation         [.] runtime.procyield.abi0
     0.09%  reservation  [kernel.kallsyms]   [k] __update_idle_core
     0.08%  reservation  reservation         [.] runtime.typedmemmove
     0.08%  reservation  [kernel.kallsyms]   [k] nf_conntrack_udp_packet
     0.08%  reservation  [kernel.kallsyms]   [k] native_flush_tlb_one_user
     0.08%  reservation  reservation         [.] runtime.exitsyscallfast
     0.08%  reservation  [kernel.kallsyms]   [k] x86_pmu_disable
     0.08%  reservation  [kernel.kallsyms]   [k] conntrack_mt
     0.08%  reservation  [kernel.kallsyms]   [k] aa_dfa_match
     0.08%  reservation  [kernel.kallsyms]   [k] l4proto_manip_pkt
     0.08%  reservation  reservation         [.] time.Date
     0.08%  reservation  [kernel.kallsyms]   [k] rb_next
     0.08%  reservation  [kernel.kallsyms]   [k] nf_conntrack_in
     0.08%  reservation  [kernel.kallsyms]   [k] update_blocked_averages
     0.08%  reservation  [kernel.kallsyms]   [k] put_prev_entity
     0.08%  reservation  reservation         [.] fmt.(*ss).token
     0.08%  reservation  [kernel.kallsyms]   [k] tcp_write_xmit
     0.08%  reservation  [kernel.kallsyms]   [k] process_backlog
     0.08%  reservation  reservation         [.] runtime.(*consistentHeapStats).release
     0.08%  reservation  reservation         [.] runtime.newstack
     0.08%  reservation  reservation         [.] runtime.mapaccess2_faststr
     0.08%  reservation  [kernel.kallsyms]   [k] do_csum
     0.08%  reservation  [kernel.kallsyms]   [k] swapgs_restore_regs_and_return_to_usermode
     0.08%  reservation  [kernel.kallsyms]   [k] vxlan_xmit
     0.08%  reservation  [kernel.kallsyms]   [k] memset_erms
     0.08%  reservation  [kernel.kallsyms]   [k] __fsnotify_parent
     0.08%  reservation  [kernel.kallsyms]   [k] put_prev_task_fair
     0.08%  reservation  reservation         [.] sync.(*Pool).getSlow
     0.08%  reservation  [kernel.kallsyms]   [k] __ip_queue_xmit
     0.08%  reservation  [kernel.kallsyms]   [k] deactivate_task
     0.08%  reservation  reservation         [.] time.(*Location).lookup
     0.08%  reservation  reservation         [.] path/filepath.Rel
     0.08%  reservation  reservation         [.] runtime.makechan
     0.08%  reservation  reservation         [.] time.formatNano
     0.08%  reservation  [kernel.kallsyms]   [k] comment_mt
     0.08%  reservation  [kernel.kallsyms]   [k] amd_clear_divider
     0.08%  reservation  [kernel.kallsyms]   [k] netif_rx_internal
     0.08%  reservation  reservation         [.] runtime.pcdatavalue
     0.07%  reservation  reservation         [.] runtime.gcResetMarkState.func1
     0.07%  reservation  reservation         [.] runtime.(*mcache).prepareForSweep
     0.07%  reservation  [kernel.kallsyms]   [k] _raw_write_lock_irq
     0.07%  reservation  reservation         [.] fmt.(*ss).scanOne
     0.07%  reservation  [kernel.kallsyms]   [k] interrupt_entry
     0.07%  reservation  reservation         [.] encoding/json.unquoteBytes
     0.07%  reservation  reservation         [.] runtime.runqput
     0.07%  reservation  [kernel.kallsyms]   [k] ipv4_mtu
     0.07%  reservation  [kernel.kallsyms]   [k] vxlan_rcv
     0.07%  reservation  reservation         [.] runtime.systemstack.abi0
     0.07%  reservation  reservation         [.] bytes.(*Buffer).WriteByte
     0.07%  reservation  [kernel.kallsyms]   [k] do_nanosleep
     0.07%  reservation  [kernel.kallsyms]   [k] skb_release_data
     0.07%  reservation  [kernel.kallsyms]   [k] ip_sabotage_in
     0.07%  reservation  reservation         [.] runtime.usleep.abi0
     0.07%  reservation  [kernel.kallsyms]   [k] kmem_cache_alloc_node
     0.07%  reservation  [kernel.kallsyms]   [k] futex_wait_queue_me
     0.07%  reservation  [kernel.kallsyms]   [k] br_allowed_ingress
     0.07%  reservation  [kernel.kallsyms]   [k] fpregs_assert_state_consistent
     0.07%  reservation  reservation         [.] internal/poll.(*FD).Write
     0.07%  reservation  reservation         [.] context.(*valueCtx).Value
     0.07%  reservation  [kernel.kallsyms]   [k] mark_mt
     0.07%  reservation  [kernel.kallsyms]   [k] __tcp_select_window
     0.07%  reservation  [kernel.kallsyms]   [k] __netif_receive_skb_one_core
     0.07%  reservation  reservation         [.] runtime.(*mheap).nextSpanForSweep
     0.07%  reservation  [kernel.kallsyms]   [k] mark_wake_futex
     0.07%  reservation  [kernel.kallsyms]   [k] do_IRQ
     0.07%  reservation  reservation         [.] runtime.makeslice
     0.07%  reservation  reservation         [.] bufio.(*Reader).ReadSlice
     0.07%  reservation  [kernel.kallsyms]   [k] fsnotify
     0.07%  reservation  reservation         [.] runtime.(*pallocBits).summarize
     0.07%  reservation  [kernel.kallsyms]   [k] ktime_get_with_offset
     0.07%  reservation  reservation         [.] google.golang.org/grpc/transport.(*decodeState).processHeaderField
     0.07%  reservation  [kernel.kallsyms]   [k] account_entity_enqueue
     0.07%  reservation  [kernel.kallsyms]   [k] __x64_sys_nanosleep
     0.07%  reservation  [kernel.kallsyms]   [k] ip_rcv_finish_core.isra.0
     0.07%  reservation  [kernel.kallsyms]   [k] resched_curr
     0.07%  reservation  [kernel.kallsyms]   [k] ipv4_confirm
     0.07%  reservation  reservation         [.] runtime.concatstrings
     0.07%  reservation  [kernel.kallsyms]   [k] __slab_free
     0.07%  reservation  [kernel.kallsyms]   [k] vxlan_build_skb
     0.06%  reservation  [kernel.kallsyms]   [k] memcg_kmem_put_cache
     0.06%  reservation  reservation         [.] syscall.Syscall.abi0
     0.06%  reservation  reservation         [.] runtime.execute
     0.06%  reservation  reservation         [.] time.now.abi0
     0.06%  reservation  [kernel.kallsyms]   [k] __get_xps_queue_idx
     0.06%  reservation  reservation         [.] runtime.runqsteal
     0.06%  reservation  [kernel.kallsyms]   [k] irq_entries_start
     0.06%  reservation  reservation         [.] github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.OpenTracingServerInterceptor.func1
     0.06%  reservation  reservation         [.] runtime.(*gcControllerState).findRunnableGCWorker
     0.06%  reservation  [kernel.kallsyms]   [k] new_sync_write
     0.06%  reservation  reservation         [.] time.Now
     0.06%  reservation  reservation         [.] time.tzsetName
     0.06%  reservation  [kernel.kallsyms]   [k] sock_write_iter
     0.06%  reservation  reservation         [.] github.com/rs/zerolog.ConsoleWriter.writePart
     0.06%  reservation  reservation         [.] fmt.(*ss).consume
     0.06%  reservation  reservation         [.] github.com/rs/zerolog.ConsoleWriter.writeFields
     0.06%  reservation  reservation         [.] sync.(*RWMutex).Unlock
     0.06%  reservation  [kernel.kallsyms]   [k] br_dev_xmit
     0.06%  reservation  reservation         [.] runtime.epollwait.abi0
     0.06%  reservation  reservation         [.] runtime.stackpoolalloc
     0.06%  reservation  reservation         [.] github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.metadataReaderWriter.ForeachKey
     0.06%  reservation  [kernel.kallsyms]   [k] sock_read_iter
     0.06%  reservation  [kernel.kallsyms]   [k] __hrtimer_init
     0.06%  reservation  reservation         [.] fmt.(*buffer).writeRune
     0.06%  reservation  reservation         [.] runtime.stopm
     0.06%  reservation  [kernel.kallsyms]   [k] memcmp
     0.06%  reservation  [kernel.kallsyms]   [k] __cgroup_bpf_run_filter_skb
     0.06%  reservation  reservation         [.] runtime.doSigPreempt
     0.06%  reservation  [kernel.kallsyms]   [k] hash_futex
     0.06%  reservation  reservation         [.] internal/poll.runtime_pollReset
     0.06%  reservation  reservation         [.] fmt.(*fmt).pad
     0.06%  reservation  reservation         [.] net.(*conn).Read
     0.06%  reservation  reservation         [.] google.golang.org/grpc/transport.(*http2Server).HandleStreams
     0.06%  reservation  [kernel.kallsyms]   [k] select_idle_sibling.part.0
     0.06%  reservation  [kernel.kallsyms]   [k] update_sd_lb_stats
     0.06%  reservation  [kernel.kallsyms]   [k] mlx5e_completion_event
     0.06%  reservation  reservation         [.] strings.ToLower
     0.06%  reservation  reservation         [.] github.com/uber/jaeger-client-go.(*Tracer).Extract
     0.06%  reservation  reservation         [.] github.com/bradfitz/gomemcache/memcache.parseGetResponse
     0.06%  reservation  [kernel.kallsyms]   [k] validate_xmit_skb
     0.06%  reservation  reservation         [.] runtime.checkRunqsNoP
     0.06%  reservation  [kernel.kallsyms]   [k] ip_vs_local_request4
     0.06%  reservation  reservation         [.] encoding/json.stateInString
     0.06%  reservation  reservation         [.] golang.org/x/net/http2/hpack.(*Decoder).parseFieldIndexed
     0.06%  reservation  reservation         [.] time.tzsetOffset
     0.06%  reservation  reservation         [.] runtime.exitsyscall
     0.06%  reservation  [kernel.kallsyms]   [k] tasklet_action_common.isra.0
     0.06%  reservation  reservation         [.] runtime.morestack.abi0
     0.06%  reservation  reservation         [.] runtime.sellock
     0.06%  reservation  reservation         [.] bytes.Count
     0.06%  reservation  reservation         [.] github.com/uber/jaeger-client-go/utils.(*lockedSource).Int63
     0.06%  reservation  [kernel.kallsyms]   [k] __task_pid_nr_ns
     0.06%  reservation  reservation         [.] time.atoi
     0.06%  reservation  [kernel.kallsyms]   [k] sock_poll
     0.06%  reservation  [kernel.kallsyms]   [k] __check_object_size
     0.06%  reservation  reservation         [.] fmt.notSpace
     0.06%  reservation  [kernel.kallsyms]   [k] dst_cache_per_cpu_get.isra.0
     0.06%  reservation  [kernel.kallsyms]   [k] ctx_sched_out
     0.06%  reservation  [kernel.kallsyms]   [k] __radix_tree_lookup
     0.06%  reservation  [kernel.kallsyms]   [k] sk_stream_alloc_skb
     0.06%  reservation  [kernel.kallsyms]   [k] lapic_next_deadline
     0.06%  reservation  reservation         [.] runtime.gcWriteBarrierCX
     0.05%  reservation  [kernel.kallsyms]   [k] tcp_rcv_established
     0.05%  reservation  [kernel.kallsyms]   [k] bictcp_cwnd_event
     0.05%  reservation  reservation         [.] google.golang.org/grpc/transport.(*http2Server).operateHeaders
     0.05%  reservation  reservation         [.] bufio.(*Reader).fill
     0.05%  reservation  reservation         [.] net.(*netFD).Read
     0.05%  reservation  reservation         [.] github.com/golang/protobuf/proto.GetProperties
     0.05%  reservation  [kernel.kallsyms]   [k] native_apic_msr_eoi_write
     0.05%  reservation  [kernel.kallsyms]   [k] udp_tunnel_xmit_skb
     0.05%  reservation  reservation         [.] runtime.(*mspan).refillAllocCache
     0.05%  reservation  [kernel.kallsyms]   [k] tcp_ack
     0.05%  reservation  [kernel.kallsyms]   [k] _raw_spin_lock_irq
     0.05%  reservation  reservation         [.] github.com/uber/jaeger-client-go.NewTracer.func2
     0.05%  reservation  reservation         [.] bufio.(*ReadWriter).Write
     0.05%  reservation  [kernel.kallsyms]   [k] clear_buddies
     0.05%  reservation  [kernel.kallsyms]   [k] do_softirq.part.0
     0.05%  reservation  reservation         [.] github.com/rs/zerolog/internal/json.Encoder.AppendString
     0.05%  reservation  [kernel.kallsyms]   [k] ip_rcv
     0.05%  reservation  reservation         [.] google.golang.org/grpc/transport.(*http2Server).Write
     0.05%  reservation  [kernel.kallsyms]   [k] kfree
     0.05%  reservation  reservation         [.] runtime.futexsleep
     0.05%  reservation  reservation         [.] fmt.newScanState
     0.05%  reservation  reservation         [.] google.golang.org/grpc/transport.(*controlBuffer).load
     0.05%  reservation  reservation         [.] runtime.newproc1
     0.05%  reservation  [kernel.kallsyms]   [k] ipv4_conntrack_defrag
     0.05%  reservation  [kernel.kallsyms]   [k] mlx5e_skb_from_cqe_linear
     0.05%  reservation  [kernel.kallsyms]   [k] br_handle_frame_finish
     0.05%  reservation  reservation         [.] time.Time.locabs
     0.05%  reservation  reservation         [.] time.tzsetNum
     0.05%  reservation  [kernel.kallsyms]   [k] do_signal
     0.05%  reservation  reservation         [.] runtime.(*mcache).nextFree
     0.05%  reservation  [kernel.kallsyms]   [k] set_task_cpu
     0.05%  reservation  [kernel.kallsyms]   [k] get_futex_key
     0.05%  reservation  reservation         [.] google.golang.org/grpc/transport.(*controlBuffer).put
     0.05%  reservation  [kernel.kallsyms]   [k] skb_scrub_packet
     0.05%  reservation  reservation         [.] syscall.write
     0.05%  reservation  [kernel.kallsyms]   [k] __tasklet_schedule_common
     0.05%  reservation  reservation         [.] runtime.releaseSudog
     0.05%  reservation  [kernel.kallsyms]   [k] tcp_established_options
     0.05%  reservation  [kernel.kallsyms]   [k] handle_edge_irq
     0.05%  reservation  [kernel.kallsyms]   [k] copy_fpstate_to_sigframe
     0.05%  reservation  reservation         [.] runtime.checkdead
     0.05%  reservation  reservation         [.] fmt.(*ss).notEOF
