top - 09:14:36 up 5 days,  8:10,  3 users,  load average: 1.43, 0.91, 1.27
Tasks: 418 total,   6 running, 412 sleeping,   0 stopped,   0 zombie
%Cpu(s): 32.6 us,  4.2 sy,  0.0 ni, 61.7 id,  0.0 wa,  0.0 hi,  1.5 si,  0.0 st
MiB Mem :  64180.5 total,  27892.8 free,  24397.9 used,  11889.8 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.  39066.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
     54 root      20   0       0      0      0 S   0.0   0.0   0:02.11 ksoftirqd/7
     56 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/7:0H-kblockd
     57 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/8
     58 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/8
     59 root      rt   0       0      0      0 S   0.0   0.0   0:01.76 migration/8
     60 root      20   0       0      0      0 S   0.0   0.0   0:02.09 ksoftirqd/8
     62 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/8:0H-kblockd
     63 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/9
     64 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/9
     65 root      rt   0       0      0      0 S   0.0   0.0   0:01.78 migration/9
     66 root      20   0       0      0      0 S   0.0   0.0   0:02.11 ksoftirqd/9
     68 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/9:0H-kblockd
     69 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/10
     70 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/10
     71 root      rt   0       0      0      0 S   0.0   0.0   0:01.81 migration/10
     72 root      20   0       0      0      0 S   0.0   0.0   0:02.10 ksoftirqd/10
     74 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/10:0H-kblockd
     75 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/11
     76 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/11
     77 root      rt   0       0      0      0 S   0.0   0.0   0:01.82 migration/11
     78 root      20   0       0      0      0 S   0.0   0.0   0:02.07 ksoftirqd/11
     80 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/11:0H-kblockd
     81 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/12
     82 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/12
     83 root      rt   0       0      0      0 S   0.0   0.0   0:01.81 migration/12
     84 root      20   0       0      0      0 S   0.0   0.0   0:02.04 ksoftirqd/12
     86 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/12:0H-kblockd
     87 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/13
     88 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/13
     89 root      rt   0       0      0      0 S   0.0   0.0   0:01.82 migration/13
     90 root      20   0       0      0      0 S   0.0   0.0   0:02.06 ksoftirqd/13
     92 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/13:0H
     93 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/14
     94 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/14
     95 root      rt   0       0      0      0 S   0.0   0.0   0:01.82 migration/14
     96 root      20   0       0      0      0 S   0.0   0.0   0:02.09 ksoftirqd/14
     98 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/14:0H-kblockd
     99 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/15
    100 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/15
    101 root      rt   0       0      0      0 S   0.0   0.0   0:01.80 migration/15
    102 root      20   0       0      0      0 S   0.0   0.0   0:02.15 ksoftirqd/15
    104 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/15:0H
    105 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/16
    106 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/16
    107 root      rt   0       0      0      0 S   0.0   0.0   0:01.80 migration/16
    108 root      20   0       0      0      0 S   0.0   0.0   0:02.05 ksoftirqd/16
    110 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/16:0H-kblockd
    111 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/17
    112 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/17
    113 root      rt   0       0      0      0 S   0.0   0.0   0:01.81 migration/17
    114 root      20   0       0      0      0 S   0.0   0.0   0:02.07 ksoftirqd/17
    116 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/17:0H-kblockd
    117 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/18
    118 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/18
    119 root      rt   0       0      0      0 S   0.0   0.0   0:01.81 migration/18
    120 root      20   0       0      0      0 S   0.0   0.0   0:02.20 ksoftirqd/18
    122 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/18:0H-kblockd
    123 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/19
    124 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/19
    125 root      rt   0       0      0      0 S   0.0   0.0   0:01.79 migration/19
    126 root      20   0       0      0      0 S   0.0   0.0   0:02.07 ksoftirqd/19
    128 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/19:0H-kblockd
    129 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmpfs
    130 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
    131 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tasks_kthre
    132 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
    136 root      20   0       0      0      0 S   0.0   0.0   0:00.28 khungtaskd
    137 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_reaper
    138 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeback
    139 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kcompactd0
    140 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
    141 root      39  19       0      0      0 S   0.0   0.0   0:00.46 khugepaged
    188 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegrityd
    189 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
    190 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 blkcg_punt_bio
    209 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 tpm_dev_wq
    210 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
    211 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 md
    212 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 edac-poller
    213 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 devfreq_wq
    214 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 watchdogd
    218 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kswapd0
    219 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptfs-kthrea
    221 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kthrotld
    224 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 acpi_thermal_pm
    235 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 vfio-irqfd-clea
    236 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipv6_addrconf
    245 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kstrp
    261 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 charger_manager
    322 root      20   0       0      0      0 S   0.0   0.0   0:00.15 scsi_eh_0
    323 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mlx5_health0000
    324 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_0
    325 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mlx5_page_alloc
    326 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_1
    327 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_1
    328 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mlx5_cmd_0000:0
    329 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_2
    330 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_2
    331 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_3
    332 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_3
    333 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_4
    334 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_4
    335 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_5
    336 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_5
    343 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mlx5_events
    344 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mlx5_esw_wq
    345 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mlx5_hv_vhca
    347 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mlx5_fc
    349 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mlx5_health0000
    350 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mlx5_page_alloc
    351 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ib-comp-wq
    352 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ib-comp-unb-wq
    353 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ib_mcast
    354 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ib_nl_sa_wq
    355 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mlx5_cmd_0000:0
    356 root       0 -20       0      0      0 I   0.0   0.0   0:00.31 kworker/8:1H-kblockd
    357 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mlx5_events
    358 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mlx5_esw_wq
    359 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mlx5_hv_vhca
    362 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mlx5_fc
    364 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mlx5_health0000
    365 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mlx5_page_alloc
    366 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mlx5_cmd_0000:0
    367 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mlx5_events
    368 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mlx5_esw_wq
    369 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mlx5_hv_vhca
    370 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mlx5_fc
    372 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mlx5_health0000
    373 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mlx5_page_alloc
    374 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mlx5_cmd_0000:0
    375 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mlx5_events
    376 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mlx5_esw_wq
    377 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mlx5_hv_vhca
    378 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mlx5_fc
    380 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mlx5e
    381 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mlx5e_arfs
    382 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mlx5_lag
    383 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mlx5e
    384 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mlx5e_arfs
    385 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mlx5e
    386 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mlx5e_arfs
    387 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mlx5_lag
    388 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mlx5e
    389 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mlx5e_arfs
    417 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ib_mad1
    432 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mkey_cache
    444 root       0 -20       0      0      0 I   0.0   0.0   0:00.04 kworker/16:1H-kblockd
    445 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ib_mad1
    446 root      20   0       0      0      0 S   0.0   0.0   0:15.28 jbd2/sda1-8
    447 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rsv-conver
    448 root       0 -20       0      0      0 I   0.0   0.0   0:00.12 kworker/3:1H-kblockd
    449 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mkey_cache
    450 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ib_mad1
    451 root       0 -20       0      0      0 I   0.0   0.0   0:00.11 kworker/2:1H-kblockd
    455 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mkey_cache
    463 root       0 -20       0      0      0 I   0.0   0.0   0:01.50 kworker/5:1H-kblockd
    468 root       0 -20       0      0      0 I   0.0   0.0   0:00.14 kworker/11:1H-kblockd
    469 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ib_mad1
    470 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mkey_cache
    473 root       0 -20       0      0      0 I   0.0   0.0   0:00.11 kworker/0:1H-kblockd
    484 root       0 -20       0      0      0 I   0.0   0.0   0:00.60 kworker/6:1H-kblockd
    489 root       0 -20       0      0      0 I   0.0   0.0   0:00.19 kworker/1:1H-kblockd
    492 root       0 -20       0      0      0 I   0.0   0.0   0:00.34 kworker/7:1H-kblockd
    496 root       0 -20       0      0      0 I   0.0   0.0   0:00.04 kworker/19:1H-kblockd
    497 root       0 -20       0      0      0 I   0.0   0.0   0:00.10 kworker/4:1H-kblockd
    498 root       0 -20       0      0      0 I   0.0   0.0   0:00.20 kworker/9:1H-kblockd
    500 root       0 -20       0      0      0 I   0.0   0.0   0:00.05 kworker/14:1H-kblockd
    501 root       0 -20       0      0      0 I   0.0   0.0   0:00.10 kworker/10:1H-kblockd
    503 root       0 -20       0      0      0 I   0.0   0.0   0:00.08 kworker/15:1H-kblockd
    505 root       0 -20       0      0      0 I   0.0   0.0   0:00.07 kworker/13:1H-kblockd
    513 root       0 -20       0      0      0 I   0.0   0.0   0:00.10 kworker/12:1H-kblockd
    594 root       0 -20       0      0      0 I   0.0   0.0   0:00.03 kworker/18:1H-kblockd
    603 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rpciod
    604 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 xprtiod
    608 root      19  -1  211204 146348 145152 S   0.0   0.2   0:33.26 systemd-journal
    655 root      20   0   21288   5248   3924 S   0.0   0.0   0:02.04 systemd-udevd
    714 _rpc      20   0    7100   3852   3424 S   0.0   0.0   0:00.48 rpcbind
    715 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipmi-msghandler
    793 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cryptd
    816 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ttm_swap
    831 root      39  19       0      0      0 S   0.0   0.0   0:00.00 kipmi0
    846 root      20   0  238240   7420   6528 S   0.0   0.0   0:12.28 accounts-daemon
    847 message+  20   0    7416   4588   3868 S   0.0   0.0   0:00.95 dbus-daemon
    862 root      20   0   82076   3880   3432 S   0.0   0.0   1:23.29 irqbalance
    867 root      20   0   32272  18680  10464 S   0.0   0.0   0:00.29 networkd-dispat
    869 syslog    20   0  224488   5600   3856 S   0.0   0.0   0:10.26 rsyslogd
    870 root      20   0   10808   5780   4624 S   0.0   0.0   0:00.10 smartd
    871 root      20   0   16824   7612   6680 S   0.0   0.0   0:00.95 systemd-logind
    889 root      20   0  232724   6772   6080 S   0.0   0.0   0:00.03 polkitd
    895 root       0 -20       0      0      0 I   0.0   0.0   0:00.03 kworker/17:1H-kblockd
    911 systemd+  20   0   23992  12076   8016 S   0.0   0.0   0:01.71 systemd-resolve
    943 ntp       20   0   74772   3964   3388 S   0.0   0.0   0:22.27 ntpd
    945 root      20   0   12184   7284   6360 S   0.0   0.0   0:20.77 sshd
    992 systemd+  20   0   26832   8024   6940 S   0.0   0.0   0:06.18 systemd-network
   1011 root      20   0    9416   3060   2796 S   0.0   0.0   0:00.96 cron
   1024 root      20   0    8200   2188   2068 S   0.0   0.0   0:00.00 agetty
   1036 root      20   0    8428   1952   1836 S   0.0   0.0   0:00.00 agetty
   1118 root      20   0    2832    224      0 S   0.0   0.0   0:40.84 slothd
   1122 root      20   0   22596  12552   3092 S   0.0   0.0   0:03.97 watchdog
   1145 root      20   0    6488    428      0 S   0.0   0.0   0:00.00 pubsubd
   1193 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nfsiod
   1195 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/u41:1
   1376 root      20   0   22152  11536   2592 S   0.0   0.0   0:00.00 rc.progagent
   1377 geniuser  rt   0    6764   3628   3164 S   0.0   0.0   0:00.16 program-agent
   1426 root      20   0    6508    428      0 S   0.0   0.0   0:00.23 linktest
   1697 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/u41:2
  10056 root      20   0       0      0      0 I   0.0   0.0   0:09.97 kworker/15:0-events
  16942 root      20   0       0      0      0 I   0.0   0.0   0:00.01 kworker/5:0-rcu_par_gp
  28101 root      20   0       0      0      0 I   0.0   0.0   0:03.92 kworker/11:2-rcu_par_gp
  36335 root      20   0       0      0      0 I   0.0   0.0   0:00.22 kworker/2:1-rcu_par_gp
  41609 root      20   0       0      0      0 I   0.0   0.0   0:11.54 kworker/3:2-mm_percpu_wq
  48519 root      20   0       0      0      0 I   0.0   0.0   0:11.20 kworker/2:0-events
  56153 root      20   0       0      0      0 I   0.0   0.0   0:09.42 kworker/4:1-mm_percpu_wq
  60356 root      20   0       0      0      0 I   0.0   0.0   0:09.22 kworker/9:1-events
  67191 chenqh23  20   0   18620   9708   7960 S   0.0   0.0   0:00.65 systemd
  67198 chenqh23  20   0  168636   3284     16 S   0.0   0.0   0:00.00 (sd-pam)
  67222 root      20   0       0      0      0 I   0.0   0.0   0:00.04 kworker/13:1-rcu_par_gp
  68325 root      20   0 2466776  53688  33964 S   0.0   0.1   1:32.65 containerd
  68326 root      20   0       0      0      0 I   0.0   0.0   0:09.90 kworker/5:1-events
  68554 root      20   0    2488    572    512 S   0.0   0.0   0:00.02 none
  71561 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/12:0-rcu_gp
  71624 root      20   0       0      0      0 I   0.0   0.0   0:00.01 kworker/6:0-rcu_par_gp
  71660 root      20   0       0      0      0 I   0.0   0.0   0:07.78 kworker/19:0-events
  76433 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/19:3-rcu_par_gp
  77127 root      20   0       0      0      0 I   0.0   0.0   0:03.65 kworker/18:13-rcu_par_gp
  80390 chenqh23  20   0   10692   4288   3088 S   0.0   0.0   0:01.19 tmux: server
  80391 chenqh23  20   0   10880   5312   3668 S   0.0   0.0   0:00.04 bash
  80485 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/0:1-rcu_par_gp
  80494 root      20   0       0      0      0 I   0.0   0.0   0:04.24 kworker/14:2-events
  80510 root      20   0       0      0      0 I   0.0   0.0   0:09.07 kworker/6:2-events
  80511 root      20   0       0      0      0 I   0.0   0.0   0:11.35 kworker/1:0-mm_percpu_wq
  80700 root      20   0       0      0      0 I   0.0   0.0   0:08.05 kworker/16:0-mm_percpu_wq
  80802 root      20   0       0      0      0 I   0.0   0.0   0:08.07 kworker/12:4-events
  80843 root      20   0  720064  10076   7796 S   0.0   0.0   0:04.80 containerd-shim
  80926 root      20   0  720320   9368   7252 S   0.0   0.0   0:04.02 containerd-shim
  80927 root      20   0  720320  10888   8436 S   0.0   0.0   0:04.50 containerd-shim
  80939 root      20   0  720320   9624   7380 S   0.0   0.0   0:04.44 containerd-shim
  80964 root      20   0  720064   9556   7316 S   0.0   0.0   0:24.58 containerd-shim
  81035 systemd+  20   0 1977696 450344  44336 S   0.0   0.7   9:02.50 mongod
  81040 systemd+  20   0 2418128 352336  43600 S   0.0   0.5 489:51.30 mongod
  81048 systemd+  20   0 2454528 949436  43532 S   0.0   1.4   8:25.74 mongod
  81184 root      20   0  720320   9564   7316 S   0.0   0.0   0:03.87 containerd-shim
  81185 root      20   0  720064   9416   7316 S   0.0   0.0   0:04.20 containerd-shim
  81261 11211     20   0  411344   4184   3352 S   0.0   0.0   0:07.48 memcached
  81263 systemd+  20   0   80152  34324   8352 S   0.0   0.1   2:08.49 redis-server
  81425 root      20   0  720320  10720   8436 S   0.0   0.0   0:03.84 containerd-shim
  81426 root      20   0  720320   9364   7316 S   0.0   0.0   0:03.97 containerd-shim
  81434 root      20   0  720064  10536   8340 S   0.0   0.0   0:04.39 containerd-shim
  81456 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/4:4-rcu_par_gp
  81526 11211     20   0  419568  12676   3404 S   0.0   0.0   9:26.79 memcached
  81534 systemd+  20   0  351512 243848   8412 S   0.0   0.4   9:15.61 redis-server
  81640 root      20   0  720320   9452   7252 S   0.0   0.0   0:04.57 containerd-shim
