# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 1610536435
#
# Overhead  Command          Shared Object             Symbol                                                                                                                                                                                                                                                                                                                                                                                                                
# ........  ...............  ........................  ......................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.21%  swapper          [kernel.kallsyms]         [k] mlx4_en_process_rx_cq
     0.20%  swapper          [kernel.kallsyms]         [k] __next_timer_interrupt
     0.20%  swapper          [kernel.kallsyms]         [k] timerqueue_add
     0.19%  ftdc             libc-2.27.so              [.] _IO_vfscanf
     0.19%  ftdc             mongod                    [.] std::_Rb_tree_increment
     0.19%  consul           consul                    [.] runtime.nanotime1.abi0
     0.19%  swapper          [kernel.kallsyms]         [k] ktime_get
     0.19%  ftdc             [kernel.kallsyms]         [k] format_decode
     0.18%  consul           consul                    [.] runtime.mallocgc
     0.18%  consul           [kernel.kallsyms]         [k] update_cfs_rq_h_load
     0.17%  ftdc             [kernel.kallsyms]         [k] memcpy_erms
     0.17%  swapper          [kernel.kallsyms]         [k] rb_erase
     0.17%  swapper          [kernel.kallsyms]         [k] cpuidle_not_available
     0.17%  consul           consul                    [.] runtime.selectgo
     0.16%  swapper          [kernel.kallsyms]         [k] enqueue_task_fair
     0.16%  consul           [kernel.kallsyms]         [k] update_curr
     0.16%  swapper          [kernel.kallsyms]         [k] pick_next_task_fair
     0.16%  swapper          [kernel.kallsyms]         [k] intel_pstate_update_util
     0.16%  swapper          [kernel.kallsyms]         [k] try_to_wake_up
     0.16%  mongod           [kernel.kallsyms]         [k] may_open.isra.0
     0.15%  consul           [kernel.kallsyms]         [k] syscall_return_via_sysret
     0.15%  swapper          [kernel.kallsyms]         [k] native_sched_clock
     0.15%  ftdc             mongod                    [.] __curstat_get_value
     0.15%  swapper          [kernel.kallsyms]         [k] lapic_next_deadline
     0.15%  consul           [kernel.kallsyms]         [k] entry_SYSCALL_64
     0.15%  swapper          [kernel.kallsyms]         [k] smp_apic_timer_interrupt
     0.15%  ftdc             mongod                    [.] mongo::procparser::parseProcVMStat
     0.15%  swapper          [kernel.kallsyms]         [k] native_apic_msr_eoi_write
     0.14%  ftdc             mongod                    [.] mongo::WiredTigerUtil::exportTableToBSON
     0.14%  clientcursormon  mongod                    [.] mongo::DecorationRegistry<mongo::OperationContext>::destroyAt<mongo::rpc::TrackingMetadata>
     0.14%  node             node                      [.] Builtins_LoadIC
     0.14%  ftdc             mongod                    [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::compare
     0.14%  ftdc             [kernel.kallsyms]         [k] do_syscall_64
     0.14%  node             [kernel.kallsyms]         [k] do_syscall_64
     0.13%  swapper          [kernel.kallsyms]         [k] irq_work_needs_cpu
     0.13%  ftdc             mongod                    [.] operator delete
     0.13%  swapper          [kernel.kallsyms]         [k] calc_global_load_tick
     0.13%  swapper          [kernel.kallsyms]         [k] update_sd_lb_stats
     0.13%  ftdc             libc-2.27.so              [.] _IO_default_xsputn
     0.13%  swapper          [kernel.kallsyms]         [k] nr_iowait_cpu
     0.13%  ftdc             libc-2.27.so              [.] strtoull
     0.13%  consul           consul                    [.] runtime.netpoll
     0.12%  dockerd          [kernel.kallsyms]         [k] do_syscall_64
     0.12%  swapper          [kernel.kallsyms]         [k] _raw_spin_lock_irq
     0.12%  swapper          [kernel.kallsyms]         [k] __hrtimer_get_next_event
     0.12%  swapper          [kernel.kallsyms]         [k] tick_nohz_idle_got_tick
     0.12%  swapper          [kernel.kallsyms]         [k] __lock_text_start
     0.12%  swapper          [kernel.kallsyms]         [k] _raw_spin_lock
     0.12%  mongod           [kernel.kallsyms]         [k] syscall_return_via_sysret
     0.12%  JournalFlusher   libc-2.27.so              [.] __nss_group_lookup
     0.12%  swapper          [kernel.kallsyms]         [k] tick_check_oneshot_broadcast_this_cpu
     0.11%  swapper          [kernel.kallsyms]         [k] __accumulate_pelt_segments
     0.11%  swapper          [kernel.kallsyms]         [k] update_cfs_group
     0.11%  ftdc             [kernel.kallsyms]         [k] seq_put_decimal_ull_width
     0.11%  ftdc             mongod                    [.] (anonymous namespace)::do_free_pages
     0.11%  ftdc             mongod                    [.] mongo::WiredTigerKVEngine::newRecoveryUnit
     0.11%  ftdc             mongod                    [.] mongo::StringData::substr
     0.11%  swapper          [kernel.kallsyms]         [k] reweight_entity
     0.11%  ftdc             mongod                    [.] mongo::CmdServerStatus::run
     0.11%  ftdc             mongod                    [.] std::__find_if<char const*, __gnu_cxx::__ops::_Iter_pred<mongo::procparser::parseProcMemInfo(std::vector<mongo::StringData, std::allocator<mongo::StringData> > const&, mongo::StringData, mongo::BSONObjBuilder*)::{lambda(char)#1}> >
     0.11%  JournalFlusher   mongod                    [.] operator new
     0.11%  node             [kernel.kallsyms]         [k] psi_task_change
     0.11%  swapper          [kernel.kallsyms]         [k] pm_qos_read_value
     0.11%  consul           [kernel.kallsyms]         [k] __fget_light
     0.10%  ftdc             [kernel.kallsyms]         [k] diskstats_show
     0.10%  swapper          [kernel.kallsyms]         [k] native_read_msr
     0.10%  node             [kernel.kallsyms]         [k] copy_pte_range.isra.0
     0.10%  swapper          [kernel.kallsyms]         [k] tick_nohz_next_event
     0.10%  consul           consul                    [.] runtime.lock2
     0.10%  JournalFlusher   mongod                    [.] __config_next
     0.10%  swapper          [kernel.kallsyms]         [k] tsc_verify_tsc_adjust
     0.10%  consul           [kernel.kallsyms]         [k] cpuacct_charge
     0.10%  ftdc             mongod                    [.] ExtractStats
     0.10%  swapper          [kernel.kallsyms]         [k] insert_work
     0.10%  swapper          [kernel.kallsyms]         [k] sched_ttwu_pending
     0.10%  JournalFlusher   mongod                    [.] std::__detail::_List_node_base::_M_hook
     0.10%  consul           [kernel.kallsyms]         [k] update_load_avg
     0.10%  swapper          [kernel.kallsyms]         [k] rebalance_domains
     0.10%  ftdc             mongod                    [.] mongo::BSONObjBuilder::append<int, void>
     0.10%  swapper          [kernel.kallsyms]         [k] ttwu_do_wakeup
     0.09%  node             [kernel.kallsyms]         [k] entry_SYSCALL_64
     0.09%  FlowCon.fresher  mongod                    [.] std::chrono::_V2::system_clock::now
     0.09%  consul           [kernel.kallsyms]         [k] __switch_to
     0.09%  swapper          [kernel.kallsyms]         [k] interrupt_entry
     0.09%  ftdc             mongod                    [.] adler32_z
     0.09%  swapper          [kernel.kallsyms]         [k] rcu_idle_enter
     0.09%  ftdc             mongod                    [.] mongo::BSONObjBuilder::~BSONObjBuilder
     0.09%  ftdc             [kernel.kallsyms]         [k] __mod_memcg_state
     0.09%  ftdc             mongod                    [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>
     0.09%  consul           [kernel.kallsyms]         [k] finish_task_switch
     0.09%  consul           consul                    [.] runtime.siftdownTimer
     0.09%  swapper          [kernel.kallsyms]         [k] ret_from_intr
     0.09%  swapper          [kernel.kallsyms]         [k] tick_sched_timer
     0.09%  consul           [kernel.kallsyms]         [k] __update_load_avg_cfs_rq
     0.09%  ftdc             [kernel.kallsyms]         [k] get_cached_acl_rcu
     0.09%  ftdc             mongod                    [.] tcmalloc::ThreadCache::GetThreadStats
     0.09%  node             [kernel.kallsyms]         [k] swapgs_restore_regs_and_return_to_usermode
     0.09%  JournalFlusher   mongod                    [.] mongo::LockStats<long>::reset
     0.08%  swapper          [kernel.kallsyms]         [k] __x86_indirect_thunk_rax
     0.08%  ftdc             mongod                    [.] mongo::DataType::Handler<mongo::FTDCVarInt, void>::store
     0.08%  consul           [kernel.kallsyms]         [k] __update_load_avg_se
     0.08%  swapper          [kernel.kallsyms]         [k] __switch_to
     0.08%  ftdc             mongod                    [.] operator new
     0.08%  node             [kernel.kallsyms]         [k] ktime_get_ts64
     0.08%  ftdc             mongod                    [.] tcmalloc::CentralFreeList::tc_length
     0.08%  mongod           [kernel.kallsyms]         [k] switch_fpu_return
     0.08%  consul           [kernel.kallsyms]         [k] pick_next_task_fair
     0.08%  ftdc             [kernel.kallsyms]         [k] vsnprintf
     0.08%  swapper          [kernel.kallsyms]         [k] tick_check_broadcast_expired
     0.08%  ftdc             mongod                    [.] tcmalloc::CentralFreeList::OverheadBytes
     0.08%  kworker/13:7-ev  [kernel.kallsyms]         [k] __update_load_avg_cfs_rq
     0.08%  swapper          [kernel.kallsyms]         [k] clockevents_program_event
     0.08%  consul           [kernel.kallsyms]         [k] dequeue_task_fair
     0.08%  consul           [kernel.kallsyms]         [k] timerqueue_add
     0.08%  node             [kernel.kallsyms]         [k] __handle_mm_fault
     0.08%  node             watcher.node              [.] std::__detail::_Executor<__gnu_cxx::__normal_iterator<char const*, std::string>, std::allocator<std::sub_match<__gnu_cxx::__normal_iterator<char const*, std::string> > >, std::regex_traits<char>, true>::_M_dfs
     0.08%  ftdc             mongod                    [.] __wt_buf_grow_worker
     0.07%  swapper          [kernel.kallsyms]         [k] hrtimer_interrupt
     0.07%  ftdc             [kernel.kallsyms]         [k] cpumask_next
     0.07%  swapper          [kernel.kallsyms]         [k] sched_clock_idle_wakeup_event
     0.07%  swapper          [kernel.kallsyms]         [k] place_entity
     0.07%  dockerd          [kernel.kallsyms]         [k] entry_SYSCALL_64
     0.07%  consul           [kernel.kallsyms]         [k] select_task_rq_fair
     0.07%  swapper          [kernel.kallsyms]         [k] timer_clear_idle
     0.07%  mc-lrumaint      libc.so.6                 [.] __pthread_mutex_trylock
     0.07%  ftdc             mongod                    [.] mongo::ServerStatusSection::addRequiredPrivileges
     0.07%  swapper          [kernel.kallsyms]         [k] rb_insert_color
     0.07%  ftdc             [kernel.kallsyms]         [k] seq_puts
     0.07%  consul           [kernel.kallsyms]         [k] put_prev_entity
     0.07%  JournalFlusher   mongod                    [.] mongo::ServiceContext::makeOperationContext
     0.07%  ftdc             libc-2.27.so              [.] _IO_enable_locks
     0.07%  swapper          [kernel.kallsyms]         [k] __switch_to_asm
     0.07%  ftdc             mongod                    [.] mongo::FTDCCompressor::addSample
     0.07%  ftdc             mongod                    [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_mutate
     0.07%  ftdc             mongod                    [.] std::__find_if<char const*, __gnu_cxx::__ops::_Iter_pred<mongo::procparser::parseProcNetstat(std::vector<mongo::StringData, std::allocator<mongo::StringData> > const&, mongo::StringData, mongo::BSONObjBuilder*)::{lambda(char)#2}> >
     0.07%  node             watcher.node              [.] std::__detail::__regex_algo_impl<__gnu_cxx::__normal_iterator<char const*, std::string>, std::allocator<std::sub_match<__gnu_cxx::__normal_iterator<char const*, std::string> > >, char, std::regex_traits<char>, (std::__detail::_RegexExecutorPolicy)0, true>
     0.07%  swapper          [kernel.kallsyms]         [k] rcu_sched_clock_irq
     0.07%  consul           [kernel.kallsyms]         [k] update_blocked_averages
     0.07%  swapper          [kernel.kallsyms]         [k] cpuidle_reflect
     0.07%  ftdc             [kernel.kallsyms]         [k] snmp_fold_field
     0.07%  ftdc             mongod                    [.] std::__find_if<__gnu_cxx::__normal_iterator<mongo::StringData const*, std::vector<mongo::StringData, std::allocator<mongo::StringData> > >, __gnu_cxx::__ops::_Iter_equals_val<mongo::StringData const> >
     0.07%  consul           [kernel.kallsyms]         [k] __calc_delta
     0.07%  swapper          [kernel.kallsyms]         [k] load_balance
     0.07%  dockerd          dockerd                   [.] runtime.stealWork
     0.07%  swapper          [kernel.kallsyms]         [k] schedule_idle
     0.06%  mongod           [kernel.kallsyms]         [k] do_syscall_64
     0.06%  consul           consul                    [.] runtime.checkTimers
     0.06%  swapper          [kernel.kallsyms]         [k] __run_timers.part.0
     0.06%  dockerd          dockerd                   [.] runtime.notesleep
     0.06%  consul           [kernel.kallsyms]         [k] fsnotify
     0.06%  swapper          [kernel.kallsyms]         [k] hrtimer_update_next_event
     0.06%  consul           consul                    [.] runtime.pidleget
     0.06%  consul           consul                    [.] runtime.writeHeapBits.flush
     0.06%  mongod           mongod                    [.] __wt_cond_wait_signal
     0.06%  mongod           libpthread-2.27.so        [.] pthread_cond_timedwait@@GLIBC_2.3.2
     0.06%  consul           [kernel.kallsyms]         [k] reweight_entity
     0.06%  ftdc             mongod                    [.] mongo::ServiceContext::LockedClientsCursor::next
     0.06%  ftdc             mongod                    [.] mongo::ServerStatusMetricField<mongo::Counter64>::appendAtLeaf
     0.06%  consul           consul                    [.] runtime.unlock2
     0.06%  swapper          [kernel.kallsyms]         [k] tick_nohz_idle_stop_tick
     0.06%  consul           [kernel.kallsyms]         [k] futex_wait_queue_me
     0.06%  dockerd          dockerd                   [.] runtime.mallocgc
     0.06%  JournalFlusher   mongod                    [.] __wt_log_wrlsn
     0.06%  ftdc             [kernel.kallsyms]         [k] arch_report_meminfo
     0.06%  swapper          [kernel.kallsyms]         [k] update_rq_clock
     0.06%  swapper          [kernel.kallsyms]         [k] hrtimer_get_next_event
     0.06%  swapper          [kernel.kallsyms]         [k] pick_next_entity
     0.06%  swapper          [kernel.kallsyms]         [k] irq_entries_start
     0.06%  swapper          [kernel.kallsyms]         [k] activate_task
     0.06%  JournalFlusher   mongod                    [.] mongo::OperationContext::~OperationContext
     0.06%  node             [kernel.kallsyms]         [k] do_wp_page
     0.06%  swapper          [kernel.kallsyms]         [k] rcu_irq_exit
     0.06%  swapper          [kernel.kallsyms]         [k] native_queued_spin_lock_slowpath
     0.06%  JournalFlusher   mongod                    [.] std::_Fwd_list_base<boost::intrusive_ptr<mongo::future_details::SharedStateBase>, std::allocator<boost::intrusive_ptr<mongo::future_details::SharedStateBase> > >::_M_erase_after
     0.06%  swapper          [kernel.kallsyms]         [k] calc_load_nohz_stop
     0.06%  consul           [kernel.kallsyms]         [k] __switch_to_asm
     0.06%  ftdc             mongod                    [.] mongo::BSONObjBuilderValueStream::endField
     0.06%  swapper          [kernel.kallsyms]         [k] ktime_get_update_offsets_now
     0.06%  ftdc             mongod                    [.] __wt_txn_release_resources
     0.06%  consul           [kernel.kallsyms]         [k] _raw_spin_lock_irqsave
     0.06%  consul           [kernel.kallsyms]         [k] futex_wake
     0.06%  swapper          [kernel.kallsyms]         [k] rcu_dynticks_eqs_exit
     0.06%  swapper          [kernel.kallsyms]         [k] cpuidle_governor_latency_req
     0.06%  swapper          [kernel.kallsyms]         [k] timerqueue_del
     0.06%  node             node                      [.] Builtins_StringLessThan
     0.05%  swapper          [kernel.kallsyms]         [k] tick_nohz_idle_exit
     0.05%  node             [kernel.kallsyms]         [k] page_remove_rmap
     0.05%  swapper          [kernel.kallsyms]         [k] run_posix_cpu_timers
     0.05%  consul           [kernel.kallsyms]         [k] __schedule
     0.05%  consul           consul                    [.] runtime.chansend
     0.05%  swapper          [kernel.kallsyms]         [k] rcu_irq_enter
     0.05%  swapper          [kernel.kallsyms]         [k] hrtimer_start_range_ns
     0.05%  JournalFlusher   mongod                    [.] __wt_config_subgetraw
     0.05%  swapper          [kernel.kallsyms]         [k] available_idle_cpu
     0.05%  consul           consul                    [.] runtime.(*mcache).prepareForSweep
     0.05%  consul           consul                    [.] runtime.notesleep
     0.05%  node             [kernel.kallsyms]         [k] reweight_entity
     0.05%  consul           [kernel.kallsyms]         [k] dequeue_entity
     0.05%  ftdc             mongod                    [.] __config_next
     0.05%  node             node                      [.] Builtins_CallFunction_ReceiverIsNotNullOrUndefined
     0.05%  swapper          [kernel.kallsyms]         [k] idle_cpu
     0.05%  Backgro.kSource  [kernel.kallsyms]         [k] psi_task_change
     0.05%  swapper          [kernel.kallsyms]         [k] switch_mm
     0.05%  node             libc-2.31.so              [.] cfree@GLIBC_2.2.5
     0.05%  ftdc             libc-2.27.so              [.] _IO_str_pbackfail
     0.05%  JournalFlusher   mongod                    [.] mongo::latch_detail::Mutex::~Mutex
     0.05%  swapper          [kernel.kallsyms]         [k] hrtimer_wakeup
     0.05%  consul           [kernel.kallsyms]         [k] ep_poll_callback
     0.05%  swapper          [kernel.kallsyms]         [k] rcu_note_context_switch
     0.05%  node             node                      [.] node::ShutdownWrap::OnDone
     0.05%  JournalFlusher   mongod                    [.] mongo::LockerImpl::~LockerImpl
     0.05%  ftdc             [kernel.kallsyms]         [k] __ext4_find_entry
     0.05%  JournalFlusher   libpthread-2.27.so        [.] pthread_mutex_unlock
     0.05%  mc-lrumaint      memcached                 [.] slab_automove_run
     0.05%  consul           [kernel.kallsyms]         [k] __wake_up_common
     0.05%  swapper          [kernel.kallsyms]         [k] menu_reflect
     0.05%  swapper          [kernel.kallsyms]         [k] hrtimer_active
     0.05%  mongod           [kernel.kallsyms]         [k] futex_wait_queue_me
     0.05%  ftdc             mongod                    [.] pqdownheap
     0.05%  swapper          [kernel.kallsyms]         [k] x86_pmu_disable
     0.05%  git              git                       [.] 0x000000000012fd1f
     0.05%  consul           consul                    [.] runtime.heapBitsSetType
     0.05%  swapper          [kernel.kallsyms]         [k] tick_nohz_get_sleep_length
     0.05%  git              git                       [.] 0x000000000001b500
     0.05%  mongod           [kernel.kallsyms]         [k] entry_SYSCALL_64
     0.05%  swapper          [kernel.kallsyms]         [k] check_tsc_unstable
     0.05%  swapper          [kernel.kallsyms]         [k] irq_exit
     0.05%  swapper          [kernel.kallsyms]         [k] find_next_and_bit
     0.05%  git              git                       [.] 0x000000000019303c
     0.05%  ftdc             mongod                    [.] deflateReset
     0.05%  swapper          [kernel.kallsyms]         [k] perf_event_task_tick
     0.05%  consul           [kernel.kallsyms]         [k] atime_needs_update
     0.05%  JournalFlusher   mongod                    [.] mongo::transport::TransportLayerASIO::BatonASIO::detachImpl
     0.05%  mc-lrumaint      libc.so.6                 [.] __pthread_mutex_lock
     0.05%  git              [kernel.kallsyms]         [k] pagevec_lru_move_fn
     0.05%  swapper          [kernel.kallsyms]         [k] sched_clock_cpu
     0.04%  swapper          [kernel.kallsyms]         [k] __softirqentry_text_start
     0.04%  git              git                       [.] 0x000000000010ad2b
     0.04%  swapper          [kernel.kallsyms]         [k] get_next_timer_interrupt
     0.04%  node             node                      [.] v8::internal::CanHaveInternalField
     0.04%  mongod           [kernel.kallsyms]         [k] rcu_all_qs
     0.04%  node             [kernel.kallsyms]         [k] rcu_all_qs
     0.04%  all-in-one-linu  [kernel.kallsyms]         [k] __calc_delta
     0.04%  decreas.ressure  mongod                    [.] mongo::latch_detail::getOrMakeLatchData<mongo::CondVarLockGrantNotification::_mutex::{lambda()#1}>
     0.04%  Backgro.kSource  [kernel.kallsyms]         [k] switch_fpu_return
     0.04%  git              [kernel.kallsyms]         [k] filemap_map_pages
     0.04%  mongod           libc-2.27.so              [.] clock_gettime
     0.04%  ftdc             libc-2.27.so              [.] cuserid
     0.04%  swapper          [kernel.kallsyms]         [k] pm_qos_request
     0.04%  consul           [kernel.kallsyms]         [k] fpregs_assert_state_consistent
     0.04%  swapper          [kernel.kallsyms]         [k] rcu_qs
     0.04%  dockerd          [kernel.kallsyms]         [k] copy_user_generic_unrolled
     0.04%  swapper          [kernel.kallsyms]         [k] update_curr
     0.04%  swapper          [kernel.kallsyms]         [k] tick_sched_handle
     0.04%  git              [kernel.kallsyms]         [k] copy_page
     0.04%  JournalFlusher   mongod                    [.] mongo::latch_detail::Mutex::_onQuickLock
     0.04%  mongod           [kernel.kallsyms]         [k] psi_task_change
     0.04%  rcu_sched        [kernel.kallsyms]         [k] __mod_timer
     0.04%  FlowCon.fresher  [kernel.kallsyms]         [k] do_syscall_64
     0.04%  swapper          [kernel.kallsyms]         [k] _raw_spin_trylock
     0.04%  ftdc             [kernel.kallsyms]         [k] __update_load_avg_cfs_rq
     0.04%  node             [kernel.kallsyms]         [k] get_page_from_freelist
     0.04%  dockerd          [kernel.kallsyms]         [k] pipe_poll
     0.04%  dockerd          [vdso]                    [.] __vdso_clock_gettime
     0.04%  dockerd          dockerd                   [.] time.Time.Add
     0.04%  user             [kernel.kallsyms]         [k] __update_idle_core
     0.04%  ftdc             mongod                    [.] mongo::intrusive_ptr_release
     0.04%  ftdc             [kernel.kallsyms]         [k] reschedule_interrupt
     0.04%  git              [kernel.kallsyms]         [k] clear_page_erms
     0.04%  ftdc             mongod                    [.] mongo::BSONElement::computeSize
     0.04%  ftdc             [kernel.kallsyms]         [k] get_nohz_timer_target
     0.04%  dockerd          dockerd                   [.] runtime.deltimer
     0.04%  JournalFlusher   [kernel.kallsyms]         [k] update_curr
     0.04%  dockerd          [kernel.kallsyms]         [k] __cgroup_account_cputime
     0.04%  mongod           [kernel.kallsyms]         [k] __x64_sys_futex
     0.04%  swapper          [kernel.kallsyms]         [k] record_times
     0.04%  ftdc             [kernel.kallsyms]         [k] seq_put_decimal_ull
     0.04%  ftdc             [kernel.kallsyms]         [k] __fput
     0.04%  node             [kernel.kallsyms]         [k] vm_normal_page
     0.04%  swapper          [kernel.kallsyms]         [k] __remove_hrtimer
     0.04%  dockerd          dockerd                   [.] runtime.deductSweepCredit
     0.04%  consul           consul                    [.] runtime.gopark
     0.04%  consul           [kernel.kallsyms]         [k] __x64_sys_epoll_pwait
     0.04%  node             [kernel.kallsyms]         [k] memcpy_erms
     0.04%  consul           consul                    [.] github.com/hashicorp/raft.(*saturationMetric).working
     0.04%  swapper          [kernel.kallsyms]         [k] sched_idle_set_state
     0.04%  mongod           [kernel.kallsyms]         [k] deactivate_task
     0.04%  swapper          [kernel.kallsyms]         [k] pvclock_gtod_notify
     0.04%  dockerd          [kernel.kallsyms]         [k] ep_scan_ready_list.constprop.0
     0.04%  swapper          [kernel.kallsyms]         [k] resched_curr
     0.04%  ftdc             mongod                    [.] mongo::OperationShardingState::~OperationShardingState
     0.04%  swapper          [kernel.kallsyms]         [k] update_dl_rq_load_avg
     0.04%  JournalFlusher   mongod                    [.] mongo::OperationContext::OperationContext
     0.04%  node             [kernel.kallsyms]         [k] vm_area_dup
     0.04%  swapper          [kernel.kallsyms]         [k] need_update
     0.04%  node             node                      [.] Builtins_ArrayPrototypeJoin
     0.04%  ftdc             mongod                    [.] mongo::BSONElement::embeddedObjectUserCheck
     0.04%  dockerd          [kernel.kallsyms]         [k] _raw_write_lock_irq
     0.04%  node             node                      [.] v8::internal::IncrementalStringBuilder::IncrementalStringBuilder
     0.04%  ftdc             [kernel.kallsyms]         [k] mutex_unlock
     0.04%  irqbalance       [kernel.kallsyms]         [k] show_interrupts
     0.04%  node             [kernel.kallsyms]         [k] unlink_anon_vmas
     0.04%  ftdc             mongod                    [.] __wt_cache_stats_update
     0.04%  ftdc             mongod                    [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_append
     0.04%  mongod           mongod                    [.] __evict_clear_all_walks
     0.04%  JournalFlusher   [kernel.kallsyms]         [k] update_cfs_group
     0.04%  consul           consul                    [.] runtime.sellock
     0.04%  ftdc             [kernel.kallsyms]         [k] number
     0.04%  JournalFlusher   mongod                    [.] mongo::SystemTickSource::getTicksPerSecond
     0.04%  node             node                      [.] build_tree
     0.04%  node             [JIT] tid 81683           [.] 0x00000000072b6a84
     0.04%  ftdc             [kernel.kallsyms]         [k] link_path_walk.part.0
     0.04%  node             node                      [.] longest_match
     0.04%  ftdc             [kernel.kallsyms]         [k] d_alloc_parallel
     0.04%  ftdc             [kernel.kallsyms]         [k] show_stat
     0.04%  ftdc             [kernel.kallsyms]         [k] apparmor_file_free_security
     0.04%  swapper          [kernel.kallsyms]         [k] wake_up_process
     0.04%  node             node                      [.] Builtins_TypedArrayPrototypeSet
     0.04%  node             [kernel.kallsyms]         [k] page_fault
     0.04%  ftdc             mongod                    [.] memcmp@plt
     0.04%  consul           [kernel.kallsyms]         [k] __hrtimer_init
     0.04%  all-in-one-linu  all-in-one-linux          [.] runtime.checkTimers
     0.04%  consul           consul                    [.] runtime.newobject
     0.04%  consul           [kernel.kallsyms]         [k] copy_user_generic_unrolled
     0.04%  swapper          [kernel.kallsyms]         [k] tick_nohz_idle_enter
     0.04%  consul           consul                    [.] runtime.futex.abi0
     0.04%  ftdc             [kernel.kallsyms]         [k] __x64_sys_futex
     0.04%  node             [kernel.kallsyms]         [k] __tlb_remove_page_size
     0.04%  ftdc             [kernel.kallsyms]         [k] string_nocheck
     0.04%  sshd             [kernel.kallsyms]         [k] pipe_poll
     0.04%  ftdc             [kernel.kallsyms]         [k] kstat_irqs_usr
     0.04%  Timesta.Monitor  mongod                    [.] mongo::DecorationRegistry<mongo::OperationContext>::constructAt<boost::optional<mongo::BSONArray> >
     0.04%  ftdc             [kernel.kallsyms]         [k] kmem_cache_alloc
     0.03%  rcu_sched        [kernel.kallsyms]         [k] update_rq_clock
     0.03%  node             libpthread-2.31.so        [.] __pthread_mutex_lock
     0.03%  JournalFlusher   [kernel.kallsyms]         [k] update_blocked_averages
     0.03%  mongod           [kernel.kallsyms]         [k] get_futex_value_locked
     0.03%  node             [kernel.kallsyms]         [k] __calc_delta
