text4096/,1.05,1.09,0.6,0.09,0.26,0.69,0.82,0.76,0.06,0,0.83,0.31,0.62,0.93,1.24,0.33,1.34,0.91,0.75,0.29,0.63,0.49,0.2,0.19,0.56,0.58,0.82,0.52,0.11,0.39,0,
text4096/,37.15,39.1,47.85,21.49,54.8,28.96,47.83,53.65,16.84,0,48.2,55.45,58.08,27.54,31.25,55.67,17.2,47.49,57.98,55.69,57.89,54.76,55.7,57.12,31.87,57.03,50.12,57.68,29.5,56.33,0,
rps1000/,4.57,4.89,5.05,4.26,4.5,4.51,4.67,4.57,4.67,4.66,4.79,4.33,4.27,4.47,4.39,4.5,4.68,4.66,4.72,4.77,5.03,4.12,4.33,4.24,4.62,4.64,4.57,4.35,4.6,4.67,0,
rps1000/,1.24,1.64,1.48,1.68,1.65,1.69,2.65,1.31,1.71,1.52,1.18,1.51,1.4,1.66,1.9,1.67,1.57,1.5,1.86,1.16,2.32,1.53,1.79,1.53,1.45,1.57,1.92,1.7,1.62,1.76,0,
rps1000/,13.37,16.04,16.94,16.23,16.29,15.74,19.15,11.38,15.88,15.55,14.04,14.27,13.95,16.75,14.6,13.99,15.84,14.26,16.28,9.03,20.56,18.22,16.98,14.84,16.5,14.62,15.43,15.81,15.84,17.2,0,
rps2000/,5.18,2.3,4.21,4.43,4.16,4,4.05,3.8,3.86,3.92,5.09,0,4.38,4.52,3.78,3.84,3.72,4.43,6.39,4,3.94,4.84,3.92,3.76,4.44,4.12,3.68,4.04,5.36,4.22,0,
rps2000/,1.75,1.61,1.72,1.69,1.52,1.82,1.63,1.65,1.57,1.47,1.56,0,0.32,1.5,1.74,1.21,1.76,1.81,1.46,1.51,1.68,1.25,1.47,1.59,0.94,1.7,0.03,1.72,1.32,1.86,0,
rps2000/,16.85,9.58,16.58,17.33,15.91,17.56,13.8,15.37,16.67,13.24,18.56,0,10.91,19.51,16.33,14.03,20.23,16.23,19.96,17,16.33,12.39,16.8,16.05,14.99,16.39,6.74,16.36,15.35,16.33,0,
cpr0.05/,5.38,4.76,4.17,4.52,4.19,2.17,5.07,3.77,4.08,3.86,2.6,4.07,4.49,4.28,3.99,4.45,4.32,4.75,2.33,3.92,4.31,4.25,4.54,4.04,3.94,4.26,4.25,4.11,3.32,4.66,0,
cpr0.05/,2.16,1.83,1.87,1.35,1.73,0.99,2.71,2.33,1.2,1.73,1.23,1.75,1.49,1.57,1.96,2.41,1.99,3.35,0.05,1.93,1.87,2.05,1.39,2.12,2.11,0,2.99,1.91,2.86,1.8,0,
cpr0.05/,18.59,15,15.32,14.02,13.88,11.17,21.78,18.96,9.91,10.42,7.38,16.37,13.35,15.6,16.51,15.62,16.3,21.47,6.19,16.84,16.5,17.03,13.05,18.03,17.1,7.74,20.23,17.82,18.67,14.37,0,
cpr0.2/,3.9,4.73,4.2,5.77,4.27,4.84,4.78,4.58,4.19,3.91,4.18,3.5,4.21,4.65,6.23,4.51,5.39,4.44,1.48,3.93,3.91,3.86,0,4.33,0,4.47,3.82,2.3,3.86,3.91,0,
cpr0.2/,1.78,3.26,1.93,2.52,1.57,1.21,1.47,3.68,2.6,1.88,4.47,1.54,1.84,2.39,1.71,1.35,1.85,1.47,2.3,1.7,1.7,1.78,0,2.51,0,2.41,1.72,1.82,2.09,4.42,0,
cpr0.2/,16.4,22.28,21.13,20.72,19.92,9.72,19.39,19.9,21.68,18.03,20.34,7.85,16.34,21.16,13.3,11.56,10.68,14.12,13.18,17.72,20.2,18.2,0,19.23,0,18.72,17.54,11.32,19.31,22.68,0,
cpr0.33/,4.47,4.95,4.6,3.68,3.75,3.58,4.11,4.07,8.22,2.9,6.8,4.58,3.44,4.31,4.77,4.94,3.43,5.11,4.46,4.86,3.08,4.16,4.32,0,4.57,4.36,3.85,5.76,2.99,3.73,0,
cpr0.33/,1.53,1.84,2.48,2.02,2.15,2.1,1.97,3.28,1.85,2.62,3.53,3.63,2.29,2.86,2.61,2.06,2.76,2.79,2.77,3,3.07,1.77,3.23,0,3.29,2.47,1.83,1.99,2.86,2.06,0,
cpr0.33/,14.69,14.56,21.25,16.94,17.38,16.9,17.75,19.95,18.02,13.8,17.94,20.13,20.79,20.56,20.45,14.39,17.9,21.45,17.55,17.14,16.46,14.71,21.96,0,20.44,18.73,16.82,18.89,18.12,17.08,0,
