# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 111K of event 'cycles'
# Event count (approx.): 32297831238
#
# Overhead  Command          Shared Object          Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ...............  .....................  ............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.52%  HomeTimelineSer  [kernel.kallsyms]      [k] __nf_conntrack_find_get
     0.50%  HomeTimelineSer  libc-2.23.so           [.] __strtol_l
     0.49%  HomeTimelineSer  [kernel.kallsyms]      [k] __tcp_transmit_skb
     0.49%  HomeTimelineSer  [kernel.kallsyms]      [k] br_handle_frame
     0.49%  HomeTimelineSer  [kernel.kallsyms]      [k] tcp_recvmsg
     0.48%  HomeTimelineSer  [kernel.kallsyms]      [k] veth_xmit
     0.47%  HomeTimelineSer  [kernel.kallsyms]      [k] _raw_spin_lock
     0.45%  HomeTimelineSer  [kernel.kallsyms]      [k] tcp_write_xmit
     0.44%  HomeTimelineSer  [kernel.kallsyms]      [k] fib_table_lookup
     0.44%  HomeTimelineSer  HomeTimelineService    [.] apache::thrift::protocol::TVirtualProtocol<apache::thrift::protocol::TBinaryProtocolT<apache::thrift::transport::TTransport, apache::thrift::protocol::TNetworkBigEndian>, apache::thrift::protocol::TProtocolDefaults>::writeString_virt
     0.44%  HomeTimelineSer  [kernel.kallsyms]      [k] syscall_return_via_sysret
     0.44%  HomeTimelineSer  libc-2.23.so           [.] vfprintf
     0.43%  HomeTimelineSer  libjaegertracing.so.0  [.] jaegertracing::SpanContext::fromStream
     0.42%  HomeTimelineSer  [kernel.kallsyms]      [k] __this_module+0x80000004227e
     0.41%  HomeTimelineSer  [kernel.kallsyms]      [k] nf_conntrack_tcp_packet
     0.40%  HomeTimelineSer  [kernel.kallsyms]      [k] __netif_receive_skb_core
     0.39%  HomeTimelineSer  [kernel.kallsyms]      [k] mlx5e_sq_xmit
     0.39%  HomeTimelineSer  HomeTimelineService    [.] apache::thrift::protocol::TBinaryProtocolT<apache::thrift::transport::TTransport, apache::thrift::protocol::TNetworkBigEndian>::readStringBody<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >
     0.39%  HomeTimelineSer  [kernel.kallsyms]      [k] update_load_avg
     0.38%  HomeTimelineSer  [kernel.kallsyms]      [k] visit_groups_merge
     0.37%  HomeTimelineSer  libstdc++.so.6.0.21    [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_mutate
     0.36%  HomeTimelineSer  [kernel.kallsyms]      [k] nf_conntrack_in
     0.36%  HomeTimelineSer  [kernel.kallsyms]      [k] br_nf_pre_routing
     0.36%  HomeTimelineSer  libpthread-2.23.so     [.] __pthread_mutex_lock
     0.35%  HomeTimelineSer  [kernel.kallsyms]      [k] vxlan_xmit_one
     0.34%  HomeTimelineSer  HomeTimelineService    [.] social_network::Post::write
     0.34%  HomeTimelineSer  [kernel.kallsyms]      [k] kmem_cache_free
     0.33%  HomeTimelineSer  [vdso]                 [.] __vdso_clock_gettime
     0.33%  HomeTimelineSer  [kernel.kallsyms]      [k] tcp_sendmsg_locked
     0.32%  HomeTimelineSer  HomeTimelineService    [.] apache::thrift::protocol::TVirtualProtocol<apache::thrift::protocol::TBinaryProtocolT<apache::thrift::transport::TTransport, apache::thrift::protocol::TNetworkBigEndian>, apache::thrift::protocol::TProtocolDefaults>::readString_virt
     0.32%  HomeTimelineSer  [kernel.kallsyms]      [k] update_sd_lb_stats
     0.32%  HomeTimelineSer  [kernel.kallsyms]      [k] __update_load_avg_cfs_rq
     0.31%  HomeTimelineSer  libstdc++.so.6.0.21    [.] operator new
     0.31%  HomeTimelineSer  [kernel.kallsyms]      [k] __seccomp_filter
     0.30%  HomeTimelineSer  [kernel.kallsyms]      [k] native_queued_spin_lock_slowpath
     0.30%  HomeTimelineSer  HomeTimelineService    [.] social_network::Post::~Post
     0.30%  HomeTimelineSer  [kernel.kallsyms]      [k] _raw_spin_lock_bh
     0.29%  HomeTimelineSer  [kernel.kallsyms]      [k] ip_output
     0.28%  HomeTimelineSer  [kernel.kallsyms]      [k] __kmalloc_node_track_caller
     0.28%  HomeTimelineSer  [kernel.kallsyms]      [k] update_blocked_averages
     0.28%  HomeTimelineSer  HomeTimelineService    [.] memcpy@plt
     0.28%  HomeTimelineSer  HomeTimelineService    [.] apache::thrift::protocol::TVirtualProtocol<apache::thrift::protocol::TBinaryProtocolT<apache::thrift::transport::TTransport, apache::thrift::protocol::TNetworkBigEndian>, apache::thrift::protocol::TProtocolDefaults>::readI64_virt
     0.27%  HomeTimelineSer  [kernel.kallsyms]      [k] br_nf_forward_ip
     0.27%  HomeTimelineSer  [kernel.kallsyms]      [k] update_cfs_group
     0.27%  HomeTimelineSer  [kernel.kallsyms]      [k] update_curr
     0.27%  HomeTimelineSer  [kernel.kallsyms]      [k] fdb_find_rcu
     0.26%  HomeTimelineSer  libjaegertracing.so.0  [.] jaegertracing::Span::FinishWithOptions
     0.26%  HomeTimelineSer  [kernel.kallsyms]      [k] nf_nat_inet_fn
     0.26%  HomeTimelineSer  HomeTimelineService    [.] social_network::HomeTimelineHandler::ReadHomeTimeline
     0.25%  HomeTimelineSer  [kernel.kallsyms]      [k] br_nf_hook_thresh
     0.25%  HomeTimelineSer  [kernel.kallsyms]      [k] tcp_in_window
     0.25%  HomeTimelineSer  [kernel.kallsyms]      [k] ipv4_dst_check
     0.25%  HomeTimelineSer  [kernel.kallsyms]      [k] _raw_spin_lock_irqsave
     0.25%  HomeTimelineSer  libthrift.so.0.12.0    [.] apache::thrift::transport::TSocket::read
     0.25%  HomeTimelineSer  [kernel.kallsyms]      [k] ipv4_mtu
     0.25%  HomeTimelineSer  libstdc++.so.6.0.21    [.] std::istream::get
     0.25%  HomeTimelineSer  libpthread-2.23.so     [.] pthread_mutex_unlock
     0.24%  HomeTimelineSer  [kernel.kallsyms]      [k] process_backlog
     0.24%  HomeTimelineSer  libc-2.23.so           [.] calloc
     0.24%  HomeTimelineSer  libstdc++.so.6.0.21    [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_create
     0.23%  HomeTimelineSer  [kernel.kallsyms]      [k] read_tsc
     0.23%  HomeTimelineSer  [kernel.kallsyms]      [k] nf_nat_ipv4_local_fn
     0.23%  HomeTimelineSer  [kernel.kallsyms]      [k] kmem_cache_alloc_node
     0.23%  HomeTimelineSer  [kernel.kallsyms]      [k] try_to_wake_up
     0.23%  HomeTimelineSer  HomeTimelineService    [.] social_network::Url::read
     0.23%  HomeTimelineSer  [kernel.kallsyms]      [k] mlx5e_xmit
     0.23%  HomeTimelineSer  [kernel.kallsyms]      [k] mlx5e_features_check
     0.22%  HomeTimelineSer  [kernel.kallsyms]      [k] ip_vs_local_reply4
     0.22%  HomeTimelineSer  [kernel.kallsyms]      [k] __local_bh_enable_ip
     0.22%  HomeTimelineSer  libjaegertracing.so.0  [.] jaegertracing::Tracer::startSpanInternal
     0.22%  HomeTimelineSer  [kernel.kallsyms]      [k] nf_ct_get_tuple
     0.22%  HomeTimelineSer  [kernel.kallsyms]      [k] __update_load_avg_se
     0.22%  HomeTimelineSer  [kernel.kallsyms]      [k] hash_conntrack_raw
     0.22%  HomeTimelineSer  [kernel.kallsyms]      [k] br_handle_frame_finish
     0.22%  HomeTimelineSer  libpthread-2.23.so     [.] recv
     0.22%  HomeTimelineSer  libstdc++.so.6.0.21    [.] __dynamic_cast
     0.21%  HomeTimelineSer  [kernel.kallsyms]      [k] ip_vs_out.part.0
     0.21%  HomeTimelineSer  HomeTimelineService    [.] std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release
     0.21%  HomeTimelineSer  HomeTimelineService    [.] social_network::Media::read
     0.21%  HomeTimelineSer  HomeTimelineService    [.] redisvFormatCommand
     0.21%  HomeTimelineSer  [kernel.kallsyms]      [k] aa_sk_perm
     0.21%  HomeTimelineSer  [kernel.kallsyms]      [k] do_sys_poll
     0.21%  HomeTimelineSer  HomeTimelineService    [.] apache::thrift::transport::TVirtualTransport<apache::thrift::transport::TFramedTransport, apache::thrift::transport::TBufferBase>::consume_virt
     0.20%  HomeTimelineSer  HomeTimelineService    [.] apache::thrift::protocol::TVirtualProtocol<apache::thrift::protocol::TBinaryProtocolT<apache::thrift::transport::TTransport, apache::thrift::protocol::TNetworkBigEndian>, apache::thrift::protocol::TProtocolDefaults>::writeFieldStop_virt
     0.20%  HomeTimelineSer  [kernel.kallsyms]      [k] br_nf_post_routing
     0.20%  HomeTimelineSer  HomeTimelineService    [.] redisReaderGetReply
     0.19%  HomeTimelineSer  [kernel.kallsyms]      [k] validate_xmit_skb
     0.19%  HomeTimelineSer  [kernel.kallsyms]      [k] net_rx_action
     0.19%  HomeTimelineSer  HomeTimelineService    [.] sdscatlen
     0.19%  HomeTimelineSer  HomeTimelineService    [.] social_network::HomeTimelineServiceProcessor::process_ReadHomeTimeline
     0.19%  HomeTimelineSer  [kernel.kallsyms]      [k] dev_hard_start_xmit
     0.19%  HomeTimelineSer  [kernel.kallsyms]      [k] __schedule
     0.19%  HomeTimelineSer  [kernel.kallsyms]      [k] dequeue_task_fair
     0.19%  HomeTimelineSer  [kernel.kallsyms]      [k] nf_ct_seq_offset
     0.18%  HomeTimelineSer  HomeTimelineService    [.] social_network::UserMention::read
     0.18%  HomeTimelineSer  [kernel.kallsyms]      [k] __x86_indirect_thunk_rax
     0.18%  HomeTimelineSer  HomeTimelineService    [.] apache::thrift::protocol::TBinaryProtocolT<apache::thrift::transport::TTransport, apache::thrift::protocol::TNetworkBigEndian>::readSetBegin
     0.18%  HomeTimelineSer  HomeTimelineService    [.] apache::thrift::protocol::TVirtualProtocol<apache::thrift::protocol::TBinaryProtocolT<apache::thrift::transport::TTransport, apache::thrift::protocol::TNetworkBigEndian>, apache::thrift::protocol::TProtocolDefaults>::writeFieldEnd_virt
     0.18%  HomeTimelineSer  [kernel.kallsyms]      [k] ip_vs_in.part.0
     0.18%  HomeTimelineSer  libc-2.23.so           [.] __libc_realloc
     0.18%  HomeTimelineSer  [kernel.kallsyms]      [k] memcmp
     0.18%  HomeTimelineSer  [kernel.kallsyms]      [k] memset_erms
     0.18%  HomeTimelineSer  libjaegertracing.so.0  [.] jaegertracing::TraceID::fromStream
     0.18%  HomeTimelineSer  [kernel.kallsyms]      [k] skb_release_data
     0.18%  HomeTimelineSer  [kernel.kallsyms]      [k] __ip_finish_output
     0.18%  HomeTimelineSer  [kernel.kallsyms]      [k] __softirqentry_text_start
     0.17%  HomeTimelineSer  [kernel.kallsyms]      [k] cpuacct_charge
     0.17%  HomeTimelineSer  [kernel.kallsyms]      [k] ipv4_conntrack_defrag
     0.17%  HomeTimelineSer  [kernel.kallsyms]      [k] eth_type_trans
     0.17%  HomeTimelineSer  [kernel.kallsyms]      [k] mod_timer
     0.17%  HomeTimelineSer  [kernel.kallsyms]      [k] netif_skb_features
     0.17%  HomeTimelineSer  [kernel.kallsyms]      [k] ipv4_confirm
     0.17%  HomeTimelineSer  [kernel.kallsyms]      [k] skb_segment
     0.17%  HomeTimelineSer  [kernel.kallsyms]      [k] sock_poll
     0.17%  HomeTimelineSer  [kernel.kallsyms]      [k] vxlan_xmit
     0.17%  HomeTimelineSer  libjaegertracing.so.0  [.] jaegertracing::Tracer::StartSpanWithOptions
     0.16%  HomeTimelineSer  [kernel.kallsyms]      [k] syscall_trace_enter
     0.16%  HomeTimelineSer  [kernel.kallsyms]      [k] do_csum
     0.16%  HomeTimelineSer  [kernel.kallsyms]      [k] iptable_mangle_hook
     0.16%  HomeTimelineSer  [kernel.kallsyms]      [k] __ksize
     0.16%  HomeTimelineSer  [kernel.kallsyms]      [k] __skb_datagram_iter
     0.16%  HomeTimelineSer  HomeTimelineService    [.] apache::thrift::protocol::TVirtualProtocol<apache::thrift::protocol::TBinaryProtocolT<apache::thrift::transport::TTransport, apache::thrift::protocol::TNetworkBigEndian>, apache::thrift::protocol::TProtocolDefaults>::writeI64_virt
     0.15%  HomeTimelineSer  HomeTimelineService    [.] std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::~_Hashtable
     0.15%  HomeTimelineSer  [kernel.kallsyms]      [k] __virt_addr_valid
     0.15%  HomeTimelineSer  [kernel.kallsyms]      [k] __alloc_skb
     0.15%  HomeTimelineSer  HomeTimelineService    [.] std::vector<social_network::Post, std::allocator<social_network::Post> >::_M_default_append
     0.15%  HomeTimelineSer  HomeTimelineService    [.] std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_assign<std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_assign(std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> > const&)::{lambda(std::__detail::_Hash_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, true> const*)#1}>
     0.15%  HomeTimelineSer  [kernel.kallsyms]      [k] __slab_free
     0.14%  HomeTimelineSer  [kernel.kallsyms]      [k] enqueue_to_backlog
     0.14%  HomeTimelineSer  [kernel.kallsyms]      [k] tcp_event_new_data_sent
     0.14%  HomeTimelineSer  [kernel.kallsyms]      [k] __check_object_size
     0.14%  HomeTimelineSer  [kernel.kallsyms]      [k] copy_user_generic_unrolled
     0.14%  HomeTimelineSer  libstdc++.so.6.0.21    [.] std::istream::sentry::sentry
     0.14%  HomeTimelineSer  [kernel.kallsyms]      [k] native_sched_clock
     0.14%  HomeTimelineSer  libjaegertracing.so.0  [.] jaegertracing::Tracer::analyzeReferences
     0.14%  HomeTimelineSer  [kernel.kallsyms]      [k] ip_vs_nat_xmit
     0.14%  HomeTimelineSer  [kernel.kallsyms]      [k] switch_fpu_return
     0.14%  HomeTimelineSer  [kernel.kallsyms]      [k] kmem_cache_alloc
     0.14%  HomeTimelineSer  HomeTimelineService    [.] social_network::Creator::read
     0.14%  HomeTimelineSer  [kernel.kallsyms]      [k] netdev_core_pick_tx
     0.14%  HomeTimelineSer  [kernel.kallsyms]      [k] br_nf_dev_queue_xmit
     0.14%  HomeTimelineSer  HomeTimelineService    [.] apache::thrift::protocol::TVirtualProtocol<apache::thrift::protocol::TBinaryProtocolT<apache::thrift::transport::TTransport, apache::thrift::protocol::TNetworkBigEndian>, apache::thrift::protocol::TProtocolDefaults>::writeListBegin_virt
     0.14%  HomeTimelineSer  [kernel.kallsyms]      [k] __cgroup_bpf_run_filter_skb
     0.14%  HomeTimelineSer  [kernel.kallsyms]      [k] __inet_lookup_established
     0.14%  HomeTimelineSer  HomeTimelineService    [.] sw::redis::ConnectionPool::fetch
     0.14%  HomeTimelineSer  [kernel.kallsyms]      [k] entry_SYSCALL_64_after_hwframe
     0.14%  HomeTimelineSer  libthrift.so.0.12.0    [.] apache::thrift::transport::TFramedTransport::readFrame
     0.13%  HomeTimelineSer  libstdc++.so.6.0.21    [.] std::locale::locale
     0.13%  HomeTimelineSer  [kernel.kallsyms]      [k] nf_ct_deliver_cached_events
     0.13%  HomeTimelineSer  HomeTimelineService    [.] apache::thrift::protocol::TVirtualProtocol<apache::thrift::protocol::TBinaryProtocolT<apache::thrift::transport::TTransport, apache::thrift::protocol::TNetworkBigEndian>, apache::thrift::protocol::TProtocolDefaults>::readFieldEnd_virt
     0.13%  HomeTimelineSer  HomeTimelineService    [.] social_network::UserMention::write
     0.13%  HomeTimelineSer  [kernel.kallsyms]      [k] tcp_rcv_established
     0.13%  HomeTimelineSer  [kernel.kallsyms]      [k] __ip_queue_xmit
     0.13%  HomeTimelineSer  [kernel.kallsyms]      [k] skb_ext_add
     0.13%  HomeTimelineSer  [kernel.kallsyms]      [k] __vxlan_find_mac
     0.13%  HomeTimelineSer  [kernel.kallsyms]      [k] pick_next_task_fair
     0.13%  HomeTimelineSer  libstdc++.so.6.0.21    [.] std::locale::~locale
     0.13%  HomeTimelineSer  HomeTimelineService    [.] std::vector<social_network::Url, std::allocator<social_network::Url> >::_M_default_append
     0.13%  HomeTimelineSer  [kernel.kallsyms]      [k] ipv4_conntrack_local
     0.13%  HomeTimelineSer  [kernel.kallsyms]      [k] br_forward
     0.13%  HomeTimelineSer  [kernel.kallsyms]      [k] update_nohz_stats
     0.13%  HomeTimelineSer  [kernel.kallsyms]      [k] aa_profile_af_perm
     0.13%  HomeTimelineSer  [kernel.kallsyms]      [k] dequeue_entity
     0.13%  HomeTimelineSer  [kernel.kallsyms]      [k] ip_rcv_core.isra.0
     0.13%  HomeTimelineSer  [kernel.kallsyms]      [k] __br_forward
     0.12%  HomeTimelineSer  HomeTimelineService    [.] social_network::PostStorageServiceClient::recv_ReadPosts
     0.12%  HomeTimelineSer  libjaegertracing.so.0  [.] opentracing::v2::Tracer::Global
     0.12%  HomeTimelineSer  HomeTimelineService    [.] apache::thrift::protocol::TVirtualProtocol<apache::thrift::protocol::TBinaryProtocolT<apache::thrift::transport::TTransport, apache::thrift::protocol::TNetworkBigEndian>, apache::thrift::protocol::TProtocolDefaults>::readStructBegin_virt
     0.12%  HomeTimelineSer  libstdc++.so.6.0.21    [.] operator delete
     0.12%  HomeTimelineSer  [kernel.kallsyms]      [k] reweight_entity
     0.12%  HomeTimelineSer  [kernel.kallsyms]      [k] aa_label_sk_perm.part.0
     0.12%  HomeTimelineSer  [kernel.kallsyms]      [k] __perf_event_task_sched_out
     0.12%  HomeTimelineSer  [kernel.kallsyms]      [k] br_nf_pre_routing_finish
     0.12%  HomeTimelineSer  HomeTimelineService    [.] social_network::HomeTimelineService_ReadHomeTimeline_args::read
     0.12%  HomeTimelineSer  [kernel.kallsyms]      [k] mlx5_eq_comp_int
     0.12%  HomeTimelineSer  [kernel.kallsyms]      [k] sk_wait_data
     0.12%  HomeTimelineSer  HomeTimelineService    [.] std::vector<social_network::Media, std::allocator<social_network::Media> >::_M_default_append
     0.12%  HomeTimelineSer  HomeTimelineService    [.] social_network::Url::write
     0.12%  HomeTimelineSer  [kernel.kallsyms]      [k] mlx5e_poll_tx_cq
     0.12%  HomeTimelineSer  [kernel.kallsyms]      [k] dst_cache_per_cpu_get.isra.0
     0.12%  HomeTimelineSer  libstdc++.so.6.0.21    [.] __cxxabiv1::__vmi_class_type_info::__do_dyncast
     0.11%  HomeTimelineSer  [kernel.kallsyms]      [k] ip_vs_reply4
     0.11%  HomeTimelineSer  HomeTimelineService    [.] sw::redis::ConnectionPool::_fetch
     0.11%  HomeTimelineSer  [kernel.kallsyms]      [k] ip_route_input_slow
     0.11%  HomeTimelineSer  libstdc++.so.6.0.21    [.] std::chrono::_V2::steady_clock::now
     0.11%  HomeTimelineSer  [kernel.kallsyms]      [k] __secure_computing
     0.11%  HomeTimelineSer  [kernel.kallsyms]      [k] __perf_event_task_sched_in
     0.11%  HomeTimelineSer  [kernel.kallsyms]      [k] fput_many
     0.11%  HomeTimelineSer  [kernel.kallsyms]      [k] ktime_get
     0.11%  HomeTimelineSer  [kernel.kallsyms]      [k] skb_network_protocol
     0.11%  HomeTimelineSer  [kernel.kallsyms]      [k] native_write_msr
     0.11%  HomeTimelineSer  [kernel.kallsyms]      [k] __sys_sendto
     0.11%  HomeTimelineSer  [kernel.kallsyms]      [k] ip_send_check
     0.11%  HomeTimelineSer  [kernel.kallsyms]      [k] conntrack_mt_v3
     0.11%  HomeTimelineSer  HomeTimelineService    [.] apache::thrift::transport::TVirtualTransport<apache::thrift::transport::TFramedTransport, apache::thrift::transport::TBufferBase>::borrow_virt
     0.11%  HomeTimelineSer  [kernel.kallsyms]      [k] iptunnel_xmit
     0.11%  HomeTimelineSer  libstdc++.so.6.0.21    [.] free@plt
     0.11%  HomeTimelineSer  [kernel.kallsyms]      [k] ip_idents_reserve
     0.10%  HomeTimelineSer  [kernel.kallsyms]      [k] __get_xps_queue_idx
     0.10%  HomeTimelineSer  [kernel.kallsyms]      [k] ip_finish_output
     0.10%  HomeTimelineSer  HomeTimelineService    [.] social_network::Media::write
     0.10%  HomeTimelineSer  [kernel.kallsyms]      [k] ksoftirqd_running
     0.10%  HomeTimelineSer  libc-2.23.so           [.] clock_gettime
     0.10%  HomeTimelineSer  [kernel.kallsyms]      [k] tcp_current_mss
     0.10%  HomeTimelineSer  [kernel.kallsyms]      [k] __xfrm_decode_session
     0.10%  HomeTimelineSer  [kernel.kallsyms]      [k] apparmor_socket_sendmsg
     0.10%  HomeTimelineSer  libc-2.23.so           [.] _IO_default_xsputn
     0.10%  HomeTimelineSer  [kernel.kallsyms]      [k] skb_udp_tunnel_segment
     0.10%  HomeTimelineSer  HomeTimelineService    [.] sw::redis::SafeConnection::~SafeConnection
     0.10%  HomeTimelineSer  [kernel.kallsyms]      [k] newidle_balance
     0.10%  HomeTimelineSer  [kernel.kallsyms]      [k] inet_gso_segment
     0.10%  HomeTimelineSer  [kernel.kallsyms]      [k] tcp_wfree
     0.10%  HomeTimelineSer  [kernel.kallsyms]      [k] __ip_vs_get_out_rt
     0.10%  HomeTimelineSer  HomeTimelineService    [.] apache::thrift::protocol::TBinaryProtocolT<apache::thrift::transport::TTransport, apache::thrift::protocol::TNetworkBigEndian>::readMessageBegin
     0.10%  HomeTimelineSer  [kernel.kallsyms]      [k] nf_conntrack_udp_packet
     0.10%  HomeTimelineSer  HomeTimelineService    [.] social_network::HomeTimelineServiceProcessor::dispatchCall
     0.10%  HomeTimelineSer  [kernel.kallsyms]      [k] release_sock
     0.10%  HomeTimelineSer  [kernel.kallsyms]      [k] ip_route_output_key_hash_rcu
     0.10%  HomeTimelineSer  [kernel.kallsyms]      [k] ktime_get_with_offset
     0.10%  HomeTimelineSer  [kernel.kallsyms]      [k] tcp_release_cb
     0.10%  HomeTimelineSer  [kernel.kallsyms]      [k] ctx_sched_in
     0.10%  HomeTimelineSer  [kernel.kallsyms]      [k] wait_woken
