# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 124554273
#
# Overhead  Command          Shared Object       Symbol                                                                                                                                                                                                                                                                                                                                      
# ........  ...............  ..................  ............................................................................................................................................................................................................................................................................................................................................
#
     0.05%  ftdc             [kernel.kallsyms]   [k] get_cpu_iowait_time_us
     0.05%  ftdc             mongod              [.] boost::detail::function::function_obj_invoker2<boost::algorithm::detail::token_finderF<mongo::procparser::parseProcNetstat(std::vector<mongo::StringData, std::allocator<mongo::StringData> > const&, mongo::StringData, mongo::BSONObjBuilder*)::{lambda(char)#2}>, boost::iterator_range<char const*>, char const, char const>::invoke
     0.05%  ftdc             [kernel.kallsyms]   [k] inode_permission
     0.05%  ftdc             libc-2.27.so        [.] _IO_doallocbuf
     0.05%  ftdc             [kernel.kallsyms]   [k] nf_ct_deliver_cached_events
     0.05%  ftdc             [kernel.kallsyms]   [k] psi_task_change
     0.04%  mongod           mongod              [.] __wt_curhs_cache
     0.03%  mongod           libpthread-2.27.so  [.] pthread_mutex_unlock
     0.03%  DeadlineMonitor  libpthread-2.27.so  [.] pthread_mutex_trylock
     0.02%  mongod           [kernel.kallsyms]   [k] update_dl_rq_load_avg
     0.02%  mongod           [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
     0.01%  mongod           [kernel.kallsyms]   [k] switch_fpu_return
     0.01%  mongod           [kernel.kallsyms]   [k] update_blocked_averages
     0.01%  DeadlineMonitor  [kernel.kallsyms]   [k] prepare_exit_to_usermode
     0.00%  JournalFlusher   [kernel.kallsyms]   [k] native_write_msr
     0.00%  mongod           [kernel.kallsyms]   [k] native_write_msr
     0.00%  Backgro.kSource  [kernel.kallsyms]   [k] native_write_msr
     0.00%  FlowCon.fresher  [kernel.kallsyms]   [k] native_write_msr
     0.00%  Timesta.Monitor  [kernel.kallsyms]   [k] native_write_msr
     0.00%  DeadlineMonitor  [kernel.kallsyms]   [k] native_write_msr
     0.00%  WTCheck.tThread  [kernel.kallsyms]   [k] native_write_msr
     0.00%  ftdc             [kernel.kallsyms]   [k] native_write_msr
     0.00%  clientcursormon  [kernel.kallsyms]   [k] native_write_msr
     0.00%  decreas.ressure  [kernel.kallsyms]   [k] native_write_msr
     0.00%  FreeMon.ocessor  [kernel.kallsyms]   [k] native_write_msr
     0.00%  WTIdleS.Sweeper  [kernel.kallsyms]   [k] native_write_msr
     0.00%  conn2            [kernel.kallsyms]   [k] native_write_msr
     0.00%  Periodi.kRunner  [kernel.kallsyms]   [k] native_write_msr
     0.00%  TTLMonitor       [kernel.kallsyms]   [k] native_write_msr
     0.00%  abortEx.actions  [kernel.kallsyms]   [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
