# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 103477710
#
# Overhead  Command          Shared Object       Symbol                                                                                                        
# ........  ...............  ..................  ..............................................................................................................
#
     1.05%  ftdc             mongod              [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_mutate
     1.03%  mongod           mongod              [.] __wt_curhs_cache
     1.03%  ftdc             [kernel.kallsyms]   [k] futex_wait_queue_me
     1.03%  ftdc             mongod              [.] __wt_stat_connection_aggregate
     0.97%  ftdc             [kernel.kallsyms]   [k] __nf_ct_refresh_acct
     0.90%  ftdc             libpthread-2.27.so  [.] pthread_cond_timedwait@@GLIBC_2.3.2
     0.85%  ftdc             [kernel.kallsyms]   [k] vsnprintf
     0.79%  ftdc             mongod              [.] mongo::procparser::parseProcMemInfo
     0.77%  conn6            mongod              [.] mongo::transport::TransportLayerASIO::makeBaton
     0.74%  ftdc             [kernel.kallsyms]   [k] put_prev_entity
     0.69%  ftdc             [kernel.kallsyms]   [k] aa_dfa_match
     0.61%  mongod           mongod              [.] __wt_txn_release_snapshot
     0.56%  mongod           mongod              [.] __evict_pass
     0.30%  ftdc             mongod              [.] mongo::reportGlobalLockingStats
     0.29%  Backgro.kSource  [kernel.kallsyms]   [k] irq_exit
     0.25%  ftdc             mongod              [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>
     0.25%  ftdc             mongod              [.] mongo::procparser::parseProcNetstat
     0.22%  ftdc             [kernel.kallsyms]   [k] snmp_fold_field
     0.19%  ftdc             [kernel.kallsyms]   [k] put_dec
     0.17%  ftdc             [kernel.kallsyms]   [k] find_next_bit
     0.16%  clientcursormon  [kernel.kallsyms]   [k] update_blocked_averages
     0.10%  mongod           [kernel.kallsyms]   [k] rb_next
     0.10%  mongod           [kernel.kallsyms]   [k] switch_fpu_return
     0.09%  ftdc             [kernel.kallsyms]   [k] apic_timer_interrupt
     0.09%  ftdc             mongod              [.] mongo::(anonymous namespace)::Connections::generateSection
     0.09%  mongod           [kernel.kallsyms]   [k] perf_swevent_add
     0.07%  ftdc             mongod              [.] mongo::BSONObjBuilder::~BSONObjBuilder
     0.06%  ftdc             [kernel.kallsyms]   [k] prepend_name
     0.06%  ftdc             [kernel.kallsyms]   [k] cpumask_next
     0.06%  mongod           [kernel.kallsyms]   [k] update_blocked_averages
     0.05%  mongod           mongod              [.] __curfile_reset
     0.04%  conn6            mongod              [.] mongo::ServiceStateMachine::_scheduleNextWithGuard
     0.04%  mongod           [kernel.kallsyms]   [k] __update_load_avg_se
     0.02%  mongod           mongod              [.] __log_file_server
     0.01%  conn6            [kernel.kallsyms]   [k] prepare_exit_to_usermode
     0.01%  Backgro.kSource  [kernel.kallsyms]   [k] _raw_spin_lock_irq
     0.00%  mongod           [kernel.kallsyms]   [k] native_write_msr
     0.00%  JournalFlusher   [kernel.kallsyms]   [k] native_write_msr
     0.00%  Backgro.kSource  [kernel.kallsyms]   [k] native_write_msr
     0.00%  DeadlineMonitor  [kernel.kallsyms]   [k] native_write_msr
     0.00%  FlowCon.fresher  [kernel.kallsyms]   [k] native_write_msr
     0.00%  Timesta.Monitor  [kernel.kallsyms]   [k] native_write_msr
     0.00%  ftdc             [kernel.kallsyms]   [k] native_write_msr
     0.00%  clientcursormon  [kernel.kallsyms]   [k] native_write_msr
     0.00%  decreas.ressure  [kernel.kallsyms]   [k] native_write_msr
     0.00%  WTIdleS.Sweeper  [kernel.kallsyms]   [k] native_write_msr
     0.00%  conn6            [kernel.kallsyms]   [k] native_write_msr
     0.00%  abortEx.actions  [kernel.kallsyms]   [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
