# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 24K of event 'cycles'
# Event count (approx.): 60185330682
#
# Overhead  Command  Shared Object      Symbol                                                                                     
# ........  .......  .................  ...........................................................................................
#
     0.30%  rate     [kernel.kallsyms]  [k] cpuacct_charge
     0.30%  rate     [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.29%  rate     rate               [.] runtime.mapassign
     0.29%  rate     rate               [.] encoding/json.(*decodeState).literalStore
     0.29%  rate     rate               [.] memeqbody
     0.29%  rate     [kernel.kallsyms]  [k] ipt_do_table
     0.29%  rate     rate               [.] path/filepath.Clean
     0.29%  rate     rate               [.] fmt.(*ss).advance
     0.29%  rate     [kernel.kallsyms]  [k] native_sched_clock
     0.28%  rate     [kernel.kallsyms]  [k] enqueue_entity
     0.28%  rate     [kernel.kallsyms]  [k] perf_swevent_add
     0.27%  rate     rate               [.] path/filepath.Rel
     0.27%  rate     [kernel.kallsyms]  [k] try_to_wake_up
     0.27%  rate     [kernel.kallsyms]  [k] nf_hook_slow
     0.26%  rate     rate               [.] runtime.mapaccess1
     0.26%  rate     rate               [.] github.com/rs/zerolog/internal/json.appendStringComplex
     0.25%  rate     [kernel.kallsyms]  [k] __schedule
     0.25%  rate     rate               [.] fmt.isSpace
     0.25%  rate     rate               [.] github.com/rs/zerolog/internal/json.Encoder.AppendString
     0.25%  rate     [kernel.kallsyms]  [k] update_cfs_rq_h_load
     0.24%  rate     rate               [.] golang.org/x/net/http2.(*Framer).readMetaFrame.func1
     0.24%  rate     [kernel.kallsyms]  [k] nf_conntrack_tcp_packet
     0.24%  rate     rate               [.] strconv.ParseUint
     0.24%  rate     rate               [.] golang.org/x/net/http2/hpack.huffmanDecode
     0.24%  rate     rate               [.] runtime.scanblock
     0.24%  rate     rate               [.] encoding/json.checkValid
     0.24%  rate     rate               [.] google.golang.org/grpc/transport.(*http2Server).itemHandler
     0.23%  rate     [kernel.kallsyms]  [k] __perf_event_task_sched_in
     0.23%  rate     [kernel.kallsyms]  [k] tcp_in_window
     0.23%  rate     rate               [.] runtime.retake
     0.23%  rate     [kernel.kallsyms]  [k] tcp_recvmsg
     0.23%  rate     [kernel.kallsyms]  [k] br_handle_frame
     0.22%  rate     rate               [.] runtime.reentersyscall
     0.22%  rate     rate               [.] runtime.netpoll
     0.22%  rate     [kernel.kallsyms]  [k] perf_event_update_userpage
     0.22%  rate     rate               [.] runtime.mapassign_faststr
     0.21%  rate     rate               [.] fmt.(*pp).printArg
     0.21%  rate     rate               [.] io.ReadAtLeast
     0.21%  rate     [kernel.kallsyms]  [k] read_tsc
     0.21%  rate     rate               [.] runtime.mapaccess1_faststr
     0.21%  rate     [kernel.kallsyms]  [k] kmem_cache_alloc
     0.20%  rate     [kernel.kallsyms]  [k] nf_conntrack_in
     0.20%  rate     rate               [.] encoding/json.indirect
     0.20%  rate     [kernel.kallsyms]  [k] veth_xmit
     0.20%  rate     [kernel.kallsyms]  [k] br_nf_pre_routing
     0.19%  rate     rate               [.] runtime.checkTimersNoP
     0.19%  rate     [kernel.kallsyms]  [k] select_idle_sibling.part.0
     0.19%  rate     rate               [.] runtime.slicebytetostring
     0.19%  rate     rate               [.] runtime.mapaccess2_faststr
     0.19%  rate     rate               [.] runtime.runqgrab
     0.19%  rate     [kernel.kallsyms]  [k] timerqueue_add
     0.18%  rate     rate               [.] runtime.resolveTypeOff
     0.18%  rate     [kernel.kallsyms]  [k] common_file_perm
     0.18%  rate     [kernel.kallsyms]  [k] __x86_indirect_thunk_rax
     0.18%  rate     rate               [.] runtime.sysmon
     0.18%  rate     [kernel.kallsyms]  [k] futex_wake
     0.18%  rate     rate               [.] time.appendInt
     0.18%  rate     [kernel.kallsyms]  [k] ipv4_dst_check
     0.17%  rate     rate               [.] runtime.getitab
     0.17%  rate     rate               [.] runtime.mDoFixup
     0.17%  rate     rate               [.] encoding/json.stateEndValue
     0.17%  rate     [kernel.kallsyms]  [k] ctx_sched_in
     0.17%  rate     [kernel.kallsyms]  [k] __update_load_avg_se
     0.17%  rate     [kernel.kallsyms]  [k] __netif_receive_skb_core
     0.17%  rate     [kernel.kallsyms]  [k] smp_call_function_many
     0.16%  rate     [kernel.kallsyms]  [k] rb_insert_color
     0.16%  rate     [kernel.kallsyms]  [k] dequeue_task_fair
     0.16%  rate     rate               [.] sync.(*Pool).pin
     0.16%  rate     [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.16%  rate     [kernel.kallsyms]  [k] find_next_bit
     0.16%  rate     [kernel.kallsyms]  [k] hash_conntrack_raw
     0.16%  rate     rate               [.] runtime.nanotime1.abi0
     0.16%  rate     [kernel.kallsyms]  [k] ip_finish_output2
     0.15%  rate     [kernel.kallsyms]  [k] rb_erase
     0.15%  rate     rate               [.] runtime.stackalloc
     0.15%  rate     [kernel.kallsyms]  [k] __perf_event_task_sched_out
     0.15%  rate     [kernel.kallsyms]  [k] _raw_read_lock_irqsave
     0.15%  rate     rate               [.] internal/poll.(*FD).Read
     0.15%  rate     [kernel.kallsyms]  [k] __dev_queue_xmit
     0.15%  rate     [kernel.kallsyms]  [k] prepare_exit_to_usermode
     0.15%  rate     [kernel.kallsyms]  [k] memcg_kmem_put_cache
     0.15%  rate     [kernel.kallsyms]  [k] ipv4_confirm
     0.15%  rate     [kernel.kallsyms]  [k] memset_erms
     0.15%  rate     [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     0.14%  rate     rate               [.] fmt.(*ss).scanOne
     0.14%  rate     rate               [.] internal/poll.runtime_pollReset
     0.14%  rate     rate               [.] google.golang.org/grpc/transport.(*decodeState).processHeaderField
     0.14%  rate     rate               [.] github.com/harlow/go-micro-services/services/rate.(*Server).GetRates
     0.14%  rate     rate               [.] runtime.exitsyscallfast
     0.14%  rate     [kernel.kallsyms]  [k] __update_idle_core
     0.14%  rate     [kernel.kallsyms]  [k] newidle_balance
     0.14%  rate     rate               [.] runtime.schedule
     0.14%  rate     [kernel.kallsyms]  [k] mutex_lock
     0.14%  rate     rate               [.] fmt.(*ss).ReadRune
     0.14%  rate     [kernel.kallsyms]  [k] futex_wait
     0.14%  rate     [kernel.kallsyms]  [k] record_times
     0.14%  rate     rate               [.] internal/poll.(*FD).Write
     0.14%  rate     [kernel.kallsyms]  [k] rb_next
     0.14%  rate     [kernel.kallsyms]  [k] ipv4_conntrack_defrag
     0.14%  rate     rate               [.] runtime.chansend
     0.14%  rate     rate               [.] runtime.futex.abi0
     0.13%  rate     [kernel.kallsyms]  [k] nf_ct_deliver_cached_events
     0.13%  rate     rate               [.] encoding/json.stateBeginValue
     0.13%  rate     rate               [.] reflect.Value.Elem
     0.13%  rate     [kernel.kallsyms]  [k] account_entity_dequeue
     0.13%  rate     [kernel.kallsyms]  [k] copy_user_generic_unrolled
     0.13%  rate     rate               [.] reflect.name.name
     0.13%  rate     rate               [.] runtime.exitsyscall
     0.13%  rate     [kernel.kallsyms]  [k] ip_rcv_core.isra.0
     0.13%  rate     rate               [.] net/url.unescape
     0.13%  rate     [kernel.kallsyms]  [k] tcp_sendmsg_locked
     0.13%  rate     rate               [.] encoding/json.(*decodeState).unmarshal
     0.13%  rate     rate               [.] golang.org/x/net/http2.(*Framer).ReadFrame
     0.13%  rate     [kernel.kallsyms]  [k] __calc_delta
     0.13%  rate     [kernel.kallsyms]  [k] nf_nat_inet_fn
     0.13%  rate     rate               [.] github.com/rs/zerolog.ConsoleWriter.Write
     0.13%  rate     rate               [.] syscall.Getenv
     0.13%  rate     rate               [.] runtime.futexsleep
     0.13%  rate     [kernel.kallsyms]  [k] __virt_addr_valid
     0.13%  rate     [kernel.kallsyms]  [k] __wake_up_common
     0.13%  rate     [kernel.kallsyms]  [k] ktime_get
     0.12%  rate     [kernel.kallsyms]  [k] __lock_text_start
     0.12%  rate     [kernel.kallsyms]  [k] tcp_write_xmit
     0.12%  rate     rate               [.] runtime.pidleget
     0.12%  rate     [kernel.kallsyms]  [k] __inet_lookup_established
     0.12%  rate     [kernel.kallsyms]  [k] ctx_sched_out
     0.12%  rate     [kernel.kallsyms]  [k] apic_timer_interrupt
     0.12%  rate     [kernel.kallsyms]  [k] tcp_rearm_rto
     0.12%  rate     rate               [.] runtime.usleep.abi0
     0.12%  rate     rate               [.] indexbytebody
     0.11%  rate     rate               [.] runtime.checkRunqsNoP
     0.11%  rate     [kernel.kallsyms]  [k] pick_next_task_fair
     0.11%  rate     [kernel.kallsyms]  [k] common_perm
     0.11%  rate     [kernel.kallsyms]  [k] ep_poll
     0.11%  rate     [kernel.kallsyms]  [k] kmem_cache_free
     0.11%  rate     [kernel.kallsyms]  [k] mod_timer
     0.11%  rate     rate               [.] fmt.(*fmt).fmtInteger
     0.11%  rate     [kernel.kallsyms]  [k] tcp_schedule_loss_probe
     0.11%  rate     [kernel.kallsyms]  [k] x86_pmu_disable
     0.11%  rate     [kernel.kallsyms]  [k] eth_type_trans
     0.11%  rate     rate               [.] os.(*File).Write
     0.11%  rate     rate               [.] encoding/json.(*decodeState).value
     0.11%  rate     rate               [.] reflect.Value.assignTo
     0.11%  rate     rate               [.] runtime.interhash
     0.11%  rate     rate               [.] github.com/golang/protobuf/proto.(*Buffer).enc_struct
     0.11%  rate     rate               [.] runtime.(*spanSet).pop
     0.11%  rate     [kernel.kallsyms]  [k] ep_poll_callback
     0.11%  rate     [kernel.kallsyms]  [k] place_entity
     0.11%  rate     [kernel.kallsyms]  [k] dequeue_entity
     0.11%  rate     rate               [.] runtime.(*spanSet).push
     0.11%  rate     rate               [.] time.(*Location).lookup
     0.11%  rate     rate               [.] fmt.(*ss).getRune
     0.11%  rate     rate               [.] runtime.mapiterinit
     0.11%  rate     rate               [.] runtime.mapaccess2
     0.11%  rate     rate               [.] runtime.(*mheap).allocSpan
     0.11%  rate     [kernel.kallsyms]  [k] br_handle_frame_finish
     0.11%  rate     rate               [.] sync.(*Pool).Get
     0.11%  rate     rate               [.] golang.org/x/net/http2.(*Framer).checkFrameOrder
     0.10%  rate     rate               [.] github.com/rs/zerolog.(*Event).write
     0.10%  rate     rate               [.] runtime.(*lfstack).push
     0.10%  rate     rate               [.] google.golang.org/grpc.(*Server).processUnaryRPC
     0.10%  rate     [kernel.kallsyms]  [k] tcp_v4_early_demux
     0.10%  rate     [kernel.kallsyms]  [k] tcp_clean_rtx_queue
     0.10%  rate     rate               [.] runtime.pidleput
     0.10%  rate     rate               [.] golang.org/x/net/http2/hpack.(*headerFieldTable).search
     0.10%  rate     [kernel.kallsyms]  [k] futex_wait_queue_me
     0.10%  rate     rate               [.] runtime.gopark
     0.10%  rate     [kernel.kallsyms]  [k] swapgs_restore_regs_and_return_to_usermode
     0.10%  rate     [kernel.kallsyms]  [k] __x64_sys_nanosleep
     0.10%  rate     [kernel.kallsyms]  [k] native_flush_tlb_one_user
     0.10%  rate     [kernel.kallsyms]  [k] __ip_queue_xmit
     0.10%  rate     [kernel.kallsyms]  [k] hrtimer_nanosleep
     0.10%  rate     rate               [.] github.com/rs/zerolog.(*Event).msg
     0.10%  rate     rate               [.] github.com/rs/zerolog.ConsoleWriter.writeFields
     0.10%  rate     rate               [.] google.golang.org/grpc/transport.(*http2Server).operateHeaders
     0.10%  rate     rate               [.] runtime.duffcopy
     0.10%  rate     [kernel.kallsyms]  [k] nf_ct_get_tuple
     0.10%  rate     [kernel.kallsyms]  [k] get_l4proto
     0.10%  rate     rate               [.] runtime.markroot
     0.10%  rate     rate               [.] unicode/utf8.DecodeRuneInString
     0.10%  rate     rate               [.] github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.OpenTracingServerInterceptor.func1
     0.10%  rate     [kernel.kallsyms]  [k] schedule
     0.10%  rate     [kernel.kallsyms]  [k] fdb_find_rcu
     0.10%  rate     [kernel.kallsyms]  [k] pipe_write
     0.09%  rate     rate               [.] runtime.stopm
     0.09%  rate     [kernel.kallsyms]  [k] skb_release_data
     0.09%  rate     rate               [.] github.com/bradfitz/gomemcache/memcache.parseGetResponse
     0.09%  rate     rate               [.] runtime.typedmemmove
     0.09%  rate     rate               [.] runtime.chanrecv
     0.09%  rate     [kernel.kallsyms]  [k] get_futex_key
     0.09%  rate     rate               [.] sync.(*RWMutex).Lock
     0.09%  rate     [kernel.kallsyms]  [k] prepend_path.isra.0
     0.09%  rate     rate               [.] fmt.indexRune
     0.09%  rate     rate               [.] github.com/uber/jaeger-client-go.(*Tracer).startSpanWithOptions
     0.09%  rate     rate               [.] runtime.wbBufFlush1
     0.09%  rate     [kernel.kallsyms]  [k] br_nf_forward_ip
     0.09%  rate     rate               [.] google.golang.org/grpc/transport.loopyWriter
     0.09%  rate     [kernel.kallsyms]  [k] intel_pstate_update_util
     0.09%  rate     rate               [.] runtime.notesleep
     0.09%  rate     [kernel.kallsyms]  [k] __ksize
     0.09%  rate     rate               [.] runtime.runqsteal
     0.09%  rate     rate               [.] sync.(*RWMutex).Unlock
     0.09%  rate     [kernel.kallsyms]  [k] __x64_sys_futex
     0.09%  rate     [kernel.kallsyms]  [k] __x64_sys_epoll_pwait
     0.09%  rate     rate               [.] golang.org/x/net/http2.(*MetaHeadersFrame).checkPseudos
     0.09%  rate     [kernel.kallsyms]  [k] path_init
     0.09%  rate     rate               [.] fmt.(*stringReader).Read
     0.09%  rate     rate               [.] runtime.sellock
     0.09%  rate     rate               [.] encoding/json.stateBeginStringOrEmpty
     0.09%  rate     [kernel.kallsyms]  [k] ep_send_events_proc
     0.09%  rate     rate               [.] fmt.(*ss).consume
     0.09%  rate     rate               [.] runtime.getempty
     0.09%  rate     rate               [.] runtime.mapdelete
     0.09%  rate     [kernel.kallsyms]  [k] account_entity_enqueue
     0.09%  rate     rate               [.] internal/poll.(*fdMutex).rwunlock
     0.09%  rate     [kernel.kallsyms]  [k] interrupt_entry
     0.09%  rate     rate               [.] time.absDate
     0.08%  rate     rate               [.] runtime.(*sweepLocked).sweep
     0.08%  rate     rate               [.] github.com/golang/protobuf/proto.(*Buffer).unmarshalType
     0.08%  rate     [kernel.kallsyms]  [k] __cgroup_bpf_run_filter_skb
     0.08%  rate     rate               [.] google.golang.org/grpc/transport.(*http2Server).HandleStreams
     0.08%  rate     [kernel.kallsyms]  [k] hrtimer_active
     0.08%  rate     rate               [.] fmt.(*readRune).ReadRune
     0.08%  rate     rate               [.] runtime.(*consistentHeapStats).acquire
     0.08%  rate     [kernel.kallsyms]  [k] fsnotify
     0.08%  rate     rate               [.] github.com/rs/zerolog.(*Logger).should
     0.08%  rate     [kernel.kallsyms]  [k] enqueue_to_backlog
     0.08%  rate     [kernel.kallsyms]  [k] finish_task_switch
     0.08%  rate     rate               [.] time.tzsetNum
     0.08%  rate     rate               [.] syscall.Getwd
     0.08%  rate     rate               [.] google.golang.org/grpc/transport.(*controlBuffer).put
     0.08%  rate     [kernel.kallsyms]  [k] tcp_v4_rcv
     0.08%  rate     [kernel.kallsyms]  [k] deactivate_task
     0.08%  rate     rate               [.] runtime.timeSleepUntil
     0.08%  rate     [kernel.kallsyms]  [k] select_idle_sibling
     0.08%  rate     rate               [.] context.(*cancelCtx).Done
     0.08%  rate     [kernel.kallsyms]  [k] memcmp
     0.08%  rate     [kernel.kallsyms]  [k] vfs_write
     0.08%  rate     rate               [.] sync.runtime_procPin
     0.08%  rate     rate               [.] runtime.stackfree
     0.08%  rate     rate               [.] runtime.systemstack.abi0
     0.08%  rate     rate               [.] runtime.(*mspan).refillAllocCache
     0.08%  rate     [kernel.kallsyms]  [k] __intel_pmu_disable_all
     0.08%  rate     [kernel.kallsyms]  [k] __ip_finish_output
     0.08%  rate     rate               [.] strings.genSplit
     0.08%  rate     rate               [.] golang.org/x/net/http2/hpack.(*Decoder).at
     0.08%  rate     rate               [.] golang.org/x/net/http2.(*Framer).WriteDataPadded
     0.08%  rate     rate               [.] reflect.makemap
     0.08%  rate     rate               [.] syscall.Syscall.abi0
     0.08%  rate     [kernel.kallsyms]  [k] __kmalloc_node_track_caller
     0.08%  rate     rate               [.] golang.org/x/net/http2.(*Framer).WriteHeaders
     0.08%  rate     rate               [.] runtime.runqget
     0.08%  rate     rate               [.] fmt.newPrinter
     0.08%  rate     rate               [.] reflect.packEface
     0.08%  rate     rate               [.] context.(*valueCtx).Value
     0.08%  rate     [kernel.kallsyms]  [k] new_sync_read
     0.08%  rate     [kernel.kallsyms]  [k] inet6_recvmsg
     0.08%  rate     [kernel.kallsyms]  [k] fput
     0.08%  rate     rate               [.] runtime.makeslice
     0.07%  rate     [kernel.kallsyms]  [k] net_rx_action
     0.07%  rate     rate               [.] reflect.Value.Set
     0.07%  rate     [kernel.kallsyms]  [k] br_nf_post_routing
     0.07%  rate     rate               [.] bufio.(*Reader).Read
     0.07%  rate     rate               [.] google.golang.org/grpc/transport.(*bdpEstimator).add
     0.07%  rate     [kernel.kallsyms]  [k] ip_output
     0.07%  rate     rate               [.] github.com/bradfitz/gomemcache/memcache.scanGetResponseLine
     0.07%  rate     [kernel.kallsyms]  [k] __local_bh_enable_ip
     0.07%  rate     rate               [.] runtime.(*pallocBits).summarize
     0.07%  rate     rate               [.] runtime.execute
     0.07%  rate     rate               [.] github.com/uber/jaeger-client-go.(*textMapPropagator).Extract.func1
     0.07%  rate     [kernel.kallsyms]  [k] sock_read_iter
     0.07%  rate     [kernel.kallsyms]  [k] tcp_rcv_established
     0.07%  rate     rate               [.] sync.(*Pool).Put
     0.07%  rate     [kernel.kallsyms]  [k] kmem_cache_alloc_node
     0.07%  rate     rate               [.] runtime.(*mcache).nextFree
     0.07%  rate     [kernel.kallsyms]  [k] resched_curr
     0.07%  rate     [kernel.kallsyms]  [k] arch_perf_update_userpage
     0.07%  rate     rate               [.] github.com/rs/zerolog.ConsoleWriter.writePart
     0.07%  rate     [kernel.kallsyms]  [k] pick_next_entity
     0.07%  rate     rate               [.] runtime.makechan
     0.07%  rate     [kernel.kallsyms]  [k] _raw_write_lock_irq
     0.07%  rate     [kernel.kallsyms]  [k] tcp_release_cb
     0.07%  rate     rate               [.] google.golang.org/grpc/transport.(*http2Server).WriteHeader
     0.07%  rate     rate               [.] runtime.(*spanSet).reset
     0.07%  rate     [kernel.kallsyms]  [k] do_nanosleep
     0.07%  rate     rate               [.] runtime.ready
     0.07%  rate     rate               [.] runtime.gcWriteBarrier
     0.07%  rate     [kernel.kallsyms]  [k] check_preempt_wakeup
     0.07%  rate     [kernel.kallsyms]  [k] native_apic_msr_eoi_write
     0.07%  rate     rate               [.] syscall.write
     0.07%  rate     [kernel.kallsyms]  [k] tcp_ack
     0.07%  rate     [kernel.kallsyms]  [k] __hrtimer_init
     0.07%  rate     [kernel.kallsyms]  [k] fput_many
     0.07%  rate     [kernel.kallsyms]  [k] intel_pmu_disable_all
     0.07%  rate     [kernel.kallsyms]  [k] do_futex
     0.07%  rate     rate               [.] runtime.newstack
     0.07%  rate     [kernel.kallsyms]  [k] update_rq_clock
     0.06%  rate     [kernel.kallsyms]  [k] skb_ext_add
     0.06%  rate     rate               [.] net.(*TCPConn).Read
     0.06%  rate     [kernel.kallsyms]  [k] sock_poll
     0.06%  rate     rate               [.] runtime.mapdelete_faststr
     0.06%  rate     [kernel.kallsyms]  [k] ksys_write
     0.06%  rate     [kernel.kallsyms]  [k] mark_wake_futex
     0.06%  rate     rate               [.] internal/testlog.Getenv
     0.06%  rate     rate               [.] sync.(*RWMutex).RUnlock
     0.06%  rate     rate               [.] google.golang.org/grpc.(*Server).serveStreams.func2
     0.06%  rate     [kernel.kallsyms]  [k] sched_clock_cpu
     0.06%  rate     rate               [.] runtime.save
     0.06%  rate     rate               [.] context.parentCancelCtx
     0.06%  rate     [kernel.kallsyms]  [k] dev_hard_start_xmit
     0.06%  rate     [kernel.kallsyms]  [k] mutex_unlock
     0.06%  rate     rate               [.] fmt.(*pp).fmtString
     0.06%  rate     rate               [.] runtime.wakep
     0.06%  rate     rate               [.] sort.Sort
     0.06%  rate     rate               [.] net.(*netFD).Write
     0.06%  rate     [kernel.kallsyms]  [k] futex_wait_setup
     0.06%  rate     [kernel.kallsyms]  [k] nf_nat_ipv4_local_fn
     0.06%  rate     rate               [.] runtime.send
     0.06%  rate     rate               [.] fmt.(*ss).doScanf
     0.06%  rate     rate               [.] runtime.startm
     0.06%  rate     [kernel.kallsyms]  [k] __br_forward
     0.06%  rate     [kernel.kallsyms]  [k] __slab_free
     0.06%  rate     [kernel.kallsyms]  [k] nf_nat_ipv4_pre_routing
     0.06%  rate     [kernel.kallsyms]  [k] __check_object_size
     0.06%  rate     rate               [.] fmt.Sprintf
     0.06%  rate     rate               [.] runtime.memequal
     0.06%  rate     rate               [.] runtime.futexwakeup
     0.06%  rate     [kernel.kallsyms]  [k] cpumask_next_wrap
     0.06%  rate     [kernel.kallsyms]  [k] ip_finish_output
     0.06%  rate     rate               [.] github.com/rs/zerolog.(*ConsoleWriter).Write
     0.06%  rate     rate               [.] reflect.(*rtype).Name
     0.06%  rate     rate               [.] runtime.funcMaxSPDelta
     0.06%  rate     [kernel.kallsyms]  [k] check_preempt_curr
     0.06%  rate     rate               [.] runtime.(*mcache).prepareForSweep
     0.06%  rate     rate               [.] runtime.updateTimerPMask
     0.06%  rate     rate               [.] runtime.sweepone
     0.06%  rate     rate               [.] reflect.(*rtype).Elem
     0.06%  rate     [kernel.kallsyms]  [k] fpregs_assert_state_consistent
     0.06%  rate     rate               [.] syscall.read
     0.06%  rate     rate               [.] reflect.valueInterface
     0.06%  rate     rate               [.] strings.ToLower
     0.06%  rate     rate               [.] github.com/uber/jaeger-client-go.(*Tracer).startSpanInternal
     0.06%  rate     [kernel.kallsyms]  [k] hash_futex
     0.06%  rate     [kernel.kallsyms]  [k] conntrack_mt
     0.06%  rate     rate               [.] runtime.duffzero
     0.06%  rate     [kernel.kallsyms]  [k] migrate_task_rq_fair
     0.06%  rate     rate               [.] github.com/uber/jaeger-client-go.(*Span).FinishWithOptions
     0.06%  rate     rate               [.] runtime.netpollready
     0.06%  rate     rate               [.] google.golang.org/grpc.(*Server).handleStream
     0.06%  rate     [kernel.kallsyms]  [k] __enqueue_entity
     0.05%  rate     [kernel.kallsyms]  [k] update_blocked_averages
     0.05%  rate     rate               [.] github.com/uber/jaeger-client-go.(*textMapPropagator).Extract
     0.05%  rate     rate               [.] bufio.(*Writer).Flush
     0.05%  rate     rate               [.] time.now.abi0
     0.05%  rate     [kernel.kallsyms]  [k] set_task_cpu
     0.05%  rate     rate               [.] google.golang.org/grpc/transport.(*http2Server).operateHeaders.func1
     0.05%  rate     [kernel.kallsyms]  [k] ip_rcv_finish_core.isra.0
     0.05%  rate     [kernel.kallsyms]  [k] group_sched_in
     0.05%  rate     [kernel.kallsyms]  [k] smp_apic_timer_interrupt
     0.05%  rate     rate               [.] os.fillFileStatFromSys
     0.05%  rate     rate               [.] reflect.Value.Convert
     0.05%  rate     [kernel.kallsyms]  [k] wake_up_q
     0.05%  rate     [kernel.kallsyms]  [k] is_skb_forwardable
     0.05%  rate     [kernel.kallsyms]  [k] attach_entity_load_avg
     0.05%  rate     rate               [.] runtime.mcall
     0.05%  rate     [kernel.kallsyms]  [k] apparmor_file_permission
     0.05%  rate     [kernel.kallsyms]  [k] skb_push
     0.05%  rate     rate               [.] reflect.Value.Len
     0.05%  rate     rate               [.] runtime.epollwait.abi0
     0.05%  rate     [kernel.kallsyms]  [k] ep_autoremove_wake_function
     0.05%  rate     rate               [.] github.com/uber/jaeger-client-go.(*Tracer).Extract
     0.05%  rate     [kernel.kallsyms]  [k] process_backlog
     0.05%  rate     rate               [.] runtime.mPark
     0.05%  rate     rate               [.] bufio.(*Writer).Write
     0.05%  rate     [kernel.kallsyms]  [k] prepend_name
     0.05%  rate     rate               [.] runtime.(*mcentral).cacheSpan
     0.05%  rate     rate               [.] runtime.convTstring
     0.05%  rate     rate               [.] runtime.(*headTailIndex).incTail
     0.05%  rate     rate               [.] runtime.pcdatavalue
     0.05%  rate     [kernel.kallsyms]  [k] skb_network_protocol
     0.05%  rate     [kernel.kallsyms]  [k] dput
     0.05%  rate     rate               [.] runtime.(*Frames).Next
     0.05%  rate     rate               [.] reflect.directlyAssignable
     0.05%  rate     rate               [.] context.WithCancel.func1
     0.05%  rate     [kernel.kallsyms]  [k] ovl_getattr
