# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cycles'
# Event count (approx.): 3186284182
#
# Overhead  Command      Shared Object          Symbol                                            
# ........  ...........  .....................  ..................................................
#
     0.16%  mc-worker    [kernel.kallsyms]      [k] conntrack_mt
     0.16%  mc-worker    [kernel.kallsyms]      [k] __perf_event_task_sched_in
     0.16%  mc-worker    [kernel.kallsyms]      [k] __usecs_to_jiffies
     0.16%  mc-worker    [kernel.kallsyms]      [k] fib_table_lookup
     0.15%  mc-worker    [kernel.kallsyms]      [k] hash_conntrack_raw
     0.15%  mc-worker    [kernel.kallsyms]      [k] check_cfs_rq_runtime
     0.15%  mc-worker    [kernel.kallsyms]      [k] do_epoll_wait
     0.15%  mc-worker    [kernel.kallsyms]      [k] apparmor_socket_sock_rcv_skb
     0.15%  mc-worker    memcached              [.] item_is_flushed
     0.15%  mc-worker    [kernel.kallsyms]      [k] __perf_event_task_sched_out
     0.15%  mc-worker    [kernel.kallsyms]      [k] account_entity_dequeue
     0.15%  mc-worker    [kernel.kallsyms]      [k] tcp_mtu_probe
     0.14%  mc-worker    memcached              [.] itoa_u32
     0.14%  mc-worker    [kernel.kallsyms]      [k] memcg_kmem_put_cache
     0.14%  mc-worker    [kernel.kallsyms]      [k] ip_forward
     0.14%  mc-worker    [kernel.kallsyms]      [k] nf_csum_update
     0.14%  mc-worker    [kernel.kallsyms]      [k] update_blocked_averages
     0.14%  mc-worker    [kernel.kallsyms]      [k] entry_SYSCALL_64_after_hwframe
     0.14%  mc-worker    [kernel.kallsyms]      [k] brnf_get_logical_dev
     0.13%  mc-worker    [kernel.kallsyms]      [k] __slab_free
     0.13%  mc-worker    [kernel.kallsyms]      [k] security_sock_rcv_skb
     0.13%  mc-worker    [kernel.kallsyms]      [k] security_socket_recvmsg
     0.13%  mc-worker    [kernel.kallsyms]      [k] nf_nat_ipv4_pre_routing
     0.13%  mc-worker    [kernel.kallsyms]      [k] ktime_get
     0.13%  mc-worker    [kernel.kallsyms]      [k] kfree
     0.13%  mc-worker    [kernel.kallsyms]      [k] ip_vs_reply4
     0.13%  mc-worker    memcached              [.] item_get
     0.13%  mc-worker    [kernel.kallsyms]      [k] ep_item_poll.isra.0
     0.13%  mc-worker    [kernel.kallsyms]      [k] br_validate_ipv4.isra.0
     0.13%  mc-worker    [kernel.kallsyms]      [k] nf_ct_deliver_cached_events
     0.13%  mc-worker    [kernel.kallsyms]      [k] __tcp_select_window
     0.13%  mc-worker    [kernel.kallsyms]      [k] rb_first
     0.13%  mc-worker    [kernel.kallsyms]      [k] __sk_dst_check
     0.13%  mc-worker    [kernel.kallsyms]      [k] skb_page_frag_refill
     0.13%  mc-worker    [kernel.kallsyms]      [k] mutex_unlock
     0.12%  mc-worker    [kernel.kallsyms]      [k] br_nf_post_routing
     0.12%  mc-worker    [kernel.kallsyms]      [k] is_skb_forwardable
     0.12%  mc-worker    memcached              [.] transmit
     0.12%  mc-worker    [kernel.kallsyms]      [k] kmalloc_slab
     0.12%  mc-worker    [kernel.kallsyms]      [k] _raw_read_lock_irqsave
     0.12%  mc-worker    [kernel.kallsyms]      [k] __ip_local_out
     0.12%  mc-worker    [kernel.kallsyms]      [k] ctx_sched_in
     0.12%  mc-worker    [kernel.kallsyms]      [k] flexible_sched_in
     0.12%  mc-worker    libevent-2.1.so.7.0.1  [.] event_callback_activate_nolock_
     0.12%  mc-worker    memcached              [.] resp_finish
     0.12%  mc-worker    [kernel.kallsyms]      [k] __br_forward
     0.11%  mc-worker    [kernel.kallsyms]      [k] ipv4_conntrack_in
     0.11%  mc-worker    [kernel.kallsyms]      [k] pick_next_task_idle
     0.11%  mc-worker    [kernel.kallsyms]      [k] __kfree_skb_flush
     0.11%  mc-worker    [kernel.kallsyms]      [k] mark_mt
     0.11%  mc-worker    [kernel.kallsyms]      [k] fsnotify
     0.11%  mc-worker    [kernel.kallsyms]      [k] __schedule
     0.11%  mc-worker    [kernel.kallsyms]      [k] native_read_msr
     0.11%  mc-worker    [kernel.kallsyms]      [k] ip_protocol_deliver_rcu
     0.10%  mc-worker    [kernel.kallsyms]      [k] native_sched_clock
     0.10%  mc-worker    [kernel.kallsyms]      [k] nbp_switchdev_frame_mark
     0.10%  mc-worker    [kernel.kallsyms]      [k] nf_nat_packet
     0.10%  mc-worker    [kernel.kallsyms]      [k] skb_release_head_state
     0.10%  mc-worker    [kernel.kallsyms]      [k] tcp_cleanup_rbuf
     0.10%  mc-worker    [kernel.kallsyms]      [k] do_softirq.part.0
     0.10%  mc-worker    [kernel.kallsyms]      [k] __calc_delta
     0.10%  mc-worker    [kernel.kallsyms]      [k] ksoftirqd_running
     0.10%  mc-worker    [kernel.kallsyms]      [k] sock_read_iter
     0.10%  mc-worker    [kernel.kallsyms]      [k] pick_next_task_fair
     0.10%  mc-worker    [kernel.kallsyms]      [k] br_fdb_find_rcu
     0.10%  mc-worker    [kernel.kallsyms]      [k] set_task_cpu
     0.09%  mc-worker    [kernel.kallsyms]      [k] __softirqentry_text_start
     0.09%  mc-worker    [kernel.kallsyms]      [k] iov_iter_advance
     0.09%  mc-worker    [kernel.kallsyms]      [k] sk_stream_alloc_skb
     0.09%  mc-worker    [kernel.kallsyms]      [k] skb_scrub_packet
     0.09%  mc-worker    [kernel.kallsyms]      [k] tcp_schedule_loss_probe
     0.09%  mc-worker    [kernel.kallsyms]      [k] __local_bh_enable_ip
     0.09%  mc-worker    [kernel.kallsyms]      [k] udp_gro_complete
     0.09%  mc-worker    [kernel.kallsyms]      [k] aa_profile_af_perm
     0.09%  mc-worker    [kernel.kallsyms]      [k] __ip_finish_output
     0.09%  mc-worker    [kernel.kallsyms]      [k] perf_event_set_state.part.0
     0.09%  mc-worker    [kernel.kallsyms]      [k] __skb_ext_put
     0.09%  mc-worker    [kernel.kallsyms]      [k] aa_label_sk_perm.part.0
     0.09%  mc-worker    [kernel.kallsyms]      [k] br_dev_queue_push_xmit
     0.08%  mc-worker    [kernel.kallsyms]      [k] vfs_read
     0.08%  mc-worker    [kernel.kallsyms]      [k] resched_curr
     0.08%  mc-worker    [kernel.kallsyms]      [k] tcp_check_space
     0.08%  mc-worker    [kernel.kallsyms]      [k] netif_rx_internal
     0.08%  mc-worker    [kernel.kallsyms]      [k] br_nf_hook_thresh
     0.08%  mc-worker    [kernel.kallsyms]      [k] tcp_send_delayed_ack
     0.08%  mc-worker    memcached              [.] item_remove
     0.08%  mc-worker    [kernel.kallsyms]      [k] tcp_rcv_space_adjust
     0.08%  mc-worker    [kernel.kallsyms]      [k] lock_sock_nested
     0.08%  mc-worker    [kernel.kallsyms]      [k] __x64_sys_epoll_wait
     0.08%  mc-worker    memcached              [.] resp_free
     0.08%  mc-worker    [kernel.kallsyms]      [k] set_next_task_idle
     0.07%  mc-worker    [kernel.kallsyms]      [k] sock_put
     0.07%  mc-worker    [kernel.kallsyms]      [k] interrupt_entry
     0.07%  mc-worker    [kernel.kallsyms]      [k] ipv4_conntrack_defrag
     0.07%  mc-worker    [kernel.kallsyms]      [k] __rseq_handle_notify_resume
     0.07%  mc-worker    [kernel.kallsyms]      [k] tcp_stream_memory_free
     0.07%  mc-worker    [kernel.kallsyms]      [k] deactivate_task
     0.07%  mc-worker    [kernel.kallsyms]      [k] br_handle_frame_finish
     0.07%  mc-worker    [kernel.kallsyms]      [k] tcp_wfree
     0.07%  mc-worker    [kernel.kallsyms]      [k] br_fdb_update
     0.07%  mc-worker    [kernel.kallsyms]      [k] mlx5e_post_rx_wqes
     0.07%  mc-worker    [kernel.kallsyms]      [k] aa_sk_perm
     0.07%  mc-worker    memcached              [.] update_event
     0.07%  mc-worker    [kernel.kallsyms]      [k] br_nf_pre_routing_finish
     0.07%  mc-worker    [kernel.kallsyms]      [k] inet_sendmsg
     0.07%  mc-worker    [kernel.kallsyms]      [k] sock_sendmsg
     0.06%  mc-worker    [kernel.kallsyms]      [k] tcp_v4_inbound_md5_hash
     0.06%  mc-worker    [kernel.kallsyms]      [k] intel_pmu_disable_all
     0.06%  mc-worker    [kernel.kallsyms]      [k] newidle_balance
     0.06%  mc-worker    [vdso]                 [.] __vdso_clock_gettime
     0.06%  mc-worker    [kernel.kallsyms]      [k] sk_reset_timer
     0.06%  mc-worker    [kernel.kallsyms]      [k] apparmor_socket_sendmsg
     0.06%  mc-worker    [kernel.kallsyms]      [k] nf_nat_manip_pkt
     0.06%  mc-worker    [kernel.kallsyms]      [k] __ksize
     0.06%  mc-worker    [kernel.kallsyms]      [k] check_stack_object
     0.06%  mc-worker    [kernel.kallsyms]      [k] skb_network_protocol
     0.06%  mc-worker    [kernel.kallsyms]      [k] __wake_up_common_lock
     0.06%  mc-worker    [kernel.kallsyms]      [k] skb_push
     0.06%  mc-worker    [kernel.kallsyms]      [k] security_xfrm_decode_session
     0.06%  mc-worker    [kernel.kallsyms]      [k] apparmor_file_permission
     0.06%  mc-worker    [kernel.kallsyms]      [k] skb_entail
     0.06%  mc-worker    [kernel.kallsyms]      [k] eth_type_trans
     0.06%  mc-worker    [kernel.kallsyms]      [k] __x64_sys_sendmsg
     0.06%  mc-worker    libc.so.6              [.] __errno_location
     0.06%  mc-worker    [kernel.kallsyms]      [k] kfree_skbmem
     0.06%  mc-worker    libevent-2.1.so.7.0.1  [.] event_changelist_remove_all_
     0.06%  mc-worker    [kernel.kallsyms]      [k] put_prev_task_fair
     0.06%  mc-worker    [kernel.kallsyms]      [k] iptable_filter_hook
     0.06%  mc-worker    [kernel.kallsyms]      [k] new_sync_read
     0.06%  mc-worker    [kernel.kallsyms]      [k] event_sched_in.isra.0
     0.06%  mc-worker    [kernel.kallsyms]      [k] br_nf_forward_finish
     0.06%  mc-worker    [kernel.kallsyms]      [k] ip_local_deliver
     0.06%  mc-worker    [kernel.kallsyms]      [k] tcp_grow_window.isra.0
     0.06%  mc-worker    memcached              [.] itoa_u64
     0.05%  mc-worker    [kernel.kallsyms]      [k] kmalloc_array.constprop.0
     0.05%  mc-worker    [kernel.kallsyms]      [k] update_min_vruntime
     0.05%  mc-worker    [kernel.kallsyms]      [k] ksize
     0.05%  mc-worker    [kernel.kallsyms]      [k] fput
     0.05%  mc-worker    [kernel.kallsyms]      [k] __put_user_4
     0.05%  mc-worker    [kernel.kallsyms]      [k] find_next_bit
     0.05%  mc-worker    [kernel.kallsyms]      [k] bictcp_acked
     0.05%  mc-lrumaint  [kernel.kallsyms]      [k] __schedule
     0.05%  mc-worker    [kernel.kallsyms]      [k] tcp_v4_early_demux
     0.05%  mc-worker    [kernel.kallsyms]      [k] _copy_from_user
     0.05%  mc-worker    [kernel.kallsyms]      [k] tcp_rate_gen
     0.05%  mc-worker    [kernel.kallsyms]      [k] tcp_rate_skb_delivered
     0.05%  mc-worker    [kernel.kallsyms]      [k] _cond_resched
     0.05%  mc-worker    [kernel.kallsyms]      [k] tcp_v4_fill_cb
     0.05%  mc-worker    [kernel.kallsyms]      [k] activate_task
     0.05%  mc-worker    [kernel.kallsyms]      [k] schedule
     0.05%  mc-worker    [kernel.kallsyms]      [k] record_times
     0.05%  mc-worker    [kernel.kallsyms]      [k] _raw_write_lock_irq
     0.05%  mc-worker    [kernel.kallsyms]      [k] inet_ehashfn
     0.05%  mc-worker    memcached              [.] pthread_mutex_lock@plt
     0.05%  mc-worker    [kernel.kallsyms]      [k] ip_sabotage_in
     0.05%  mc-worker    [kernel.kallsyms]      [k] tcp_mstamp_refresh
     0.05%  mc-worker    [kernel.kallsyms]      [k] __tcp_v4_send_check
     0.05%  mc-worker    [kernel.kallsyms]      [k] tcp_push
     0.05%  mc-worker    [kernel.kallsyms]      [k] amd_clear_divider
     0.05%  mc-worker    [kernel.kallsyms]      [k] _raw_read_unlock_irqrestore
     0.04%  mc-worker    [kernel.kallsyms]      [k] raw_local_deliver
     0.04%  mc-worker    [kernel.kallsyms]      [k] dequeue_entity
     0.04%  mc-worker    [kernel.kallsyms]      [k] skb_clone
     0.04%  mc-worker    [kernel.kallsyms]      [k] ip_send_check
     0.04%  mc-worker    memcached              [.] do_item_bump
     0.04%  mc-worker    [kernel.kallsyms]      [k] intel_pstate_update_util
     0.04%  mc-worker    [kernel.kallsyms]      [k] native_queued_spin_lock_slowpath
     0.04%  mc-worker    [kernel.kallsyms]      [k] mod_timer
     0.04%  mc-worker    [kernel.kallsyms]      [k] release_sock
     0.04%  mc-worker    [kernel.kallsyms]      [k] ip_rcv_finish
     0.04%  mc-worker    [kernel.kallsyms]      [k] sched_clock_cpu
     0.04%  mc-worker    [kernel.kallsyms]      [k] br_allowed_ingress
     0.04%  mc-worker    [kernel.kallsyms]      [k] __raise_softirq_irqoff
     0.04%  mc-worker    [kernel.kallsyms]      [k] rcu_all_qs
     0.04%  mc-worker    [kernel.kallsyms]      [k] udp4_gro_receive
     0.04%  mc-worker    [kernel.kallsyms]      [k] ep_autoremove_wake_function
     0.04%  mc-worker    [kernel.kallsyms]      [k] ip_rcv_finish_core.isra.0
     0.04%  mc-worker    [kernel.kallsyms]      [k] ___sys_sendmsg
     0.04%  mc-worker    [kernel.kallsyms]      [k] __alloc_skb
     0.04%  mc-worker    [kernel.kallsyms]      [k] bictcp_cong_avoid
     0.04%  mc-worker    [kernel.kallsyms]      [k] netdev_core_pick_tx
     0.04%  mc-worker    [kernel.kallsyms]      [k] rb_next
     0.04%  mc-worker    [kernel.kallsyms]      [k] set_next_buddy
     0.04%  mc-worker    [kernel.kallsyms]      [k] ksys_read
     0.04%  mc-worker    [kernel.kallsyms]      [k] security_file_permission
     0.04%  mc-worker    [kernel.kallsyms]      [k] passthru_features_check
     0.04%  mc-worker    [kernel.kallsyms]      [k] ip_route_input_slow
     0.04%  mc-worker    [kernel.kallsyms]      [k] mem_cgroup_handle_over_high
     0.03%  mc-worker    [kernel.kallsyms]      [k] ns_to_timespec64
     0.03%  mc-worker    [kernel.kallsyms]      [k] __tcp_push_pending_frames
     0.03%  mc-worker    [kernel.kallsyms]      [k] br_forward_finish
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] do_syscall_64
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] update_curr
     0.03%  mc-worker    [kernel.kallsyms]      [k] attach_entity_load_avg
     0.03%  mc-worker    [kernel.kallsyms]      [k] security_socket_sendmsg
     0.03%  mc-worker    [kernel.kallsyms]      [k] l4proto_manip_pkt
     0.03%  mc-worker    [kernel.kallsyms]      [k] br_nf_dev_queue_xmit
     0.03%  mc-worker    [kernel.kallsyms]      [k] get_nohz_timer_target
