# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 22K of event 'cycles'
# Event count (approx.): 53611014677
#
# Overhead  Command  Shared Object      Symbol                                                                                             
# ........  .......  .................  ...................................................................................................
#
     0.38%  rate     [kernel.kallsyms]  [k] nf_hook_slow
     0.38%  rate     [kernel.kallsyms]  [k] _raw_spin_lock
     0.38%  rate     [kernel.kallsyms]  [k] ipt_do_table
     0.37%  rate     rate               [.] runtime.mapaccess1
     0.37%  rate     [kernel.kallsyms]  [k] veth_xmit
     0.37%  rate     [kernel.kallsyms]  [k] available_idle_cpu
     0.37%  rate     [kernel.kallsyms]  [k] __update_load_avg_cfs_rq
     0.36%  rate     [kernel.kallsyms]  [k] tcp_recvmsg
     0.36%  rate     [kernel.kallsyms]  [k] enqueue_task_fair
     0.36%  rate     rate               [.] encoding/json.(*decodeState).object
     0.36%  rate     rate               [.] runtime.growslice
     0.35%  rate     [kernel.kallsyms]  [k] cpuacct_charge
     0.35%  rate     rate               [.] runtime.casgstatus
     0.34%  rate     [kernel.kallsyms]  [k] reweight_entity
     0.34%  rate     rate               [.] fmt.(*pp).doPrintf
     0.33%  rate     [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.33%  rate     rate               [.] runtime.unlock2
     0.33%  rate     [kernel.kallsyms]  [k] __tcp_transmit_skb
     0.32%  rate     [kernel.kallsyms]  [k] try_to_wake_up
     0.31%  rate     rate               [.] time.nextStdChunk
     0.31%  rate     [kernel.kallsyms]  [k] __update_load_avg_se
     0.31%  rate     [kernel.kallsyms]  [k] __schedule
     0.30%  rate     [kernel.kallsyms]  [k] switch_fpu_return
     0.30%  rate     rate               [.] aeshashbody
     0.29%  rate     rate               [.] golang.org/x/net/http2/hpack.huffmanDecode
     0.29%  rate     rate               [.] time.parse
     0.29%  rate     rate               [.] runtime.mapaccess2_faststr
     0.29%  rate     rate               [.] runtime.mapiternext
     0.28%  rate     rate               [.] path/filepath.Rel
     0.28%  rate     [kernel.kallsyms]  [k] select_task_rq_fair
     0.28%  rate     [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.27%  rate     rate               [.] runtime.mapassign
     0.27%  rate     [kernel.kallsyms]  [k] __dev_queue_xmit
     0.27%  rate     [kernel.kallsyms]  [k] __netif_receive_skb_core
     0.26%  rate     [kernel.kallsyms]  [k] native_write_msr
     0.26%  rate     [kernel.kallsyms]  [k] native_sched_clock
     0.26%  rate     [kernel.kallsyms]  [k] select_idle_sibling.part.0
     0.26%  rate     [kernel.kallsyms]  [k] __nf_conntrack_find_get
     0.26%  rate     rate               [.] runtime.getitab
     0.26%  rate     rate               [.] runtime.schedule
     0.25%  rate     rate               [.] io.ReadAtLeast
     0.25%  rate     rate               [.] github.com/harlow/go-micro-services/services/rate.(*Server).GetRates
     0.24%  rate     rate               [.] runtime.sysmon
     0.24%  rate     rate               [.] encoding/json.indirect
     0.24%  rate     rate               [.] fmt.(*pp).printValue
     0.24%  rate     rate               [.] runtime.retake
     0.24%  rate     [kernel.kallsyms]  [k] ctx_sched_in
     0.23%  rate     rate               [.] github.com/rs/zerolog/internal/json.appendStringComplex
     0.23%  rate     [kernel.kallsyms]  [k] read_tsc
     0.23%  rate     rate               [.] github.com/rs/zerolog.ConsoleWriter.writePart
     0.22%  rate     rate               [.] runtime.mapassign_faststr
     0.22%  rate     rate               [.] fmt.(*ss).ReadRune
     0.21%  rate     rate               [.] github.com/rs/zerolog/internal/json.Encoder.AppendString
     0.21%  rate     rate               [.] runtime.checkTimersNoP
     0.21%  rate     rate               [.] runtime.netpoll
     0.21%  rate     rate               [.] encoding/json.stateEndValue
     0.21%  rate     [kernel.kallsyms]  [k] timerqueue_add
     0.21%  rate     [kernel.kallsyms]  [k] __perf_event_task_sched_in
     0.21%  rate     [kernel.kallsyms]  [k] futex_wake
     0.21%  rate     [kernel.kallsyms]  [k] tcp_in_window
     0.21%  rate     [kernel.kallsyms]  [k] dequeue_task_fair
     0.20%  rate     rate               [.] strconv.ParseUint
     0.20%  rate     [kernel.kallsyms]  [k] update_cfs_rq_h_load
     0.20%  rate     [kernel.kallsyms]  [k] memset_erms
     0.20%  rate     rate               [.] google.golang.org/grpc.(*Server).processUnaryRPC
     0.20%  rate     rate               [.] fmt.isSpace
     0.20%  rate     [kernel.kallsyms]  [k] __calc_delta
     0.20%  rate     rate               [.] runtime.checkRunqsNoP
     0.19%  rate     [kernel.kallsyms]  [k] common_file_perm
     0.19%  rate     rate               [.] runtime.nanotime1.abi0
     0.19%  rate     rate               [.] golang.org/x/net/http2.(*Framer).ReadFrame
     0.19%  rate     [kernel.kallsyms]  [k] ip_finish_output2
     0.18%  rate     [kernel.kallsyms]  [k] __perf_event_task_sched_out
     0.18%  rate     rate               [.] reflect.(*rtype).Elem
     0.18%  rate     rate               [.] runtime.chansend
     0.18%  rate     [kernel.kallsyms]  [k] __kmalloc_node_track_caller
     0.18%  rate     rate               [.] google.golang.org/grpc/transport.(*decodeState).processHeaderField
     0.18%  rate     rate               [.] time.appendInt
     0.18%  rate     rate               [.] runtime.mapaccess1_faststr
     0.18%  rate     [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.18%  rate     [kernel.kallsyms]  [k] _raw_spin_lock_bh
     0.18%  rate     rate               [.] runtime.runqgrab
     0.18%  rate     [kernel.kallsyms]  [k] tcp_ack
     0.18%  rate     rate               [.] runtime.reentersyscall
     0.18%  rate     rate               [.] fmt.(*pp).printArg
     0.17%  rate     [kernel.kallsyms]  [k] tcp_sendmsg_locked
     0.17%  rate     rate               [.] runtime.(*mheap).allocSpan
     0.17%  rate     [kernel.kallsyms]  [k] nf_conntrack_in
     0.17%  rate     rate               [.] fmt.(*ss).advance
     0.17%  rate     rate               [.] indexbytebody
     0.17%  rate     rate               [.] runtime.usleep.abi0
     0.17%  rate     rate               [.] reflect.Value.assignTo
     0.16%  rate     [kernel.kallsyms]  [k] perf_swevent_add
     0.16%  rate     rate               [.] google.golang.org/grpc/transport.(*http2Server).itemHandler
     0.16%  rate     [kernel.kallsyms]  [k] account_entity_dequeue
     0.16%  rate     [kernel.kallsyms]  [k] kmem_cache_free
     0.16%  rate     [kernel.kallsyms]  [k] update_min_vruntime
     0.16%  rate     rate               [.] github.com/uber/jaeger-client-go.(*Tracer).startSpanWithOptions
     0.16%  rate     [kernel.kallsyms]  [k] dequeue_entity
     0.15%  rate     [kernel.kallsyms]  [k] br_nf_post_routing
     0.15%  rate     [kernel.kallsyms]  [k] nf_conntrack_tcp_packet
     0.15%  rate     [kernel.kallsyms]  [k] find_next_bit
     0.15%  rate     [kernel.kallsyms]  [k] set_task_cpu
     0.15%  rate     rate               [.] runtime.exitsyscall
     0.15%  rate     rate               [.] encoding/json.(*decodeState).literalStore
     0.15%  rate     rate               [.] internal/poll.(*FD).Read
     0.15%  rate     [kernel.kallsyms]  [k] newidle_balance
     0.15%  rate     [kernel.kallsyms]  [k] record_times
     0.15%  rate     rate               [.] runtime.mapaccess2
     0.14%  rate     rate               [.] runtime.typedmemmove
     0.14%  rate     rate               [.] runtime.pidleput
     0.14%  rate     [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     0.14%  rate     rate               [.] runtime.slicebytetostring
     0.14%  rate     [kernel.kallsyms]  [k] tcp_rcv_established
     0.14%  rate     [kernel.kallsyms]  [k] copy_user_generic_unrolled
     0.14%  rate     [kernel.kallsyms]  [k] br_nf_pre_routing
     0.14%  rate     [kernel.kallsyms]  [k] __x86_indirect_thunk_rax
     0.14%  rate     rate               [.] encoding/json.checkValid
     0.14%  rate     [kernel.kallsyms]  [k] br_handle_frame
     0.14%  rate     rate               [.] syscall.Getenv
     0.14%  rate     rate               [.] runtime.futexsleep
     0.14%  rate     [kernel.kallsyms]  [k] pick_next_task_fair
     0.14%  rate     rate               [.] runtime.makeslice
     0.14%  rate     rate               [.] runtime.stackalloc
     0.14%  rate     [kernel.kallsyms]  [k] put_prev_entity
     0.14%  rate     rate               [.] github.com/rs/zerolog.ConsoleWriter.writeFields
     0.14%  rate     [kernel.kallsyms]  [k] br_nf_forward_ip
     0.14%  rate     [kernel.kallsyms]  [k] __x64_sys_futex
     0.13%  rate     rate               [.] sync.(*Pool).Get
     0.13%  rate     rate               [.] unicode/utf8.DecodeRuneInString
     0.13%  rate     [kernel.kallsyms]  [k] perf_event_update_userpage
     0.13%  rate     rate               [.] reflect.Value.Elem
     0.13%  rate     rate               [.] golang.org/x/net/http2.(*Framer).readMetaFrame.func1
     0.13%  rate     [kernel.kallsyms]  [k] futex_wait
     0.13%  rate     [kernel.kallsyms]  [k] tcp_write_xmit
     0.13%  rate     rate               [.] runtime.duffcopy
     0.12%  rate     rate               [.] runtime.gopark
     0.12%  rate     rate               [.] runtime.futex.abi0
     0.12%  rate     [kernel.kallsyms]  [k] __virt_addr_valid
     0.12%  rate     rate               [.] runtime.notesleep
     0.12%  rate     [kernel.kallsyms]  [k] __lock_text_start
     0.12%  rate     [kernel.kallsyms]  [k] ktime_get
     0.12%  rate     [kernel.kallsyms]  [k] __cgroup_bpf_run_filter_skb
     0.12%  rate     rate               [.] internal/poll.(*FD).Write
     0.12%  rate     rate               [.] encoding/json.stateBeginValue
     0.12%  rate     [kernel.kallsyms]  [k] nf_nat_inet_fn
     0.12%  rate     rate               [.] runtime.mDoFixup
     0.12%  rate     [kernel.kallsyms]  [k] kmem_cache_alloc_node
     0.12%  rate     [kernel.kallsyms]  [k] ctx_sched_out
     0.12%  rate     rate               [.] github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.OpenTracingServerInterceptor.func1
     0.11%  rate     [kernel.kallsyms]  [k] ip_output
     0.11%  rate     [kernel.kallsyms]  [k] rb_next
     0.11%  rate     [kernel.kallsyms]  [k] __wake_up_common
     0.11%  rate     rate               [.] runtime.wirep
     0.11%  rate     [kernel.kallsyms]  [k] __enqueue_entity
     0.11%  rate     rate               [.] fmt.(*stringReader).Read
     0.11%  rate     [kernel.kallsyms]  [k] rb_erase
     0.11%  rate     rate               [.] reflect.Value.Set
     0.11%  rate     [kernel.kallsyms]  [k] skb_release_data
     0.11%  rate     rate               [.] runtime.runqput
     0.11%  rate     rate               [.] github.com/golang/protobuf/proto.GetProperties
     0.11%  rate     [kernel.kallsyms]  [k] __x64_sys_nanosleep
     0.11%  rate     [kernel.kallsyms]  [k] flexible_sched_in
     0.11%  rate     [kernel.kallsyms]  [k] ipv4_mtu
     0.11%  rate     rate               [.] github.com/golang/protobuf/proto.(*Buffer).unmarshalType
     0.11%  rate     rate               [.] runtime.resolveTypeOff
     0.11%  rate     [kernel.kallsyms]  [k] do_nanosleep
     0.11%  rate     [kernel.kallsyms]  [k] ep_poll_callback
     0.11%  rate     [kernel.kallsyms]  [k] prepend_path.isra.0
     0.11%  rate     [kernel.kallsyms]  [k] __netif_receive_skb_one_core
     0.11%  rate     rate               [.] runtime.mapiterinit
     0.11%  rate     rate               [.] runtime.sellock
     0.11%  rate     rate               [.] syscall.Syscall.abi0
     0.11%  rate     rate               [.] bytes.(*Buffer).WriteByte
     0.11%  rate     [kernel.kallsyms]  [k] fdb_find_rcu
     0.10%  rate     [kernel.kallsyms]  [k] schedule
     0.10%  rate     rate               [.] runtime.stackfree
     0.10%  rate     rate               [.] net/url.unescape
     0.10%  rate     [kernel.kallsyms]  [k] hash_conntrack_raw
     0.10%  rate     rate               [.] runtime.exitsyscallfast
     0.10%  rate     rate               [.] reflect.(*rtype).Name
     0.10%  rate     [kernel.kallsyms]  [k] ep_poll
     0.10%  rate     rate               [.] google.golang.org/grpc/transport.loopyWriter
     0.10%  rate     rate               [.] runtime.acquireSudog
     0.10%  rate     [kernel.kallsyms]  [k] _raw_read_lock_irqsave
     0.10%  rate     rate               [.] github.com/golang/protobuf/proto.(*Buffer).enc_struct
     0.10%  rate     [kernel.kallsyms]  [k] __skb_datagram_iter
     0.10%  rate     rate               [.] fmt.(*fmt).fmtInteger
     0.10%  rate     [kernel.kallsyms]  [k] nf_ct_get_tuple
     0.10%  rate     [kernel.kallsyms]  [k] ipv4_conntrack_defrag
     0.10%  rate     [kernel.kallsyms]  [k] tcp_clean_rtx_queue
     0.10%  rate     [kernel.kallsyms]  [k] mutex_unlock
     0.10%  rate     [kernel.kallsyms]  [k] arch_perf_update_userpage
     0.10%  rate     [kernel.kallsyms]  [k] memcg_kmem_put_cache
     0.10%  rate     rate               [.] sync.(*RWMutex).Lock
     0.10%  rate     rate               [.] runtime.pidleget
     0.10%  rate     [kernel.kallsyms]  [k] __fsnotify_parent
     0.09%  rate     [kernel.kallsyms]  [k] ipv4_dst_check
     0.09%  rate     rate               [.] github.com/golang/protobuf/proto.mergeStruct
     0.09%  rate     rate               [.] runtime.funcMaxSPDelta
     0.09%  rate     [kernel.kallsyms]  [k] interrupt_entry
     0.09%  rate     [kernel.kallsyms]  [k] x86_pmu_disable
     0.09%  rate     rate               [.] fmt.(*ss).doScanf
     0.09%  rate     [kernel.kallsyms]  [k] new_sync_write
     0.09%  rate     rate               [.] runtime.makechan
     0.09%  rate     rate               [.] strings.genSplit
     0.09%  rate     rate               [.] runtime.timeSleepUntil
     0.09%  rate     [kernel.kallsyms]  [k] nf_ct_seq_offset
     0.09%  rate     [kernel.kallsyms]  [k] tcp_v4_rcv
     0.09%  rate     rate               [.] sync.(*Mutex).Unlock
     0.09%  rate     rate               [.] internal/poll.(*pollDesc).wait
     0.09%  rate     rate               [.] google.golang.org/grpc/transport.(*http2Server).operateHeaders
     0.09%  rate     [kernel.kallsyms]  [k] mutex_lock
     0.09%  rate     [kernel.kallsyms]  [k] amd_clear_divider
     0.09%  rate     rate               [.] runtime.mapdelete_faststr
     0.09%  rate     [kernel.kallsyms]  [k] hrtimer_nanosleep
     0.09%  rate     [kernel.kallsyms]  [k] deactivate_task
     0.09%  rate     [kernel.kallsyms]  [k] __update_idle_core
     0.09%  rate     rate               [.] sync.(*RWMutex).RUnlock
     0.09%  rate     rate               [.] internal/poll.(*fdMutex).rwunlock
     0.09%  rate     [kernel.kallsyms]  [k] kmem_cache_alloc
     0.09%  rate     rate               [.] runtime.convTstring
     0.08%  rate     rate               [.] runtime.duffzero
     0.08%  rate     [kernel.kallsyms]  [k] __inet_lookup_established
     0.08%  rate     [kernel.kallsyms]  [k] futex_wait_setup
     0.08%  rate     [kernel.kallsyms]  [k] eth_type_trans
     0.08%  rate     [kernel.kallsyms]  [k] fput_many
     0.08%  rate     [kernel.kallsyms]  [k] migrate_task_rq_fair
     0.08%  rate     [kernel.kallsyms]  [k] mod_timer
     0.08%  rate     [kernel.kallsyms]  [k] fsnotify
     0.08%  rate     [kernel.kallsyms]  [k] dev_hard_start_xmit
     0.08%  rate     rate               [.] internal/poll.(*fdMutex).rwlock
     0.08%  rate     rate               [.] github.com/rs/zerolog.(*Event).msg
     0.08%  rate     rate               [.] syscall.Getwd
     0.08%  rate     [kernel.kallsyms]  [k] new_sync_read
     0.08%  rate     [kernel.kallsyms]  [k] vfs_write
     0.08%  rate     rate               [.] context.(*cancelCtx).Done
     0.08%  rate     [kernel.kallsyms]  [k] br_handle_frame_finish
     0.08%  rate     rate               [.] reflect.valueInterface
     0.08%  rate     [kernel.kallsyms]  [k] update_rq_clock
     0.08%  rate     rate               [.] golang.org/x/net/http2.readFrameHeader
     0.08%  rate     [kernel.kallsyms]  [k] br_nf_hook_thresh
     0.08%  rate     rate               [.] fmt.(*readRune).readByte
     0.08%  rate     rate               [.] google.golang.org/grpc/transport.(*controlBuffer).load
     0.08%  rate     rate               [.] runtime.(*spanSet).push
     0.08%  rate     rate               [.] runtime.funcspdelta
     0.08%  rate     [kernel.kallsyms]  [k] fpregs_assert_state_consistent
     0.08%  rate     rate               [.] os.(*File).Write
     0.08%  rate     [kernel.kallsyms]  [k] pick_next_task_idle
     0.08%  rate     rate               [.] strings.ToLower
     0.08%  rate     rate               [.] runtime.mapdelete
     0.08%  rate     [kernel.kallsyms]  [k] kfree
     0.08%  rate     [kernel.kallsyms]  [k] check_preempt_curr
     0.08%  rate     [kernel.kallsyms]  [k] tcp_stream_memory_free
     0.08%  rate     [kernel.kallsyms]  [k] process_backlog
     0.08%  rate     [kernel.kallsyms]  [k] resched_curr
     0.08%  rate     [kernel.kallsyms]  [k] place_entity
     0.08%  rate     rate               [.] golang.org/x/net/http2/hpack.(*Decoder).at
     0.08%  rate     [kernel.kallsyms]  [k] finish_task_switch
     0.08%  rate     rate               [.] github.com/rs/zerolog.ConsoleWriter.Write
     0.08%  rate     [kernel.kallsyms]  [k] get_futex_value_locked
     0.08%  rate     [kernel.kallsyms]  [k] attach_entity_load_avg
     0.08%  rate     rate               [.] fmt.newPrinter
     0.08%  rate     [kernel.kallsyms]  [k] net_rx_action
     0.08%  rate     rate               [.] internal/poll.runtime_pollReset
     0.08%  rate     [kernel.kallsyms]  [k] __legitimize_mnt
     0.08%  rate     rate               [.] bufio.(*Reader).Read
     0.08%  rate     rate               [.] runtime.pcdatavalue
     0.08%  rate     rate               [.] reflect.Value.Field
     0.07%  rate     [kernel.kallsyms]  [k] apic_timer_interrupt
     0.07%  rate     [kernel.kallsyms]  [k] sock_poll
     0.07%  rate     [kernel.kallsyms]  [k] br_forward
     0.07%  rate     [kernel.kallsyms]  [k] setup_pre_routing
     0.07%  rate     rate               [.] runtime.startm
     0.07%  rate     rate               [.] runtime.epollwait.abi0
     0.07%  rate     rate               [.] time.(*Location).lookup
     0.07%  rate     [kernel.kallsyms]  [k] nf_nat_ipv4_local_fn
     0.07%  rate     [kernel.kallsyms]  [k] __softirqentry_text_start
     0.07%  rate     rate               [.] runtime.concatstrings
     0.07%  rate     rate               [.] context.(*cancelCtx).Value
     0.07%  rate     [kernel.kallsyms]  [k] __local_bh_enable_ip
     0.07%  rate     [kernel.kallsyms]  [k] lapic_next_deadline
     0.07%  rate     rate               [.] runtime.(*mspan).refillAllocCache
     0.07%  rate     rate               [.] net.(*netFD).Write
     0.07%  rate     [kernel.kallsyms]  [k] ksys_write
     0.07%  rate     [kernel.kallsyms]  [k] _raw_write_lock_irq
     0.07%  rate     rate               [.] runtime.netpollblock
     0.07%  rate     [kernel.kallsyms]  [k] futex_wait_queue_me
     0.07%  rate     rate               [.] google.golang.org/grpc/transport.(*http2Server).Write
     0.07%  rate     [kernel.kallsyms]  [k] conntrack_mt
     0.07%  rate     rate               [.] runtime.(*Frames).Next
     0.07%  rate     rate               [.] reflect.name.name
     0.07%  rate     rate               [.] runtime.sweepone
     0.07%  rate     [kernel.kallsyms]  [k] conntrack_mt_v3
     0.07%  rate     rate               [.] encoding/json.(*decodeState).scanWhile
     0.07%  rate     rate               [.] runtime.(*fixalloc).alloc
     0.07%  rate     rate               [.] golang.org/x/net/http2/hpack.(*headerFieldTable).search
     0.07%  rate     rate               [.] github.com/rs/zerolog.newEvent
     0.07%  rate     rate               [.] sync.(*RWMutex).Unlock
     0.07%  rate     [kernel.kallsyms]  [k] security_socket_sendmsg
     0.07%  rate     rate               [.] runtime.(*mcache).prepareForSweep
     0.07%  rate     rate               [.] bufio.(*Writer).Write
     0.07%  rate     rate               [.] runtime.newMarkBits
     0.07%  rate     [kernel.kallsyms]  [k] __usecs_to_jiffies
     0.07%  rate     rate               [.] reflect.Value.Pointer
     0.07%  rate     rate               [.] encoding/json.(*decodeState).value
     0.07%  rate     [kernel.kallsyms]  [k] tcp_rcv_space_adjust
     0.07%  rate     rate               [.] google.golang.org/grpc/transport.(*http2Server).WriteStatus
     0.07%  rate     [kernel.kallsyms]  [k] __ksize
     0.07%  rate     [kernel.kallsyms]  [k] ip_rcv_core.isra.0
     0.06%  rate     [kernel.kallsyms]  [k] tcp_v4_early_demux
     0.06%  rate     [kernel.kallsyms]  [k] iptable_filter_hook
     0.06%  rate     rate               [.] context.WithValue
     0.06%  rate     rate               [.] fmt.(*ss).scanOne
     0.06%  rate     [kernel.kallsyms]  [k] ksoftirqd_running
     0.06%  rate     rate               [.] runtime.(*mcentral).cacheSpan
     0.06%  rate     rate               [.] golang.org/x/net/http2.(*MetaHeadersFrame).checkPseudos
     0.06%  rate     rate               [.] fmt.indexRune
     0.06%  rate     rate               [.] runtime.efaceeq
     0.06%  rate     rate               [.] net.(*conn).Write
     0.06%  rate     rate               [.] strconv.readFloat
     0.06%  rate     rate               [.] os.fillFileStatFromSys
     0.06%  rate     rate               [.] runtime.netpollready
     0.06%  rate     rate               [.] sync.(*WaitGroup).Add
     0.06%  rate     rate               [.] runtime.execute
     0.06%  rate     rate               [.] fmt.(*fmt).fmtS
     0.06%  rate     rate               [.] golang.org/x/net/http2/hpack.(*Decoder).readString
     0.06%  rate     rate               [.] sync.runtime_procPin
     0.06%  rate     [kernel.kallsyms]  [k] skb_csum_hwoffload_help
     0.06%  rate     [kernel.kallsyms]  [k] cpumask_next_wrap
     0.06%  rate     [kernel.kallsyms]  [k] get_l4proto
     0.06%  rate     [kernel.kallsyms]  [k] release_sock
     0.06%  rate     rate               [.] google.golang.org/grpc/transport.(*http2Server).HandleStreams
     0.06%  rate     rate               [.] runtime.runqget
     0.06%  rate     [kernel.kallsyms]  [k] bictcp_acked
     0.06%  rate     [kernel.kallsyms]  [k] generic_permission
     0.06%  rate     rate               [.] golang.org/x/net/http2.(*Framer).WriteHeaders
     0.06%  rate     rate               [.] github.com/golang/protobuf/proto.getbase
     0.06%  rate     rate               [.] reflect.cvtBytesString
     0.06%  rate     rate               [.] fmt.(*readRune).ReadRune
     0.06%  rate     [kernel.kallsyms]  [k] rb_insert_color
     0.06%  rate     [kernel.kallsyms]  [k] tcp_stream_memory_free
     0.06%  rate     rate               [.] runtime.mPark
     0.06%  rate     [kernel.kallsyms]  [k] ip_finish_output
     0.06%  rate     rate               [.] github.com/uber/jaeger-client-go.(*Tracer).startSpanInternal
     0.06%  rate     rate               [.] runtime.systemstack.abi0
     0.06%  rate     rate               [.] runtime.memequal
     0.06%  rate     [kernel.kallsyms]  [k] nf_nat_ipv4_out
     0.06%  rate     rate               [.] golang.org/x/net/http2/hpack.(*headerFieldTable).evictOldest
     0.06%  rate     [kernel.kallsyms]  [k] ipv4_confirm
     0.06%  rate     [kernel.kallsyms]  [k] prepare_exit_to_usermode
     0.06%  rate     rate               [.] time.tzsetNum
     0.06%  rate     rate               [.] strconv.formatBits
     0.06%  rate     [kernel.kallsyms]  [k] __tcp_select_window
     0.06%  rate     [kernel.kallsyms]  [k] getname_flags
     0.06%  rate     [kernel.kallsyms]  [k] account_entity_enqueue
     0.06%  rate     rate               [.] fmt.(*readRune).UnreadRune
     0.06%  rate     rate               [.] runtime.chanrecv
     0.06%  rate     [kernel.kallsyms]  [k] activate_task
     0.06%  rate     rate               [.] runtime.runqsteal
     0.06%  rate     rate               [.] runtime.convT2I
     0.06%  rate     [kernel.kallsyms]  [k] tcp_ack_update_rtt.isra.0
     0.06%  rate     rate               [.] fmt.(*ss).scanUint
     0.06%  rate     rate               [.] google.golang.org/grpc/transport.(*http2Server).handleData
     0.06%  rate     [kernel.kallsyms]  [k] __x64_sys_epoll_pwait
     0.06%  rate     rate               [.] golang.org/x/net/http2.(*Framer).checkFrameOrder
     0.06%  rate     rate               [.] reflect.implements
     0.06%  rate     rate               [.] runtime.(*pallocBits).summarize
     0.06%  rate     rate               [.] reflect.packEface
     0.05%  rate     [kernel.kallsyms]  [k] inet6_recvmsg
     0.05%  rate     [kernel.kallsyms]  [k] sock_read_iter
     0.05%  rate     [kernel.kallsyms]  [k] pick_next_entity
     0.05%  rate     [kernel.kallsyms]  [k] get_futex_key
     0.05%  rate     [kernel.kallsyms]  [k] sock_recvmsg
     0.05%  rate     [kernel.kallsyms]  [k] sk_stream_alloc_skb
     0.05%  rate     [kernel.kallsyms]  [k] tcp_current_mss
     0.05%  rate     rate               [.] encoding/json.(*Decoder).Decode
     0.05%  rate     [kernel.kallsyms]  [k] vfs_read
     0.05%  rate     rate               [.] time.Date
     0.05%  rate     [kernel.kallsyms]  [k] ep_send_events_proc
     0.05%  rate     rate               [.] runtime.mapaccess1_fast32
     0.05%  rate     [kernel.kallsyms]  [k] iov_iter_advance
     0.05%  rate     [kernel.kallsyms]  [k] prepend_name
     0.05%  rate     [kernel.kallsyms]  [k] sched_clock
     0.05%  rate     [kernel.kallsyms]  [k] hash_futex
     0.05%  rate     rate               [.] github.com/rs/zerolog.(*Logger).newEvent
     0.05%  rate     rate               [.] fmt.(*fmt).pad
     0.05%  rate     rate               [.] fmt.(*ss).SkipSpace
     0.05%  rate     [kernel.kallsyms]  [k] group_sched_in
     0.05%  rate     [kernel.kallsyms]  [k] __alloc_skb
     0.05%  rate     [kernel.kallsyms]  [k] __x64_sys_getcwd
     0.05%  rate     rate               [.] sync.(*Pool).Put
     0.05%  rate     [kernel.kallsyms]  [k] tcp_rearm_rto
     0.05%  rate     [kernel.kallsyms]  [k] put_prev_task_fair
     0.05%  rate     [kernel.kallsyms]  [k] sock_sendmsg
     0.05%  rate     rate               [.] time.Now
     0.05%  rate     [kernel.kallsyms]  [k] __ip_queue_xmit
     0.05%  rate     [kernel.kallsyms]  [k] tcp_v4_inbound_md5_hash
     0.05%  rate     [kernel.kallsyms]  [k] do_futex
     0.05%  rate     rate               [.] reflect.Value.SetMapIndex
     0.05%  rate     [kernel.kallsyms]  [k] __slab_free
     0.05%  rate     [kernel.kallsyms]  [k] event_sched_in.isra.0
     0.05%  rate     [kernel.kallsyms]  [k] enqueue_to_backlog
     0.05%  rate     [kernel.kallsyms]  [k] sock_def_readable
