# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 22K of event 'cycles'
# Event count (approx.): 54359753671
#
# Overhead  Command  Shared Object      Symbol                                                                                             
# ........  .......  .................  ...................................................................................................
#
     0.24%  rate     [kernel.kallsyms]  [k] __perf_event_task_sched_in
     0.23%  rate     [kernel.kallsyms]  [k] native_sched_clock
     0.23%  rate     [kernel.kallsyms]  [k] nf_conntrack_in
     0.23%  rate     [kernel.kallsyms]  [k] nf_conntrack_tcp_packet
     0.23%  rate     rate               [.] golang.org/x/net/http2/hpack.huffmanDecode
     0.23%  rate     [kernel.kallsyms]  [k] veth_xmit
     0.23%  rate     rate               [.] runtime.schedule
     0.23%  rate     [kernel.kallsyms]  [k] copy_user_generic_unrolled
     0.23%  rate     rate               [.] runtime.chansend
     0.22%  rate     rate               [.] indexbytebody
     0.22%  rate     rate               [.] runtime.getitab
     0.22%  rate     rate               [.] encoding/json.stateEndValue
     0.22%  rate     rate               [.] runtime.futex.abi0
     0.22%  rate     rate               [.] time.appendInt
     0.22%  rate     [kernel.kallsyms]  [k] tcp_in_window
     0.21%  rate     [kernel.kallsyms]  [k] ctx_sched_in
     0.21%  rate     rate               [.] fmt.(*ss).ReadRune
     0.21%  rate     rate               [.] fmt.(*readRune).ReadRune
     0.21%  rate     [kernel.kallsyms]  [k] tcp_sendmsg_locked
     0.20%  rate     rate               [.] runtime.reentersyscall
     0.20%  rate     rate               [.] google.golang.org/grpc/transport.(*http2Server).itemHandler
     0.20%  rate     rate               [.] golang.org/x/net/http2.(*Framer).readMetaFrame.func1
     0.20%  rate     [kernel.kallsyms]  [k] br_nf_pre_routing
     0.19%  rate     rate               [.] runtime.checkRunqsNoP
     0.19%  rate     rate               [.] runtime.retake
     0.19%  rate     [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     0.19%  rate     rate               [.] aeshashbody
     0.19%  rate     rate               [.] fmt.(*ss).advance
     0.19%  rate     [kernel.kallsyms]  [k] __schedule
     0.19%  rate     [kernel.kallsyms]  [k] update_cfs_rq_h_load
     0.18%  rate     rate               [.] runtime.netpoll
     0.18%  rate     [kernel.kallsyms]  [k] perf_event_update_userpage
     0.18%  rate     rate               [.] context.(*cancelCtx).Done
     0.18%  rate     [kernel.kallsyms]  [k] pick_next_task_fair
     0.18%  rate     [kernel.kallsyms]  [k] br_handle_frame
     0.18%  rate     [kernel.kallsyms]  [k] __wake_up_common
     0.18%  rate     [kernel.kallsyms]  [k] futex_wake
     0.18%  rate     [kernel.kallsyms]  [k] tcp_ack
     0.18%  rate     [kernel.kallsyms]  [k] __perf_event_task_sched_out
     0.18%  rate     rate               [.] syscall.Getwd
     0.17%  rate     [kernel.kallsyms]  [k] __dev_queue_xmit
     0.17%  rate     rate               [.] encoding/json.(*decodeState).literalStore
     0.17%  rate     rate               [.] runtime.(*mheap).allocSpan
     0.17%  rate     [kernel.kallsyms]  [k] update_rq_clock
     0.17%  rate     rate               [.] github.com/harlow/go-micro-services/services/rate.(*Server).GetRates
     0.17%  rate     [kernel.kallsyms]  [k] __calc_delta
     0.17%  rate     rate               [.] runtime.sysmon
     0.17%  rate     rate               [.] runtime.exitsyscall
     0.17%  rate     [kernel.kallsyms]  [k] apic_timer_interrupt
     0.17%  rate     [kernel.kallsyms]  [k] hash_conntrack_raw
     0.17%  rate     rate               [.] runtime.runqgrab
     0.17%  rate     rate               [.] github.com/rs/zerolog.ConsoleWriter.Write
     0.17%  rate     rate               [.] encoding/json.indirect
     0.17%  rate     rate               [.] runtime.runqget
     0.17%  rate     [kernel.kallsyms]  [k] kmem_cache_alloc
     0.16%  rate     [kernel.kallsyms]  [k] fput_many
     0.16%  rate     rate               [.] runtime.nanotime1.abi0
     0.16%  rate     rate               [.] syscall.Getenv
     0.16%  rate     rate               [.] runtime.mapiterinit
     0.16%  rate     rate               [.] runtime.mapassign_faststr
     0.16%  rate     [kernel.kallsyms]  [k] kmem_cache_free
     0.16%  rate     rate               [.] reflect.(*rtype).Elem
     0.15%  rate     rate               [.] syscall.Syscall.abi0
     0.15%  rate     [kernel.kallsyms]  [k] futex_wait
     0.15%  rate     rate               [.] runtime.(*pallocBits).summarize
     0.15%  rate     rate               [.] runtime.exitsyscallfast
     0.15%  rate     [kernel.kallsyms]  [k] dequeue_task_fair
     0.15%  rate     [kernel.kallsyms]  [k] __netif_receive_skb_core
     0.15%  rate     rate               [.] runtime.mDoFixup
     0.15%  rate     rate               [.] reflect.(*rtype).ptrTo
     0.15%  rate     rate               [.] reflect.Value.Set
     0.15%  rate     rate               [.] fmt.(*pp).printValue
     0.15%  rate     [kernel.kallsyms]  [k] ip_output
     0.15%  rate     [kernel.kallsyms]  [k] common_file_perm
     0.15%  rate     rate               [.] runtime.mapaccess2
     0.14%  rate     rate               [.] runtime.systemstack.abi0
     0.14%  rate     rate               [.] sync.(*Pool).pin
     0.14%  rate     rate               [.] fmt.(*fmt).fmtInteger
     0.14%  rate     rate               [.] bufio.(*Writer).Write
     0.14%  rate     rate               [.] runtime.slicebytetostring
     0.14%  rate     rate               [.] internal/poll.(*FD).Read
     0.13%  rate     [kernel.kallsyms]  [k] resched_curr
     0.13%  rate     rate               [.] runtime.mapdelete
     0.13%  rate     [kernel.kallsyms]  [k] rb_next
     0.13%  rate     rate               [.] runtime.netpollblock
     0.13%  rate     rate               [.] runtime.sweepone
     0.13%  rate     rate               [.] fmt.(*ss).scanOne
     0.13%  rate     [kernel.kallsyms]  [k] schedule
     0.13%  rate     rate               [.] google.golang.org/grpc/transport.(*http2Server).HandleStreams
     0.13%  rate     [kernel.kallsyms]  [k] nf_ct_deliver_cached_events
     0.13%  rate     [kernel.kallsyms]  [k] tcp_write_xmit
     0.13%  rate     rate               [.] reflect.packEface
     0.13%  rate     rate               [.] github.com/rs/zerolog.ConsoleWriter.writePart
     0.13%  rate     [kernel.kallsyms]  [k] ep_send_events_proc
     0.13%  rate     [kernel.kallsyms]  [k] tcp_v4_rcv
     0.13%  rate     [kernel.kallsyms]  [k] ctx_sched_out
     0.13%  rate     rate               [.] golang.org/x/net/http2.(*Framer).ReadFrame
     0.13%  rate     rate               [.] fmt.indexRune
     0.12%  rate     rate               [.] runtime.(*mheap).freeSpanLocked
     0.12%  rate     rate               [.] google.golang.org/grpc/transport.(*decodeState).processHeaderField
     0.12%  rate     rate               [.] runtime.copystack
     0.12%  rate     [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.12%  rate     rate               [.] google.golang.org/grpc/transport.(*http2Server).operateHeaders
     0.12%  rate     [kernel.kallsyms]  [k] do_futex
     0.12%  rate     [kernel.kallsyms]  [k] ep_poll_callback
     0.12%  rate     rate               [.] strconv.ParseUint
     0.12%  rate     rate               [.] github.com/rs/zerolog.(*Event).msg
     0.12%  rate     rate               [.] runtime.duffzero
     0.12%  rate     rate               [.] github.com/golang/protobuf/proto.(*Buffer).enc_struct
     0.12%  rate     rate               [.] runtime.interhash
     0.12%  rate     [kernel.kallsyms]  [k] do_nanosleep
     0.12%  rate     rate               [.] runtime.notesleep
     0.12%  rate     rate               [.] runtime.pidleget
     0.12%  rate     rate               [.] runtime.futexsleep
     0.12%  rate     rate               [.] google.golang.org/grpc/transport.loopyWriter
     0.12%  rate     [kernel.kallsyms]  [k] rb_erase
     0.12%  rate     rate               [.] runtime.duffcopy
     0.11%  rate     rate               [.] unicode/utf8.DecodeRuneInString
     0.11%  rate     rate               [.] reflect.Value.assignTo
     0.11%  rate     [kernel.kallsyms]  [k] __inet_lookup_established
     0.11%  rate     rate               [.] github.com/rs/zerolog.ConsoleWriter.writeFields
     0.11%  rate     [kernel.kallsyms]  [k] _raw_spin_lock_bh
     0.11%  rate     [kernel.kallsyms]  [k] memset_erms
     0.11%  rate     [kernel.kallsyms]  [k] __x64_sys_futex
     0.11%  rate     [kernel.kallsyms]  [k] interrupt_entry
     0.11%  rate     rate               [.] encoding/json.(*decodeState).unmarshal
     0.11%  rate     rate               [.] runtime.wakep
     0.11%  rate     [kernel.kallsyms]  [k] __virt_addr_valid
     0.11%  rate     [kernel.kallsyms]  [k] conntrack_mt_v3
     0.11%  rate     rate               [.] runtime.stackalloc
     0.11%  rate     [kernel.kallsyms]  [k] finish_task_switch
     0.11%  rate     rate               [.] reflect.Value.Elem
     0.11%  rate     [kernel.kallsyms]  [k] sock_poll
     0.11%  rate     [kernel.kallsyms]  [k] tcp_rcv_established
     0.11%  rate     rate               [.] runtime.makeslice
     0.11%  rate     rate               [.] encoding/json.(*decodeState).value
     0.11%  rate     rate               [.] syscall.write
     0.11%  rate     rate               [.] runtime.makechan
     0.11%  rate     [kernel.kallsyms]  [k] nf_ct_get_tuple
     0.11%  rate     [kernel.kallsyms]  [k] process_backlog
     0.11%  rate     rate               [.] runtime.typedmemmove
     0.11%  rate     [kernel.kallsyms]  [k] get_l4proto
     0.10%  rate     rate               [.] runtime.pcdatavalue
     0.10%  rate     rate               [.] runtime.gopark
     0.10%  rate     [kernel.kallsyms]  [k] vfs_write
     0.10%  rate     rate               [.] strings.ToLower
     0.10%  rate     rate               [.] runtime.stackfree
     0.10%  rate     [kernel.kallsyms]  [k] kfree
     0.10%  rate     rate               [.] runtime.usleep.abi0
     0.10%  rate     [kernel.kallsyms]  [k] br_nf_forward_ip
     0.10%  rate     [kernel.kallsyms]  [k] __update_idle_core
     0.10%  rate     rate               [.] runtime.execute
     0.10%  rate     rate               [.] runtime.runqput
     0.10%  rate     [kernel.kallsyms]  [k] tcp_clean_rtx_queue
     0.10%  rate     [kernel.kallsyms]  [k] put_prev_task_fair
     0.10%  rate     [kernel.kallsyms]  [k] br_handle_frame_finish
     0.10%  rate     [kernel.kallsyms]  [k] rb_insert_color
     0.10%  rate     rate               [.] runtime.convTstring
     0.10%  rate     [kernel.kallsyms]  [k] arch_perf_update_userpage
     0.10%  rate     [kernel.kallsyms]  [k] nf_nat_inet_fn
     0.10%  rate     [kernel.kallsyms]  [k] account_entity_enqueue
     0.10%  rate     rate               [.] google.golang.org/grpc/transport.(*http2Server).WriteStatus
     0.10%  rate     rate               [.] bufio.(*Writer).Flush
     0.10%  rate     rate               [.] strconv.formatBits
     0.10%  rate     rate               [.] google.golang.org/grpc.(*Server).processUnaryRPC
     0.10%  rate     [kernel.kallsyms]  [k] __lock_text_start
     0.10%  rate     [kernel.kallsyms]  [k] __netif_receive_skb_one_core
     0.10%  rate     rate               [.] github.com/golang/protobuf/proto.GetProperties
     0.10%  rate     [kernel.kallsyms]  [k] dequeue_entity
     0.10%  rate     rate               [.] fmt.(*ss).getRune
     0.09%  rate     [kernel.kallsyms]  [k] kmem_cache_alloc_node
     0.09%  rate     [kernel.kallsyms]  [k] mutex_lock
     0.09%  rate     [kernel.kallsyms]  [k] ep_poll
     0.09%  rate     [kernel.kallsyms]  [k] newidle_balance
     0.09%  rate     rate               [.] reflect.Value.Type
     0.09%  rate     [kernel.kallsyms]  [k] attach_entity_load_avg
     0.09%  rate     [kernel.kallsyms]  [k] fdb_find_rcu
     0.09%  rate     rate               [.] github.com/golang/protobuf/proto.(*Buffer).unmarshalType
     0.09%  rate     [kernel.kallsyms]  [k] tcp_event_new_data_sent
     0.09%  rate     rate               [.] bufio.(*Reader).Read
     0.09%  rate     rate               [.] runtime.mapassign_fast32
     0.09%  rate     [kernel.kallsyms]  [k] sched_clock_cpu
     0.09%  rate     rate               [.] runtime.mapdelete_fast32
     0.09%  rate     [kernel.kallsyms]  [k] __cgroup_bpf_run_filter_skb
     0.09%  rate     rate               [.] sync.(*Pool).Get
     0.09%  rate     [kernel.kallsyms]  [k] fsnotify
     0.09%  rate     [kernel.kallsyms]  [k] _raw_read_unlock_irqrestore
     0.09%  rate     rate               [.] strconv.readFloat
     0.09%  rate     [kernel.kallsyms]  [k] nf_nat_packet
     0.09%  rate     rate               [.] runtime.gfget
     0.09%  rate     [kernel.kallsyms]  [k] ip_finish_output2
     0.09%  rate     rate               [.] google.golang.org/grpc/transport.(*controlBuffer).put
     0.09%  rate     rate               [.] net.(*netFD).Read
     0.09%  rate     [kernel.kallsyms]  [k] new_sync_write
     0.09%  rate     [kernel.kallsyms]  [k] ip_local_deliver
     0.09%  rate     [kernel.kallsyms]  [k] ttwu_do_wakeup
     0.09%  rate     [kernel.kallsyms]  [k] find_next_bit
     0.08%  rate     rate               [.] runtime.memequal
     0.08%  rate     [kernel.kallsyms]  [k] security_file_permission
     0.08%  rate     [kernel.kallsyms]  [k] enqueue_to_backlog
     0.08%  rate     rate               [.] runtime.resolveTypeOff
     0.08%  rate     [kernel.kallsyms]  [k] __br_forward
     0.08%  rate     rate               [.] time.(*Location).lookup
     0.08%  rate     [kernel.kallsyms]  [k] tcp_wfree
     0.08%  rate     rate               [.] google.golang.org/grpc/transport.(*quotaPool).get
     0.08%  rate     [kernel.kallsyms]  [k] br_nf_post_routing
     0.08%  rate     rate               [.] internal/poll.(*FD).Write
     0.08%  rate     rate               [.] context.WithValue
     0.08%  rate     rate               [.] internal/poll.runtime_pollReset
     0.08%  rate     [kernel.kallsyms]  [k] __x86_indirect_thunk_rax
     0.08%  rate     rate               [.] runtime.(*consistentHeapStats).acquire
     0.08%  rate     [kernel.kallsyms]  [k] ktime_get
     0.08%  rate     rate               [.] fmt.(*ss).SkipSpace
     0.08%  rate     [kernel.kallsyms]  [k] __kmalloc_node_track_caller
     0.08%  rate     [kernel.kallsyms]  [k] _raw_read_lock_irqsave
     0.08%  rate     [kernel.kallsyms]  [k] net_rx_action
     0.08%  rate     [kernel.kallsyms]  [k] ipv4_conntrack_defrag
     0.08%  rate     [kernel.kallsyms]  [k] update_min_vruntime
     0.08%  rate     rate               [.] google.golang.org/grpc.(*parser).recvMsg
     0.08%  rate     rate               [.] github.com/bradfitz/gomemcache/memcache.(*Client).GetMulti
     0.08%  rate     rate               [.] fmt.(*ss).doScanf
     0.08%  rate     rate               [.] internal/poll.(*fdMutex).rwlock
     0.08%  rate     [kernel.kallsyms]  [k] get_futex_value_locked
     0.08%  rate     rate               [.] reflect.(*rtype).NumMethod
     0.08%  rate     rate               [.] runtime.pidleput
     0.08%  rate     [kernel.kallsyms]  [k] deactivate_task
     0.08%  rate     rate               [.] runtime.timeSleepUntil
     0.08%  rate     rate               [.] runtime.convTslice
     0.08%  rate     rate               [.] reflect.Value.SetMapIndex
     0.08%  rate     [kernel.kallsyms]  [k] ip_finish_output
     0.08%  rate     rate               [.] github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.OpenTracingServerInterceptor.func1
     0.08%  rate     rate               [.] sync.(*RWMutex).Unlock
     0.08%  rate     rate               [.] strings.genSplit
     0.08%  rate     [kernel.kallsyms]  [k] new_sync_read
     0.07%  rate     rate               [.] runtime.(*mspan).refillAllocCache
     0.07%  rate     [kernel.kallsyms]  [k] x86_pmu_disable
     0.07%  rate     [kernel.kallsyms]  [k] tcp_cleanup_rbuf
     0.07%  rate     [kernel.kallsyms]  [k] __ksize
     0.07%  rate     rate               [.] runtime.netpollblockcommit
     0.07%  rate     [kernel.kallsyms]  [k] check_preempt_curr
     0.07%  rate     rate               [.] sync.(*RWMutex).Lock
     0.07%  rate     [kernel.kallsyms]  [k] account_entity_dequeue
     0.07%  rate     [kernel.kallsyms]  [k] ipv4_mtu
     0.07%  rate     [kernel.kallsyms]  [k] hrtimer_nanosleep
     0.07%  rate     [kernel.kallsyms]  [k] bictcp_acked
     0.07%  rate     rate               [.] runtime.newstack
     0.07%  rate     [kernel.kallsyms]  [k] record_times
     0.07%  rate     rate               [.] encoding/json.(*scanner).pushParseState
     0.07%  rate     [kernel.kallsyms]  [k] ipv4_dst_check
     0.07%  rate     [kernel.kallsyms]  [k] hrtimer_active
     0.07%  rate     rate               [.] encoding/json.(*Decoder).Decode
     0.07%  rate     rate               [.] runtime.ready
     0.07%  rate     [kernel.kallsyms]  [k] br_nf_hook_thresh
     0.07%  rate     rate               [.] os.(*File).Write
     0.07%  rate     [kernel.kallsyms]  [k] __local_bh_enable_ip
     0.07%  rate     rate               [.] google.golang.org/grpc/transport.(*http2Server).Write
     0.07%  rate     rate               [.] runtime.concatstrings
     0.07%  rate     rate               [.] runtime.(*Frames).Next
     0.07%  rate     [kernel.kallsyms]  [k] copyin
     0.07%  rate     [kernel.kallsyms]  [k] __check_object_size
     0.07%  rate     rate               [.] runtime.sellock
     0.07%  rate     [kernel.kallsyms]  [k] inode_permission
     0.07%  rate     [kernel.kallsyms]  [k] tcp_current_mss
     0.07%  rate     [kernel.kallsyms]  [k] ep_autoremove_wake_function
     0.07%  rate     [kernel.kallsyms]  [k] passthru_features_check
     0.07%  rate     rate               [.] runtime.heapBits.initSpan
     0.07%  rate     rate               [.] runtime.(*spanSet).pop
     0.07%  rate     rate               [.] runtime.mcall
     0.07%  rate     rate               [.] sync.runtime_procPin
     0.07%  rate     rate               [.] sync.(*Mutex).Unlock
     0.07%  rate     rate               [.] github.com/rs/zerolog.(*Event).write
     0.07%  rate     rate               [.] runtime.closechan
     0.07%  rate     rate               [.] runtime.mapdelete_faststr
     0.07%  rate     rate               [.] fmt.(*readRune).readByte
     0.07%  rate     rate               [.] golang.org/x/net/http2.readFrameHeader
     0.07%  rate     rate               [.] internal/poll.(*fdMutex).rwunlock
     0.07%  rate     [kernel.kallsyms]  [k] security_sock_rcv_skb
     0.07%  rate     rate               [.] golang.org/x/net/http2.(*Framer).checkFrameOrder
     0.07%  rate     rate               [.] runtime.startm
     0.07%  rate     [kernel.kallsyms]  [k] __hrtimer_run_queues
     0.07%  rate     [kernel.kallsyms]  [k] _copy_from_user
     0.07%  rate     [kernel.kallsyms]  [k] tcp_rearm_rto
     0.07%  rate     [kernel.kallsyms]  [k] mark_wake_futex
     0.07%  rate     [kernel.kallsyms]  [k] raw_local_deliver
     0.07%  rate     [kernel.kallsyms]  [k] tcp_release_cb
     0.06%  rate     rate               [.] runtime.(*mcache).prepareForSweep
     0.06%  rate     [kernel.kallsyms]  [k] futex_wait_setup
     0.06%  rate     [kernel.kallsyms]  [k] get_futex_key
     0.06%  rate     [kernel.kallsyms]  [k] mod_timer
     0.06%  rate     rate               [.] github.com/rs/zerolog.newEvent
     0.06%  rate     [kernel.kallsyms]  [k] lapic_next_deadline
     0.06%  rate     rate               [.] reflect.implements
     0.06%  rate     rate               [.] google.golang.org/grpc/transport.(*http2Server).WriteHeader
     0.06%  rate     rate               [.] runtime.park_m
     0.06%  rate     rate               [.] net/url.unescape
     0.06%  rate     [kernel.kallsyms]  [k] prepare_exit_to_usermode
     0.06%  rate     [kernel.kallsyms]  [k] __enqueue_entity
     0.06%  rate     [kernel.kallsyms]  [k] nf_confirm
     0.06%  rate     [kernel.kallsyms]  [k] path_init
     0.06%  rate     rate               [.] github.com/rs/zerolog.(*ConsoleWriter).Write
     0.06%  rate     rate               [.] syscall.read
     0.06%  rate     [kernel.kallsyms]  [k] __x64_sys_epoll_pwait
     0.06%  rate     rate               [.] time.Time.locabs
     0.06%  rate     [kernel.kallsyms]  [k] ovl_getattr
     0.06%  rate     [kernel.kallsyms]  [k] __cgroup_account_cputime
     0.06%  rate     rate               [.] encoding/json.(*decodeState).scanWhile
     0.06%  rate     rate               [.] syscall.fstatat
     0.06%  rate     rate               [.] fmt.(*ss).consume
     0.06%  rate     rate               [.] github.com/uber/jaeger-client-go.(*Tracer).startSpanWithOptions
     0.06%  rate     [kernel.kallsyms]  [k] dev_hard_start_xmit
     0.06%  rate     rate               [.] runtime.assertE2I2
     0.06%  rate     [kernel.kallsyms]  [k] mutex_unlock
     0.06%  rate     rate               [.] github.com/rs/zerolog.(*Event).Timestamp
     0.06%  rate     [kernel.kallsyms]  [k] prepend_path.isra.0
     0.06%  rate     [kernel.kallsyms]  [k] memcmp
     0.06%  rate     rate               [.] runtime.mPark
     0.06%  rate     [kernel.kallsyms]  [k] validate_xmit_skb
     0.06%  rate     [kernel.kallsyms]  [k] group_sched_in
     0.06%  rate     [kernel.kallsyms]  [k] event_sched_in.isra.0
     0.06%  rate     [kernel.kallsyms]  [k] sock_rfree
     0.06%  rate     rate               [.] runtime.stopm
     0.06%  rate     [kernel.kallsyms]  [k] apparmor_file_permission
     0.06%  rate     rate               [.] time.now.abi0
     0.06%  rate     [kernel.kallsyms]  [k] apparmor_socket_recvmsg
     0.06%  rate     [kernel.kallsyms]  [k] put_prev_entity
     0.06%  rate     rate               [.] fmt.(*pp).fmtInteger
     0.06%  rate     [kernel.kallsyms]  [k] skb_entail
     0.06%  rate     [kernel.kallsyms]  [k] eth_type_trans
     0.06%  rate     [kernel.kallsyms]  [k] cpumask_next_wrap
     0.06%  rate     [kernel.kallsyms]  [k] conntrack_mt
     0.06%  rate     rate               [.] runtime.(*sweepLocked).sweep
     0.06%  rate     [kernel.kallsyms]  [k] ksys_write
     0.06%  rate     [kernel.kallsyms]  [k] sock_recvmsg
     0.06%  rate     [kernel.kallsyms]  [k] ipv4_conntrack_local
     0.06%  rate     [kernel.kallsyms]  [k] __skb_datagram_iter
     0.06%  rate     [kernel.kallsyms]  [k] hrtimer_interrupt
     0.06%  rate     rate               [.] reflect.name.name
     0.06%  rate     rate               [.] runtime.(*fixalloc).alloc
     0.05%  rate     [kernel.kallsyms]  [k] place_entity
     0.05%  rate     [kernel.kallsyms]  [k] __softirqentry_text_start
     0.05%  rate     rate               [.] runtime.netpollready
     0.05%  rate     [kernel.kallsyms]  [k] tcp_stream_memory_free
     0.05%  rate     rate               [.] github.com/golang/protobuf/proto.mergeStruct
     0.05%  rate     rate               [.] time.absDate
     0.05%  rate     [kernel.kallsyms]  [k] futex_wait_queue_me
     0.05%  rate     rate               [.] encoding/json.state1
     0.05%  rate     [kernel.kallsyms]  [k] flexible_sched_in
     0.05%  rate     rate               [.] time.Now
     0.05%  rate     [kernel.kallsyms]  [k] __fsnotify_parent
     0.05%  rate     [kernel.kallsyms]  [k] tcp_update_pacing_rate
     0.05%  rate     [kernel.kallsyms]  [k] sock_read_iter
     0.05%  rate     rate               [.] golang.org/x/net/http2/hpack.(*Encoder).WriteField
     0.05%  rate     [kernel.kallsyms]  [k] ip_local_out
     0.05%  rate     rate               [.] github.com/uber/jaeger-client-go.(*Tracer).startSpanInternal
     0.05%  rate     [kernel.kallsyms]  [k] generic_permission
     0.05%  rate     rate               [.] github.com/rs/zerolog.(*Logger).should
     0.05%  rate     rate               [.] github.com/rs/zerolog.(*Event).caller
     0.05%  rate     rate               [.] github.com/uber/jaeger-client-go.(*textMapPropagator).Extract.func1
     0.05%  rate     rate               [.] runtime.notetsleep_internal
     0.05%  rate     rate               [.] runtime.updateTimerPMask
     0.05%  rate     [kernel.kallsyms]  [k] nf_nat_ipv4_local_fn
     0.05%  rate     [kernel.kallsyms]  [k] iptable_filter_hook
     0.05%  rate     rate               [.] runtime.mapaccess1_fast32
     0.05%  rate     [kernel.kallsyms]  [k] sk_stream_alloc_skb
     0.05%  rate     [kernel.kallsyms]  [k] smp_call_function_single
