# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 144K of event 'cycles'
# Event count (approx.): 161207679977
#
# Overhead  Command          Shared Object             Symbol                                                                                                                                                                                                                     
# ........  ...............  ........................  ...........................................................................................................................................................................................................................
#
     0.10%  frontend         frontend                  [.] net/textproto.CanonicalMIMEHeaderKey
     0.10%  dockerd          dockerd                   [.] encoding/binary.intDataSize
     0.10%  wrk              wrk                       [.] gc_sweep
     0.10%  docker-proxy     [kernel.kallsyms]         [k] __nf_conntrack_find_get
     0.10%  frontend         frontend                  [.] path/filepath.Rel
     0.09%  wrk              wrk                       [.] lj_alloc_free
     0.09%  dockerd          [kernel.kallsyms]         [k] __nla_reserve
     0.09%  dockerd          [vdso]                    [.] __vdso_clock_gettime
     0.09%  runc             runc                      [.] _start
     0.09%  frontend         frontend                  [.] runtime.unlock2
     0.09%  dockerd          dockerd                   [.] runtime.gcDrain
     0.09%  frontend         frontend                  [.] runtime.gcDrainN
     0.09%  swapper          [kernel.kallsyms]         [k] native_sched_clock
     0.09%  frontend         [kernel.kallsyms]         [k] copy_user_enhanced_fast_string
     0.09%  frontend         frontend                  [.] github.com/uber/jaeger-client-go.(*Tracer).startSpanWithOptions
     0.09%  frontend         frontend                  [.] net/url.parseQuery
     0.08%  dockerd          dockerd                   [.] time.nextStdChunk
     0.08%  wrk              libc-2.31.so              [.] hack_digit
     0.08%  frontend         frontend                  [.] runtime.wbBufFlush1
     0.08%  dockerd          [kernel.kallsyms]         [k] _raw_spin_lock
     0.08%  docker-proxy     [kernel.kallsyms]         [k] update_load_avg
     0.08%  dockerd          [kernel.kallsyms]         [k] ctnetlink_dump_acct
     0.08%  frontend         frontend                  [.] runtime.(*itabTableType).find
     0.08%  docker-proxy     docker-proxy              [.] runtime.casgstatus
     0.08%  frontend         frontend                  [.] runtime.mapaccess2_faststr
     0.08%  frontend         [kernel.kallsyms]         [k] update_load_avg
     0.08%  exe              dockerd                   [.] runtime.scanobject
     0.08%  frontend         [kernel.kallsyms]         [k] __nf_conntrack_find_get
     0.08%  swapper          [kernel.kallsyms]         [k] nr_iowait_cpu
     0.08%  frontend         frontend                  [.] runtime.reentersyscall
     0.08%  dockerd          dockerd                   [.] runtime.growslice
     0.08%  dockerd          [kernel.kallsyms]         [k] __schedule
     0.08%  dockerd          dockerd                   [.] runtime.selectgo
     0.08%  swapper          [kernel.kallsyms]         [k] __update_load_avg_se
     0.07%  dockerd          [kernel.kallsyms]         [k] try_to_wake_up
     0.07%  wrk              [kernel.kallsyms]         [k] sock_poll
     0.07%  frontend         [kernel.kallsyms]         [k] memset_erms
     0.07%  dockerd          dockerd                   [.] reflect.Value.Index
     0.07%  dockerd          dockerd                   [.] runtime.netpoll
     0.07%  dockerd          dockerd                   [.] aeshashbody
     0.07%  exe              dockerd                   [.] runtime.greyobject
     0.07%  frontend         frontend                  [.] runtime.concatstrings
     0.07%  docker-proxy     docker-proxy              [.] runtime.findRunnable
     0.07%  frontend         frontend                  [.] runtime.schedule
     0.07%  wrk              [kernel.kallsyms]         [k] ep_poll
     0.07%  wrk              wrk                       [.] lj_cf_string_format
     0.07%  frontend         [kernel.kallsyms]         [k] select_task_rq_fair
     0.07%  frontend         [kernel.kallsyms]         [k] enqueue_task_fair
     0.07%  dockerd          dockerd                   [.] github.com/docker/docker/daemon/logger.(*Copier).copySrc
     0.07%  dockerd          dockerd                   [.] runtime.adjustframe
     0.07%  dockerd          dockerd                   [.] runtime.mapaccess2
     0.07%  frontend         frontend                  [.] net/url.escape
     0.07%  docker-proxy     [kernel.kallsyms]         [k] update_cfs_group
     0.07%  frontend         frontend                  [.] sync.(*Pool).Get
     0.07%  wrk              [kernel.kallsyms]         [k] read_tsc
     0.07%  swapper          [kernel.kallsyms]         [k] rb_next
     0.07%  exe              dockerd                   [.] runtime.findObject
     0.07%  frontend         frontend                  [.] runtime.(*sweepLocked).sweep
     0.07%  frontend         [kernel.kallsyms]         [k] tcp_recvmsg
     0.07%  dockerd          [kernel.kallsyms]         [k] update_curr
     0.07%  containerd-shim  [kernel.kallsyms]         [k] update_cfs_group
     0.07%  dockerd          dockerd                   [.] encoding/binary.(*littleEndian).Uint16
     0.07%  dockerd          dockerd                   [.] runtime.writeHeapBits.write
     0.07%  frontend         frontend                  [.] runtime.(*spanSet).push
     0.07%  frontend         [kernel.kallsyms]         [k] kmem_cache_alloc
     0.07%  frontend         frontend                  [.] reflect.Value.assignTo
     0.07%  frontend         [kernel.kallsyms]         [k] _raw_spin_lock_irqsave
     0.07%  swapper          [kernel.kallsyms]         [k] enqueue_task_fair
     0.07%  docker-proxy     [kernel.kallsyms]         [k] __tcp_transmit_skb
     0.06%  frontend         frontend                  [.] time.appendInt
     0.06%  dockerd          dockerd                   [.] runtime.unlock2
     0.06%  frontend         frontend                  [.] github.com/rs/zerolog.ConsoleWriter.Write
     0.06%  wrk              [kernel.kallsyms]         [k] __schedule
     0.06%  dockerd          [kernel.kallsyms]         [k] __update_load_avg_cfs_rq
     0.06%  dockerd          dockerd                   [.] reflect.Value.SetUint
     0.06%  docker-proxy     [kernel.kallsyms]         [k] __inet_lookup_established
     0.06%  containerd-shim  [kernel.kallsyms]         [k] update_load_avg
     0.06%  dockerd          [kernel.kallsyms]         [k] reweight_entity
     0.06%  frontend         frontend                  [.] runtime.mapiterinit
     0.06%  frontend         frontend                  [.] net/http.(*chunkWriter).writeHeader
     0.06%  frontend         frontend                  [.] runtime.stealWork
     0.06%  dockerd          [kernel.kallsyms]         [k] kmem_cache_alloc
     0.06%  dockerd          dockerd                   [.] runtime.runqgrab
     0.06%  frontend         frontend                  [.] sync.(*Pool).Put
     0.06%  wrk              libc-2.31.so              [.] __memcpy_avx_unaligned_erms
     0.06%  dockerd          dockerd                   [.] github.com/docker/docker/pkg/ioutils.(*BytesPipe).Write
     0.06%  frontend         [kernel.kallsyms]         [k] native_queued_spin_lock_slowpath
     0.06%  docker-proxy     [kernel.kallsyms]         [k] _raw_spin_lock_bh
     0.06%  frontend         frontend                  [.] net/http.(*conn).readRequest
     0.06%  dockerd          [kernel.kallsyms]         [k] _raw_spin_lock_irqsave
     0.06%  frontend         [kernel.kallsyms]         [k] update_cfs_group
     0.06%  frontend         frontend                  [.] runtime.exitsyscall
     0.06%  docker-proxy     [kernel.kallsyms]         [k] skb_release_data
     0.06%  mongod           mongod                    [.] 0x0000000001104118
     0.06%  swapper          [kernel.kallsyms]         [k] pick_next_task_fair
     0.06%  swapper          [kernel.kallsyms]         [k] _raw_spin_lock
     0.06%  wrk              libc-2.31.so              [.] epoll_wait
     0.06%  dockerd          [kernel.kallsyms]         [k] select_task_rq_fair
     0.06%  wrk              [kernel.kallsyms]         [k] timerqueue_add
     0.06%  frontend         frontend                  [.] sync.(*Pool).pin
     0.06%  frontend         frontend                  [.] runtime.gcmarknewobject
     0.06%  frontend         frontend                  [.] runtime.gcWriteBarrier
     0.06%  wrk              [kernel.kallsyms]         [k] ipt_do_table
     0.06%  dockerd          [kernel.kallsyms]         [k] ext4_do_update_inode
     0.06%  dockerd          dockerd                   [.] github.com/vishvananda/netlink.parseIpTuple
     0.06%  dockerd          [kernel.kallsyms]         [k] ep_poll_callback
     0.06%  docker-proxy     [kernel.kallsyms]         [k] read_tsc
     0.06%  docker-proxy     [kernel.kallsyms]         [k] nf_conntrack_in
     0.06%  dockerd          [kernel.kallsyms]         [k] enqueue_entity
     0.06%  docker-proxy     [kernel.kallsyms]         [k] __schedule
     0.06%  docker-proxy     docker-proxy              [.] internal/poll.spliceDrain
     0.06%  dockerd          [kernel.kallsyms]         [k] native_queued_spin_lock_slowpath
     0.06%  frontend         frontend                  [.] github.com/uber/jaeger-client-go.(*Tracer).startSpanInternal
     0.06%  containerd-shim  [kernel.kallsyms]         [k] __fget_light
     0.06%  dockerd          dockerd                   [.] runtime.findfunc
     0.06%  docker-proxy     docker-proxy              [.] runtime.netpoll
     0.06%  swapper          [kernel.kallsyms]         [k] menu_reflect
     0.06%  wrk              [kernel.kallsyms]         [k] switch_fpu_return
     0.06%  docker-proxy     [kernel.kallsyms]         [k] _raw_spin_lock
     0.06%  swapper          [kernel.kallsyms]         [k] rcu_idle_exit
     0.06%  frontend         frontend                  [.] runtime.findrunnable
     0.06%  frontend         [kernel.kallsyms]         [k] __netif_receive_skb_core
     0.05%  dockerd          dockerd                   [.] runtime.checkTimersNoP
     0.05%  frontend         frontend                  [.] runtime.duffcopy
     0.05%  dockerd          [kernel.kallsyms]         [k] enqueue_task_fair
     0.05%  exe              dockerd                   [.] runtime.mallocgc
     0.05%  containerd-shim  [kernel.kallsyms]         [k] ep_poll_callback
     0.05%  wrk              wrk                       [.] luaL_addlstring
     0.05%  swapper          [kernel.kallsyms]         [k] enqueue_entity
     0.05%  frontend         [kernel.kallsyms]         [k] kmem_cache_free
     0.05%  dockerd          dockerd                   [.] time.appendInt
     0.05%  frontend         frontend                  [.] runtime.duffzero
     0.05%  swapper          [kernel.kallsyms]         [k] update_blocked_averages
     0.05%  frontend         frontend                  [.] github.com/opentracing-contrib/go-stdlib/nethttp.Middleware.func2
     0.05%  containerd-shim  [kernel.kallsyms]         [k] mutex_lock
     0.05%  dockerd          dockerd                   [.] runtime.adjustpointers
     0.05%  wrk              [kernel.kallsyms]         [k] update_load_avg
     0.05%  wrk              [kernel.kallsyms]         [k] tcp_poll
     0.05%  dockerd          dockerd                   [.] runtime.reentersyscall
     0.05%  containerd-shim  [kernel.kallsyms]         [k] __schedule
     0.05%  kworker/14:7-ev  [kernel.kallsyms]         [k] nf_ct_iterate_cleanup
     0.05%  containerd-shim  [kernel.kallsyms]         [k] ep_send_events_proc
     0.05%  frontend         frontend                  [.] runtime.slicebytetostring
     0.05%  frontend         frontend                  [.] runtime.mapaccess2
     0.05%  dockerd          dockerd                   [.] runtime.chanrecv
     0.05%  dockerd          [kernel.kallsyms]         [k] __update_load_avg_se
     0.05%  swapper          [kernel.kallsyms]         [k] update_cfs_group
     0.05%  docker-proxy     [kernel.kallsyms]         [k] tcp_ack
     0.05%  docker-proxy     docker-proxy              [.] runtime.lock2
     0.05%  frontend         frontend                  [.] syscall.Getenv
     0.05%  dockerd          dockerd                   [.] runtime.(*stkframe).getStackMap
     0.05%  swapper          [kernel.kallsyms]         [k] ktime_get
     0.05%  dockerd          [kernel.kallsyms]         [k] kmem_cache_free
     0.05%  containerd-shim  [kernel.kallsyms]         [k] _raw_spin_lock_irqsave
     0.05%  wrk              wrk                       [.] lj_BC_CALL
     0.05%  docker-proxy     [kernel.kallsyms]         [k] enqueue_task_fair
     0.05%  frontend         [kernel.kallsyms]         [k] _raw_spin_lock
     0.05%  swapper          [kernel.kallsyms]         [k] cpuidle_not_available
     0.05%  frontend         [kernel.kallsyms]         [k] try_to_wake_up
     0.05%  wrk              [kernel.kallsyms]         [k] __x64_sys_epoll_ctl
     0.05%  frontend         [kernel.kallsyms]         [k] nf_hook_slow
     0.05%  runc             runc                      [.] crosscall2
     0.05%  frontend         frontend                  [.] github.com/rs/zerolog.ConsoleWriter.writePart
     0.05%  frontend         frontend                  [.] encoding/json.(*decodeState).literalStore
     0.05%  docker-proxy     [kernel.kallsyms]         [k] _raw_spin_lock_irqsave
     0.05%  wrk              [kernel.kallsyms]         [k] __tcp_transmit_skb
     0.05%  dockerd          [kernel.kallsyms]         [k] __switch_to
     0.05%  all-in-one-linu  all-in-one-linux          [.] runtime.scanobject
     0.05%  frontend         [kernel.kallsyms]         [k] nf_conntrack_in
     0.05%  wrk              [kernel.kallsyms]         [k] tcp_sendmsg_locked
     0.05%  frontend         [kernel.kallsyms]         [k] ep_poll_callback
     0.05%  dockerd          dockerd                   [.] runtime.mapassign_faststr
     0.05%  docker-proxy     [kernel.kallsyms]         [k] ip_finish_output2
     0.05%  docker-proxy     [kernel.kallsyms]         [k] tcp_write_xmit
     0.05%  frontend         frontend                  [.] github.com/harlow/go-micro-services/services/frontend.(*Server).searchHandler
     0.05%  swapper          [kernel.kallsyms]         [k] rb_erase
     0.05%  docker-proxy     [kernel.kallsyms]         [k] reweight_entity
     0.05%  dockerd          dockerd                   [.] bytes.(*Buffer).WriteString
     0.05%  containerd-shim  [kernel.kallsyms]         [k] pipe_poll
     0.05%  systemd-udevd    [kernel.kallsyms]         [k] __this_module+0x80000001cb07
     0.05%  kworker/6:12-ev  [kernel.kallsyms]         [k] nf_ct_iterate_cleanup
     0.05%  frontend         frontend                  [.] runtime.bulkBarrierPreWrite
     0.05%  dockerd          dockerd                   [.] runtime.sweepone
     0.05%  frontend         frontend                  [.] runtime.makechan
     0.05%  docker-proxy     docker-proxy              [.] internal/poll.Splice
     0.05%  docker-proxy     [kernel.kallsyms]         [k] __dev_queue_xmit
     0.04%  frontend         frontend                  [.] runtime.publicationBarrier.abi0
     0.04%  frontend         frontend                  [.] reflect.Value.Set
     0.04%  wrk              [kernel.kallsyms]         [k] ep_send_events_proc
     0.04%  frontend         frontend                  [.] encoding/json.indirect
     0.04%  frontend         frontend                  [.] runtime.(*mheap).allocSpan
     0.04%  frontend         [kernel.kallsyms]         [k] __update_load_avg_cfs_rq
     0.04%  swapper          [kernel.kallsyms]         [k] pm_qos_request
     0.04%  frontend         frontend                  [.] google.golang.org/grpc.newClientStream
     0.04%  docker-proxy     [kernel.kallsyms]         [k] update_curr
     0.04%  frontend         frontend                  [.] internal/poll.runtime_pollSetDeadline
     0.04%  swapper          [kernel.kallsyms]         [k] native_apic_msr_eoi_write
     0.04%  dockerd          [kernel.kallsyms]         [k] __switch_to_asm
     0.04%  swapper          [kernel.kallsyms]         [k] tick_nohz_next_event
     0.04%  containerd-shim  [kernel.kallsyms]         [k] mutex_unlock
     0.04%  containerd-shim  [kernel.kallsyms]         [k] reweight_entity
     0.04%  frontend         [kernel.kallsyms]         [k] enqueue_entity
     0.04%  docker-proxy     [kernel.kallsyms]         [k] nf_hook_slow
     0.04%  docker-proxy     [kernel.kallsyms]         [k] ipt_do_table
     0.04%  frontend         [kernel.kallsyms]         [k] __wake_up_common
     0.04%  docker-proxy     [kernel.kallsyms]         [k] __switch_to
     0.04%  wrk              [kernel.kallsyms]         [k] ip_finish_output2
     0.04%  dockerd          dockerd                   [.] sync.(*Mutex).Unlock
     0.04%  frontend         frontend                  [.] encoding/json.stateEndValue
     0.04%  frontend         frontend                  [.] strconv.readFloat
     0.04%  frontend         frontend                  [.] internal/poll.(*fdMutex).rwlock
     0.04%  frontend         frontend                  [.] syscall.Getwd
     0.04%  dockerd          dockerd                   [.] go.opentelemetry.io/otel/sdk/trace.(*recordingSpan).snapshot
     0.04%  dockerd          dockerd                   [.] runtime.newobject
     0.04%  dockerd          dockerd                   [.] bytes.(*Buffer).WriteByte
     0.04%  docker-proxy     [kernel.kallsyms]         [k] enqueue_entity
     0.04%  dockerd          [kernel.kallsyms]         [k] switch_fpu_return
     0.04%  frontend         [kernel.kallsyms]         [k] __tcp_transmit_skb
     0.04%  frontend         frontend                  [.] github.com/rs/zerolog.(*Event).write
     0.04%  frontend         frontend                  [.] net/url.(*URL).String
     0.04%  frontend         frontend                  [.] runtime.getitab
     0.04%  docker-proxy     [kernel.kallsyms]         [k] __update_load_avg_cfs_rq
     0.04%  frontend         frontend                  [.] net/url.parse
     0.04%  kworker/u32:3+n  [kernel.kallsyms]         [k] inet_twsk_purge
     0.04%  containerd-shim  [kernel.kallsyms]         [k] __update_load_avg_cfs_rq
     0.04%  frontend         frontend                  [.] context.(*cancelCtx).Done
     0.04%  wrk              [kernel.kallsyms]         [k] tcp_recvmsg
     0.04%  frontend         [kernel.kallsyms]         [k] reweight_entity
     0.04%  dockerd          dockerd                   [.] sync.(*Pool).Get
     0.04%  dockerd          [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
     0.04%  docker-proxy     [kernel.kallsyms]         [k] nf_conntrack_tcp_packet
     0.04%  wrk              [kernel.kallsyms]         [k] __inet_lookup_established
     0.04%  frontend         frontend                  [.] runtime.nanotime1.abi0
     0.04%  frontend         frontend                  [.] runtime.newMarkBits
     0.04%  frontend         frontend                  [.] runtime.(*consistentHeapStats).acquire
     0.04%  containerd-shim  [kernel.kallsyms]         [k] __update_load_avg_se
     0.04%  docker-proxy     [kernel.kallsyms]         [k] tcp_v4_rcv
     0.04%  dockerd          [kernel.kallsyms]         [k] timerqueue_add
     0.04%  dockerd          [kernel.kallsyms]         [k] __nla_put
     0.04%  frontend         [kernel.kallsyms]         [k] common_file_perm
     0.04%  wrk              [kernel.kallsyms]         [k] __nf_conntrack_find_get
     0.04%  swapper          [kernel.kallsyms]         [k] _raw_spin_lock_irqsave
     0.04%  dockerd          dockerd                   [.] runtime.pidleget
     0.04%  frontend         frontend                  [.] runtime.makeslice
     0.04%  wrk              [kernel.kallsyms]         [k] fput_many
     0.04%  dockerd          [kernel.kallsyms]         [k] copy_user_enhanced_fast_string
     0.04%  docker-proxy     [kernel.kallsyms]         [k] common_file_perm
     0.04%  frontend         frontend                  [.] runtime.chanrecv
     0.04%  docker-proxy     [kernel.kallsyms]         [k] nf_ct_seq_offset
     0.04%  frontend         frontend                  [.] runtime.sweepone
     0.04%  docker-proxy     [kernel.kallsyms]         [k] tcp_rcv_established
     0.04%  wrk              [kernel.kallsyms]         [k] select_estimate_accuracy
     0.04%  docker-proxy     [kernel.kallsyms]         [k] __update_load_avg_se
     0.04%  wrk              [kernel.kallsyms]         [k] copy_user_enhanced_fast_string
     0.04%  frontend         frontend                  [.] runtime.convTstring
     0.04%  kworker/15:11-r  [kernel.kallsyms]         [k] nf_ct_iterate_cleanup
     0.04%  frontend         [kernel.kallsyms]         [k] tcp_sendmsg_locked
     0.04%  docker-proxy     [kernel.kallsyms]         [k] __wake_up_common
     0.04%  containerd-shim  [vdso]                    [.] __vdso_clock_gettime
     0.04%  frontend         [kernel.kallsyms]         [k] nf_conntrack_tcp_packet
     0.04%  dockerd          [kernel.kallsyms]         [k] __calc_delta
     0.04%  dockerd          [kernel.kallsyms]         [k] cpuacct_charge
     0.04%  dockerd          [kernel.kallsyms]         [k] __wake_up_common
     0.04%  frontend         [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
     0.04%  frontend         frontend                  [.] runtime.(*pallocBits).summarize
     0.04%  dockerd          dockerd                   [.] runtime.concatstrings
     0.04%  docker-proxy     [kernel.kallsyms]         [k] __netif_receive_skb_core
     0.04%  frontend         frontend                  [.] runtime.typedmemmove
     0.04%  docker-proxy     [kernel.kallsyms]         [k] tcp_clean_rtx_queue
     0.04%  frontend         [kernel.kallsyms]         [k] tcp_clean_rtx_queue
     0.04%  kworker/u32:3+n  [kernel.kallsyms]         [k] kill_all
     0.04%  dockerd          dockerd                   [.] runtime.mapaccess2_faststr
     0.04%  dockerd          [kernel.kallsyms]         [k] page_fault
     0.04%  docker-proxy     [kernel.kallsyms]         [k] try_to_wake_up
     0.04%  docker-proxy     [kernel.kallsyms]         [k] tcp_in_window
     0.04%  wrk              wrk                       [.] rehashtab
     0.04%  dockerd          [kernel.kallsyms]         [k] _raw_read_lock_irqsave
     0.04%  docker-proxy     [kernel.kallsyms]         [k] ep_poll_callback
