# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 80K of event 'cycles'
# Event count (approx.): 144895019115
#
# Overhead  Command   Shared Object       Symbol                                                                                                          
# ........  ........  ..................  ................................................................................................................
#
     0.15%  frontend  frontend            [.] sync.(*RWMutex).Lock
     0.15%  frontend  frontend            [.] runtime.gcmarknewobject
     0.15%  frontend  frontend            [.] encoding/json.stateEndValue
     0.15%  frontend  frontend            [.] golang.org/x/net/http2.(*Framer).ReadFrame
     0.15%  frontend  [kernel.kallsyms]   [k] ep_poll_callback
     0.15%  frontend  frontend            [.] runtime.slicebytetostring
     0.14%  frontend  frontend            [.] sync.(*Pool).Get
     0.14%  frontend  frontend            [.] runtime.getitab
     0.14%  frontend  [kernel.kallsyms]   [k] __wake_up_common
     0.14%  frontend  frontend            [.] github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.OpenTracingClientInterceptor.func1
     0.14%  frontend  [kernel.kallsyms]   [k] copy_user_enhanced_fast_string
     0.14%  frontend  [kernel.kallsyms]   [k] common_file_perm
     0.14%  frontend  frontend            [.] github.com/uber/jaeger-client-go.(*Tracer).startSpanWithOptions
     0.14%  frontend  frontend            [.] syscall.Getwd
     0.14%  frontend  [kernel.kallsyms]   [k] update_cfs_rq_h_load
     0.14%  frontend  frontend            [.] runtime.mapdelete
     0.14%  frontend  [kernel.kallsyms]   [k] __kmalloc_node_track_caller
     0.13%  frontend  [kernel.kallsyms]   [k] __update_load_avg_se
     0.13%  frontend  [kernel.kallsyms]   [k] nf_ct_get_tuple
     0.13%  frontend  [kernel.kallsyms]   [k] read_tsc
     0.13%  frontend  frontend            [.] google.golang.org/grpc.(*clientStream).RecvMsg
     0.13%  frontend  frontend            [.] sync.(*Pool).pin
     0.13%  frontend  [kernel.kallsyms]   [k] process_backlog
     0.13%  frontend  frontend            [.] runtime.(*sweepLocked).sweep
     0.13%  frontend  [kernel.kallsyms]   [k] kmem_cache_alloc_node
     0.13%  frontend  frontend            [.] golang.org/x/net/http2.(*Framer).readMetaFrame.func1
     0.13%  frontend  [kernel.kallsyms]   [k] mod_timer
     0.13%  frontend  frontend            [.] sync.(*Pool).Put
     0.13%  frontend  frontend            [.] github.com/rs/zerolog.(*Event).msg
     0.12%  frontend  frontend            [.] sync.(*RWMutex).Unlock
     0.12%  frontend  [kernel.kallsyms]   [k] fdb_find_rcu
     0.12%  frontend  frontend            [.] github.com/golang/protobuf/proto.(*Buffer).enc_struct
     0.12%  frontend  frontend            [.] encoding/json.(*decodeState).literalStore
     0.12%  frontend  frontend            [.] runtime.checkTimers
     0.12%  frontend  [kernel.kallsyms]   [k] hash_conntrack_raw
     0.12%  frontend  frontend            [.] runtime.runqgrab
     0.12%  frontend  [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
     0.12%  frontend  frontend            [.] syscall.Syscall.abi0
     0.12%  frontend  frontend            [.] runtime.nanotime1.abi0
     0.12%  frontend  [kernel.kallsyms]   [k] __cgroup_bpf_run_filter_skb
     0.12%  frontend  frontend            [.] google.golang.org/grpc/transport.(*http2Client).reader
     0.12%  frontend  frontend            [.] runtime.adjustframe
     0.12%  frontend  frontend            [.] github.com/golang/protobuf/proto.(*Buffer).unmarshalType
     0.12%  frontend  [kernel.kallsyms]   [k] native_sched_clock
     0.12%  frontend  frontend            [.] runtime.exitsyscallfast
     0.12%  frontend  frontend            [.] github.com/harlow/go-micro-services/services/frontend.(*Server).searchHandler
     0.12%  frontend  frontend            [.] runtime.duffzero
     0.12%  frontend  [kernel.kallsyms]   [k] skb_release_data
     0.12%  frontend  frontend            [.] runtime.bulkBarrierPreWrite
     0.12%  frontend  [kernel.kallsyms]   [k] __x86_indirect_thunk_rax
     0.12%  frontend  frontend            [.] runtime.acquireSudog
     0.11%  frontend  frontend            [.] encoding/json.(*encodeState).string
     0.11%  frontend  [kernel.kallsyms]   [k] ipv4_conntrack_defrag
     0.11%  frontend  [kernel.kallsyms]   [k] enqueue_to_backlog
     0.11%  frontend  frontend            [.] runtime.sweepone
     0.11%  frontend  frontend            [.] runtime.gcWriteBarrier
     0.11%  frontend  frontend            [.] runtime.runqget
     0.11%  frontend  [kernel.kallsyms]   [k] copy_user_generic_unrolled
     0.11%  frontend  [kernel.kallsyms]   [k] __skb_datagram_iter
     0.11%  frontend  frontend            [.] runtime.concatstrings
     0.11%  frontend  [kernel.kallsyms]   [k] nf_nat_inet_fn
     0.11%  frontend  frontend            [.] runtime.makeslice
     0.11%  frontend  frontend            [.] sync.(*Mutex).Unlock
     0.11%  frontend  [kernel.kallsyms]   [k] native_write_msr
     0.11%  frontend  frontend            [.] encoding/json.indirect
     0.11%  frontend  [kernel.kallsyms]   [k] br_nf_forward_ip
     0.11%  frontend  frontend            [.] runtime.gopark
     0.11%  frontend  frontend            [.] runtime.(*mspan).refillAllocCache
     0.11%  frontend  frontend            [.] internal/poll.runtime_pollReset
     0.10%  frontend  frontend            [.] golang.org/x/net/http2/hpack.(*headerFieldTable).search
     0.10%  frontend  frontend            [.] golang.org/x/net/http2.(*Framer).readMetaFrame
     0.10%  frontend  frontend            [.] context.(*valueCtx).Value
     0.10%  frontend  frontend            [.] syscall.Getenv
     0.10%  frontend  frontend            [.] net/url.parseQuery
     0.10%  frontend  frontend            [.] golang.org/x/net/http2/hpack.(*Encoder).WriteField
     0.10%  frontend  frontend            [.] runtime.makechan
     0.10%  frontend  [kernel.kallsyms]   [k] fsnotify
     0.10%  frontend  frontend            [.] fmt.(*fmt).pad
     0.10%  frontend  frontend            [.] runtime.(*Frames).Next
     0.10%  frontend  frontend            [.] internal/poll.(*fdMutex).rwlock
     0.10%  frontend  frontend            [.] reflect.Value.Set
     0.10%  frontend  [kernel.kallsyms]   [k] __ip_queue_xmit
     0.10%  frontend  [kernel.kallsyms]   [k] switch_fpu_return
     0.10%  frontend  frontend            [.] context.(*valueCtx).Done
     0.10%  frontend  frontend            [.] time.absDate
     0.10%  frontend  [kernel.kallsyms]   [k] cpuacct_charge
     0.10%  frontend  [kernel.kallsyms]   [k] net_rx_action
     0.09%  frontend  [kernel.kallsyms]   [k] br_nf_hook_thresh
     0.09%  frontend  frontend            [.] io.ReadAtLeast
     0.09%  frontend  [kernel.kallsyms]   [k] ip_output
     0.09%  frontend  frontend            [.] encoding/json.mapEncoder.encode
     0.09%  frontend  frontend            [.] runtime.gcDrain
     0.09%  frontend  [kernel.kallsyms]   [k] ipv4_confirm
     0.09%  frontend  [kernel.kallsyms]   [k] sock_poll
     0.09%  frontend  [kernel.kallsyms]   [k] __slab_free
     0.09%  frontend  frontend            [.] runtime.selunlock
     0.09%  frontend  [kernel.kallsyms]   [k] __schedule
     0.09%  frontend  frontend            [.] strconv.formatBits
     0.09%  frontend  frontend            [.] net.(*conn).Read
     0.09%  frontend  [kernel.kallsyms]   [k] nf_ct_seq_offset
     0.09%  frontend  [kernel.kallsyms]   [k] resched_curr
     0.09%  frontend  frontend            [.] net/http.(*conn).readRequest
     0.09%  frontend  frontend            [.] github.com/uber/jaeger-client-go.(*Tracer).startSpanInternal
     0.09%  frontend  frontend            [.] net/textproto.CanonicalMIMEHeaderKey
     0.09%  frontend  frontend            [.] runtime.netpollblock
     0.09%  frontend  [kernel.kallsyms]   [k] memcmp
     0.09%  frontend  [kernel.kallsyms]   [k] __local_bh_enable_ip
     0.09%  frontend  frontend            [.] google.golang.org/grpc/transport.(*controlBuffer).put
     0.09%  frontend  frontend            [.] golang.org/x/net/http2.(*Framer).checkFrameOrder
     0.09%  frontend  frontend            [.] google.golang.org/grpc/transport.(*decodeState).processHeaderField
     0.09%  frontend  frontend            [.] net.(*TCPConn).Read
     0.09%  frontend  [kernel.kallsyms]   [k] ktime_get
     0.08%  frontend  [kernel.kallsyms]   [k] find_next_bit
     0.08%  frontend  frontend            [.] reflect.Value.Elem
     0.08%  frontend  [kernel.kallsyms]   [k] validate_xmit_skb
     0.08%  frontend  frontend            [.] runtime.adjustpointers
     0.08%  frontend  frontend            [.] reflect.(*rtype).Elem
     0.08%  frontend  [kernel.kallsyms]   [k] _raw_read_lock_irqsave
     0.08%  frontend  frontend            [.] time.(*Location).lookup
     0.08%  frontend  frontend            [.] runtime.runqput
     0.08%  frontend  frontend            [.] time.Date
     0.08%  frontend  [kernel.kallsyms]   [k] set_task_cpu
     0.08%  frontend  [kernel.kallsyms]   [k] vfs_write
     0.08%  frontend  frontend            [.] strings.Index
     0.08%  frontend  frontend            [.] runtime.closechan
     0.08%  frontend  [kernel.kallsyms]   [k] eth_type_trans
     0.08%  frontend  [kernel.kallsyms]   [k] br_handle_frame_finish
     0.08%  frontend  [kernel.kallsyms]   [k] mutex_lock
     0.08%  frontend  [kernel.kallsyms]   [k] __fsnotify_parent
     0.08%  frontend  [kernel.kallsyms]   [k] update_rq_clock
     0.08%  frontend  [kernel.kallsyms]   [k] prepend_path.isra.0
     0.08%  frontend  [kernel.kallsyms]   [k] __check_object_size
     0.08%  frontend  frontend            [.] net.(*netFD).Write
     0.08%  frontend  [kernel.kallsyms]   [k] path_init
     0.08%  frontend  [kernel.kallsyms]   [k] common_perm
     0.08%  frontend  [kernel.kallsyms]   [k] __calc_delta
     0.08%  frontend  [kernel.kallsyms]   [k] br_nf_post_routing
     0.08%  frontend  frontend            [.] runtime.(*mheap).allocSpan
     0.08%  frontend  [kernel.kallsyms]   [k] br_nf_pre_routing_finish
     0.08%  frontend  frontend            [.] google.golang.org/grpc/transport.(*http2Client).Write
     0.08%  frontend  [kernel.kallsyms]   [k] tcp_ack_update_rtt.isra.0
     0.08%  frontend  frontend            [.] bufio.(*Writer).Flush
     0.08%  frontend  [kernel.kallsyms]   [k] update_blocked_averages
     0.08%  frontend  frontend            [.] golang.org/x/net/http2/hpack.appendHpackString
     0.08%  frontend  [kernel.kallsyms]   [k] tcp_event_new_data_sent
     0.08%  frontend  [kernel.kallsyms]   [k] memcg_kmem_put_cache
     0.08%  frontend  [kernel.kallsyms]   [k] __perf_event_task_sched_out
     0.08%  frontend  frontend            [.] runtime.netpollready
     0.08%  frontend  frontend            [.] runtime.resolveTypeOff
     0.08%  frontend  frontend            [.] runtime.systemstack.abi0
     0.08%  frontend  [kernel.kallsyms]   [k] check_preempt_curr
     0.08%  frontend  [kernel.kallsyms]   [k] sock_write_iter
     0.08%  frontend  [kernel.kallsyms]   [k] nf_ct_deliver_cached_events
     0.08%  frontend  [kernel.kallsyms]   [k] prepend_name
     0.07%  frontend  frontend            [.] github.com/rs/zerolog.ConsoleWriter.writeFields
     0.07%  frontend  frontend            [.] bytes.(*Buffer).WriteByte
     0.07%  frontend  frontend            [.] runtime.(*mcache).nextFree
     0.07%  frontend  [kernel.kallsyms]   [k] new_sync_write
     0.07%  frontend  frontend            [.] golang.org/x/net/http2.validWireHeaderFieldName
     0.07%  frontend  frontend            [.] runtime.newMarkBits
     0.07%  frontend  frontend            [.] runtime.(*mcentral).cacheSpan
     0.07%  frontend  frontend            [.] runtime.mcall
     0.07%  frontend  frontend            [.] syscall.read
     0.07%  frontend  [kernel.kallsyms]   [k] prepare_exit_to_usermode
     0.07%  frontend  [kernel.kallsyms]   [k] kfree
     0.07%  frontend  frontend            [.] golang.org/x/net/http2.(*Framer).endWrite
     0.07%  frontend  [kernel.kallsyms]   [k] tcp_schedule_loss_probe
     0.07%  frontend  frontend            [.] runtime.interhash
     0.07%  frontend  frontend            [.] runtime.park_m
     0.07%  frontend  frontend            [.] encoding/json.stateBeginValue
     0.07%  frontend  [kernel.kallsyms]   [k] tcp_current_mss
     0.07%  frontend  [kernel.kallsyms]   [k] ipv4_mtu
     0.07%  frontend  frontend            [.] github.com/rs/zerolog.(*Event).write
     0.07%  frontend  frontend            [.] google.golang.org/grpc/transport.(*http2Client).handleData
     0.07%  frontend  frontend            [.] os.(*File).Write
     0.07%  frontend  frontend            [.] runtime.scanframeworker
     0.07%  frontend  frontend            [.] github.com/golang/protobuf/proto.GetProperties
     0.07%  frontend  frontend            [.] fmt.(*pp).fmtInteger
     0.07%  frontend  frontend            [.] google.golang.org/grpc/transport.(*quotaPool).get
     0.07%  frontend  [kernel.kallsyms]   [k] ep_send_events_proc
     0.07%  frontend  frontend            [.] runtime.execute
     0.07%  frontend  [kernel.kallsyms]   [k] apparmor_socket_recvmsg
     0.07%  frontend  frontend            [.] internal/poll.(*fdMutex).rwunlock
     0.07%  frontend  [kernel.kallsyms]   [k] account_entity_enqueue
     0.07%  frontend  frontend            [.] runtime.(*mcache).refill
     0.07%  frontend  [kernel.kallsyms]   [k] pipe_write
     0.07%  frontend  [kernel.kallsyms]   [k] ip_rcv
     0.07%  frontend  [kernel.kallsyms]   [k] __softirqentry_text_start
     0.07%  frontend  [kernel.kallsyms]   [k] fput_many
     0.07%  frontend  [kernel.kallsyms]   [k] __legitimize_mnt
     0.07%  frontend  frontend            [.] runtime.mapdelete_fast32
     0.07%  frontend  frontend            [.] runtime.(*consistentHeapStats).acquire
     0.07%  frontend  frontend            [.] reflect.(*rtype).Kind
     0.07%  frontend  frontend            [.] fmt.Sprintf
     0.07%  frontend  [kernel.kallsyms]   [k] get_l4proto
     0.07%  frontend  [kernel.kallsyms]   [k] __lock_text_start
     0.07%  frontend  frontend            [.] encoding/json.(*decodeState).unmarshal
     0.07%  frontend  frontend            [.] runtime.pcdatavalue
     0.07%  frontend  [kernel.kallsyms]   [k] skb_ext_add
     0.07%  frontend  frontend            [.] google.golang.org/grpc.(*balancerWrapper).Pick
     0.07%  frontend  [kernel.kallsyms]   [k] tcp_poll
     0.07%  frontend  [kernel.kallsyms]   [k] __x64_sys_getcwd
     0.07%  frontend  frontend            [.] net/http.(*chunkWriter).writeHeader
     0.07%  frontend  frontend            [.] internal/poll.runtime_pollSetDeadline
     0.06%  frontend  [kernel.kallsyms]   [k] ip_protocol_deliver_rcu
     0.06%  frontend  frontend            [.] google.golang.org/grpc/transport.(*controlBuffer).load
     0.06%  frontend  frontend            [.] bufio.(*Writer).Write
     0.06%  frontend  [kernel.kallsyms]   [k] fpregs_assert_state_consistent
     0.06%  frontend  [kernel.kallsyms]   [k] dequeue_task_fair
     0.06%  frontend  [kernel.kallsyms]   [k] release_sock
     0.06%  frontend  frontend            [.] runtime.makemap
     0.06%  frontend  frontend            [.] runtime.(*mspan).nextFreeIndex
     0.06%  frontend  [kernel.kallsyms]   [k] __ksize
     0.06%  frontend  [kernel.kallsyms]   [k] tcp_stream_memory_free
     0.06%  frontend  [kernel.kallsyms]   [k] sock_read_iter
     0.06%  frontend  [kernel.kallsyms]   [k] pick_next_task_fair
     0.06%  frontend  frontend            [.] syscall.write
     0.06%  frontend  [kernel.kallsyms]   [k] nf_nat_ipv4_out
     0.06%  frontend  [kernel.kallsyms]   [k] sock_def_readable
     0.06%  frontend  frontend            [.] net.(*netFD).Read
     0.06%  frontend  [kernel.kallsyms]   [k] tcp_rearm_rto
     0.06%  frontend  frontend            [.] context.(*cancelCtx).Value
     0.06%  frontend  [kernel.kallsyms]   [k] inode_permission
     0.06%  frontend  frontend            [.] runtime.efaceeq
     0.06%  frontend  [kernel.kallsyms]   [k] _cond_resched
     0.06%  frontend  frontend            [.] google.golang.org/grpc/transport.(*http2Client).operateHeaders
     0.06%  frontend  frontend            [.] context.WithValue
     0.06%  frontend  frontend            [.] net/http.(*conn).serve
     0.06%  frontend  frontend            [.] google.golang.org/grpc/transport.(*http2Client).newStream
     0.06%  frontend  frontend            [.] runtime.mapassign_fast32
     0.06%  frontend  [kernel.kallsyms]   [k] rb_next
     0.06%  frontend  [kernel.kallsyms]   [k] __netif_receive_skb_one_core
     0.06%  frontend  frontend            [.] sync.runtime_procPin
     0.06%  frontend  [kernel.kallsyms]   [k] sk_stream_alloc_skb
     0.06%  frontend  [kernel.kallsyms]   [k] sock_rfree
     0.06%  frontend  frontend            [.] github.com/uber/jaeger-client-go.(*Span).FinishWithOptions
     0.06%  frontend  [kernel.kallsyms]   [k] __ip_finish_output
     0.06%  frontend  [kernel.kallsyms]   [k] skb_page_frag_refill
     0.06%  frontend  [kernel.kallsyms]   [k] _raw_write_lock_irq
     0.06%  frontend  [kernel.kallsyms]   [k] ksys_write
     0.06%  frontend  frontend            [.] sync.(*RWMutex).RUnlock
     0.06%  frontend  frontend            [.] runtime.convTstring
     0.06%  frontend  [kernel.kallsyms]   [k] conntrack_mt
     0.06%  frontend  frontend            [.] golang.org/x/net/http2.(*Framer).WriteHeaders
     0.06%  frontend  frontend            [.] runtime.duffcopy
     0.06%  frontend  frontend            [.] golang.org/x/net/http2/hpack.(*Decoder).at
     0.06%  frontend  [kernel.kallsyms]   [k] tcp_release_cb
     0.06%  frontend  frontend            [.] reflect.implements
     0.06%  frontend  [kernel.kallsyms]   [k] security_socket_recvmsg
     0.06%  frontend  [kernel.kallsyms]   [k] tcp_v4_early_demux
     0.06%  frontend  frontend            [.] encoding/json.(*Decoder).Decode
     0.06%  frontend  frontend            [.] google.golang.org/grpc.recv
     0.06%  frontend  frontend            [.] runtime.releaseSudog
     0.06%  frontend  frontend            [.] runtime.save
     0.06%  frontend  frontend            [.] net/http.DetectContentType
     0.06%  frontend  frontend            [.] google.golang.org/grpc/transport.(*Stream).Read
     0.06%  frontend  frontend            [.] net/http.textSig.match
     0.06%  frontend  frontend            [.] bytes.(*Buffer).WriteString
     0.06%  frontend  frontend            [.] runtime.memequal
     0.06%  frontend  [kernel.kallsyms]   [k] _raw_read_unlock_irqrestore
     0.06%  frontend  frontend            [.] runtime.deferreturn
     0.06%  frontend  frontend            [.] time.Time.locabs
     0.06%  frontend  frontend            [.] encoding/json.(*decodeState).scanWhile
     0.06%  frontend  frontend            [.] net/url.escape
     0.06%  frontend  [kernel.kallsyms]   [k] record_times
     0.05%  frontend  [kernel.kallsyms]   [k] dev_hard_start_xmit
     0.05%  frontend  frontend            [.] sync.(*Map).Load
     0.05%  frontend  [kernel.kallsyms]   [k] tcp_queue_rcv
     0.05%  frontend  frontend            [.] reflect.convertOp
     0.05%  frontend  frontend            [.] golang.org/x/net/http2/hpack.(*Encoder).searchTable
     0.05%  frontend  [kernel.kallsyms]   [k] tcp_cleanup_rbuf
     0.05%  frontend  [kernel.kallsyms]   [k] ip_local_deliver
     0.05%  frontend  frontend            [.] fmt.newPrinter
     0.05%  frontend  frontend            [.] net.(*TCPConn).Write
     0.05%  frontend  [kernel.kallsyms]   [k] br_forward
     0.05%  frontend  frontend            [.] github.com/golang/protobuf/proto.getbase
     0.05%  frontend  frontend            [.] reflect.Value.SetMapIndex
     0.05%  frontend  [kernel.kallsyms]   [k] apic_timer_interrupt
     0.05%  frontend  frontend            [.] context.(*cancelCtx).cancel
     0.05%  frontend  frontend            [.] google.golang.org/grpc/transport.(*recvBuffer).put
     0.05%  frontend  [kernel.kallsyms]   [k] tcp_event_data_recv
     0.05%  frontend  frontend            [.] runtime.ready
     0.05%  frontend  frontend            [.] google.golang.org/grpc/transport.(*quotaPool).add
     0.05%  frontend  [kernel.kallsyms]   [k] ksys_read
     0.05%  frontend  [kernel.kallsyms]   [k] aa_file_perm
     0.05%  frontend  [kernel.kallsyms]   [k] ovl_same_sb
     0.05%  frontend  [kernel.kallsyms]   [k] smp_call_function_many
     0.05%  frontend  frontend            [.] time.now.abi0
     0.05%  frontend  frontend            [.] reflect.Value.Type
     0.05%  frontend  frontend            [.] runtime.wirep
     0.05%  frontend  frontend            [.] github.com/rs/zerolog/internal/json.Encoder.AppendTime
     0.05%  frontend  [kernel.kallsyms]   [k] netif_rx_internal
     0.05%  frontend  [kernel.kallsyms]   [k] intel_pstate_update_util
     0.05%  frontend  frontend            [.] internal/testlog.Getenv
     0.05%  frontend  [kernel.kallsyms]   [k] skb_entail
     0.05%  frontend  [kernel.kallsyms]   [k] br_fdb_update
     0.05%  frontend  frontend            [.] google.golang.org/grpc.(*roundRobin).Get
