# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 13K of event 'cycles'
# Event count (approx.): 28292410085
#
# Overhead  Command         Shared Object      Symbol                                                                                                                
# ........  ..............  .................  ......................................................................................................................
#
     0.43%  recommendation  recommendation     [.] runtime.newobject
     0.42%  recommendation  [vdso]             [.] __vdso_clock_gettime
     0.42%  recommendation  recommendation     [.] runtime.growslice
     0.41%  recommendation  recommendation     [.] aeshashbody
     0.41%  recommendation  [kernel.kallsyms]  [k] timerqueue_add
     0.41%  recommendation  [kernel.kallsyms]  [k] nf_hook_slow
     0.41%  recommendation  [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.40%  recommendation  recommendation     [.] runtime.unlock2
     0.39%  recommendation  [kernel.kallsyms]  [k] reweight_entity
     0.39%  recommendation  recommendation     [.] golang.org/x/net/http2/hpack.huffmanDecode
     0.38%  recommendation  [kernel.kallsyms]  [k] __fget_light
     0.37%  recommendation  [kernel.kallsyms]  [k] __netif_receive_skb_core
     0.36%  recommendation  [kernel.kallsyms]  [k] _raw_spin_lock
     0.36%  recommendation  recommendation     [.] math.ldexp
     0.35%  recommendation  recommendation     [.] time.Time.AppendFormat
     0.35%  recommendation  recommendation     [.] runtime.casgstatus
     0.34%  recommendation  recommendation     [.] google.golang.org/grpc/transport.(*http2Server).itemHandler
     0.33%  recommendation  recommendation     [.] runtime.lock2
     0.33%  recommendation  recommendation     [.] time.nextStdChunk
     0.33%  recommendation  [kernel.kallsyms]  [k] ipt_do_table
     0.32%  recommendation  [kernel.kallsyms]  [k] __update_load_avg_se
     0.32%  recommendation  [kernel.kallsyms]  [k] cpuacct_charge
     0.31%  recommendation  recommendation     [.] internal/poll.runtime_pollReset
     0.30%  recommendation  [kernel.kallsyms]  [k] select_task_rq_fair
     0.30%  recommendation  [kernel.kallsyms]  [k] perf_swevent_add
     0.30%  recommendation  recommendation     [.] google.golang.org/grpc/transport.(*decodeState).processHeaderField
     0.30%  recommendation  [kernel.kallsyms]  [k] native_sched_clock
     0.30%  recommendation  [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.30%  recommendation  recommendation     [.] golang.org/x/net/http2.(*Framer).readMetaFrame.func1
     0.29%  recommendation  [kernel.kallsyms]  [k] ctx_sched_in
     0.29%  recommendation  recommendation     [.] runtime.retake
     0.29%  recommendation  recommendation     [.] runtime.sysmon
     0.28%  recommendation  recommendation     [.] runtime.reentersyscall
     0.27%  recommendation  recommendation     [.] fmt.(*pp).doPrintf
     0.27%  recommendation  recommendation     [.] runtime.checkTimers
     0.27%  recommendation  [kernel.kallsyms]  [k] tcp_sendmsg_locked
     0.27%  recommendation  recommendation     [.] memeqbody
     0.26%  recommendation  [kernel.kallsyms]  [k] veth_xmit
     0.26%  recommendation  [kernel.kallsyms]  [k] dequeue_task_fair
     0.25%  recommendation  recommendation     [.] runtime.schedule
     0.25%  recommendation  [kernel.kallsyms]  [k] enqueue_task_fair
     0.25%  recommendation  [kernel.kallsyms]  [k] skb_release_data
     0.24%  recommendation  recommendation     [.] google.golang.org/grpc/transport.loopyWriter
     0.24%  recommendation  [kernel.kallsyms]  [k] deactivate_task
     0.24%  recommendation  [kernel.kallsyms]  [k] __nf_conntrack_find_get
     0.24%  recommendation  recommendation     [.] path/filepath.Clean
     0.23%  recommendation  recommendation     [.] runtime.mPark
     0.22%  recommendation  [kernel.kallsyms]  [k] __perf_event_task_sched_out
     0.22%  recommendation  recommendation     [.] google.golang.org/grpc.(*Server).processUnaryRPC
     0.22%  recommendation  [kernel.kallsyms]  [k] __schedule
     0.22%  recommendation  recommendation     [.] runtime.chansend
     0.22%  recommendation  recommendation     [.] runtime.netpoll
     0.21%  recommendation  [kernel.kallsyms]  [k] update_cfs_rq_h_load
     0.21%  recommendation  [kernel.kallsyms]  [k] nf_conntrack_in
     0.21%  recommendation  [kernel.kallsyms]  [k] common_file_perm
     0.21%  recommendation  recommendation     [.] runtime.netpollready
     0.21%  recommendation  recommendation     [.] github.com/golang/protobuf/proto.mergeStruct
     0.21%  recommendation  recommendation     [.] runtime.mapaccess1_faststr
     0.21%  recommendation  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.21%  recommendation  recommendation     [.] encoding/json.stateInString
     0.21%  recommendation  [kernel.kallsyms]  [k] nf_conntrack_tcp_packet
     0.20%  recommendation  [kernel.kallsyms]  [k] __calc_delta
     0.20%  recommendation  [kernel.kallsyms]  [k] perf_event_update_userpage
     0.20%  recommendation  [kernel.kallsyms]  [k] migrate_task_rq_fair
     0.20%  recommendation  recommendation     [.] runtime.exitsyscall
     0.20%  recommendation  [kernel.kallsyms]  [k] ip_finish_output2
     0.20%  recommendation  recommendation     [.] runtime.futex.abi0
     0.19%  recommendation  recommendation     [.] math.modf
     0.19%  recommendation  [kernel.kallsyms]  [k] read_tsc
     0.19%  recommendation  [kernel.kallsyms]  [k] x86_pmu_disable
     0.19%  recommendation  recommendation     [.] io.ReadAtLeast
     0.19%  recommendation  [kernel.kallsyms]  [k] tcp_recvmsg
     0.18%  recommendation  [kernel.kallsyms]  [k] dequeue_entity
     0.18%  recommendation  [kernel.kallsyms]  [k] newidle_balance
     0.18%  recommendation  recommendation     [.] github.com/rs/zerolog.ConsoleWriter.writePart
     0.18%  recommendation  recommendation     [.] golang.org/x/net/http2.(*Framer).endWrite
     0.18%  recommendation  recommendation     [.] github.com/uber/jaeger-client-go.(*Tracer).startSpanWithOptions
     0.18%  recommendation  recommendation     [.] math.frexp
     0.18%  recommendation  recommendation     [.] runtime.(*mheap).allocSpan
     0.18%  recommendation  recommendation     [.] encoding/json.(*Decoder).readValue
     0.18%  recommendation  [kernel.kallsyms]  [k] br_nf_pre_routing
     0.18%  recommendation  recommendation     [.] golang.org/x/net/http2.(*Framer).ReadFrame
     0.18%  recommendation  [kernel.kallsyms]  [k] find_next_bit
     0.18%  recommendation  [kernel.kallsyms]  [k] tcp_in_window
     0.17%  recommendation  recommendation     [.] time.parse
     0.17%  recommendation  [kernel.kallsyms]  [k] kmem_cache_alloc
     0.17%  recommendation  recommendation     [.] syscall.read
     0.17%  recommendation  [kernel.kallsyms]  [k] br_handle_frame
     0.17%  recommendation  [kernel.kallsyms]  [k] futex_wake
     0.17%  recommendation  recommendation     [.] encoding/json.(*decodeState).rescanLiteral
     0.17%  recommendation  [kernel.kallsyms]  [k] nf_ct_seq_offset
     0.17%  recommendation  [kernel.kallsyms]  [k] attach_entity_load_avg
     0.17%  recommendation  recommendation     [.] runtime.getitab
     0.17%  recommendation  recommendation     [.] path/filepath.Rel
     0.17%  recommendation  [kernel.kallsyms]  [k] ip_output
     0.17%  recommendation  recommendation     [.] runtime.runqput
     0.17%  recommendation  recommendation     [.] runtime.checkTimersNoP
     0.17%  recommendation  [kernel.kallsyms]  [k] futex_wait
     0.16%  recommendation  [kernel.kallsyms]  [k] apic_timer_interrupt
     0.16%  recommendation  recommendation     [.] indexbytebody
     0.16%  recommendation  recommendation     [.] golang.org/x/net/http2/hpack.(*headerFieldTable).search
     0.16%  recommendation  recommendation     [.] runtime.mapassign_faststr
     0.16%  recommendation  [kernel.kallsyms]  [k] ip_rcv_core.isra.0
     0.16%  recommendation  recommendation     [.] sync.(*RWMutex).Lock
     0.16%  recommendation  [kernel.kallsyms]  [k] rb_next
     0.16%  recommendation  [kernel.kallsyms]  [k] __inet_lookup_established
     0.16%  recommendation  [kernel.kallsyms]  [k] try_to_wake_up
     0.16%  recommendation  [kernel.kallsyms]  [k] event_sched_in.isra.0
     0.16%  recommendation  recommendation     [.] runtime.mapassign
     0.16%  recommendation  [kernel.kallsyms]  [k] dev_hard_start_xmit
     0.16%  recommendation  [kernel.kallsyms]  [k] account_entity_enqueue
     0.16%  recommendation  recommendation     [.] math.satan
     0.16%  recommendation  [kernel.kallsyms]  [k] update_rq_clock
     0.16%  recommendation  [kernel.kallsyms]  [k] sock_poll
     0.15%  recommendation  [kernel.kallsyms]  [k] __virt_addr_valid
     0.15%  recommendation  [kernel.kallsyms]  [k] tcp_v4_rcv
     0.15%  recommendation  [kernel.kallsyms]  [k] __lock_text_start
     0.15%  recommendation  [kernel.kallsyms]  [k] __fsnotify_parent
     0.15%  recommendation  [kernel.kallsyms]  [k] schedule
     0.15%  recommendation  [kernel.kallsyms]  [k] get_futex_key
     0.15%  recommendation  [kernel.kallsyms]  [k] strncpy_from_user
     0.15%  recommendation  recommendation     [.] golang.org/x/net/http2/hpack.(*Decoder).at
     0.15%  recommendation  [kernel.kallsyms]  [k] tcp_clean_rtx_queue
     0.15%  recommendation  recommendation     [.] google.golang.org/grpc/transport.(*controlBuffer).put
     0.14%  recommendation  recommendation     [.] internal/poll.(*FD).Read
     0.14%  recommendation  [kernel.kallsyms]  [k] select_idle_sibling.part.0
     0.14%  recommendation  [kernel.kallsyms]  [k] pick_next_task_fair
     0.14%  recommendation  recommendation     [.] runtime.acquireSudog
     0.14%  recommendation  recommendation     [.] runtime.pidleget
     0.14%  recommendation  recommendation     [.] time.appendInt
     0.14%  recommendation  recommendation     [.] strconv.ParseUint
     0.14%  recommendation  [kernel.kallsyms]  [k] activate_task
     0.14%  recommendation  [kernel.kallsyms]  [k] __x86_indirect_thunk_rax
     0.14%  recommendation  recommendation     [.] google.golang.org/grpc/transport.(*http2Server).operateHeaders
     0.13%  recommendation  recommendation     [.] runtime.typedmemmove
     0.13%  recommendation  [kernel.kallsyms]  [k] __ip_queue_xmit
     0.13%  recommendation  [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     0.13%  recommendation  recommendation     [.] net.(*netFD).Write
     0.13%  recommendation  recommendation     [.] golang.org/x/net/http2.validWireHeaderFieldName
     0.13%  recommendation  [kernel.kallsyms]  [k] fpregs_assert_state_consistent
     0.13%  recommendation  [kernel.kallsyms]  [k] ctx_sched_out
     0.13%  recommendation  [kernel.kallsyms]  [k] memset_erms
     0.13%  recommendation  [kernel.kallsyms]  [k] copy_user_generic_unrolled
     0.13%  recommendation  [kernel.kallsyms]  [k] ep_poll
     0.13%  recommendation  [kernel.kallsyms]  [k] net_rx_action
     0.13%  recommendation  recommendation     [.] runtime.mapaccess2_faststr
     0.13%  recommendation  [kernel.kallsyms]  [k] kmem_cache_alloc_node
     0.13%  recommendation  [kernel.kallsyms]  [k] update_min_vruntime
     0.13%  recommendation  recommendation     [.] google.golang.org/grpc/transport.(*http2Server).HandleStreams
     0.13%  recommendation  recommendation     [.] github.com/rs/zerolog/internal/json.Encoder.AppendString
     0.13%  recommendation  [kernel.kallsyms]  [k] _raw_spin_lock_bh
     0.13%  recommendation  recommendation     [.] runtime.epollwait.abi0
     0.12%  recommendation  [kernel.kallsyms]  [k] __perf_event_task_sched_in
     0.12%  recommendation  recommendation     [.] runtime.nanotime1.abi0
     0.12%  recommendation  recommendation     [.] runtime.memhash64
     0.12%  recommendation  recommendation     [.] runtime.duffzero
     0.12%  recommendation  recommendation     [.] time.Now
     0.12%  recommendation  recommendation     [.] runtime.pidleput
     0.12%  recommendation  [kernel.kallsyms]  [k] __x64_sys_futex
     0.12%  recommendation  recommendation     [.] runtime.runqget
     0.12%  recommendation  [kernel.kallsyms]  [k] __update_idle_core
     0.12%  recommendation  recommendation     [.] github.com/golang/protobuf/proto.GetProperties
     0.12%  recommendation  [kernel.kallsyms]  [k] ipv4_dst_check
     0.12%  recommendation  [kernel.kallsyms]  [k] update_blocked_averages
     0.12%  recommendation  recommendation     [.] github.com/golang/protobuf/proto.(*Buffer).unmarshalType
     0.12%  recommendation  [kernel.kallsyms]  [k] nf_ct_get_tuple
     0.12%  recommendation  recommendation     [.] bufio.(*Reader).Read
     0.12%  recommendation  [kernel.kallsyms]  [k] tcp_rcv_established
     0.12%  recommendation  [kernel.kallsyms]  [k] ktime_get
     0.11%  recommendation  recommendation     [.] runtime.mDoFixup
     0.11%  recommendation  recommendation     [.] github.com/golang/protobuf/proto.getbase
     0.11%  recommendation  recommendation     [.] sync.runtime_procPin
     0.11%  recommendation  recommendation     [.] runtime.runqgrab
     0.11%  recommendation  [kernel.kallsyms]  [k] hrtimer_active
     0.11%  recommendation  [kernel.kallsyms]  [k] prepare_exit_to_usermode
     0.11%  recommendation  recommendation     [.] encoding/json.stateEndValue
     0.11%  recommendation  [kernel.kallsyms]  [k] rb_erase
     0.11%  recommendation  [kernel.kallsyms]  [k] br_nf_hook_thresh
     0.11%  recommendation  recommendation     [.] google.golang.org/grpc/transport.(*http2Server).Write
     0.11%  recommendation  recommendation     [.] runtime.checkRunqsNoP
     0.11%  recommendation  [kernel.kallsyms]  [k] tcp_stream_memory_free
     0.11%  recommendation  recommendation     [.] github.com/rs/zerolog.(*Event).msg
     0.11%  recommendation  [kernel.kallsyms]  [k] lapic_next_deadline
     0.11%  recommendation  recommendation     [.] encoding/json.unquoteBytes
     0.11%  recommendation  [kernel.kallsyms]  [k] _raw_read_lock_irqsave
     0.11%  recommendation  recommendation     [.] runtime.(*mcache).prepareForSweep
     0.11%  recommendation  [kernel.kallsyms]  [k] tcp_write_xmit
     0.11%  recommendation  [kernel.kallsyms]  [k] fsnotify
     0.10%  recommendation  [kernel.kallsyms]  [k] fput_many
     0.10%  recommendation  recommendation     [.] runtime.startm
     0.10%  recommendation  [kernel.kallsyms]  [k] __kmalloc_node_track_caller
     0.10%  recommendation  recommendation     [.] runtime.selectnbsend
     0.10%  recommendation  recommendation     [.] golang.org/x/net/http2/hpack.(*Encoder).WriteField
     0.10%  recommendation  recommendation     [.] encoding/json.(*scanner).pushParseState
     0.10%  recommendation  [kernel.kallsyms]  [k] futex_wait_setup
     0.10%  recommendation  recommendation     [.] google.golang.org/grpc/transport.(*controlBuffer).load
     0.10%  recommendation  [kernel.kallsyms]  [k] ktime_get_with_offset
     0.10%  recommendation  recommendation     [.] runtime.sellock
     0.10%  recommendation  recommendation     [.] runtime.timeSleepUntil
     0.10%  recommendation  recommendation     [.] github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.metadataReaderWriter.ForeachKey
     0.10%  recommendation  recommendation     [.] runtime.exitsyscallfast
     0.10%  recommendation  recommendation     [.] internal/poll.(*FD).Write
     0.10%  recommendation  [kernel.kallsyms]  [k] iptable_filter_hook
     0.10%  recommendation  [kernel.kallsyms]  [k] kmem_cache_free
     0.10%  recommendation  [kernel.kallsyms]  [k] tcp_rearm_rto
     0.10%  recommendation  [kernel.kallsyms]  [k] security_socket_recvmsg
     0.10%  recommendation  [kernel.kallsyms]  [k] do_futex
     0.10%  recommendation  recommendation     [.] runtime.futexsleep
     0.10%  recommendation  [kernel.kallsyms]  [k] do_nanosleep
     0.10%  recommendation  recommendation     [.] bufio.(*Writer).Write
     0.10%  recommendation  [kernel.kallsyms]  [k] __hrtimer_init
     0.10%  recommendation  recommendation     [.] net.(*netFD).Read
     0.10%  recommendation  recommendation     [.] fmt.(*pp).printArg
     0.09%  recommendation  [kernel.kallsyms]  [k] tcp_release_cb
     0.09%  recommendation  [kernel.kallsyms]  [k] tcp_ack
     0.09%  recommendation  recommendation     [.] golang.org/x/net/http2.readFrameHeader
     0.09%  recommendation  [kernel.kallsyms]  [k] path_lookupat.isra.0
     0.09%  recommendation  recommendation     [.] golang.org/x/net/http2/hpack.(*Decoder).parseFieldIndexed
     0.09%  recommendation  recommendation     [.] encoding/json.(*decodeState).object
     0.09%  recommendation  recommendation     [.] runtime.systemstack.abi0
     0.09%  recommendation  [kernel.kallsyms]  [k] group_sched_in
     0.09%  recommendation  recommendation     [.] google.golang.org/grpc/transport.(*inFlow).onData
     0.09%  recommendation  [kernel.kallsyms]  [k] check_preempt_curr
     0.09%  recommendation  recommendation     [.] syscall.Syscall.abi0
     0.09%  recommendation  [kernel.kallsyms]  [k] vfs_write
     0.09%  recommendation  [kernel.kallsyms]  [k] ep_send_events_proc
     0.09%  recommendation  [kernel.kallsyms]  [k] finish_task_switch
     0.09%  recommendation  recommendation     [.] golang.org/x/net/http2.(*Framer).checkFrameOrder
     0.09%  recommendation  [kernel.kallsyms]  [k] validate_xmit_skb
     0.09%  recommendation  recommendation     [.] context.propagateCancel
     0.09%  recommendation  [kernel.kallsyms]  [k] sock_sendmsg
     0.09%  recommendation  recommendation     [.] github.com/golang/protobuf/proto.mergeAny
     0.09%  recommendation  [kernel.kallsyms]  [k] ovl_getattr
     0.09%  recommendation  [kernel.kallsyms]  [k] raw_local_deliver
     0.09%  recommendation  recommendation     [.] internal/poll.(*fdMutex).rwlock
     0.09%  recommendation  [kernel.kallsyms]  [k] ep_poll_callback
     0.09%  recommendation  recommendation     [.] runtime.duffcopy
     0.09%  recommendation  recommendation     [.] github.com/uber/jaeger-client-go.(*Tracer).startSpanInternal
     0.09%  recommendation  recommendation     [.] runtime.(*itabTableType).find
     0.09%  recommendation  recommendation     [.] type..eq.golang.org/x/net/http2/hpack.pairNameValue
     0.09%  recommendation  [kernel.kallsyms]  [k] __alloc_skb
     0.09%  recommendation  [kernel.kallsyms]  [k] aa_file_perm
     0.09%  recommendation  recommendation     [.] runtime.wakep
     0.09%  recommendation  recommendation     [.] runtime.newstack
     0.09%  recommendation  recommendation     [.] internal/poll.(*fdMutex).rwunlock
     0.09%  recommendation  [kernel.kallsyms]  [k] amd_clear_divider
     0.09%  recommendation  [kernel.kallsyms]  [k] getname_flags
     0.09%  recommendation  recommendation     [.] encoding/json.(*decodeState).literalStore
     0.09%  recommendation  recommendation     [.] runtime.entersyscall.abi0
     0.09%  recommendation  recommendation     [.] runtime.(*spanSet).push
     0.08%  recommendation  recommendation     [.] reflect.(*rtype).Elem
     0.08%  recommendation  [kernel.kallsyms]  [k] __skb_datagram_iter
     0.08%  recommendation  recommendation     [.] google.golang.org/grpc.(*Server).handleStream
     0.08%  recommendation  [kernel.kallsyms]  [k] futex_wait_queue_me
     0.08%  recommendation  [kernel.kallsyms]  [k] _copy_from_user
     0.08%  recommendation  recommendation     [.] google.golang.org/grpc/transport.(*quotaPool).get
     0.08%  recommendation  [kernel.kallsyms]  [k] __slab_free
     0.08%  recommendation  recommendation     [.] runtime.mapiterinit
     0.08%  recommendation  [kernel.kallsyms]  [k] kill_fasync
     0.08%  recommendation  recommendation     [.] sync/atomic.StorePointer
     0.08%  recommendation  [kernel.kallsyms]  [k] set_task_cpu
     0.08%  recommendation  [kernel.kallsyms]  [k] __local_bh_enable_ip
     0.08%  recommendation  recommendation     [.] runtime.save
     0.08%  recommendation  recommendation     [.] github.com/golang/protobuf/proto.(*Buffer).Marshal
     0.08%  recommendation  [kernel.kallsyms]  [k] put_prev_entity
     0.08%  recommendation  recommendation     [.] runtime.scanobject
     0.08%  recommendation  recommendation     [.] runtime.gogo.abi0
     0.08%  recommendation  recommendation     [.] fmt.newPrinter
     0.08%  recommendation  recommendation     [.] encoding/json.stateBeginValue
     0.08%  recommendation  recommendation     [.] math.atan2
     0.08%  recommendation  [kernel.kallsyms]  [k] place_entity
     0.08%  recommendation  [kernel.kallsyms]  [k] br_nf_pre_routing_finish
     0.08%  recommendation  recommendation     [.] sync.(*Mutex).Unlock
     0.08%  recommendation  recommendation     [.] google.golang.org/grpc/transport.(*http2Server).Write.func1
     0.08%  recommendation  [kernel.kallsyms]  [k] enqueue_to_backlog
     0.08%  recommendation  [kernel.kallsyms]  [k] lock_sock_nested
     0.08%  recommendation  recommendation     [.] sync.(*Pool).pin
     0.08%  recommendation  recommendation     [.] fmt.(*fmt).pad
     0.08%  recommendation  recommendation     [.] golang.org/x/net/http2.parseWindowUpdateFrame
     0.08%  recommendation  recommendation     [.] runtime.gopark
     0.08%  recommendation  [kernel.kallsyms]  [k] ksys_read
     0.08%  recommendation  recommendation     [.] runtime.mapaccess2
     0.08%  recommendation  [kernel.kallsyms]  [k] hrtimer_nanosleep
     0.08%  recommendation  recommendation     [.] runtime.typedmemclr
     0.07%  recommendation  recommendation     [.] syscall.Getenv
     0.07%  recommendation  recommendation     [.] strings.ToLower
     0.07%  recommendation  [kernel.kallsyms]  [k] fdb_find_rcu
     0.07%  recommendation  recommendation     [.] fmt.(*fmt).fmtInteger
     0.07%  recommendation  recommendation     [.] runtime.ready
     0.07%  recommendation  recommendation     [.] net/url.unescape
     0.07%  recommendation  recommendation     [.] google.golang.org/grpc.(*Server).serveStreams.func1.1
     0.07%  recommendation  [kernel.kallsyms]  [k] __hrtimer_run_queues
     0.07%  recommendation  [kernel.kallsyms]  [k] tcp_push
     0.07%  recommendation  [kernel.kallsyms]  [k] nf_nat_ipv4_local_fn
     0.07%  recommendation  [kernel.kallsyms]  [k] ip_local_deliver
     0.07%  recommendation  recommendation     [.] runtime.makemap
     0.07%  recommendation  recommendation     [.] github.com/harlow/go-micro-services/services/recommendation/proto._Recommendation_GetRecommendations_Handler
     0.07%  recommendation  [kernel.kallsyms]  [k] __cgroup_bpf_run_filter_skb
     0.07%  recommendation  [kernel.kallsyms]  [k] process_backlog
     0.07%  recommendation  recommendation     [.] github.com/rs/zerolog.ConsoleWriter.writeFields
     0.07%  recommendation  [kernel.kallsyms]  [k] conntrack_mt_v3
     0.07%  recommendation  [kernel.kallsyms]  [k] cpumask_next
     0.07%  recommendation  [kernel.kallsyms]  [k] conntrack_mt
     0.07%  recommendation  [kernel.kallsyms]  [k] put_prev_task_fair
     0.07%  recommendation  recommendation     [.] google.golang.org/grpc/transport.(*recvBufferReader).Read
     0.07%  recommendation  [kernel.kallsyms]  [k] __usecs_to_jiffies
     0.07%  recommendation  recommendation     [.] github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.OpenTracingServerInterceptor.func1
     0.07%  recommendation  recommendation     [.] runtime.notesleep
     0.07%  recommendation  recommendation     [.] github.com/golang/protobuf/proto.Clone
     0.07%  recommendation  recommendation     [.] reflect.name.name
     0.07%  recommendation  recommendation     [.] context.(*valueCtx).Done
     0.07%  recommendation  recommendation     [.] golang.org/x/net/http2.(*MetaHeadersFrame).checkPseudos
     0.07%  recommendation  recommendation     [.] runtime.interhash
     0.07%  recommendation  [kernel.kallsyms]  [k] tcp_established_options
     0.07%  recommendation  recommendation     [.] reflect.Value.assignTo
     0.07%  recommendation  [kernel.kallsyms]  [k] _raw_read_unlock_irqrestore
     0.07%  recommendation  recommendation     [.] runtime.makeslice
     0.07%  recommendation  [kernel.kallsyms]  [k] br_nf_forward_ip
     0.07%  recommendation  recommendation     [.] strconv.FormatInt
     0.07%  recommendation  recommendation     [.] runtime.memequal
     0.07%  recommendation  [kernel.kallsyms]  [k] dev_queue_xmit
     0.07%  recommendation  [kernel.kallsyms]  [k] ttwu_do_wakeup
     0.07%  recommendation  [kernel.kallsyms]  [k] tcp_ack_update_rtt.isra.0
     0.07%  recommendation  [kernel.kallsyms]  [k] br_nf_post_routing
     0.07%  recommendation  recommendation     [.] runtime.stackfree
     0.07%  recommendation  [kernel.kallsyms]  [k] irq_enter
     0.07%  recommendation  recommendation     [.] runtime.newMarkBits
     0.07%  recommendation  [kernel.kallsyms]  [k] hrtimer_start_range_ns
     0.07%  recommendation  [kernel.kallsyms]  [k] __br_forward
     0.06%  recommendation  [kernel.kallsyms]  [k] skb_copy_datagram_iter
     0.06%  recommendation  recommendation     [.] runtime.updateTimerPMask
     0.06%  recommendation  [kernel.kallsyms]  [k] nf_ct_deliver_cached_events
     0.06%  recommendation  recommendation     [.] context.(*cancelCtx).Done
     0.06%  recommendation  recommendation     [.] golang.org/x/net/http2.(*MetaHeadersFrame).PseudoFields
     0.06%  recommendation  [kernel.kallsyms]  [k] tcp_event_new_data_sent
     0.06%  recommendation  [kernel.kallsyms]  [k] __remove_hrtimer
     0.06%  recommendation  recommendation     [.] sync.(*Pool).Get
     0.06%  recommendation  [kernel.kallsyms]  [k] __legitimize_mnt
     0.06%  recommendation  recommendation     [.] runtime.entersyscall
     0.06%  recommendation  recommendation     [.] google.golang.org/grpc/transport.(*http2Server).handleData
     0.06%  recommendation  [kernel.kallsyms]  [k] kfree
     0.06%  recommendation  [kernel.kallsyms]  [k] rb_insert_color
     0.06%  recommendation  [kernel.kallsyms]  [k] memcpy_erms
     0.06%  recommendation  [kernel.kallsyms]  [k] tcp_current_mss
     0.06%  recommendation  recommendation     [.] runtime.makechan
     0.06%  recommendation  [kernel.kallsyms]  [k] prepend_name
     0.06%  recommendation  recommendation     [.] runtime.mapaccess2_fast32
     0.06%  recommendation  recommendation     [.] github.com/rs/zerolog.Level.String
     0.06%  recommendation  [kernel.kallsyms]  [k] record_times
     0.06%  recommendation  recommendation     [.] encoding/json.stateBeginStringOrEmpty
     0.06%  recommendation  [kernel.kallsyms]  [k] __netif_receive_skb_one_core
     0.06%  recommendation  recommendation     [.] google.golang.org/grpc/transport.(*bdpEstimator).calculate
     0.06%  recommendation  [kernel.kallsyms]  [k] nf_nat_inet_fn
     0.06%  recommendation  recommendation     [.] golang.org/x/net/http2.(*Framer).WritePing
     0.06%  recommendation  recommendation     [.] runtime.stopm
     0.06%  recommendation  recommendation     [.] strings.LastIndex
     0.06%  recommendation  [kernel.kallsyms]  [k] intel_pmu_disable_all
     0.06%  recommendation  [kernel.kallsyms]  [k] ksys_write
     0.06%  recommendation  recommendation     [.] runtime.netpollblockcommit
     0.06%  recommendation  [kernel.kallsyms]  [k] pick_next_task_idle
     0.06%  recommendation  [kernel.kallsyms]  [k] skb_ext_add
