# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 64K of event 'cycles'
# Event count (approx.): 141233915845
#
# Overhead  Command  Shared Object      Symbol                                                                                             
# ........  .......  .................  ...................................................................................................
#
     0.11%  geo      [kernel.kallsyms]  [k] fdb_find_rcu
     0.11%  geo      geo                [.] runtime.runqgrab
     0.11%  geo      geo                [.] encoding/json.(*decodeState).value
     0.11%  geo      geo                [.] os.(*File).Write
     0.11%  geo      [kernel.kallsyms]  [k] __netif_receive_skb_core
     0.11%  geo      geo                [.] google.golang.org/grpc/transport.(*decodeState).processHeaderField
     0.10%  geo      geo                [.] runtime.notesleep
     0.10%  geo      geo                [.] runtime.duffzero
     0.10%  geo      [kernel.kallsyms]  [k] update_cfs_rq_h_load
     0.10%  geo      geo                [.] os.fillFileStatFromSys
     0.10%  geo      [kernel.kallsyms]  [k] ctx_sched_out
     0.10%  geo      [kernel.kallsyms]  [k] __dev_queue_xmit
     0.10%  geo      geo                [.] runtime.convTstring
     0.10%  geo      geo                [.] encoding/json.(*decodeState).scanWhile
     0.10%  geo      [kernel.kallsyms]  [k] mutex_lock
     0.10%  geo      geo                [.] github.com/hailocab/go-geoindex.lonDegreeDistance.get
     0.10%  geo      [kernel.kallsyms]  [k] _raw_read_lock_irqsave
     0.10%  geo      [kernel.kallsyms]  [k] path_init
     0.10%  geo      geo                [.] runtime.futex.abi0
     0.10%  geo      [kernel.kallsyms]  [k] __check_object_size
     0.10%  geo      geo                [.] reflect.makemap
     0.10%  geo      [kernel.kallsyms]  [k] tcp_rcv_established
     0.10%  geo      geo                [.] google.golang.org/grpc/transport.loopyWriter
     0.10%  geo      geo                [.] github.com/rs/zerolog.(*Event).msg
     0.10%  geo      geo                [.] reflect.convertOp
     0.10%  geo      [kernel.kallsyms]  [k] __legitimize_mnt
     0.10%  geo      geo                [.] strconv.formatBits
     0.10%  geo      geo                [.] strconv.ParseUint
     0.10%  geo      [kernel.kallsyms]  [k] tcp_ack
     0.10%  geo      [kernel.kallsyms]  [k] __lock_text_start
     0.09%  geo      [kernel.kallsyms]  [k] __x86_indirect_thunk_rax
     0.09%  geo      geo                [.] bufio.(*Reader).Read
     0.09%  geo      geo                [.] runtime.systemstack.abi0
     0.09%  geo      geo                [.] reflect.valueInterface
     0.09%  geo      geo                [.] github.com/harlow/go-micro-services/services/geo.(*Server).Nearby
     0.09%  geo      [kernel.kallsyms]  [k] skb_release_data
     0.09%  geo      [kernel.kallsyms]  [k] read_tsc
     0.09%  geo      geo                [.] runtime.mapiterinit
     0.09%  geo      [kernel.kallsyms]  [k] __inet_lookup_established
     0.09%  geo      geo                [.] runtime.makeslice
     0.09%  geo      geo                [.] internal/poll.(*fdMutex).rwlock
     0.09%  geo      [kernel.kallsyms]  [k] record_times
     0.09%  geo      [kernel.kallsyms]  [k] tcp_write_xmit
     0.09%  geo      geo                [.] fmt.Sprintf
     0.09%  geo      geo                [.] reflect.Value.Elem
     0.09%  geo      [kernel.kallsyms]  [k] futex_wake
     0.09%  geo      geo                [.] syscall.Syscall.abi0
     0.09%  geo      geo                [.] time.Date
     0.09%  geo      [kernel.kallsyms]  [k] ipv4_conntrack_defrag
     0.09%  geo      [kernel.kallsyms]  [k] __update_idle_core
     0.09%  geo      [kernel.kallsyms]  [k] update_rq_clock
     0.09%  geo      [kernel.kallsyms]  [k] br_nf_post_routing
     0.08%  geo      [kernel.kallsyms]  [k] fsnotify
     0.08%  geo      [kernel.kallsyms]  [k] kmem_cache_alloc_node
     0.08%  geo      geo                [.] runtime.memequal
     0.08%  geo      geo                [.] encoding/json.(*Decoder).Decode
     0.08%  geo      [kernel.kallsyms]  [k] br_nf_pre_routing
     0.08%  geo      geo                [.] runtime.stackfree
     0.08%  geo      [kernel.kallsyms]  [k] get_futex_key
     0.08%  geo      [kernel.kallsyms]  [k] update_min_vruntime
     0.08%  geo      geo                [.] internal/poll.(*FD).Read
     0.08%  geo      geo                [.] encoding/json.stateBeginValue
     0.08%  geo      [kernel.kallsyms]  [k] dequeue_entity
     0.08%  geo      geo                [.] reflect.directlyAssignable
     0.08%  geo      geo                [.] runtime.checkRunqsNoP
     0.08%  geo      geo                [.] runtime.makechan
     0.08%  geo      geo                [.] math.pow
     0.08%  geo      [kernel.kallsyms]  [k] pipe_write
     0.08%  geo      [kernel.kallsyms]  [k] _raw_spin_lock_bh
     0.08%  geo      geo                [.] google.golang.org/grpc/transport.(*http2Server).HandleStreams
     0.08%  geo      geo                [.] runtime.(*mspan).refillAllocCache
     0.08%  geo      geo                [.] time.tzsetOffset
     0.08%  geo      geo                [.] io.ReadAtLeast
     0.08%  geo      [kernel.kallsyms]  [k] check_preempt_curr
     0.08%  geo      geo                [.] time.Now
     0.08%  geo      [kernel.kallsyms]  [k] interrupt_entry
     0.08%  geo      geo                [.] time.Time.locabs
     0.08%  geo      [kernel.kallsyms]  [k] new_sync_write
     0.08%  geo      [kernel.kallsyms]  [k] ipv4_dst_check
     0.08%  geo      geo                [.] github.com/rs/zerolog.(*ConsoleWriter).Write
     0.08%  geo      geo                [.] bytes.(*Buffer).WriteByte
     0.08%  geo      [kernel.kallsyms]  [k] ovl_getattr
     0.08%  geo      geo                [.] github.com/uber/jaeger-client-go.(*Tracer).startSpanWithOptions
     0.08%  geo      geo                [.] fmt.(*pp).free
     0.08%  geo      geo                [.] reflect.Value.Type
     0.08%  geo      [kernel.kallsyms]  [k] __x64_sys_getcwd
     0.08%  geo      geo                [.] strconv.(*decimal).Assign
     0.07%  geo      [kernel.kallsyms]  [k] attach_entity_load_avg
     0.07%  geo      [kernel.kallsyms]  [k] ktime_get
     0.07%  geo      [kernel.kallsyms]  [k] account_entity_dequeue
     0.07%  geo      geo                [.] fmt.(*fmt).padString
     0.07%  geo      geo                [.] strings.ToLower
     0.07%  geo      [kernel.kallsyms]  [k] apic_timer_interrupt
     0.07%  geo      [kernel.kallsyms]  [k] schedule
     0.07%  geo      geo                [.] strconv.rightShift
     0.07%  geo      geo                [.] reflect.(*rtype).NumMethod
     0.07%  geo      geo                [.] runtime.mapdelete
     0.07%  geo      [kernel.kallsyms]  [k] __perf_event_task_sched_out
     0.07%  geo      geo                [.] reflect.implements
     0.07%  geo      geo                [.] runtime.(*pallocBits).summarize
     0.07%  geo      geo                [.] github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.OpenTracingServerInterceptor.func1
     0.07%  geo      [kernel.kallsyms]  [k] net_rx_action
     0.07%  geo      [kernel.kallsyms]  [k] __fsnotify_parent
     0.07%  geo      [kernel.kallsyms]  [k] prepare_exit_to_usermode
     0.07%  geo      [kernel.kallsyms]  [k] __cgroup_bpf_run_filter_skb
     0.07%  geo      [kernel.kallsyms]  [k] __skb_datagram_iter
     0.07%  geo      geo                [.] github.com/rs/zerolog.(*Logger).newEvent
     0.07%  geo      [kernel.kallsyms]  [k] __enqueue_entity
     0.07%  geo      geo                [.] runtime.stopm
     0.07%  geo      [kernel.kallsyms]  [k] eth_type_trans
     0.07%  geo      geo                [.] github.com/rs/zerolog.colorize
     0.07%  geo      [kernel.kallsyms]  [k] strncpy_from_user
     0.07%  geo      geo                [.] runtime.(*spanSet).push
     0.07%  geo      [kernel.kallsyms]  [k] tcp_clean_rtx_queue
     0.07%  geo      geo                [.] math.sin
     0.07%  geo      geo                [.] time.tzsetName
     0.07%  geo      geo                [.] context.(*cancelCtx).Done
     0.07%  geo      geo                [.] runtime.scanobject
     0.07%  geo      geo                [.] sort.Sort
     0.07%  geo      geo                [.] internal/poll.(*FD).Write.dwrap.13
     0.07%  geo      geo                [.] runtime.(*mcache).prepareForSweep
     0.07%  geo      geo                [.] google.golang.org/grpc.(*Server).handleStream
     0.07%  geo      geo                [.] github.com/uber/jaeger-client-go.(*Tracer).startSpanInternal
     0.07%  geo      geo                [.] runtime.funcfile
     0.07%  geo      [kernel.kallsyms]  [k] futex_wait_setup
     0.07%  geo      [kernel.kallsyms]  [k] futex_wait
     0.07%  geo      [kernel.kallsyms]  [k] deactivate_task
     0.07%  geo      geo                [.] reflect.packEface
     0.07%  geo      geo                [.] runtime.funcMaxSPDelta
     0.07%  geo      [kernel.kallsyms]  [k] vfs_write
     0.07%  geo      geo                [.] encoding/json.(*Decoder).refill
     0.06%  geo      geo                [.] runtime.Caller
     0.06%  geo      [kernel.kallsyms]  [k] mutex_unlock
     0.06%  geo      geo                [.] github.com/rs/zerolog.(*Event).Timestamp
     0.06%  geo      geo                [.] encoding/json.(*decodeState).unmarshal
     0.06%  geo      [kernel.kallsyms]  [k] resched_curr
     0.06%  geo      [kernel.kallsyms]  [k] br_handle_frame_finish
     0.06%  geo      geo                [.] runtime.convTslice
     0.06%  geo      [kernel.kallsyms]  [k] common_perm_cond
     0.06%  geo      geo                [.] google.golang.org/grpc/transport.(*controlBuffer).put
     0.06%  geo      geo                [.] runtime.runqput
     0.06%  geo      [kernel.kallsyms]  [k] finish_task_switch
     0.06%  geo      [kernel.kallsyms]  [k] nf_nat_inet_fn
     0.06%  geo      [kernel.kallsyms]  [k] activate_task
     0.06%  geo      geo                [.] runtime.save
     0.06%  geo      [kernel.kallsyms]  [k] override_creds
     0.06%  geo      [kernel.kallsyms]  [k] __x64_sys_futex
     0.06%  geo      geo                [.] golang.org/x/net/http2/hpack.(*Decoder).at
     0.06%  geo      [kernel.kallsyms]  [k] ipv4_confirm
     0.06%  geo      [kernel.kallsyms]  [k] put_prev_entity
     0.06%  geo      [kernel.kallsyms]  [k] __kmalloc_node_track_caller
     0.06%  geo      [kernel.kallsyms]  [k] hrtimer_start_range_ns
     0.06%  geo      [kernel.kallsyms]  [k] flexible_sched_in
     0.06%  geo      geo                [.] sync.(*RWMutex).RUnlock
     0.06%  geo      geo                [.] runtime.sweepone
     0.06%  geo      geo                [.] reflect.(*rtype).Kind
     0.06%  geo      geo                [.] runtime.selunlock
     0.06%  geo      geo                [.] time.skip
     0.06%  geo      geo                [.] reflect.New
     0.06%  geo      geo                [.] fmt.(*fmt).pad
     0.06%  geo      geo                [.] encoding/json.(*scanner).pushParseState
     0.06%  geo      [kernel.kallsyms]  [k] __x64_sys_nanosleep
     0.06%  geo      geo                [.] runtime.wirep
     0.06%  geo      geo                [.] runtime.funcspdelta
     0.06%  geo      [kernel.kallsyms]  [k] ovl_permission
     0.06%  geo      geo                [.] internal/testlog.Getenv
     0.06%  geo      [kernel.kallsyms]  [k] fpregs_assert_state_consistent
     0.06%  geo      [kernel.kallsyms]  [k] sched_clock_cpu
     0.06%  geo      geo                [.] runtime.newstack
     0.06%  geo      [kernel.kallsyms]  [k] account_entity_enqueue
     0.06%  geo      geo                [.] github.com/rs/zerolog.(*Event).caller
     0.06%  geo      geo                [.] github.com/rs/zerolog.callerHook.Run
     0.06%  geo      [kernel.kallsyms]  [k] __ip_queue_xmit
     0.06%  geo      [kernel.kallsyms]  [k] do_futex
     0.06%  geo      [kernel.kallsyms]  [k] nf_ct_seq_offset
     0.06%  geo      geo                [.] runtime.pidleput
     0.06%  geo      [kernel.kallsyms]  [k] common_perm
     0.06%  geo      [kernel.kallsyms]  [k] tcp_stream_memory_free
     0.06%  geo      [kernel.kallsyms]  [k] place_entity
     0.06%  geo      geo                [.] golang.org/x/net/http2.(*Framer).checkFrameOrder
     0.06%  geo      [kernel.kallsyms]  [k] hash_conntrack_raw
     0.05%  geo      geo                [.] reflect.Value.Convert
     0.05%  geo      geo                [.] runtime.sellock
     0.05%  geo      geo                [.] google.golang.org/grpc/transport.(*http2Server).Write
     0.05%  geo      geo                [.] syscall.fstatat
     0.05%  geo      geo                [.] time.tzsetNum
     0.05%  geo      [kernel.kallsyms]  [k] tcp_v4_rcv
     0.05%  geo      geo                [.] time.now.abi0
     0.05%  geo      geo                [.] google.golang.org/grpc/transport.(*controlBuffer).load
     0.05%  geo      geo                [.] internal/poll.(*FD).writeUnlock
     0.05%  geo      geo                [.] runtime.pcdatavalue
     0.05%  geo      geo                [.] runtime.execute
     0.05%  geo      [kernel.kallsyms]  [k] nf_ct_get_tuple
     0.05%  geo      geo                [.] github.com/golang/protobuf/proto.(*Buffer).unmarshalType
     0.05%  geo      [kernel.kallsyms]  [k] ksys_write
     0.05%  geo      [kernel.kallsyms]  [k] __cgroup_account_cputime
     0.05%  geo      geo                [.] github.com/hailocab/go-geoindex.approximateSquareDistance
     0.05%  geo      [kernel.kallsyms]  [k] intel_pstate_update_util
     0.05%  geo      geo                [.] github.com/rs/zerolog.(*Logger).should
     0.05%  geo      [kernel.kallsyms]  [k] ep_send_events_proc
     0.05%  geo      [kernel.kallsyms]  [k] memcg_kmem_put_cache
     0.05%  geo      geo                [.] fmt.(*fmt).fmtS
     0.05%  geo      geo                [.] sync.(*RWMutex).Lock
     0.05%  geo      [kernel.kallsyms]  [k] dev_hard_start_xmit
     0.05%  geo      geo                [.] sync.(*RWMutex).Unlock
     0.05%  geo      geo                [.] internal/poll.(*fdMutex).rwunlock
     0.05%  geo      geo                [.] fmt.newPrinter
     0.05%  geo      geo                [.] runtime.convT64
     0.05%  geo      geo                [.] time.getnum
     0.05%  geo      geo                [.] github.com/rs/zerolog.(*LevelWriterAdapter).WriteLevel
     0.05%  geo      geo                [.] github.com/golang/protobuf/proto.mergeAny
     0.05%  geo      geo                [.] github.com/rs/zerolog.consoleDefaultFormatCaller.func1
     0.05%  geo      geo                [.] github.com/golang/protobuf/proto.(*Buffer).enc_struct
     0.05%  geo      geo                [.] github.com/rs/zerolog/internal/json.Encoder.AppendTime
     0.05%  geo      geo                [.] runtime.netpollblock
     0.05%  geo      [kernel.kallsyms]  [k] filename_lookup
     0.05%  geo      [kernel.kallsyms]  [k] __wake_up_common_lock
     0.05%  geo      [kernel.kallsyms]  [k] inode_permission
     0.05%  geo      geo                [.] os.Getenv
     0.05%  geo      [kernel.kallsyms]  [k] event_sched_in.isra.0
     0.05%  geo      [kernel.kallsyms]  [k] validate_xmit_skb
     0.05%  geo      geo                [.] bytes.(*Buffer).WriteTo
     0.05%  geo      [kernel.kallsyms]  [k] rb_erase
     0.05%  geo      [kernel.kallsyms]  [k] migrate_task_rq_fair
     0.05%  geo      geo                [.] github.com/hailocab/go-geoindex.basicSet.Values
     0.05%  geo      [kernel.kallsyms]  [k] tcp_v4_early_demux
     0.05%  geo      [kernel.kallsyms]  [k] futex_wait_queue_me
     0.05%  geo      geo                [.] runtime.makemap
     0.05%  geo      [kernel.kallsyms]  [k] __ip_finish_output
     0.05%  geo      [kernel.kallsyms]  [k] getname_flags
     0.05%  geo      geo                [.] github.com/rs/zerolog.(*Event).Str
     0.05%  geo      [kernel.kallsyms]  [k] ovl_override_creds
     0.05%  geo      geo                [.] reflect.name.name
     0.05%  geo      [kernel.kallsyms]  [k] ep_poll
     0.05%  geo      geo                [.] net.(*conn).Read
     0.05%  geo      geo                [.] google.golang.org/grpc/transport.(*http2Server).WriteStatus
     0.05%  geo      [kernel.kallsyms]  [k] aa_file_perm
     0.05%  geo      [kernel.kallsyms]  [k] do_nanosleep
     0.05%  geo      [kernel.kallsyms]  [k] rb_insert_color
     0.05%  geo      [kernel.kallsyms]  [k] __ksize
     0.05%  geo      [kernel.kallsyms]  [k] hrtimer_nanosleep
     0.05%  geo      geo                [.] runtime.epollwait.abi0
     0.05%  geo      [kernel.kallsyms]  [k] fput_many
     0.05%  geo      geo                [.] net/url.unescape
     0.05%  geo      [kernel.kallsyms]  [k] __hrtimer_run_queues
     0.05%  geo      geo                [.] reflect.Value.Bytes
     0.05%  geo      geo                [.] context.(*valueCtx).Done
     0.05%  geo      [kernel.kallsyms]  [k] ip_rcv_core.isra.0
     0.05%  geo      [kernel.kallsyms]  [k] ip_output
     0.05%  geo      [kernel.kallsyms]  [k] tcp_event_new_data_sent
     0.05%  geo      geo                [.] internal/poll.runtime_pollReset
     0.05%  geo      geo                [.] golang.org/x/net/http2.readFrameHeader
     0.05%  geo      geo                [.] runtime.runqsteal
     0.04%  geo      geo                [.] reflect.Value.SetString
     0.04%  geo      [kernel.kallsyms]  [k] mod_timer
     0.04%  geo      [kernel.kallsyms]  [k] arch_perf_update_userpage
     0.04%  geo      [kernel.kallsyms]  [k] ovl_same_sb
     0.04%  geo      [kernel.kallsyms]  [k] __x64_sys_write
     0.04%  geo      geo                [.] runtime.netpollready
     0.04%  geo      geo                [.] google.golang.org/grpc/transport.(*http2Server).WriteHeader
     0.04%  geo      geo                [.] syscall.write
     0.04%  geo      geo                [.] reflect.makeString
     0.04%  geo      geo                [.] reflect.(*rtype).Key
     0.04%  geo      [kernel.kallsyms]  [k] rw_verify_area
     0.04%  geo      [kernel.kallsyms]  [k] _raw_read_unlock_irqrestore
     0.04%  geo      [kernel.kallsyms]  [k] _cond_resched
     0.04%  geo      [kernel.kallsyms]  [k] x86_pmu_disable
     0.04%  geo      geo                [.] strconv.genericFtoa
     0.04%  geo      geo                [.] net.(*conn).Write
     0.04%  geo      [kernel.kallsyms]  [k] sock_poll
     0.04%  geo      [kernel.kallsyms]  [k] kfree
     0.04%  geo      [kernel.kallsyms]  [k] generic_permission
     0.04%  geo      geo                [.] runtime.copystack
     0.04%  geo      [kernel.kallsyms]  [k] __x64_sys_newfstatat
     0.04%  geo      [kernel.kallsyms]  [k] terminate_walk
     0.04%  geo      [kernel.kallsyms]  [k] do_epoll_wait
     0.04%  geo      geo                [.] strings.genSplit
     0.04%  geo      geo                [.] math.frexp
     0.04%  geo      geo                [.] runtime.entersyscall.abi0
     0.04%  geo      [kernel.kallsyms]  [k] skb_ext_add
     0.04%  geo      geo                [.] reflect.(*structType).Field
     0.04%  geo      geo                [.] runtime.futexsleep
     0.04%  geo      geo                [.] reflect.MakeMapWithSize
