# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 86552280
#
# Overhead  Command          Shared Object       Symbol                                                                                                                                                                                                                                                                                                                                                                                              
# ........  ...............  ..................  ....................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.78%  mongod           [kernel.kallsyms]   [k] native_write_msr
     0.44%  ftdc             mongod              [.] mongo::FTDCCompressor::addSample
     0.43%  ftdc             mongod              [.] std::_Rb_tree_increment
     0.32%  ftdc             [kernel.kallsyms]   [k] format_decode
     0.32%  ftdc             [kernel.kallsyms]   [k] entry_SYSCALL_64
     0.31%  TTLMonitor       mongod              [.] mongo::transport::TransportLayerASIO::BatonASIO::~BatonASIO
     0.27%  ftdc             mongod              [.] mongo::CmdServerStatus::run
     0.27%  ftdc             mongod              [.] mongo::DecorationRegistry<mongo::OperationContext>::constructAt<boost::optional<mongo::BSONArray> >
     0.25%  ftdc             [kernel.kallsyms]   [k] inode_permission
     0.24%  ftdc             [kernel.kallsyms]   [k] mod_timer
     0.19%  ftdc             [kernel.kallsyms]   [k] seq_put_decimal_ull
     0.18%  mongod           [kernel.kallsyms]   [k] visit_groups_merge
     0.16%  DeadlineMonitor  [kernel.kallsyms]   [k] rb_next
     0.10%  ftdc             [kernel.kallsyms]   [k] number
     0.10%  ftdc             mongod              [.] std::__find_if<char const*, __gnu_cxx::__ops::_Iter_pred<mongo::procparser::parseProcNetstat(std::vector<mongo::StringData, std::allocator<mongo::StringData> > const&, mongo::StringData, mongo::BSONObjBuilder*)::{lambda(char)#2}> >
     0.10%  ftdc             [kernel.kallsyms]   [k] string
     0.10%  ftdc             [kernel.kallsyms]   [k] mark_mt
     0.10%  mongod           [kernel.kallsyms]   [k] perf_event_update_userpage
     0.10%  mongod           [kernel.kallsyms]   [k] select_task_rq_fair
     0.10%  mongod           [vdso]              [.] __vdso_clock_gettime
     0.10%  mongod           libpthread-2.27.so  [.] pthread_cond_timedwait@@GLIBC_2.3.2
     0.10%  mongod           mongod              [.] __log_file_server
     0.09%  mongod           [kernel.kallsyms]   [k] futex_wait_queue_me
     0.09%  ftdc             mongod              [.] mongo::BSONElement::computeSize
     0.08%  ftdc             [kernel.kallsyms]   [k] cpumask_next
     0.08%  ftdc             mongod              [.] mongo::DecorationRegistry<mongo::OperationContext>::destroyAt<bool>
     0.08%  ftdc             [kernel.kallsyms]   [k] kstat_irqs
     0.08%  ftdc             mongod              [.] mongo::NumberParser::operator()
     0.03%  mongod           [kernel.kallsyms]   [k] pick_next_task_fair
     0.03%  TTLMonitor       libc-2.27.so        [.] __nss_group_lookup
     0.02%  mongod           [kernel.kallsyms]   [k] irq_exit
     0.02%  mongod           [kernel.kallsyms]   [k] do_syscall_64
     0.02%  TTLMonitor       mongod              [.] std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release
     0.00%  mongod           [kernel.kallsyms]   [k] lapic_next_deadline
     0.00%  DeadlineMonitor  [kernel.kallsyms]   [k] read_tsc
     0.00%  JournalFlusher   [kernel.kallsyms]   [k] native_write_msr
     0.00%  Backgro.kSource  [kernel.kallsyms]   [k] native_write_msr
     0.00%  FlowCon.fresher  [kernel.kallsyms]   [k] native_write_msr
     0.00%  Timesta.Monitor  [kernel.kallsyms]   [k] native_write_msr
     0.00%  WTCheck.tThread  [kernel.kallsyms]   [k] native_write_msr
     0.00%  ftdc             [kernel.kallsyms]   [k] native_write_msr
     0.00%  DeadlineMonitor  [kernel.kallsyms]   [k] native_write_msr
     0.00%  clientcursormon  [kernel.kallsyms]   [k] native_write_msr
     0.00%  decreas.ressure  [kernel.kallsyms]   [k] native_write_msr
     0.00%  WTIdleS.Sweeper  [kernel.kallsyms]   [k] native_write_msr
     0.00%  conn2            [kernel.kallsyms]   [k] native_write_msr
     0.00%  FreeMon.ocessor  [kernel.kallsyms]   [k] native_write_msr
     0.00%  Periodi.kRunner  [kernel.kallsyms]   [k] native_write_msr
     0.00%  TTLMonitor       [kernel.kallsyms]   [k] native_write_msr
     0.00%  abortEx.actions  [kernel.kallsyms]   [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
