# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cycles'
# Event count (approx.): 2359378219
#
# Overhead  Command  Shared Object      Symbol                                                                             
# ........  .......  .................  ...................................................................................
#
     0.04%  user     user               [.] runtime.newproc
     0.04%  user     user               [.] os.Getenv
     0.04%  user     user               [.] reflect.makeString
     0.04%  user     user               [.] runtime.morestack.abi0
     0.04%  user     user               [.] encoding/json.indirect
     0.04%  user     [kernel.kallsyms]  [k] setup_pre_routing
     0.04%  user     user               [.] github.com/uber/jaeger-client-go.(*textMapPropagator).Extract.func1
     0.04%  user     user               [.] github.com/rs/zerolog.(*Event).Str
     0.04%  user     user               [.] google.golang.org/grpc/transport.(*quotaPool).get
     0.04%  user     user               [.] strings.Index
     0.04%  user     [kernel.kallsyms]  [k] update_rq_clock
     0.04%  user     [kernel.kallsyms]  [k] fpregs_assert_state_consistent
     0.04%  user     [kernel.kallsyms]  [k] flexible_sched_in
     0.04%  user     [kernel.kallsyms]  [k] skb_page_frag_refill
     0.04%  user     user               [.] fmt.(*pp).fmtString
     0.03%  user     user               [.] google.golang.org/grpc/transport.(*bdpEstimator).add
     0.03%  user     user               [.] runtime.(*fixalloc).alloc
     0.03%  user     [kernel.kallsyms]  [k] inet6_sendmsg
     0.03%  user     [kernel.kallsyms]  [k] memcmp
     0.03%  user     user               [.] github.com/rs/zerolog.(*Event).write
     0.03%  user     [kernel.kallsyms]  [k] do_futex
     0.03%  user     [kernel.kallsyms]  [k] find_next_bit
     0.03%  user     [kernel.kallsyms]  [k] kfree_skbmem
     0.03%  user     [kernel.kallsyms]  [k] fsnotify
     0.03%  user     [kernel.kallsyms]  [k] tcp_rcv_established
     0.03%  user     user               [.] golang.org/x/net/http2.parsePingFrame
     0.03%  user     [kernel.kallsyms]  [k] nf_conntrack_tcp_packet
     0.03%  user     user               [.] github.com/rs/zerolog.ConsoleWriter.writeFields
     0.03%  user     [kernel.kallsyms]  [k] ktime_get_ts64
     0.03%  user     [kernel.kallsyms]  [k] __wake_up_sync_key
     0.03%  user     [kernel.kallsyms]  [k] br_nf_hook_thresh
     0.03%  user     user               [.] google.golang.org/grpc/transport.(*http2Server).handleWindowUpdate
     0.03%  user     user               [.] runtime.mapaccess1_faststr
     0.03%  user     user               [.] sync.(*Pool).Put
     0.03%  user     user               [.] time.Now
     0.03%  user     user               [.] runtime.entersyscall
     0.03%  user     user               [.] runtime.ready
     0.03%  user     user               [.] internal/poll.(*pollDesc).wait
     0.03%  user     [kernel.kallsyms]  [k] skb_entail
     0.03%  user     user               [.] google.golang.org/grpc.encode
     0.03%  user     [kernel.kallsyms]  [k] hrtimer_interrupt
     0.03%  user     [kernel.kallsyms]  [k] cpumask_next
     0.03%  user     [kernel.kallsyms]  [k] vfs_getattr
     0.03%  user     user               [.] google.golang.org/grpc.(*Server).handleStream
     0.03%  user     user               [.] github.com/uber/jaeger-client-go.(*textMapPropagator).Extract
     0.02%  user     user               [.] runtime.runqget
     0.02%  user     [kernel.kallsyms]  [k] native_sched_clock
     0.02%  user     user               [.] runtime.notesleep
     0.02%  user     user               [.] runtime.save
     0.02%  user     user               [.] runtime.stopm
     0.02%  user     [kernel.kallsyms]  [k] tcp_mstamp_refresh
     0.02%  user     [kernel.kallsyms]  [k] cyc2ns_read_begin
     0.02%  user     user               [.] google.golang.org/grpc/transport.(*http2Server).handlePing
     0.02%  user     user               [.] golang.org/x/net/http2.(*Framer).readMetaFrame.func1
     0.02%  user     [kernel.kallsyms]  [k] ipv4_confirm
     0.02%  user     [kernel.kallsyms]  [k] br_fdb_update
     0.02%  user     user               [.] runtime.gfput
     0.02%  user     [kernel.kallsyms]  [k] event_sched_in.isra.0
     0.02%  user     [kernel.kallsyms]  [k] mod_timer
     0.02%  user     user               [.] runtime.startm
     0.02%  user     [kernel.kallsyms]  [k] iptable_filter_hook
     0.02%  user     [kernel.kallsyms]  [k] __slab_free
     0.01%  user     user               [.] runtime.goexit0
     0.01%  user     user               [.] golang.org/x/net/http2.(*Framer).ReadFrame
     0.01%  user     [kernel.kallsyms]  [k] _raw_spin_lock_irq
     0.01%  user     user               [.] runtime.gopark
     0.01%  user     user               [.] github.com/uber/jaeger-client-go.TraceIDFromString
     0.01%  user     user               [.] github.com/golang/protobuf/proto.(*Buffer).EncodeVarint
     0.01%  user     [kernel.kallsyms]  [k] ovl_override_creds
     0.01%  user     user               [.] strings.genSplit
     0.01%  user     user               [.] google.golang.org/grpc/transport.(*http2Server).HandleStreams
     0.01%  user     [kernel.kallsyms]  [k] sched_clock_cpu
     0.01%  user     user               [.] runtime.(*mheap).alloc
     0.01%  user     [kernel.kallsyms]  [k] generic_update_time
     0.01%  user     [kernel.kallsyms]  [k] tcp_event_new_data_sent
     0.00%  user     [kernel.kallsyms]  [k] security_socket_recvmsg
     0.00%  user     [kernel.kallsyms]  [k] intel_pmu_disable_all
     0.00%  user     user               [.] runtime.(*mcache).prepareForSweep
     0.00%  user     user               [.] github.com/rs/zerolog.(*Event).caller
     0.00%  user     [kernel.kallsyms]  [k] perf_pmu_nop_void
     0.00%  user     [kernel.kallsyms]  [k] validate_xmit_skb
     0.00%  user     user               [.] runtime.(*consistentHeapStats).release
     0.00%  user     [kernel.kallsyms]  [k] ipv4_conntrack_defrag
     0.00%  user     [kernel.kallsyms]  [k] get_futex_key
     0.00%  user     [kernel.kallsyms]  [k] __local_bh_enable_ip
     0.00%  user     [kernel.kallsyms]  [k] dput
     0.00%  user     [kernel.kallsyms]  [k] __br_forward
     0.00%  user     [kernel.kallsyms]  [k] br_validate_ipv4.isra.0
     0.00%  user     user               [.] golang.org/x/net/http2/hpack.(*headerFieldTable).search
     0.00%  user     user               [.] github.com/rs/zerolog.consoleDefaultFormatTimestamp
     0.00%  user     user               [.] runtime.mapaccess1_fast32
     0.00%  user     user               [.] runtime.goready
     0.00%  user     user               [.] google.golang.org/grpc/transport.(*http2Server).Write.func1
     0.00%  user     user               [.] runtime.(*sweepLocked).sweep
     0.00%  user     [kernel.kallsyms]  [k] ret_from_intr
     0.00%  user     [kernel.kallsyms]  [k] futex_wait_queue_me
     0.00%  user     user               [.] sync.(*RWMutex).Unlock
     0.00%  user     [kernel.kallsyms]  [k] lock_timer_base
     0.00%  user     [kernel.kallsyms]  [k] perf_pmu_disable.part.0
     0.00%  user     user               [.] runtime.schedule
     0.00%  user     [kernel.kallsyms]  [k] tcp_rate_skb_sent
     0.00%  user     [kernel.kallsyms]  [k] ip_rcv_finish
     0.00%  user     [kernel.kallsyms]  [k] __run_timers.part.0
     0.00%  user     [kernel.kallsyms]  [k] security_socket_sendmsg
     0.00%  user     [kernel.kallsyms]  [k] hrtimer_active
     0.00%  user     [kernel.kallsyms]  [k] perf_event_sched_in
     0.00%  user     [kernel.kallsyms]  [k] run_timer_softirq
     0.00%  user     [kernel.kallsyms]  [k] x86_pmu_enable
     0.00%  user     [kernel.kallsyms]  [k] intel_pmu_enable_all
     0.00%  user     [kernel.kallsyms]  [k] perf_pmu_enable.part.0
     0.00%  user     [kernel.kallsyms]  [k] schedule_hrtimeout_range_clock


#
# (Cannot load tips.txt file, please install perf!)
#
