# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 16K of event 'cycles'
# Event count (approx.): 32091812202
#
# Overhead  Command         Shared Object      Symbol                                                                                                                
# ........  ..............  .................  ......................................................................................................................
#
     0.32%  recommendation  [kernel.kallsyms]  [k] dequeue_task_fair
     0.31%  recommendation  recommendation     [.] math.satan
     0.31%  recommendation  [kernel.kallsyms]  [k] reweight_entity
     0.31%  recommendation  recommendation     [.] runtime.unlock2
     0.30%  recommendation  [kernel.kallsyms]  [k] nf_hook_slow
     0.30%  recommendation  recommendation     [.] runtime.retake
     0.30%  recommendation  [kernel.kallsyms]  [k] native_flush_tlb_one_user
     0.29%  recommendation  recommendation     [.] runtime.netpoll
     0.29%  recommendation  recommendation     [.] fmt.(*pp).doPrintf
     0.28%  recommendation  recommendation     [.] encoding/json.(*Decoder).readValue
     0.28%  recommendation  [kernel.kallsyms]  [k] update_cfs_rq_h_load
     0.28%  recommendation  [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.28%  recommendation  recommendation     [.] golang.org/x/net/http2.(*Framer).ReadFrame
     0.27%  recommendation  recommendation     [.] runtime.mapassign
     0.27%  recommendation  [kernel.kallsyms]  [k] _raw_spin_lock
     0.26%  recommendation  recommendation     [.] runtime.checkTimersNoP
     0.26%  recommendation  [kernel.kallsyms]  [k] veth_xmit
     0.26%  recommendation  recommendation     [.] runtime.usleep.abi0
     0.25%  recommendation  [kernel.kallsyms]  [k] try_to_wake_up
     0.25%  recommendation  recommendation     [.] runtime.notesleep
     0.25%  recommendation  recommendation     [.] aeshashbody
     0.25%  recommendation  recommendation     [.] reflect.(*rtype).Elem
     0.24%  recommendation  [kernel.kallsyms]  [k] __update_load_avg_se
     0.24%  recommendation  [kernel.kallsyms]  [k] __schedule
     0.24%  recommendation  [kernel.kallsyms]  [k] mark_wake_futex
     0.24%  recommendation  recommendation     [.] golang.org/x/net/http2.(*Framer).readMetaFrame.func1
     0.23%  recommendation  [kernel.kallsyms]  [k] __perf_event_task_sched_in
     0.23%  recommendation  [kernel.kallsyms]  [k] read_tsc
     0.23%  recommendation  recommendation     [.] runtime.mapaccess1_faststr
     0.23%  recommendation  [kernel.kallsyms]  [k] __tcp_transmit_skb
     0.23%  recommendation  recommendation     [.] math.modf
     0.23%  recommendation  recommendation     [.] time.appendInt
     0.23%  recommendation  [kernel.kallsyms]  [k] tcp_in_window
     0.23%  recommendation  recommendation     [.] runtime.timeSleepUntil
     0.23%  recommendation  [kernel.kallsyms]  [k] smp_call_function_many
     0.23%  recommendation  recommendation     [.] time.parse
     0.23%  recommendation  recommendation     [.] runtime.checkTimers
     0.22%  recommendation  [kernel.kallsyms]  [k] br_handle_frame
     0.22%  recommendation  [kernel.kallsyms]  [k] ep_poll_callback
     0.22%  recommendation  recommendation     [.] path/filepath.Clean
     0.22%  recommendation  [kernel.kallsyms]  [k] __x86_indirect_thunk_rax
     0.22%  recommendation  recommendation     [.] encoding/json.(*decodeState).rescanLiteral
     0.22%  recommendation  [kernel.kallsyms]  [k] do_nanosleep
     0.22%  recommendation  recommendation     [.] math.frexp
     0.22%  recommendation  recommendation     [.] runtime.findObject
     0.21%  recommendation  [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.21%  recommendation  [kernel.kallsyms]  [k] rb_next
     0.21%  recommendation  recommendation     [.] path/filepath.Rel
     0.21%  recommendation  [kernel.kallsyms]  [k] ktime_get
     0.21%  recommendation  recommendation     [.] encoding/json.unquoteBytes
     0.21%  recommendation  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.20%  recommendation  recommendation     [.] time.Time.AppendFormat
     0.20%  recommendation  [kernel.kallsyms]  [k] ip_finish_output2
     0.20%  recommendation  recommendation     [.] google.golang.org/grpc/transport.(*http2Server).operateHeaders
     0.20%  recommendation  recommendation     [.] runtime.runqgrab
     0.20%  recommendation  recommendation     [.] runtime.schedule
     0.20%  recommendation  [kernel.kallsyms]  [k] __x64_sys_futex
     0.19%  recommendation  [kernel.kallsyms]  [k] __x64_sys_epoll_pwait
     0.19%  recommendation  [kernel.kallsyms]  [k] dequeue_entity
     0.19%  recommendation  [kernel.kallsyms]  [k] __lock_text_start
     0.19%  recommendation  recommendation     [.] runtime.futex.abi0
     0.19%  recommendation  [kernel.kallsyms]  [k] __perf_event_task_sched_out
     0.19%  recommendation  recommendation     [.] runtime.(*mcache).prepareForSweep
     0.18%  recommendation  [kernel.kallsyms]  [k] record_times
     0.18%  recommendation  [kernel.kallsyms]  [k] common_file_perm
     0.18%  recommendation  [kernel.kallsyms]  [k] apic_timer_interrupt
     0.18%  recommendation  [kernel.kallsyms]  [k] select_idle_sibling.part.0
     0.18%  recommendation  recommendation     [.] runtime.chansend
     0.18%  recommendation  recommendation     [.] runtime.nanotime1.abi0
     0.18%  recommendation  [kernel.kallsyms]  [k] __calc_delta
     0.18%  recommendation  [kernel.kallsyms]  [k] tcp_write_xmit
     0.18%  recommendation  [kernel.kallsyms]  [k] flexible_sched_in
     0.18%  recommendation  [kernel.kallsyms]  [k] process_backlog
     0.18%  recommendation  recommendation     [.] runtime.scanblock
     0.17%  recommendation  [kernel.kallsyms]  [k] schedule
     0.17%  recommendation  recommendation     [.] runtime.mapassign_faststr
     0.17%  recommendation  recommendation     [.] runtime.futexsleep
     0.17%  recommendation  [kernel.kallsyms]  [k] tcp_recvmsg
     0.17%  recommendation  [kernel.kallsyms]  [k] prepare_exit_to_usermode
     0.16%  recommendation  recommendation     [.] memeqbody
     0.16%  recommendation  recommendation     [.] runtime.gcDrain
     0.16%  recommendation  [kernel.kallsyms]  [k] copy_user_generic_unrolled
     0.16%  recommendation  [kernel.kallsyms]  [k] __nf_conntrack_find_get
     0.16%  recommendation  [kernel.kallsyms]  [k] newidle_balance
     0.16%  recommendation  recommendation     [.] runtime.stackalloc
     0.16%  recommendation  recommendation     [.] runtime.mDoFixup
     0.16%  recommendation  [kernel.kallsyms]  [k] fpregs_assert_state_consistent
     0.16%  recommendation  [kernel.kallsyms]  [k] pick_next_task_fair
     0.15%  recommendation  [kernel.kallsyms]  [k] interrupt_entry
     0.15%  recommendation  recommendation     [.] runtime.checkRunqsNoP
     0.15%  recommendation  [kernel.kallsyms]  [k] resched_curr
     0.15%  recommendation  recommendation     [.] time.nextStdChunk
     0.15%  recommendation  [kernel.kallsyms]  [k] perf_event_update_userpage
     0.15%  recommendation  recommendation     [.] runtime.greyobject
     0.15%  recommendation  recommendation     [.] bufio.(*Reader).Read
     0.15%  recommendation  recommendation     [.] runtime.typedmemmove
     0.15%  recommendation  [kernel.kallsyms]  [k] __virt_addr_valid
     0.15%  recommendation  recommendation     [.] encoding/json.stateInString
     0.15%  recommendation  recommendation     [.] runtime.getitab
     0.15%  recommendation  [kernel.kallsyms]  [k] kmem_cache_alloc
     0.15%  recommendation  recommendation     [.] runtime.funcMaxSPDelta
     0.15%  recommendation  [kernel.kallsyms]  [k] ip_output
     0.15%  recommendation  recommendation     [.] runtime.mapaccess2_faststr
     0.15%  recommendation  [kernel.kallsyms]  [k] account_entity_dequeue
     0.15%  recommendation  recommendation     [.] google.golang.org/grpc/transport.(*decodeState).processHeaderField
     0.14%  recommendation  [kernel.kallsyms]  [k] ep_poll
     0.14%  recommendation  [kernel.kallsyms]  [k] do_futex
     0.14%  recommendation  [kernel.kallsyms]  [k] tcp_sendmsg_locked
     0.14%  recommendation  recommendation     [.] golang.org/x/net/http2.(*MetaHeadersFrame).checkPseudos
     0.14%  recommendation  [kernel.kallsyms]  [k] ip_rcv_core.isra.0
     0.14%  recommendation  recommendation     [.] github.com/rs/zerolog.ConsoleWriter.Write
     0.14%  recommendation  [kernel.kallsyms]  [k] futex_wait
     0.14%  recommendation  [kernel.kallsyms]  [k] set_task_cpu
     0.14%  recommendation  [kernel.kallsyms]  [k] memset_erms
     0.14%  recommendation  [kernel.kallsyms]  [k] ctx_sched_out
     0.14%  recommendation  [kernel.kallsyms]  [k] new_sync_read
     0.14%  recommendation  [kernel.kallsyms]  [k] futex_wake
     0.14%  recommendation  [kernel.kallsyms]  [k] futex_wait_setup
     0.14%  recommendation  recommendation     [.] golang.org/x/net/http2.validWireHeaderFieldName
     0.14%  recommendation  recommendation     [.] math.ldexp
     0.13%  recommendation  recommendation     [.] google.golang.org/grpc.(*Server).processUnaryRPC
     0.13%  recommendation  [kernel.kallsyms]  [k] tcp_rcv_established
     0.13%  recommendation  recommendation     [.] golang.org/x/net/http2/hpack.(*headerFieldTable).search
     0.13%  recommendation  recommendation     [.] strconv.ParseUint
     0.13%  recommendation  [kernel.kallsyms]  [k] ipv4_dst_check
     0.13%  recommendation  [kernel.kallsyms]  [k] __dev_queue_xmit
     0.13%  recommendation  recommendation     [.] context.(*cancelCtx).Value
     0.13%  recommendation  recommendation     [.] runtime.mapaccess2
     0.13%  recommendation  recommendation     [.] runtime.pidleget
     0.13%  recommendation  [kernel.kallsyms]  [k] hrtimer_start_range_ns
     0.13%  recommendation  [kernel.kallsyms]  [k] _raw_write_lock_irq
     0.13%  recommendation  recommendation     [.] github.com/uber/jaeger-client-go.(*Span).FinishWithOptions
     0.13%  recommendation  [kernel.kallsyms]  [k] nf_ct_seq_offset
     0.13%  recommendation  recommendation     [.] runtime.memequal
     0.13%  recommendation  recommendation     [.] fmt.(*pp).printArg
     0.13%  recommendation  [kernel.kallsyms]  [k] ipv4_conntrack_defrag
     0.13%  recommendation  recommendation     [.] encoding/json.(*decodeState).object
     0.13%  recommendation  [kernel.kallsyms]  [k] __cgroup_bpf_run_filter_skb
     0.13%  recommendation  [kernel.kallsyms]  [k] __netif_receive_skb_core
     0.12%  recommendation  recommendation     [.] golang.org/x/net/http2.(*Framer).checkFrameOrder
     0.12%  recommendation  [kernel.kallsyms]  [k] perf_log_itrace_start
     0.12%  recommendation  [kernel.kallsyms]  [k] skb_release_data
     0.12%  recommendation  [kernel.kallsyms]  [k] update_rq_clock
     0.12%  recommendation  [kernel.kallsyms]  [k] get_futex_key_refs.isra.0
     0.12%  recommendation  [kernel.kallsyms]  [k] update_min_vruntime
     0.12%  recommendation  recommendation     [.] context.WithValue
     0.12%  recommendation  recommendation     [.] sync.(*RWMutex).Lock
     0.12%  recommendation  recommendation     [.] internal/poll.(*FD).Write
     0.12%  recommendation  [kernel.kallsyms]  [k] get_l4proto
     0.12%  recommendation  recommendation     [.] google.golang.org/grpc/transport.(*http2Server).HandleStreams
     0.12%  recommendation  recommendation     [.] runtime.mapiterinit
     0.12%  recommendation  [kernel.kallsyms]  [k] arch_perf_update_userpage
     0.12%  recommendation  [kernel.kallsyms]  [k] do_epoll_wait
     0.12%  recommendation  [kernel.kallsyms]  [k] nf_conntrack_tcp_packet
     0.12%  recommendation  recommendation     [.] runtime.(*itabTableType).find
     0.12%  recommendation  recommendation     [.] runtime.reentersyscall
     0.12%  recommendation  recommendation     [.] github.com/golang/protobuf/proto.GetProperties
     0.11%  recommendation  recommendation     [.] runtime.(*mcentral).uncacheSpan
     0.11%  recommendation  recommendation     [.] sync.(*Pool).Get
     0.11%  recommendation  [kernel.kallsyms]  [k] get_futex_key
     0.11%  recommendation  [kernel.kallsyms]  [k] br_nf_pre_routing
     0.11%  recommendation  [kernel.kallsyms]  [k] tcp_clean_rtx_queue
     0.11%  recommendation  recommendation     [.] runtime.pidleput
     0.11%  recommendation  [kernel.kallsyms]  [k] zap_pte_range.isra.0
     0.11%  recommendation  recommendation     [.] syscall.Getenv
     0.11%  recommendation  recommendation     [.] runtime.epollwait.abi0
     0.11%  recommendation  [kernel.kallsyms]  [k] event_sched_in.isra.0
     0.11%  recommendation  recommendation     [.] golang.org/x/net/http2/hpack.(*Encoder).WriteField
     0.11%  recommendation  [kernel.kallsyms]  [k] swapgs_restore_regs_and_return_to_usermode
     0.11%  recommendation  [kernel.kallsyms]  [k] memcmp
     0.11%  recommendation  recommendation     [.] encoding/json.stateEndValue
     0.11%  recommendation  [kernel.kallsyms]  [k] br_dev_queue_push_xmit
     0.11%  recommendation  [kernel.kallsyms]  [k] enqueue_to_backlog
     0.11%  recommendation  recommendation     [.] runtime.stackfree
     0.11%  recommendation  recommendation     [.] google.golang.org/grpc.(*Server).handleStream
     0.11%  recommendation  recommendation     [.] sync.(*WaitGroup).Add
     0.11%  recommendation  [kernel.kallsyms]  [k] __ip_finish_output
     0.11%  recommendation  recommendation     [.] internal/poll.runtime_pollReset
     0.11%  recommendation  recommendation     [.] math.atan2
     0.10%  recommendation  [kernel.kallsyms]  [k] ip_rcv
     0.10%  recommendation  recommendation     [.] syscall.write
     0.10%  recommendation  recommendation     [.] runtime.(*pallocBits).summarize
     0.10%  recommendation  recommendation     [.] time.Now
     0.10%  recommendation  [kernel.kallsyms]  [k] kmem_cache_free
     0.10%  recommendation  recommendation     [.] sync.(*Pool).Put
     0.10%  recommendation  recommendation     [.] github.com/rs/zerolog.ConsoleWriter.writeFields
     0.10%  recommendation  recommendation     [.] runtime.markroot
     0.10%  recommendation  recommendation     [.] runtime.systemstack.abi0
     0.10%  recommendation  [kernel.kallsyms]  [k] __inet_lookup_established
     0.10%  recommendation  [kernel.kallsyms]  [k] __hrtimer_run_queues
     0.10%  recommendation  recommendation     [.] runtime.slicebytetostring
     0.10%  recommendation  [kernel.kallsyms]  [k] should_failslab
     0.10%  recommendation  [kernel.kallsyms]  [k] br_handle_frame_finish
     0.10%  recommendation  [kernel.kallsyms]  [k] tcp_v4_do_rcv
     0.10%  recommendation  [kernel.kallsyms]  [k] __update_idle_core
     0.10%  recommendation  [kernel.kallsyms]  [k] br_nf_forward_ip
     0.10%  recommendation  recommendation     [.] golang.org/x/net/http2/hpack.(*Decoder).at
     0.10%  recommendation  [kernel.kallsyms]  [k] __wake_up_common
     0.10%  recommendation  [kernel.kallsyms]  [k] br_forward
     0.10%  recommendation  recommendation     [.] google.golang.org/grpc/transport.(*recvBuffer).put
     0.10%  recommendation  recommendation     [.] runtime.runqput
     0.10%  recommendation  [kernel.kallsyms]  [k] net_rx_action
     0.10%  recommendation  recommendation     [.] internal/poll.(*pollDesc).prepare
     0.10%  recommendation  recommendation     [.] google.golang.org/grpc/transport.(*quotaPool).add
     0.10%  recommendation  [kernel.kallsyms]  [k] tcp_v4_rcv
     0.10%  recommendation  recommendation     [.] runtime.mapassign_fast32
     0.10%  recommendation  [kernel.kallsyms]  [k] nf_conntrack_in
     0.10%  recommendation  [kernel.kallsyms]  [k] intel_pstate_update_util
     0.10%  recommendation  [kernel.kallsyms]  [k] brnf_get_logical_dev
     0.10%  recommendation  [kernel.kallsyms]  [k] put_prev_task_fair
     0.10%  recommendation  [kernel.kallsyms]  [k] find_next_bit
     0.09%  recommendation  [kernel.kallsyms]  [k] place_entity
     0.09%  recommendation  [kernel.kallsyms]  [k] tcp_ack
     0.09%  recommendation  recommendation     [.] math/rand.(*rngSource).Int63
     0.09%  recommendation  recommendation     [.] google.golang.org/grpc/transport.(*http2Server).Write
     0.09%  recommendation  recommendation     [.] github.com/rs/zerolog.(*Event).msg
     0.09%  recommendation  [kernel.kallsyms]  [k] do_softirq_own_stack
     0.09%  recommendation  recommendation     [.] runtime.gfget
     0.09%  recommendation  recommendation     [.] gogo
     0.09%  recommendation  [kernel.kallsyms]  [k] _copy_from_user
     0.09%  recommendation  recommendation     [.] github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.OpenTracingServerInterceptor.func1
     0.09%  recommendation  [kernel.kallsyms]  [k] hash_conntrack_raw
     0.09%  recommendation  recommendation     [.] time.now.abi0
     0.09%  recommendation  [kernel.kallsyms]  [k] _cond_resched
     0.09%  recommendation  [kernel.kallsyms]  [k] __fsnotify_parent
     0.09%  recommendation  [kernel.kallsyms]  [k] pipe_poll
     0.09%  recommendation  recommendation     [.] github.com/golang/protobuf/proto.(*Buffer).unmarshalType
     0.09%  recommendation  [kernel.kallsyms]  [k] __hrtimer_next_event_base
     0.09%  recommendation  [kernel.kallsyms]  [k] put_prev_entity
     0.09%  recommendation  [kernel.kallsyms]  [k] tcp_schedule_loss_probe
     0.09%  recommendation  recommendation     [.] runtime.exitsyscall
     0.09%  recommendation  [kernel.kallsyms]  [k] finish_task_switch
     0.09%  recommendation  recommendation     [.] net/url.unescape
     0.09%  recommendation  recommendation     [.] github.com/rs/zerolog.ConsoleWriter.writePart
     0.09%  recommendation  [kernel.kallsyms]  [k] vfs_write
     0.09%  recommendation  recommendation     [.] bufio.(*Writer).Write
     0.09%  recommendation  [kernel.kallsyms]  [k] tcp_release_cb
     0.09%  recommendation  recommendation     [.] encoding/json.(*decodeState).literalStore
     0.08%  recommendation  [kernel.kallsyms]  [k] kfree
     0.08%  recommendation  recommendation     [.] runtime.updateTimerPMask
     0.08%  recommendation  [kernel.kallsyms]  [k] ovl_path_real
     0.08%  recommendation  [kernel.kallsyms]  [k] hrtimer_wakeup
     0.08%  recommendation  [kernel.kallsyms]  [k] tcp_wfree
     0.08%  recommendation  recommendation     [.] runtime.exitsyscallfast
     0.08%  recommendation  [kernel.kallsyms]  [k] tcp_rearm_rto
     0.08%  recommendation  recommendation     [.] bytes.(*Buffer).WriteByte
     0.08%  recommendation  recommendation     [.] internal/poll.(*fdMutex).rwlock
     0.08%  recommendation  recommendation     [.] runtime.netpollready
     0.08%  recommendation  [kernel.kallsyms]  [k] __kmalloc_node_track_caller
     0.08%  recommendation  recommendation     [.] runtime.mcall
     0.08%  recommendation  recommendation     [.] runtime.interhash
     0.08%  recommendation  [kernel.kallsyms]  [k] fsnotify
     0.08%  recommendation  [kernel.kallsyms]  [k] attach_entity_load_avg
     0.08%  recommendation  recommendation     [.] runtime.makechan
     0.08%  recommendation  [kernel.kallsyms]  [k] clear_page_erms
     0.08%  recommendation  [kernel.kallsyms]  [k] ktime_get_ts64
     0.08%  recommendation  [kernel.kallsyms]  [k] ip_finish_output
     0.08%  recommendation  recommendation     [.] reflect.(*structType).Field
     0.08%  recommendation  [kernel.kallsyms]  [k] lapic_next_deadline
     0.08%  recommendation  [kernel.kallsyms]  [k] tlb_is_not_lazy
     0.08%  recommendation  recommendation     [.] github.com/golang/protobuf/proto.getbase
     0.08%  recommendation  recommendation     [.] type..eq.golang.org/x/net/http2/hpack.pairNameValue
     0.08%  recommendation  [kernel.kallsyms]  [k] nf_ct_get_tuple
     0.08%  recommendation  [kernel.kallsyms]  [k] ktime_get_with_offset
     0.08%  recommendation  [kernel.kallsyms]  [k] hrtimer_active
     0.08%  recommendation  [kernel.kallsyms]  [k] lock_hrtimer_base
     0.07%  recommendation  recommendation     [.] runtime.bulkBarrierPreWrite
     0.07%  recommendation  [kernel.kallsyms]  [k] ktime_get_coarse_real_ts64
     0.07%  recommendation  recommendation     [.] reflect.Value.Set
     0.07%  recommendation  recommendation     [.] runtime.runqget
     0.07%  recommendation  recommendation     [.] runtime.duffzero
     0.07%  recommendation  recommendation     [.] net.(*netFD).Write
     0.07%  recommendation  recommendation     [.] runtime.funcline1
     0.07%  recommendation  recommendation     [.] runtime.(*mheap).allocSpan
     0.07%  recommendation  recommendation     [.] github.com/uber/jaeger-client-go.(*Tracer).StartSpan
     0.07%  recommendation  recommendation     [.] github.com/golang/protobuf/proto.(*Buffer).dec_proto3_string
     0.07%  recommendation  [kernel.kallsyms]  [k] inet6_sendmsg
     0.07%  recommendation  recommendation     [.] runtime.makeslice
     0.07%  recommendation  [kernel.kallsyms]  [k] ip_local_deliver
     0.07%  recommendation  [kernel.kallsyms]  [k] pick_next_task_idle
     0.07%  recommendation  recommendation     [.] fmt.(*fmt).truncateString
     0.07%  recommendation  [kernel.kallsyms]  [k] group_sched_in
     0.07%  recommendation  [kernel.kallsyms]  [k] _raw_read_lock_irqsave
     0.07%  recommendation  [kernel.kallsyms]  [k] pick_next_entity
     0.07%  recommendation  recommendation     [.] github.com/uber/jaeger-client-go.SpanIDFromString
     0.07%  recommendation  recommendation     [.] runtime.(*spanSet).push
     0.07%  recommendation  recommendation     [.] runtime.newstack
     0.07%  recommendation  recommendation     [.] golang.org/x/net/http2.(*Framer).endWrite
     0.07%  recommendation  recommendation     [.] runtime.(*mspan).nextFreeIndex
     0.07%  recommendation  recommendation     [.] github.com/uber/jaeger-client-go.(*Tracer).startSpanWithOptions
     0.07%  recommendation  recommendation     [.] runtime.selunlock
     0.07%  recommendation  recommendation     [.] bytes.(*Buffer).WriteString
     0.07%  recommendation  recommendation     [.] internal/poll.(*FD).readUnlock
     0.07%  recommendation  [kernel.kallsyms]  [k] raw_local_deliver
     0.07%  recommendation  [kernel.kallsyms]  [k] hrtimer_nanosleep
     0.07%  recommendation  [kernel.kallsyms]  [k] override_creds
     0.07%  recommendation  recommendation     [.] runtime.(*lfstack).push
     0.07%  recommendation  recommendation     [.] google.golang.org/grpc/transport.(*Stream).waitOnHeader
     0.07%  recommendation  [kernel.kallsyms]  [k] netif_rx_internal
     0.07%  recommendation  recommendation     [.] github.com/uber/jaeger-client-go/utils.(*lockedSource).Int63
     0.07%  recommendation  [kernel.kallsyms]  [k] kmem_cache_alloc_node
     0.07%  recommendation  recommendation     [.] runtime.sellock
     0.07%  recommendation  recommendation     [.] google.golang.org/grpc/transport.(*http2Server).WriteStatus
     0.07%  recommendation  [kernel.kallsyms]  [k] task_ctx_sched_out
     0.07%  recommendation  recommendation     [.] runtime.concatstrings
     0.07%  recommendation  [kernel.kallsyms]  [k] ipv4_mtu
     0.07%  recommendation  recommendation     [.] google.golang.org/grpc/transport.(*http2Server).itemHandler-fm
     0.07%  recommendation  recommendation     [.] strings.ToLower
     0.06%  recommendation  recommendation     [.] github.com/hailocab/go-geoindex.(*GeoPoint).Lat
     0.06%  recommendation  [kernel.kallsyms]  [k] skb_entail
     0.06%  recommendation  recommendation     [.] context.(*cancelCtx).Done
     0.06%  recommendation  [kernel.kallsyms]  [k] set_next_buddy
     0.06%  recommendation  [kernel.kallsyms]  [k] tcp_ack_update_rtt.isra.0
     0.06%  recommendation  [kernel.kallsyms]  [k] mntput
     0.06%  recommendation  recommendation     [.] runtime.runqsteal
     0.06%  recommendation  recommendation     [.] runtime.mPark
     0.06%  recommendation  recommendation     [.] os.Getenv
     0.06%  recommendation  recommendation     [.] github.com/opentracing/opentracing-go.(*Tag).Apply
     0.06%  recommendation  recommendation     [.] sync.(*RWMutex).Unlock
     0.06%  recommendation  recommendation     [.] fmt.(*pp).fmtString
     0.06%  recommendation  recommendation     [.] internal/poll.(*fdMutex).rwunlock
     0.06%  recommendation  recommendation     [.] github.com/golang/protobuf/proto.mergeAny
     0.06%  recommendation  recommendation     [.] google.golang.org/grpc/transport.loopyWriter
     0.06%  recommendation  [kernel.kallsyms]  [k] ovl_getattr
     0.06%  recommendation  [kernel.kallsyms]  [k] walk_component
     0.06%  recommendation  recommendation     [.] google.golang.org/grpc/transport.(*http2Server).updateWindow
     0.06%  recommendation  [kernel.kallsyms]  [k] inet_ehashfn
     0.06%  recommendation  [kernel.kallsyms]  [k] calc_wheel_index
     0.06%  recommendation  recommendation     [.] golang.org/x/net/http2.parseHeadersFrame
     0.06%  recommendation  recommendation     [.] github.com/rs/zerolog/internal/json.Encoder.AppendString
     0.06%  recommendation  [kernel.kallsyms]  [k] skb_csum_hwoffload_help
     0.06%  recommendation  [kernel.kallsyms]  [k] complete_walk
     0.06%  recommendation  recommendation     [.] runtime.gopark
     0.06%  recommendation  [kernel.kallsyms]  [k] __alloc_pages_nodemask
     0.06%  recommendation  [kernel.kallsyms]  [k] __cgroup_account_cputime
     0.06%  recommendation  [kernel.kallsyms]  [k] _raw_spin_lock_bh
     0.06%  recommendation  recommendation     [.] google.golang.org/grpc.(*Server).sendResponse
     0.06%  recommendation  recommendation     [.] encoding/json.(*decodeState).value
     0.06%  recommendation  [kernel.kallsyms]  [k] wake_up_q
     0.06%  recommendation  [kernel.kallsyms]  [k] security_socket_sendmsg
     0.06%  recommendation  recommendation     [.] google.golang.org/grpc/transport.(*inFlow).maybeAdjust
     0.06%  recommendation  recommendation     [.] runtime.convI2I
     0.06%  recommendation  recommendation     [.] strings.LastIndex
     0.06%  recommendation  recommendation     [.] github.com/uber/jaeger-client-go.(*Tracer).startSpanInternal
