# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 21K of event 'cycles'
# Event count (approx.): 54619642632
#
# Overhead  Command      Shared Object      Symbol                                                                                                         
# ........  ...........  .................  ...............................................................................................................
#
     0.22%  reservation  reservation        [.] runtime.retake
     0.22%  reservation  [kernel.kallsyms]  [k] tcp_recvmsg
     0.22%  reservation  reservation        [.] fmt.(*ss).getRune
     0.22%  reservation  [kernel.kallsyms]  [k] try_to_wake_up
     0.22%  reservation  reservation        [.] runtime.concatstrings
     0.22%  reservation  [kernel.kallsyms]  [k] pick_next_task_fair
     0.21%  reservation  reservation        [.] indexbytebody
     0.21%  reservation  reservation        [.] runtime.mapaccess1
     0.21%  reservation  [kernel.kallsyms]  [k] perf_event_update_userpage
     0.21%  reservation  reservation        [.] golang.org/x/net/http2.(*Framer).ReadFrame
     0.21%  reservation  [kernel.kallsyms]  [k] __dev_queue_xmit
     0.21%  reservation  reservation        [.] internal/poll.(*FD).Read
     0.21%  reservation  [kernel.kallsyms]  [k] common_file_perm
     0.21%  reservation  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.20%  reservation  reservation        [.] runtime.usleep.abi0
     0.20%  reservation  [kernel.kallsyms]  [k] apic_timer_interrupt
     0.20%  reservation  reservation        [.] fmt.indexRune
     0.20%  reservation  [kernel.kallsyms]  [k] ctx_sched_in
     0.20%  reservation  reservation        [.] fmt.(*pp).doPrintf
     0.19%  reservation  reservation        [.] fmt.(*ss).scanOne
     0.19%  reservation  reservation        [.] memeqbody
     0.19%  reservation  [kernel.kallsyms]  [k] update_rq_clock
     0.19%  reservation  reservation        [.] golang.org/x/net/http2.(*Framer).readMetaFrame.func1
     0.19%  reservation  [kernel.kallsyms]  [k] hash_conntrack_raw
     0.19%  reservation  reservation        [.] runtime.nanotime1.abi0
     0.19%  reservation  [kernel.kallsyms]  [k] tcp_write_xmit
     0.19%  reservation  [kernel.kallsyms]  [k] __x86_indirect_thunk_rax
     0.19%  reservation  [kernel.kallsyms]  [k] __update_load_avg_se
     0.19%  reservation  [kernel.kallsyms]  [k] rb_next
     0.19%  reservation  [kernel.kallsyms]  [k] fdb_find_rcu
     0.18%  reservation  reservation        [.] runtime.chanrecv
     0.18%  reservation  reservation        [.] path/filepath.Rel
     0.18%  reservation  reservation        [.] runtime.pidleget
     0.18%  reservation  reservation        [.] runtime.newstack
     0.18%  reservation  reservation        [.] strconv.ParseUint
     0.17%  reservation  reservation        [.] fmt.(*buffer).writeRune
     0.17%  reservation  reservation        [.] encoding/json.unquoteBytes
     0.17%  reservation  reservation        [.] runtime.reentersyscall
     0.17%  reservation  [kernel.kallsyms]  [k] read_tsc
     0.17%  reservation  reservation        [.] encoding/json.(*decodeState).object
     0.17%  reservation  reservation        [.] runtime.futex.abi0
     0.17%  reservation  reservation        [.] sync.(*Pool).Get
     0.17%  reservation  reservation        [.] runtime.(*mheap).allocSpan
     0.17%  reservation  [kernel.kallsyms]  [k] br_handle_frame
     0.17%  reservation  reservation        [.] runtime.mapaccess2_faststr
     0.17%  reservation  [kernel.kallsyms]  [k] __perf_event_task_sched_in
     0.16%  reservation  [kernel.kallsyms]  [k] __kmalloc_node_track_caller
     0.16%  reservation  reservation        [.] runtime.mDoFixup
     0.16%  reservation  reservation        [.] runtime.checkRunqsNoP
     0.16%  reservation  reservation        [.] runtime.getitab
     0.16%  reservation  [kernel.kallsyms]  [k] rb_erase
     0.16%  reservation  [kernel.kallsyms]  [k] find_next_bit
     0.16%  reservation  reservation        [.] fmt.(*pp).printArg
     0.15%  reservation  reservation        [.] runtime.chansend
     0.15%  reservation  reservation        [.] runtime.slicebytetostring
     0.15%  reservation  [kernel.kallsyms]  [k] br_nf_pre_routing
     0.15%  reservation  [kernel.kallsyms]  [k] __x64_sys_futex
     0.15%  reservation  [kernel.kallsyms]  [k] net_rx_action
     0.15%  reservation  [kernel.kallsyms]  [k] process_backlog
     0.15%  reservation  reservation        [.] runtime.exitsyscall
     0.15%  reservation  [kernel.kallsyms]  [k] ep_poll
     0.14%  reservation  reservation        [.] runtime.(*itabTableType).find
     0.14%  reservation  reservation        [.] runtime.notesleep
     0.14%  reservation  [kernel.kallsyms]  [k] newidle_balance
     0.14%  reservation  [kernel.kallsyms]  [k] __ip_queue_xmit
     0.14%  reservation  reservation        [.] sync.(*RWMutex).Lock
     0.14%  reservation  [kernel.kallsyms]  [k] skb_release_data
     0.14%  reservation  [kernel.kallsyms]  [k] ep_poll_callback
     0.14%  reservation  [kernel.kallsyms]  [k] __perf_event_task_sched_out
     0.14%  reservation  [kernel.kallsyms]  [k] futex_wait
     0.14%  reservation  reservation        [.] path/filepath.Clean
     0.14%  reservation  [kernel.kallsyms]  [k] __calc_delta
     0.14%  reservation  [kernel.kallsyms]  [k] dequeue_entity
     0.14%  reservation  [kernel.kallsyms]  [k] __inet_lookup_established
     0.14%  reservation  [kernel.kallsyms]  [k] ipv4_dst_check
     0.14%  reservation  reservation        [.] fmt.(*ss).consume
     0.14%  reservation  [kernel.kallsyms]  [k] __wake_up_common
     0.14%  reservation  reservation        [.] runtime.futexsleep
     0.13%  reservation  [kernel.kallsyms]  [k] record_times
     0.13%  reservation  [kernel.kallsyms]  [k] tcp_rcv_established
     0.13%  reservation  [kernel.kallsyms]  [k] get_futex_key
     0.13%  reservation  [kernel.kallsyms]  [k] __update_idle_core
     0.13%  reservation  [kernel.kallsyms]  [k] copy_user_generic_unrolled
     0.13%  reservation  [kernel.kallsyms]  [k] kmem_cache_alloc
     0.13%  reservation  [kernel.kallsyms]  [k] kmem_cache_free
     0.13%  reservation  [kernel.kallsyms]  [k] put_prev_entity
     0.13%  reservation  [kernel.kallsyms]  [k] prepare_exit_to_usermode
     0.13%  reservation  reservation        [.] sync.(*Pool).pin
     0.13%  reservation  reservation        [.] time.formatNano
     0.13%  reservation  [kernel.kallsyms]  [k] tcp_v4_rcv
     0.13%  reservation  reservation        [.] github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.OpenTracingServerInterceptor.func1
     0.13%  reservation  reservation        [.] runtime.exitsyscallfast
     0.13%  reservation  [kernel.kallsyms]  [k] perf_swevent_add
     0.12%  reservation  [kernel.kallsyms]  [k] futex_wake
     0.12%  reservation  [kernel.kallsyms]  [k] nf_ct_get_tuple
     0.12%  reservation  [kernel.kallsyms]  [k] br_nf_post_routing
     0.12%  reservation  reservation        [.] github.com/uber/jaeger-client-go.(*Tracer).startSpanWithOptions
     0.12%  reservation  reservation        [.] reflect.(*rtype).Elem
     0.12%  reservation  [kernel.kallsyms]  [k] intel_pstate_update_util
     0.12%  reservation  reservation        [.] runtime.gopark
     0.12%  reservation  [kernel.kallsyms]  [k] br_handle_frame_finish
     0.12%  reservation  reservation        [.] time.Date
     0.12%  reservation  [kernel.kallsyms]  [k] __virt_addr_valid
     0.12%  reservation  reservation        [.] github.com/uber/jaeger-client-go.(*Tracer).startSpanInternal
     0.12%  reservation  reservation        [.] runtime.mapaccess2
     0.12%  reservation  reservation        [.] runtime.(*mspan).refillAllocCache
     0.12%  reservation  reservation        [.] google.golang.org/grpc/transport.(*http2Server).operateHeaders
     0.12%  reservation  reservation        [.] internal/poll.(*FD).Write
     0.12%  reservation  [kernel.kallsyms]  [k] fput_many
     0.12%  reservation  reservation        [.] runtime.duffzero
     0.11%  reservation  reservation        [.] runtime.runqput
     0.11%  reservation  [kernel.kallsyms]  [k] kmem_cache_alloc_node
     0.11%  reservation  [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     0.11%  reservation  reservation        [.] runtime.systemstack.abi0
     0.11%  reservation  reservation        [.] internal/poll.runtime_pollReset
     0.11%  reservation  [kernel.kallsyms]  [k] __local_bh_enable_ip
     0.11%  reservation  reservation        [.] google.golang.org/grpc.(*Server).processUnaryRPC
     0.11%  reservation  reservation        [.] google.golang.org/grpc/transport.(*bdpEstimator).add
     0.11%  reservation  reservation        [.] runtime.makechan
     0.11%  reservation  reservation        [.] time.(*Location).lookup
     0.11%  reservation  [kernel.kallsyms]  [k] resched_curr
     0.11%  reservation  [kernel.kallsyms]  [k] account_entity_dequeue
     0.11%  reservation  [kernel.kallsyms]  [k] br_nf_forward_ip
     0.11%  reservation  reservation        [.] runtime.gfget
     0.11%  reservation  [kernel.kallsyms]  [k] new_sync_write
     0.11%  reservation  [kernel.kallsyms]  [k] __lock_text_start
     0.11%  reservation  reservation        [.] runtime.stackalloc
     0.11%  reservation  reservation        [.] github.com/bradfitz/gomemcache/memcache.(*Client).GetMulti
     0.11%  reservation  [kernel.kallsyms]  [k] enqueue_to_backlog
     0.10%  reservation  reservation        [.] google.golang.org/grpc/transport.(*controlBuffer).put
     0.10%  reservation  [kernel.kallsyms]  [k] br_nf_hook_thresh
     0.10%  reservation  reservation        [.] runtime.epollwait.abi0
     0.10%  reservation  reservation        [.] runtime.runqget
     0.10%  reservation  reservation        [.] sync.(*RWMutex).Unlock
     0.10%  reservation  reservation        [.] runtime.efaceeq
     0.10%  reservation  reservation        [.] encoding/json.stateEndValue
     0.10%  reservation  reservation        [.] runtime.park_m
     0.10%  reservation  [kernel.kallsyms]  [k] x86_pmu_disable
     0.10%  reservation  [kernel.kallsyms]  [k] ktime_get
     0.10%  reservation  reservation        [.] runtime.mapiterinit
     0.10%  reservation  reservation        [.] runtime.netpollready
     0.10%  reservation  [kernel.kallsyms]  [k] ip_rcv_core.isra.0
     0.10%  reservation  [kernel.kallsyms]  [k] ksys_write
     0.10%  reservation  reservation        [.] runtime.(*mcache).prepareForSweep
     0.10%  reservation  [kernel.kallsyms]  [k] tcp_event_new_data_sent
     0.10%  reservation  reservation        [.] fmt.(*ss).notEOF
     0.09%  reservation  reservation        [.] time.Time.locabs
     0.09%  reservation  reservation        [.] runtime.funcMaxSPDelta
     0.09%  reservation  reservation        [.] syscall.write
     0.09%  reservation  [kernel.kallsyms]  [k] lapic_next_deadline
     0.09%  reservation  [kernel.kallsyms]  [k] set_task_cpu
     0.09%  reservation  reservation        [.] google.golang.org/grpc/transport.(*decodeState).processHeaderField
     0.09%  reservation  reservation        [.] github.com/bradfitz/gomemcache/memcache.scanGetResponseLine
     0.09%  reservation  reservation        [.] fmt.(*ss).doScanf
     0.09%  reservation  reservation        [.] runtime.memequal
     0.09%  reservation  reservation        [.] runtime.acquireSudog
     0.09%  reservation  [kernel.kallsyms]  [k] br_fdb_update
     0.09%  reservation  reservation        [.] github.com/uber/jaeger-client-go.(*Span).FinishWithOptions
     0.09%  reservation  [kernel.kallsyms]  [k] get_futex_value_locked
     0.09%  reservation  [kernel.kallsyms]  [k] schedule
     0.09%  reservation  reservation        [.] bufio.(*Reader).Read
     0.09%  reservation  [kernel.kallsyms]  [k] rb_insert_color
     0.09%  reservation  reservation        [.] runtime.newproc1
     0.09%  reservation  [kernel.kallsyms]  [k] nf_nat_inet_fn
     0.09%  reservation  [kernel.kallsyms]  [k] ep_send_events_proc
     0.09%  reservation  [kernel.kallsyms]  [k] nf_ct_seq_offset
     0.09%  reservation  reservation        [.] encoding/json.indirect
     0.09%  reservation  [kernel.kallsyms]  [k] tcp_v4_send_check
     0.09%  reservation  [kernel.kallsyms]  [k] conntrack_mt_v3
     0.09%  reservation  reservation        [.] google.golang.org/grpc/transport.(*http2Server).HandleStreams
     0.09%  reservation  [kernel.kallsyms]  [k] memcg_kmem_put_cache
     0.09%  reservation  reservation        [.] bufio.(*Writer).Flush
     0.08%  reservation  [kernel.kallsyms]  [k] skb_page_frag_refill
     0.08%  reservation  [kernel.kallsyms]  [k] nf_ct_deliver_cached_events
     0.08%  reservation  reservation        [.] reflect.(*structType).Field
     0.08%  reservation  [kernel.kallsyms]  [k] _raw_read_lock_irqsave
     0.08%  reservation  reservation        [.] encoding/json.(*decodeState).rescanLiteral
     0.08%  reservation  [kernel.kallsyms]  [k] __enqueue_entity
     0.08%  reservation  reservation        [.] runtime.mcall
     0.08%  reservation  [kernel.kallsyms]  [k] tcp_rearm_rto
     0.08%  reservation  reservation        [.] sync.runtime_procPin
     0.08%  reservation  [kernel.kallsyms]  [k] __cgroup_bpf_run_filter_skb
     0.08%  reservation  reservation        [.] runtime.sweepone
     0.08%  reservation  [kernel.kallsyms]  [k] do_futex
     0.08%  reservation  [kernel.kallsyms]  [k] ipv4_conntrack_defrag
     0.08%  reservation  [kernel.kallsyms]  [k] finish_task_switch
     0.08%  reservation  reservation        [.] fmt.(*ss).SkipSpace
     0.08%  reservation  [kernel.kallsyms]  [k] sock_write_iter
     0.08%  reservation  [kernel.kallsyms]  [k] deactivate_task
     0.08%  reservation  reservation        [.] runtime.makeslice
     0.08%  reservation  [kernel.kallsyms]  [k] fsnotify
     0.08%  reservation  [kernel.kallsyms]  [k] __hrtimer_init
     0.08%  reservation  reservation        [.] syscall.Syscall.abi0
     0.08%  reservation  reservation        [.] runtime.mapdelete_fast32
     0.08%  reservation  reservation        [.] fmt.(*ss).token
     0.08%  reservation  reservation        [.] net.(*conn).Read
     0.08%  reservation  [kernel.kallsyms]  [k] __netif_receive_skb_one_core
     0.08%  reservation  reservation        [.] time.tzsetNum
     0.08%  reservation  reservation        [.] runtime.releaseSudog
     0.08%  reservation  reservation        [.] context.(*cancelCtx).Done
     0.08%  reservation  [kernel.kallsyms]  [k] tcp_ack_update_rtt.isra.0
     0.08%  reservation  [kernel.kallsyms]  [k] memcmp
     0.08%  reservation  [kernel.kallsyms]  [k] sock_read_iter
     0.08%  reservation  reservation        [.] runtime.typedmemmove
     0.08%  reservation  [kernel.kallsyms]  [k] sched_clock_cpu
     0.08%  reservation  reservation        [.] github.com/uber/jaeger-client-go/utils.(*lockedSource).Int63
     0.08%  reservation  [kernel.kallsyms]  [k] __check_object_size
     0.08%  reservation  [kernel.kallsyms]  [k] tcp_queue_rcv
     0.08%  reservation  [kernel.kallsyms]  [k] __ip_finish_output
     0.08%  reservation  [kernel.kallsyms]  [k] attach_entity_load_avg
     0.08%  reservation  [kernel.kallsyms]  [k] new_sync_read
     0.08%  reservation  [kernel.kallsyms]  [k] check_preempt_curr
     0.08%  reservation  [kernel.kallsyms]  [k] futex_wait_queue_me
     0.08%  reservation  [kernel.kallsyms]  [k] tcp_release_cb
     0.08%  reservation  [kernel.kallsyms]  [k] __fsnotify_parent
     0.08%  reservation  reservation        [.] github.com/golang/protobuf/proto.GetProperties
     0.08%  reservation  [kernel.kallsyms]  [k] iptable_filter_hook
     0.08%  reservation  [kernel.kallsyms]  [k] cpus_share_cache
     0.08%  reservation  [kernel.kallsyms]  [k] __vfs_write
     0.08%  reservation  reservation        [.] syscall.Getwd
     0.07%  reservation  reservation        [.] github.com/golang/protobuf/proto.(*Buffer).unmarshalType
     0.07%  reservation  reservation        [.] google.golang.org/grpc/transport.(*http2Server).WriteStatus
     0.07%  reservation  [kernel.kallsyms]  [k] sock_def_readable
     0.07%  reservation  [kernel.kallsyms]  [k] __softirqentry_text_start
     0.07%  reservation  [kernel.kallsyms]  [k] sk_stream_alloc_skb
     0.07%  reservation  reservation        [.] runtime.checkIdleGCNoP
     0.07%  reservation  [kernel.kallsyms]  [k] vfs_write
     0.07%  reservation  [kernel.kallsyms]  [k] memset_erms
     0.07%  reservation  [kernel.kallsyms]  [k] futex_wait_setup
     0.07%  reservation  [kernel.kallsyms]  [k] __x64_sys_epoll_pwait
     0.07%  reservation  [kernel.kallsyms]  [k] ipv4_confirm
     0.07%  reservation  reservation        [.] time.absDate
     0.07%  reservation  reservation        [.] runtime.(*spanSet).pop
     0.07%  reservation  [kernel.kallsyms]  [k] vfs_read
     0.07%  reservation  [kernel.kallsyms]  [k] _raw_spin_lock_bh
     0.07%  reservation  reservation        [.] runtime.save
     0.07%  reservation  reservation        [.] google.golang.org/grpc/transport.(*controlBuffer).load
     0.07%  reservation  [kernel.kallsyms]  [k] apparmor_socket_recvmsg
     0.07%  reservation  [kernel.kallsyms]  [k] br_validate_ipv4.isra.0
     0.07%  reservation  [kernel.kallsyms]  [k] pick_next_task_idle
     0.07%  reservation  [kernel.kallsyms]  [k] put_prev_task_fair
     0.07%  reservation  reservation        [.] countbody
     0.07%  reservation  [kernel.kallsyms]  [k] skb_ext_add
     0.07%  reservation  reservation        [.] runtime.startm
     0.07%  reservation  reservation        [.] google.golang.org/grpc/transport.loopyWriter
     0.07%  reservation  reservation        [.] net/url.unescape
     0.07%  reservation  reservation        [.] syscall.fstatat
     0.07%  reservation  [kernel.kallsyms]  [k] __ksize
     0.07%  reservation  reservation        [.] runtime.sellock
     0.07%  reservation  reservation        [.] github.com/bradfitz/gomemcache/memcache.(*ServerList).PickServer
     0.07%  reservation  [kernel.kallsyms]  [k] hash_futex
     0.07%  reservation  reservation        [.] time.tzsetName
     0.07%  reservation  reservation        [.] runtime.assertI2I2
     0.07%  reservation  [kernel.kallsyms]  [k] get_l4proto
     0.07%  reservation  reservation        [.] bufio.(*Reader).ReadSlice
     0.07%  reservation  [kernel.kallsyms]  [k] hrtimer_start_range_ns
     0.07%  reservation  reservation        [.] runtime.mapdelete
     0.07%  reservation  reservation        [.] google.golang.org/grpc/transport.(*http2Server).handleData
     0.07%  reservation  [kernel.kallsyms]  [k] sock_poll
     0.07%  reservation  reservation        [.] runtime.wakep
     0.07%  reservation  reservation        [.] internal/reflectlite.(*rtype).Comparable
     0.06%  reservation  [kernel.kallsyms]  [k] amd_clear_divider
     0.06%  reservation  [kernel.kallsyms]  [k] group_sched_in
     0.06%  reservation  reservation        [.] internal/poll.(*FD).writeUnlock
     0.06%  reservation  [kernel.kallsyms]  [k] br_nf_pre_routing_finish
     0.06%  reservation  reservation        [.] runtime.(*spanSet).push
     0.06%  reservation  reservation        [.] fmt.(*readRune).UnreadRune
     0.06%  reservation  reservation        [.] runtime.duffcopy
     0.06%  reservation  reservation        [.] github.com/rs/zerolog.ConsoleWriter.writePart
     0.06%  reservation  [kernel.kallsyms]  [k] _cond_resched
     0.06%  reservation  reservation        [.] runtime.pcdatavalue
     0.06%  reservation  [kernel.kallsyms]  [k] nf_nat_ipv4_local_fn
     0.06%  reservation  reservation        [.] strings.ToLower
     0.06%  reservation  reservation        [.] runtime.netpollblock
     0.06%  reservation  reservation        [.] sync.(*Mutex).Unlock
     0.06%  reservation  reservation        [.] internal/poll.(*fdMutex).rwunlock
     0.06%  reservation  reservation        [.] strings.genSplit
     0.06%  reservation  reservation        [.] runtime.closechan
     0.06%  reservation  [kernel.kallsyms]  [k] ctx_sched_out
     0.06%  reservation  reservation        [.] fmt.(*fmt).fmtInteger
     0.06%  reservation  reservation        [.] runtime.wirep
     0.06%  reservation  [kernel.kallsyms]  [k] __skb_datagram_iter
     0.06%  reservation  reservation        [.] fmt.Fscanf
     0.06%  reservation  [kernel.kallsyms]  [k] tcp_current_mss
     0.06%  reservation  reservation        [.] net.(*netFD).Write
     0.06%  reservation  reservation        [.] net.(*TCPConn).Read
     0.06%  reservation  [kernel.kallsyms]  [k] update_min_vruntime
     0.06%  reservation  [kernel.kallsyms]  [k] ip_output
     0.06%  reservation  reservation        [.] runtime.isSystemGoroutine
     0.06%  reservation  [kernel.kallsyms]  [k] conntrack_mt
     0.06%  reservation  reservation        [.] github.com/rs/zerolog/internal/json.Encoder.AppendString
     0.06%  reservation  reservation        [.] runtime.evacuate_faststr
     0.06%  reservation  reservation        [.] runtime.timeSleepUntil
     0.06%  reservation  reservation        [.] runtime.runqsteal
     0.06%  reservation  reservation        [.] runtime.pidleput
     0.06%  reservation  [kernel.kallsyms]  [k] flexible_sched_in
     0.06%  reservation  [kernel.kallsyms]  [k] __intel_pmu_enable_all.constprop.0
     0.06%  reservation  reservation        [.] context.WithValue
     0.06%  reservation  reservation        [.] internal/poll.(*fdMutex).rwlock
     0.06%  reservation  reservation        [.] context.(*valueCtx).Done
     0.06%  reservation  [kernel.kallsyms]  [k] tcp_poll
     0.06%  reservation  [kernel.kallsyms]  [k] br_allowed_ingress
     0.06%  reservation  [kernel.kallsyms]  [k] migrate_task_rq_fair
     0.06%  reservation  reservation        [.] golang.org/x/net/http2/hpack.(*Decoder).at
     0.06%  reservation  reservation        [.] bufio.(*Reader).fill
     0.06%  reservation  reservation        [.] fmt.(*ss).scanNumber
     0.06%  reservation  reservation        [.] strings.LastIndex
     0.06%  reservation  [kernel.kallsyms]  [k] eth_type_trans
     0.06%  reservation  reservation        [.] fmt.(*ss).scanInt
     0.06%  reservation  reservation        [.] context.(*valueCtx).Value
     0.06%  reservation  [kernel.kallsyms]  [k] check_preempt_wakeup
     0.06%  reservation  [kernel.kallsyms]  [k] native_apic_msr_eoi_write
     0.06%  reservation  reservation        [.] fmt.(*ss).getBase
     0.05%  reservation  reservation        [.] google.golang.org/grpc/transport.(*http2Server).itemHandler-fm
     0.05%  reservation  reservation        [.] encoding/json.stateInString
     0.05%  reservation  reservation        [.] runtime.convTstring
     0.05%  reservation  [kernel.kallsyms]  [k] place_entity
     0.05%  reservation  reservation        [.] syscall.Getenv
     0.05%  reservation  reservation        [.] github.com/uber/jaeger-client-go.(*Tracer).StartSpan
     0.05%  reservation  [kernel.kallsyms]  [k] do_nanosleep
     0.05%  reservation  [kernel.kallsyms]  [k] intel_pmu_disable_all
     0.05%  reservation  reservation        [.] reflect.makeString
     0.05%  reservation  reservation        [.] internal/poll.runtime_pollSetDeadline
     0.05%  reservation  [kernel.kallsyms]  [k] update_blocked_averages
     0.05%  reservation  reservation        [.] golang.org/x/net/http2.(*Framer).readMetaFrame
     0.05%  reservation  reservation        [.] time.atoi
     0.05%  reservation  reservation        [.] github.com/bradfitz/gomemcache/memcache.parseGetResponse
     0.05%  reservation  [kernel.kallsyms]  [k] brnf_get_logical_dev
     0.05%  reservation  reservation        [.] runtime.(*mcentral).grow
     0.05%  reservation  reservation        [.] github.com/bradfitz/gomemcache/memcache.(*Client).withAddrRw
     0.05%  reservation  [kernel.kallsyms]  [k] ip_finish_output
     0.05%  reservation  reservation        [.] runtime.selunlock
     0.05%  reservation  [kernel.kallsyms]  [k] inode_permission
     0.05%  reservation  reservation        [.] fmt.(*fmt).pad
