# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 150K of event 'cycles'
# Event count (approx.): 203462796398
#
# Overhead  Command          Shared Object            Symbol                                                                                                                                                                                                                                                                                                                                                                                                                
# ........  ...............  .......................  ......................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.21%  dockerd          dockerd                  [.] github.com/docker/docker/daemon/logger/jsonfilelog/jsonlog.ffjsonWriteJSONBytesAsString
     0.21%  wrk              wrk                      [.] http_parser_execute
     0.20%  dockerd          [kernel.kallsyms]        [k] entry_SYSCALL_64
     0.20%  geo              [kernel.kallsyms]        [k] do_syscall_64
     0.20%  wrk              libc-2.31.so             [.] __printf_fp_l
     0.19%  docker-proxy     [kernel.kallsyms]        [k] psi_task_change
     0.19%  wrk              wrk                      [.] lj_BC_TGETS
     0.19%  swapper          [kernel.kallsyms]        [k] update_load_avg
     0.19%  swapper          [kernel.kallsyms]        [k] __update_load_avg_cfs_rq
     0.18%  containerd-shim  [kernel.kallsyms]        [k] syscall_return_via_sysret
     0.18%  frontend         frontend                 [.] runtime.gentraceback
     0.18%  swapper          [kernel.kallsyms]        [k] native_queued_spin_lock_slowpath
     0.18%  frontend         frontend                 [.] encoding/json.(*Decoder).readValue
     0.18%  geo              geo                      [.] runtime.stealWork
     0.17%  recommendation   recommendation           [.] runtime.step
     0.17%  frontend         frontend                 [.] runtime.selectgo
     0.17%  geo              geo                      [.] runtime.pcvalue
     0.17%  frontend         frontend                 [.] aeshashbody
     0.17%  search           search                   [.] runtime.gentraceback
     0.17%  frontend         [kernel.kallsyms]        [k] entry_SYSCALL_64
     0.17%  dockerd          [kernel.kallsyms]        [k] syscall_return_via_sysret
     0.16%  dockerd          dockerd                  [.] runtime.memmove
     0.16%  frontend         frontend                 [.] runtime.findObject
     0.16%  docker-proxy     [kernel.kallsyms]        [k] entry_SYSCALL_64
     0.16%  docker-proxy     docker-proxy             [.] runtime.stealWork
     0.16%  frontend         frontend                 [.] runtime.mapaccess1_faststr
     0.15%  frontend         frontend                 [.] runtime.newobject
     0.15%  search           search                   [.] runtime.selectgo
     0.15%  wrk              [kernel.kallsyms]        [k] psi_task_change
     0.15%  wrk              wrk                      [.] aeProcessEvents
     0.15%  search           [kernel.kallsyms]        [k] entry_SYSCALL_64
     0.15%  recommendation   [kernel.kallsyms]        [k] do_syscall_64
     0.15%  search           search                   [.] encoding/json.(*Decoder).readValue
     0.15%  dockerd          dockerd                  [.] time.Time.appendFormat
     0.14%  geo              geo                      [.] runtime.heapBitsSetType
     0.14%  geo              [kernel.kallsyms]        [k] psi_task_change
     0.14%  geo              geo                      [.] runtime.mallocgc
     0.14%  frontend         frontend                 [.] net/url.unescape
     0.13%  swapper          [kernel.kallsyms]        [k] psi_task_change
     0.13%  frontend         frontend                 [.] fmt.(*pp).doPrintf
     0.13%  swapper          [kernel.kallsyms]        [k] load_new_mm_cr3
     0.13%  search           search                   [.] runtime.findObject
     0.13%  frontend         frontend                 [.] compress/flate.(*huffmanEncoder).generate
     0.13%  swapper          [kernel.kallsyms]        [k] __switch_to_asm
     0.13%  frontend         frontend                 [.] runtime.mapassign_faststr
     0.13%  frontend         [kernel.kallsyms]        [k] syscall_return_via_sysret
     0.13%  search           search                   [.] aeshashbody
     0.13%  search           search                   [.] runtime.newobject
     0.13%  frontend         frontend                 [.] compress/flate.(*huffmanEncoder).bitLength
     0.12%  frontend         frontend                 [.] runtime.mapiternext
     0.12%  recommendation   recommendation           [.] runtime.stealWork
     0.12%  frontend         frontend                 [.] runtime.findfunc
     0.12%  docker-proxy     [kernel.kallsyms]        [k] __fget_light
     0.12%  docker-proxy     [kernel.kallsyms]        [k] syscall_return_via_sysret
     0.12%  swapper          [kernel.kallsyms]        [k] cpuidle_enter_state
     0.12%  frontend         frontend                 [.] runtime.growslice
     0.12%  frontend         frontend                 [.] runtime.casgstatus
     0.12%  swapper          [kernel.kallsyms]        [k] native_write_msr
     0.12%  dockerd          [kernel.kallsyms]        [k] update_load_avg
     0.12%  wrk              [kernel.kallsyms]        [k] __fget_light
     0.12%  dockerd          dockerd                  [.] time.nextStdChunk
     0.12%  search           search                   [.] runtime.findfunc
     0.11%  search           search                   [.] time.nextStdChunk
     0.11%  frontend         [vdso]                   [.] __vdso_clock_gettime
     0.11%  search           search                   [.] fmt.(*pp).doPrintf
     0.11%  frontend         frontend                 [.] runtime.mapassign
     0.11%  search           search                   [.] path/filepath.Clean
     0.11%  wrk              libc-2.31.so             [.] __mpn_divrem
     0.11%  dockerd          dockerd                  [.] runtime.findRunnable
     0.11%  frontend         [kernel.kallsyms]        [k] psi_task_change
     0.11%  search           search                   [.] time.Time.AppendFormat
     0.11%  frontend         frontend                 [.] path/filepath.Clean
     0.11%  wrk              [kernel.kallsyms]        [k] entry_SYSCALL_64
     0.11%  recommendation   [kernel.kallsyms]        [k] psi_task_change
     0.11%  wrk              [kernel.kallsyms]        [k] syscall_return_via_sysret
     0.11%  frontend         frontend                 [.] time.Time.AppendFormat
     0.11%  swapper          [kernel.kallsyms]        [k] read_tsc
     0.11%  swapper          [kernel.kallsyms]        [k] pick_next_entity
     0.11%  swapper          [kernel.kallsyms]        [k] find_next_bit
     0.11%  recommendation   recommendation           [.] runtime.heapBitsSetType
     0.11%  dockerd          dockerd                  [.] runtime.mallocgc
     0.11%  frontend         frontend                 [.] compress/flate.(*huffmanBitWriter).generateCodegen
     0.10%  search           [kernel.kallsyms]        [k] syscall_return_via_sysret
     0.10%  swapper          [kernel.kallsyms]        [k] __next_timer_interrupt
     0.10%  search           search                   [.] runtime.growslice
     0.10%  recommendation   recommendation           [.] runtime.mallocgc
     0.10%  search           [kernel.kallsyms]        [k] psi_task_change
     0.10%  frontend         frontend                 [.] runtime.lock2
     0.10%  frontend         frontend                 [.] time.nextStdChunk
     0.10%  search           search                   [.] runtime.mapaccess1
     0.10%  recommendation   recommendation           [.] runtime.pcvalue
     0.10%  frontend         [kernel.kallsyms]        [k] __fget_light
     0.10%  swapper          [kernel.kallsyms]        [k] nr_iowait_cpu
     0.10%  frontend         frontend                 [.] runtime.greyobject
     0.10%  swapper          [kernel.kallsyms]        [k] __switch_to
     0.09%  search           search                   [.] runtime.mapassign
     0.09%  frontend         frontend                 [.] runtime.mapaccess1
     0.09%  containerd-shim  [kernel.kallsyms]        [k] update_cfs_group
     0.09%  frontend         frontend                 [.] indexbytebody
     0.09%  search           search                   [.] compress/flate.(*huffmanEncoder).bitCounts
     0.09%  swapper          [kernel.kallsyms]        [k] apic_timer_interrupt
     0.09%  containerd-shim  [kernel.kallsyms]        [k] update_load_avg
     0.09%  wrk              libc-2.31.so             [.] __vfprintf_internal
     0.09%  frontend         frontend                 [.] runtime.(*itabTableType).find
     0.09%  search           search                   [.] encoding/json.(*decodeState).object
     0.09%  docker-proxy     [kernel.kallsyms]        [k] __nf_conntrack_find_get
     0.09%  docker-proxy     [kernel.kallsyms]        [k] update_load_avg
     0.09%  geo              [kernel.kallsyms]        [k] entry_SYSCALL_64
     0.09%  dockerd          [kernel.kallsyms]        [k] update_cfs_group
     0.09%  search           search                   [.] runtime.mapiternext
     0.09%  search           search                   [.] compress/flate.(*huffmanBitWriter).generateCodegen
     0.08%  search           search                   [.] encoding/json.(*decodeState).rescanLiteral
     0.08%  frontend         frontend                 [.] encoding/json.(*decodeState).rescanLiteral
     0.08%  dockerd          [kernel.kallsyms]        [k] __fget_light
     0.08%  dockerd          dockerd                  [.] runtime.checkTimers
     0.08%  swapper          [kernel.kallsyms]        [k] native_sched_clock
     0.08%  containerd-shim  [kernel.kallsyms]        [k] __fget_light
     0.08%  search           search                   [.] runtime.unlock2
     0.08%  frontend         [kernel.kallsyms]        [k] __nf_conntrack_find_get
     0.08%  swapper          [kernel.kallsyms]        [k] _raw_spin_lock
     0.08%  wrk              wrk                      [.] lj_alloc_malloc
     0.08%  dockerd          [kernel.kallsyms]        [k] try_to_wake_up
     0.08%  frontend         frontend                 [.] time.parse
     0.08%  search           search                   [.] runtime.casgstatus
     0.08%  search           search                   [.] runtime.(*itabTableType).find
     0.08%  frontend         frontend                 [.] encoding/json.unquoteBytes
     0.08%  swapper          [kernel.kallsyms]        [k] _raw_spin_lock_irqsave
     0.08%  search           search                   [.] time.parse
     0.08%  frontend         frontend                 [.] path/filepath.Rel
     0.08%  swapper          [kernel.kallsyms]        [k] rb_next
     0.07%  search           search                   [.] fmt.(*pp).printArg
     0.07%  swapper          [kernel.kallsyms]        [k] pick_next_task_fair
     0.07%  geo              geo                      [.] runtime.gentraceback
     0.07%  dockerd          [kernel.kallsyms]        [k] __schedule
     0.07%  search           search                   [.] runtime.greyobject
     0.07%  wrk              [vdso]                   [.] gettimeofday
     0.07%  frontend         frontend                 [.] encoding/json.(*decodeState).object
     0.07%  dockerd          dockerd                  [.] runtime.casgstatus
     0.07%  search           search                   [.] path/filepath.Rel
     0.07%  geo              geo                      [.] golang.org/x/net/http2/hpack.huffmanDecode
     0.07%  geo              geo                      [.] runtime.nextFreeFast
     0.07%  dockerd          dockerd                  [.] github.com/docker/docker/pkg/ioutils.(*BytesPipe).Write
     0.07%  frontend         frontend                 [.] runtime.wbBufFlush1
     0.07%  frontend         frontend                 [.] compress/flate.(*compressor).deflate
     0.07%  frontend         frontend                 [.] sort.insertionSort
     0.07%  search           search                   [.] compress/flate.(*huffmanEncoder).generate
     0.07%  frontend         frontend                 [.] runtime.unlock2
     0.07%  wrk              wrk                      [.] gc_sweep
     0.07%  containerd-shim  [kernel.kallsyms]        [k] __schedule
     0.07%  search           search                   [.] compress/flate.(*huffmanEncoder).bitLength
     0.07%  frontend         frontend                 [.] fmt.(*pp).printArg
     0.07%  docker-proxy     docker-proxy             [.] runtime.findRunnable
     0.07%  frontend         frontend                 [.] runtime.schedule
     0.07%  frontend         frontend                 [.] encoding/json.stateInString
     0.07%  search           search                   [.] runtime.lock2
     0.07%  search           search                   [.] encoding/json.unquoteBytes
     0.07%  frontend         frontend                 [.] google.golang.org/grpc/transport.(*http2Client).NewStream
     0.07%  search           search                   [.] memeqbody
     0.07%  wrk              wrk                      [.] lj_alloc_free
     0.07%  containerd-shim  [kernel.kallsyms]        [k] ep_poll_callback
     0.07%  search           search                   [.] runtime.adjustframe
     0.07%  search           search                   [.] runtime.mapaccess1_faststr
     0.07%  frontend         frontend                 [.] runtime.mapaccess2_faststr
     0.07%  frontend         frontend                 [.] memeqbody
     0.06%  dockerd          dockerd                  [.] github.com/docker/docker/daemon/logger.(*Copier).copySrc
     0.06%  containerd-shim  [kernel.kallsyms]        [k] pipe_poll
     0.06%  wrk              [kernel.kallsyms]        [k] sock_poll
     0.06%  dockerd          dockerd                  [.] bytes.(*Buffer).WriteString
     0.06%  geo              geo                      [.] runtime.memmove
     0.06%  search           [kernel.kallsyms]        [k] __fget_light
     0.06%  containerd-shim  [kernel.kallsyms]        [k] ep_send_events_proc
     0.06%  dockerd          [vdso]                   [.] __vdso_clock_gettime
     0.06%  search           search                   [.] runtime.wbBufFlush1
     0.06%  containerd-shim  [kernel.kallsyms]        [k] update_curr
     0.06%  geo              geo                      [.] runtime.adjustframe
     0.06%  containerd-shim  [kernel.kallsyms]        [k] timerqueue_add
     0.06%  frontend         frontend                 [.] compress/flate.(*byFreq).Less
     0.06%  recommendation   [kernel.kallsyms]        [k] entry_SYSCALL_64
     0.06%  search           search                   [.] google.golang.org/grpc/transport.(*http2Client).NewStream
     0.06%  swapper          [kernel.kallsyms]        [k] ktime_get
     0.06%  frontend         frontend                 [.] runtime.gcWriteBarrier
     0.06%  search           search                   [.] runtime.getStackMap
     0.06%  swapper          [kernel.kallsyms]        [k] enqueue_entity
     0.06%  wrk              libc-2.31.so             [.] hack_digit
     0.06%  docker-proxy     [kernel.kallsyms]        [k] update_cfs_group
     0.06%  geo              [kernel.kallsyms]        [k] update_load_avg
     0.06%  search           search                   [.] time.appendInt
     0.06%  containerd-shim  [kernel.kallsyms]        [k] __update_load_avg_cfs_rq
     0.06%  docker-proxy     docker-proxy             [.] internal/poll.spliceDrain
     0.06%  frontend         [kernel.kallsyms]        [k] update_load_avg
     0.06%  search           [kernel.kallsyms]        [k] update_load_avg
     0.06%  geo              geo                      [.] runtime.scanobject
     0.06%  frontend         frontend                 [.] runtime.gcmarknewobject
     0.06%  recommendation   recommendation           [.] runtime.nextFreeFast
     0.06%  frontend         frontend                 [.] fmt.(*fmt).fmtInteger
     0.06%  geo              geo                      [.] runtime.findfunc
     0.06%  search           search                   [.] runtime.mapaccess2
     0.06%  search           search                   [.] runtime.stealWork
     0.06%  swapper          [kernel.kallsyms]        [k] enqueue_task_fair
     0.06%  geo              geo                      [.] runtime.findrunnable
     0.06%  dockerd          dockerd                  [.] bytes.(*Buffer).WriteByte
     0.06%  search           search                   [.] encoding/json.stateInString
     0.06%  frontend         frontend                 [.] google.golang.org/grpc.newClientStream
     0.06%  frontend         [kernel.kallsyms]        [k] nf_hook_slow
     0.06%  dockerd          [kernel.kallsyms]        [k] native_queued_spin_lock_slowpath
     0.06%  frontend         frontend                 [.] golang.org/x/net/http2/hpack.AppendHuffmanString
     0.06%  dockerd          [kernel.kallsyms]        [k] update_curr
     0.06%  dockerd          [kernel.kallsyms]        [k] reweight_entity
     0.06%  recommendation   recommendation           [.] golang.org/x/net/http2/hpack.huffmanDecode
     0.05%  dockerd          dockerd                  [.] runtime.lock2
     0.05%  swapper          [kernel.kallsyms]        [k] cpuidle_not_available
     0.05%  containerd-shim  [kernel.kallsyms]        [k] switch_fpu_return
     0.05%  frontend         [kernel.kallsyms]        [k] ep_poll_callback
     0.05%  dockerd          [kernel.kallsyms]        [k] __update_load_avg_cfs_rq
     0.05%  wrk              wrk                      [.] lj_cf_string_format
     0.05%  search           search                   [.] runtime.bulkBarrierPreWrite
     0.05%  frontend         frontend                 [.] net/textproto.CanonicalMIMEHeaderKey
     0.05%  frontend         [kernel.kallsyms]        [k] __tcp_transmit_skb
     0.05%  search           search                   [.] runtime.duffzero
     0.05%  frontend         frontend                 [.] runtime.mapiterinit
     0.05%  frontend         frontend                 [.] time.appendInt
     0.05%  dockerd          dockerd                  [.] time.appendInt
     0.05%  wrk              libc-2.31.so             [.] epoll_wait
     0.05%  swapper          [kernel.kallsyms]        [k] __hrtimer_next_event_base
     0.05%  search           [vdso]                   [.] __vdso_clock_gettime
     0.05%  search           search                   [.] golang.org/x/net/http2/hpack.huffmanDecode
     0.05%  recommendation   [kernel.kallsyms]        [k] syscall_return_via_sysret
     0.05%  dockerd          [kernel.kallsyms]        [k] select_task_rq_fair
     0.05%  recommendation   [kernel.kallsyms]        [k] update_load_avg
     0.05%  wrk              [kernel.kallsyms]        [k] tcp_poll
     0.05%  geo              [kernel.kallsyms]        [k] syscall_return_via_sysret
     0.05%  frontend         [kernel.kallsyms]        [k] __netif_receive_skb_core
     0.05%  geo              geo                      [.] runtime.getStackMap
     0.05%  containerd-shim  [kernel.kallsyms]        [k] reweight_entity
     0.05%  dockerd          [kernel.kallsyms]        [k] ep_poll_callback
     0.05%  frontend         [kernel.kallsyms]        [k] tcp_recvmsg
     0.05%  search           [kernel.kallsyms]        [k] ipt_do_table
     0.05%  containerd-shim  [kernel.kallsyms]        [k] _raw_spin_lock_irqsave
     0.05%  frontend         frontend                 [.] sync.(*RWMutex).Lock
     0.05%  frontend         frontend                 [.] github.com/rs/zerolog/internal/json.Encoder.AppendString
     0.05%  swapper          [kernel.kallsyms]        [k] tick_nohz_next_event
     0.05%  docker-proxy     docker-proxy             [.] runtime.casgstatus
     0.05%  frontend         frontend                 [.] github.com/uber/jaeger-client-go.(*Tracer).startSpanWithOptions
     0.05%  search           [kernel.kallsyms]        [k] nf_hook_slow
     0.05%  swapper          [kernel.kallsyms]        [k] pm_qos_request
     0.05%  frontend         [kernel.kallsyms]        [k] ipt_do_table
     0.05%  docker-proxy     [kernel.kallsyms]        [k] __tcp_transmit_skb
     0.05%  geo              geo                      [.] runtime.selectgo
     0.05%  recommendation   recommendation           [.] runtime.memmove
     0.05%  swapper          [kernel.kallsyms]        [k] update_cfs_group
     0.05%  frontend         [kernel.kallsyms]        [k] veth_xmit
     0.05%  frontend         frontend                 [.] net/url.parseQuery
     0.05%  containerd-shim  [kernel.kallsyms]        [k] cpuacct_charge
     0.05%  containerd-shim  [kernel.kallsyms]        [k] __switch_to
     0.05%  containerd-shim  [kernel.kallsyms]        [k] pipe_read
     0.05%  wrk              [kernel.kallsyms]        [k] __schedule
     0.05%  dockerd          [kernel.kallsyms]        [k] enqueue_task_fair
     0.05%  dockerd          [kernel.kallsyms]        [k] ext4_do_update_inode
     0.05%  search           search                   [.] github.com/uber/jaeger-client-go.(*Tracer).startSpanWithOptions
     0.05%  frontend         [kernel.kallsyms]        [k] ip_finish_output2
     0.05%  frontend         frontend                 [.] runtime.getStackMap
     0.05%  frontend         frontend                 [.] runtime.mapaccess2
     0.05%  swapper          [kernel.kallsyms]        [k] __update_load_avg_se
     0.05%  search           [kernel.kallsyms]        [k] __nf_conntrack_find_get
     0.05%  frontend         [kernel.kallsyms]        [k] tcp_sendmsg_locked
     0.05%  dockerd          [kernel.kallsyms]        [k] available_idle_cpu
     0.05%  wrk              wrk                      [.] lj_BC_CALL
     0.05%  frontend         [kernel.kallsyms]        [k] kmem_cache_alloc
     0.05%  search           [kernel.kallsyms]        [k] __tcp_transmit_skb
     0.05%  containerd-shim  [kernel.kallsyms]        [k] ep_poll
     0.05%  frontend         frontend                 [.] google.golang.org/grpc/transport.(*http2Client).itemHandler
     0.05%  geo              [kernel.kallsyms]        [k] update_cfs_group
     0.05%  wrk              libc-2.31.so             [.] __memcpy_avx_unaligned_erms
     0.05%  swapper          [kernel.kallsyms]        [k] rcu_idle_exit
     0.05%  geo              geo                      [.] runtime.casgstatus
     0.05%  frontend         [kernel.kallsyms]        [k] tcp_ack
     0.05%  frontend         frontend                 [.] runtime.sellock
     0.05%  search           [kernel.kallsyms]        [k] enqueue_task_fair
     0.05%  swapper          [kernel.kallsyms]        [k] menu_reflect
     0.05%  search           search                   [.] runtime.mapassign_faststr
     0.05%  search           search                   [.] runtime.adjustpointers
     0.05%  wrk              [kernel.kallsyms]        [k] ep_poll
     0.05%  geo              [kernel.kallsyms]        [k] __schedule
     0.05%  docker-proxy     [kernel.kallsyms]        [k] _raw_spin_lock_bh
     0.05%  geo              geo                      [.] golang.org/x/net/http2.(*Framer).readMetaFrame.func1
     0.05%  frontend         frontend                 [.] sort.quickSort
     0.05%  dockerd          [kernel.kallsyms]        [k] _raw_spin_lock_irqsave
     0.05%  docker-proxy     [kernel.kallsyms]        [k] __inet_lookup_established
     0.05%  recommendation   recommendation           [.] runtime.gentraceback
     0.05%  docker-proxy     [kernel.kallsyms]        [k] sock_poll
     0.05%  search           search                   [.] golang.org/x/net/http2.(*Framer).readMetaFrame.func1
     0.05%  frontend         frontend                 [.] internal/poll.(*FD).Read
     0.05%  dockerd          dockerd                  [.] runtime.netpoll
     0.05%  swapper          [kernel.kallsyms]        [k] rcu_idle_enter
     0.05%  geo              geo                      [.] runtime.mapaccess1
     0.04%  wrk              [kernel.kallsyms]        [k] ep_send_events_proc
     0.04%  search           search                   [.] runtime.schedule
     0.04%  frontend         [kernel.kallsyms]        [k] __inet_lookup_established
     0.04%  search           [kernel.kallsyms]        [k] update_cfs_group
     0.04%  frontend         [kernel.kallsyms]        [k] tcp_v4_rcv
     0.04%  frontend         frontend                 [.] sync.(*Pool).Put
     0.04%  frontend         frontend                 [.] google.golang.org/grpc.(*clientStream).RecvMsg
     0.04%  frontend         [kernel.kallsyms]        [k] tcp_write_xmit
     0.04%  recommendation   recommendation           [.] runtime.selectgo
     0.04%  frontend         [kernel.kallsyms]        [k] kmem_cache_free
     0.04%  dockerd          [kernel.kallsyms]        [k] switch_fpu_return
     0.04%  containerd-shim  [kernel.kallsyms]        [k] __update_load_avg_se
     0.04%  dockerd          dockerd                  [.] internal/poll.(*FD).Read
     0.04%  wrk              [kernel.kallsyms]        [k] ipt_do_table
     0.04%  geo              geo                      [.] runtime.adjustpointers
     0.04%  frontend         [kernel.kallsyms]        [k] nf_conntrack_in
     0.04%  frontend         frontend                 [.] runtime.adjustframe
     0.04%  containerd-shim  [vdso]                   [.] __vdso_clock_gettime
     0.04%  frontend         [kernel.kallsyms]        [k] memset_erms
     0.04%  search           [kernel.kallsyms]        [k] kmem_cache_free
     0.04%  dockerd          [kernel.kallsyms]        [k] __switch_to
     0.04%  docker-proxy     [kernel.kallsyms]        [k] __schedule
     0.04%  frontend         frontend                 [.] runtime.mapdelete
     0.04%  frontend         frontend                 [.] github.com/rs/zerolog.ConsoleWriter.Write
     0.04%  search           search                   [.] runtime.(*mheap).allocSpan
     0.04%  frontend         [kernel.kallsyms]        [k] copy_user_enhanced_fast_string
     0.04%  search           search                   [.] runtime.(*spanSet).push
     0.04%  frontend         [kernel.kallsyms]        [k] tcp_in_window
     0.04%  geo              [vdso]                   [.] __vdso_clock_gettime
     0.04%  wrk              [kernel.kallsyms]        [k] timerqueue_add
     0.04%  frontend         frontend                 [.] runtime.duffzero
     0.04%  docker-proxy     [kernel.kallsyms]        [k] nf_conntrack_in
     0.04%  search           [kernel.kallsyms]        [k] veth_xmit
     0.04%  recommendation   recommendation           [.] runtime.adjustframe
     0.04%  docker-proxy     docker-proxy             [.] runtime.netpoll
     0.04%  docker-proxy     [kernel.kallsyms]        [k] ipt_do_table
     0.04%  frontend         frontend                 [.] runtime.(*spanSet).push
     0.04%  dockerd          dockerd                  [.] runtime.pidleget
     0.04%  search           search                   [.] runtime.reentersyscall
     0.04%  docker-proxy     [kernel.kallsyms]        [k] ep_poll_callback
     0.04%  search           search                   [.] runtime.gcWriteBarrier
     0.04%  search           [kernel.kallsyms]        [k] select_task_rq_fair
     0.04%  search           search                   [.] github.com/rs/zerolog/internal/json.Encoder.AppendString
     0.04%  frontend         frontend                 [.] net/http.(*conn).readRequest
     0.04%  search           search                   [.] github.com/rs/zerolog.ConsoleWriter.Write
     0.04%  frontend         frontend                 [.] sort.doPivot
     0.04%  frontend         frontend                 [.] sync.(*Pool).Get
     0.04%  docker-proxy     [kernel.kallsyms]        [k] update_curr
     0.04%  swapper          [kernel.kallsyms]        [k] rb_erase
     0.04%  dockerd          dockerd                  [.] sync.(*Pool).Get
     0.04%  frontend         [kernel.kallsyms]        [k] br_nf_pre_routing
     0.04%  dockerd          [kernel.kallsyms]        [k] timerqueue_add
     0.04%  frontend         frontend                 [.] context.(*cancelCtx).Done
     0.04%  frontend         [kernel.kallsyms]        [k] update_cfs_group
     0.04%  dockerd          [kernel.kallsyms]        [k] copy_user_enhanced_fast_string
     0.04%  frontend         frontend                 [.] sync.(*Pool).pin
     0.04%  recommendation   recommendation           [.] runtime.findrunnable
     0.04%  containerd-shim  [kernel.kallsyms]        [k] _raw_read_unlock_irqrestore
     0.04%  recommendation   recommendation           [.] runtime.findfunc
     0.04%  frontend         [kernel.kallsyms]        [k] try_to_wake_up
     0.04%  frontend         frontend                 [.] runtime.(*spanSet).pop
     0.04%  containerd-shim  [kernel.kallsyms]        [k] entry_SYSCALL_64_after_hwframe
     0.04%  containerd-shim  [kernel.kallsyms]        [k] copy_user_enhanced_fast_string
     0.04%  wrk              [kernel.kallsyms]        [k] switch_fpu_return
     0.04%  search           search                   [.] sync.(*Pool).Get
     0.04%  geo              geo                      [.] aeshashbody
     0.04%  search           search                   [.] fmt.(*fmt).fmtInteger
     0.04%  frontend         [kernel.kallsyms]        [k] kmem_cache_alloc_node
     0.04%  dockerd          dockerd                  [.] github.com/docker/docker/pkg/ioutils.(*BytesPipe).Read
     0.04%  frontend         [kernel.kallsyms]        [k] nf_conntrack_tcp_packet
     0.04%  frontend         frontend                 [.] net/http.(*chunkWriter).writeHeader
     0.04%  dockerd          [kernel.kallsyms]        [k] enqueue_entity
     0.04%  frontend         frontend                 [.] runtime.typedmemmove
     0.04%  containerd-shim  [kernel.kallsyms]        [k] try_to_wake_up
     0.04%  search           search                   [.] runtime.gcmarknewobject
     0.04%  frontend         [kernel.kallsyms]        [k] br_handle_frame
     0.04%  search           search                   [.] runtime.findrunnable
     0.04%  docker-proxy     [kernel.kallsyms]        [k] tcp_ack
     0.04%  dockerd          [kernel.kallsyms]        [k] __update_load_avg_se
     0.04%  frontend         frontend                 [.] runtime.exitsyscall
     0.04%  frontend         frontend                 [.] github.com/opentracing-contrib/go-stdlib/nethttp.Middleware.func2
     0.04%  frontend         [kernel.kallsyms]        [k] _raw_spin_lock
     0.04%  containerd-shim  [kernel.kallsyms]        [k] enqueue_entity
     0.04%  docker-proxy     [kernel.kallsyms]        [k] __wake_up_common
     0.04%  wrk              [kernel.kallsyms]        [k] __x64_sys_epoll_ctl
     0.04%  search           [kernel.kallsyms]        [k] ep_poll_callback
     0.04%  dockerd          [kernel.kallsyms]        [k] pipe_read
     0.04%  search           search                   [.] github.com/rs/zerolog.ConsoleWriter.writePart
     0.04%  search           [kernel.kallsyms]        [k] nf_conntrack_tcp_packet
     0.04%  geo              geo                      [.] runtime.memclrNoHeapPointers
     0.04%  wrk              [kernel.kallsyms]        [k] tcp_sendmsg_locked
     0.04%  containerd-shim  [kernel.kallsyms]        [k] mutex_lock
     0.04%  dockerd          [kernel.kallsyms]        [k] mutex_lock
