# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 14K of event 'cycles'
# Event count (approx.): 2791314818
#
# Overhead  Command          Shared Object          Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ...............  .....................  ............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.54%  HomeTimelineSer  HomeTimelineService    [.] jaegertracing::propagation::Propagator<opentracing::v2::TextMapReader const&, opentracing::v2::TextMapWriter const&>::extract(opentracing::v2::TextMapReader const&) const::{lambda(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)#1}::operator()
     0.53%  HomeTimelineSer  [kernel.kallsyms]      [k] skb_release_data
     0.53%  HomeTimelineSer  [kernel.kallsyms]      [k] tcp_recvmsg
     0.53%  HomeTimelineSer  [kernel.kallsyms]      [k] tcp_send_delayed_ack
     0.53%  HomeTimelineSer  [kernel.kallsyms]      [k] do_softirq.part.0
     0.53%  HomeTimelineSer  [kernel.kallsyms]      [k] read_tsc
     0.52%  HomeTimelineSer  [kernel.kallsyms]      [k] enqueue_to_backlog
     0.51%  HomeTimelineSer  [kernel.kallsyms]      [k] br_nf_pre_routing_finish
     0.49%  HomeTimelineSer  [kernel.kallsyms]      [k] enqueue_task_fair
     0.48%  HomeTimelineSer  [kernel.kallsyms]      [k] __kmalloc_node_track_caller
     0.48%  HomeTimelineSer  [kernel.kallsyms]      [k] entry_SYSCALL_64
     0.47%  HomeTimelineSer  libpthread-2.23.so     [.] recv
     0.44%  HomeTimelineSer  [kernel.kallsyms]      [k] enqueue_entity
     0.44%  HomeTimelineSer  [kernel.kallsyms]      [k] update_load_avg
     0.43%  HomeTimelineSer  [kernel.kallsyms]      [k] __tcp_transmit_skb
     0.43%  HomeTimelineSer  [kernel.kallsyms]      [k] ip_finish_output
     0.43%  HomeTimelineSer  [kernel.kallsyms]      [k] aa_label_next_confined
     0.43%  HomeTimelineSer  [kernel.kallsyms]      [k] __x64_sys_poll
     0.42%  HomeTimelineSer  [kernel.kallsyms]      [k] __seccomp_filter
     0.40%  HomeTimelineSer  [kernel.kallsyms]      [k] nf_conntrack_in
     0.40%  HomeTimelineSer  [kernel.kallsyms]      [k] __xfrm_decode_session
     0.40%  HomeTimelineSer  HomeTimelineService    [.] apache::thrift::protocol::TVirtualProtocol<apache::thrift::protocol::TBinaryProtocolT<apache::thrift::transport::TTransport, apache::thrift::protocol::TNetworkBigEndian>, apache::thrift::protocol::TProtocolDefaults>::readString_virt
     0.39%  HomeTimelineSer  [kernel.kallsyms]      [k] update_cfs_group
     0.38%  HomeTimelineSer  libthrift.so.0.12.0    [.] apache::thrift::transport::TFramedTransport::isOpen
     0.38%  HomeTimelineSer  HomeTimelineService    [.] social_network::Url::read
     0.38%  HomeTimelineSer  [kernel.kallsyms]      [k] __sys_recvfrom
     0.36%  HomeTimelineSer  [kernel.kallsyms]      [k] tcp_ack
     0.36%  HomeTimelineSer  HomeTimelineService    [.] std::vector<social_network::UserMention, std::allocator<social_network::UserMention> >::_M_default_append
     0.34%  HomeTimelineSer  libjaegertracing.so.0  [.] jaegertracing::SpanContext::fromStream
     0.34%  HomeTimelineSer  [kernel.kallsyms]      [k] kmem_cache_free
     0.34%  HomeTimelineSer  [kernel.kallsyms]      [k] __dev_queue_xmit
     0.34%  HomeTimelineSer  [kernel.kallsyms]      [k] skb_release_all
     0.34%  HomeTimelineSer  libc-2.23.so           [.] __strtol_l
     0.34%  HomeTimelineSer  [kernel.kallsyms]      [k] visit_groups_merge
     0.33%  HomeTimelineSer  [kernel.kallsyms]      [k] nf_xfrm_me_harder
     0.32%  HomeTimelineSer  [kernel.kallsyms]      [k] get_l4proto
     0.32%  HomeTimelineSer  [kernel.kallsyms]      [k] __inet_lookup_established
     0.32%  HomeTimelineSer  [kernel.kallsyms]      [k] migrate_task_rq_fair
     0.31%  HomeTimelineSer  [kernel.kallsyms]      [k] br_handle_frame_finish
     0.31%  HomeTimelineSer  [kernel.kallsyms]      [k] __fget_light
     0.31%  HomeTimelineSer  HomeTimelineService    [.] social_network::UserMention::read
     0.30%  HomeTimelineSer  libthrift.so.0.12.0    [.] apache::thrift::transport::TSocket::read
     0.29%  HomeTimelineSer  HomeTimelineService    [.] apache::thrift::protocol::TVirtualProtocol<apache::thrift::protocol::TBinaryProtocolT<apache::thrift::transport::TTransport, apache::thrift::protocol::TNetworkBigEndian>, apache::thrift::protocol::TProtocolDefaults>::readI64_virt
     0.29%  HomeTimelineSer  [kernel.kallsyms]      [k] br_nf_pre_routing
     0.29%  HomeTimelineSer  HomeTimelineService    [.] social_network::HomeTimelineServiceProcessor::process_ReadHomeTimeline
     0.29%  HomeTimelineSer  [kernel.kallsyms]      [k] perf_swevent_add
     0.29%  HomeTimelineSer  [kernel.kallsyms]      [k] kmem_cache_alloc
     0.29%  HomeTimelineSer  libstdc++.so.6.0.21    [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_mutate
     0.29%  HomeTimelineSer  [kernel.kallsyms]      [k] native_write_msr
     0.28%  HomeTimelineSer  HomeTimelineService    [.] apache::thrift::protocol::TVirtualProtocol<apache::thrift::protocol::TBinaryProtocolT<apache::thrift::transport::TTransport, apache::thrift::protocol::TNetworkBigEndian>, apache::thrift::protocol::TProtocolDefaults>::writeString_virt
     0.28%  HomeTimelineSer  [vdso]                 [.] __vdso_clock_gettime
     0.28%  HomeTimelineSer  HomeTimelineService    [.] std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release
     0.28%  HomeTimelineSer  [kernel.kallsyms]      [k] entry_SYSCALL_64_after_hwframe
     0.27%  HomeTimelineSer  [kernel.kallsyms]      [k] tcp_write_xmit
     0.26%  HomeTimelineSer  [kernel.kallsyms]      [k] tcp_v4_rcv
     0.26%  HomeTimelineSer  [kernel.kallsyms]      [k] nbp_switchdev_allowed_egress
     0.26%  HomeTimelineSer  [kernel.kallsyms]      [k] eth_type_trans
     0.26%  HomeTimelineSer  libc-2.23.so           [.] clock_gettime
     0.26%  HomeTimelineSer  [kernel.kallsyms]      [k] switch_fpu_return
     0.25%  HomeTimelineSer  HomeTimelineService    [.] social_network::HomeTimelineServiceProcessor::dispatchCall
     0.25%  HomeTimelineSer  [kernel.kallsyms]      [k] fput_many
     0.24%  HomeTimelineSer  HomeTimelineService    [.] social_network::Post::write
     0.24%  HomeTimelineSer  libjaegertracing.so.0  [.] opentracing::v2::Tracer::Global
     0.24%  HomeTimelineSer  [kernel.kallsyms]      [k] cpuacct_charge
     0.24%  HomeTimelineSer  [kernel.kallsyms]      [k] br_nf_hook_thresh
     0.23%  HomeTimelineSer  [kernel.kallsyms]      [k] do_sys_poll
     0.23%  HomeTimelineSer  [kernel.kallsyms]      [k] validate_xmit_skb
     0.23%  HomeTimelineSer  [kernel.kallsyms]      [k] __skb_datagram_iter
     0.22%  HomeTimelineSer  libpthread-2.23.so     [.] send
     0.22%  HomeTimelineSer  HomeTimelineService    [.] apache::thrift::protocol::TVirtualProtocol<apache::thrift::protocol::TBinaryProtocolT<apache::thrift::transport::TTransport, apache::thrift::protocol::TNetworkBigEndian>, apache::thrift::protocol::TProtocolDefaults>::readStructEnd_virt
     0.22%  HomeTimelineSer  [kernel.kallsyms]      [k] ipv4_conntrack_local
     0.22%  HomeTimelineSer  libjaegertracing.so.0  [.] jaegertracing::Span::FinishWithOptions
     0.21%  HomeTimelineSer  [kernel.kallsyms]      [k] __update_load_avg_se
     0.21%  HomeTimelineSer  [kernel.kallsyms]      [k] br_nf_dev_queue_xmit
     0.21%  HomeTimelineSer  [kernel.kallsyms]      [k] handle_response
     0.20%  HomeTimelineSer  [kernel.kallsyms]      [k] netif_rx_internal
     0.20%  HomeTimelineSer  [kernel.kallsyms]      [k] pskb_expand_head
     0.20%  HomeTimelineSer  HomeTimelineService    [.] social_network::HomeTimelineHandler::ReadHomeTimeline
     0.20%  HomeTimelineSer  HomeTimelineService    [.] social_network::PostStorageService_ReadPosts_presult::read
     0.20%  HomeTimelineSer  [kernel.kallsyms]      [k] tcp_data_queue
     0.20%  HomeTimelineSer  HomeTimelineService    [.] social_network::Creator::read
     0.19%  HomeTimelineSer  libc-2.23.so           [.] calloc
     0.19%  HomeTimelineSer  [kernel.kallsyms]      [k] tcp_sendmsg_locked
     0.19%  HomeTimelineSer  libstdc++.so.6.0.21    [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_create
     0.19%  HomeTimelineSer  HomeTimelineService    [.] jaegertracing::propagation::Propagator<opentracing::v2::TextMapReader const&, opentracing::v2::TextMapWriter const&>::inject
     0.19%  HomeTimelineSer  HomeTimelineService    [.] apache::thrift::protocol::TBinaryProtocolT<apache::thrift::transport::TTransport, apache::thrift::protocol::TNetworkBigEndian>::readStringBody<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >
     0.19%  HomeTimelineSer  libpthread-2.23.so     [.] pthread_mutex_unlock
     0.18%  HomeTimelineSer  [kernel.kallsyms]      [k] sock_poll
     0.18%  HomeTimelineSer  libstdc++.so.6.0.21    [.] operator delete
     0.18%  HomeTimelineSer  [kernel.kallsyms]      [k] brnf_get_logical_dev
     0.18%  HomeTimelineSer  [kernel.kallsyms]      [k] nbp_switchdev_frame_mark
     0.18%  HomeTimelineSer  HomeTimelineService    [.] std::vector<social_network::Url, std::allocator<social_network::Url> >::_M_default_append
     0.18%  HomeTimelineSer  [kernel.kallsyms]      [k] ip_send_check
     0.17%  HomeTimelineSer  [kernel.kallsyms]      [k] tcp_stream_memory_free
     0.17%  HomeTimelineSer  [kernel.kallsyms]      [k] __x64_sys_recvfrom
     0.17%  HomeTimelineSer  [kernel.kallsyms]      [k] memcmp
     0.17%  HomeTimelineSer  [kernel.kallsyms]      [k] ip_vs_in.part.0
     0.17%  HomeTimelineSer  [kernel.kallsyms]      [k] __ip_local_out
     0.17%  HomeTimelineSer  HomeTimelineService    [.] apache::thrift::protocol::TBinaryProtocolT<apache::thrift::transport::TTransport, apache::thrift::protocol::TNetworkBigEndian>::readMessageBegin
     0.16%  HomeTimelineSer  [kernel.kallsyms]      [k] __update_load_avg_cfs_rq
     0.16%  HomeTimelineSer  [kernel.kallsyms]      [k] update_blocked_averages
     0.16%  HomeTimelineSer  [kernel.kallsyms]      [k] __nf_ct_refresh_acct
     0.16%  HomeTimelineSer  [kernel.kallsyms]      [k] ipv4_mtu
     0.16%  HomeTimelineSer  [kernel.kallsyms]      [k] ip_rcv_finish_core.isra.0
     0.16%  HomeTimelineSer  HomeTimelineService    [.] memcpy@plt
     0.16%  HomeTimelineSer  [kernel.kallsyms]      [k] __schedule
     0.16%  HomeTimelineSer  [kernel.kallsyms]      [k] kmem_cache_alloc_node
     0.16%  HomeTimelineSer  libstdc++.so.6.0.21    [.] __dynamic_cast
     0.16%  HomeTimelineSer  HomeTimelineService    [.] jaegertracing::Span::~Span
     0.16%  HomeTimelineSer  [kernel.kallsyms]      [k] br_forward_finish
     0.16%  HomeTimelineSer  libpthread-2.23.so     [.] __pthread_enable_asynccancel
     0.15%  HomeTimelineSer  HomeTimelineService    [.] social_network::PostStorageServiceClient::recv_ReadPosts
     0.15%  HomeTimelineSer  [kernel.kallsyms]      [k] l4proto_manip_pkt
     0.15%  HomeTimelineSer  [kernel.kallsyms]      [k] dequeue_entity
     0.15%  HomeTimelineSer  [kernel.kallsyms]      [k] tcp_v4_inbound_md5_hash
     0.15%  HomeTimelineSer  libjaegertracing.so.0  [.] jaegertracing::Tracer::StartSpanWithOptions
     0.15%  HomeTimelineSer  libc-2.23.so           [.] pthread_setcanceltype
     0.15%  HomeTimelineSer  [kernel.kallsyms]      [k] ip_vs_conn_out_get
     0.15%  HomeTimelineSer  HomeTimelineService    [.] social_network::HomeTimelineService_ReadHomeTimeline_args::read
     0.15%  HomeTimelineSer  HomeTimelineService    [.] apache::thrift::transport::readAll<apache::thrift::transport::TBufferBase>
     0.15%  HomeTimelineSer  [kernel.kallsyms]      [k] ip_output
     0.14%  HomeTimelineSer  [kernel.kallsyms]      [k] inet_send_prepare
     0.14%  HomeTimelineSer  HomeTimelineService    [.] std::vector<social_network::Post, std::allocator<social_network::Post> >::_M_default_append
     0.14%  HomeTimelineSer  [kernel.kallsyms]      [k] tcp_event_data_recv
     0.14%  HomeTimelineSer  [kernel.kallsyms]      [k] wait_woken
     0.14%  HomeTimelineSer  libjaegertracing.so.0  [.] jaegertracing::Tracer::startSpanInternal
     0.14%  HomeTimelineSer  [kernel.kallsyms]      [k] tcp_wfree
     0.14%  HomeTimelineSer  [kernel.kallsyms]      [k] kfree_skbmem
     0.14%  HomeTimelineSer  [kernel.kallsyms]      [k] tcp_ack_update_rtt.isra.0
     0.14%  HomeTimelineSer  [kernel.kallsyms]      [k] ipv4_confirm
     0.14%  HomeTimelineSer  [kernel.kallsyms]      [k] ip_rcv
     0.13%  HomeTimelineSer  [kernel.kallsyms]      [k] __tcp_ack_snd_check
     0.13%  HomeTimelineSer  [kernel.kallsyms]      [k] tcp_event_new_data_sent
     0.13%  HomeTimelineSer  [kernel.kallsyms]      [k] fdb_find_rcu
     0.13%  HomeTimelineSer  HomeTimelineService    [.] apache::thrift::protocol::TVirtualProtocol<apache::thrift::protocol::TBinaryProtocolT<apache::thrift::transport::TTransport, apache::thrift::protocol::TNetworkBigEndian>, apache::thrift::protocol::TProtocolDefaults>::writeFieldEnd_virt
     0.13%  HomeTimelineSer  HomeTimelineService    [.] redisvFormatCommand
     0.13%  HomeTimelineSer  [kernel.kallsyms]      [k] sock_def_readable
     0.13%  HomeTimelineSer  libc-2.23.so           [.] __bzero
     0.13%  HomeTimelineSer  [kernel.kallsyms]      [k] available_idle_cpu
     0.12%  HomeTimelineSer  libstdc++.so.6.0.21    [.] std::chrono::_V2::steady_clock::now
     0.12%  HomeTimelineSer  [kernel.kallsyms]      [k] ctx_sched_out
     0.12%  HomeTimelineSer  HomeTimelineService    [.] redisBufferWrite
     0.12%  HomeTimelineSer  [kernel.kallsyms]      [k] syscall_trace_enter
     0.12%  HomeTimelineSer  [kernel.kallsyms]      [k] netdev_core_pick_tx
     0.12%  HomeTimelineSer  [kernel.kallsyms]      [k] nf_nat_ipv4_local_fn
     0.12%  HomeTimelineSer  [kernel.kallsyms]      [k] update_cfs_rq_h_load
     0.12%  HomeTimelineSer  [kernel.kallsyms]      [k] select_task_rq_fair
     0.12%  HomeTimelineSer  libjaegertracing.so.0  [.] jaegertracing::Tracer::Extract
     0.12%  HomeTimelineSer  [kernel.kallsyms]      [k] ksoftirqd_running
     0.12%  HomeTimelineSer  [kernel.kallsyms]      [k] tcp_rcv_established
     0.12%  HomeTimelineSer  [kernel.kallsyms]      [k] ip_route_output_key_hash_rcu
     0.12%  HomeTimelineSer  HomeTimelineService    [.] apache::thrift::protocol::TVirtualProtocol<apache::thrift::protocol::TBinaryProtocolT<apache::thrift::transport::TTransport, apache::thrift::protocol::TNetworkBigEndian>, apache::thrift::protocol::TProtocolDefaults>::writeStructEnd_virt
     0.12%  HomeTimelineSer  [kernel.kallsyms]      [k] hash_conntrack_raw
     0.12%  HomeTimelineSer  [kernel.kallsyms]      [k] ip_rcv_core.isra.0
     0.12%  HomeTimelineSer  [kernel.kallsyms]      [k] fib_validate_source
     0.12%  HomeTimelineSer  [kernel.kallsyms]      [k] br_forward
     0.12%  HomeTimelineSer  HomeTimelineService    [.] freeReplyObject
     0.12%  HomeTimelineSer  libstdc++.so.6.0.21    [.] std::exception::~exception
     0.12%  HomeTimelineSer  libstdc++.so.6.0.21    [.] std::istream::get
     0.12%  HomeTimelineSer  [kernel.kallsyms]      [k] lookup
     0.11%  HomeTimelineSer  [kernel.kallsyms]      [k] __local_bh_enable_ip
     0.11%  HomeTimelineSer  [kernel.kallsyms]      [k] aa_profile_af_perm
     0.11%  HomeTimelineSer  [kernel.kallsyms]      [k] intel_pmu_disable_all
     0.11%  HomeTimelineSer  [kernel.kallsyms]      [k] fpregs_assert_state_consistent
     0.11%  HomeTimelineSer  [kernel.kallsyms]      [k] arch_perf_update_userpage
     0.11%  HomeTimelineSer  [kernel.kallsyms]      [k] ipv4_dst_check
     0.11%  HomeTimelineSer  [kernel.kallsyms]      [k] aa_label_sk_perm.part.0
     0.11%  HomeTimelineSer  [kernel.kallsyms]      [k] nf_nat_inet_fn
     0.11%  HomeTimelineSer  [kernel.kallsyms]      [k] nf_ct_invert_tuple
     0.11%  HomeTimelineSer  [kernel.kallsyms]      [k] tcp_established_options
     0.11%  HomeTimelineSer  [kernel.kallsyms]      [k] memset_erms
     0.11%  HomeTimelineSer  [kernel.kallsyms]      [k] __this_module+0x80000004a0b1
     0.11%  HomeTimelineSer  HomeTimelineService    [.] apache::thrift::protocol::TVirtualProtocol<apache::thrift::protocol::TBinaryProtocolT<apache::thrift::transport::TTransport, apache::thrift::protocol::TNetworkBigEndian>, apache::thrift::protocol::TProtocolDefaults>::writeStructBegin_virt
     0.11%  HomeTimelineSer  HomeTimelineService    [.] std::vector<social_network::Media, std::allocator<social_network::Media> >::_M_default_append
     0.11%  HomeTimelineSer  [kernel.kallsyms]      [k] do_softirq_own_stack
     0.11%  HomeTimelineSer  libc-2.23.so           [.] strlen
     0.11%  HomeTimelineSer  HomeTimelineService    [.] sw::redis::reply::detail::to_array<std::back_insert_iterator<std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > >
     0.10%  HomeTimelineSer  [kernel.kallsyms]      [k] skb_ensure_writable
     0.10%  HomeTimelineSer  [kernel.kallsyms]      [k] __kmalloc_reserve.isra.0
     0.10%  HomeTimelineSer  [kernel.kallsyms]      [k] event_sched_in.isra.0
     0.10%  HomeTimelineSer  [kernel.kallsyms]      [k] lock_sock_nested
     0.10%  HomeTimelineSer  [kernel.kallsyms]      [k] ipv4_conntrack_defrag
     0.10%  HomeTimelineSer  HomeTimelineService    [.] apache::thrift::protocol::TVirtualProtocol<apache::thrift::protocol::TBinaryProtocolT<apache::thrift::transport::TTransport, apache::thrift::protocol::TNetworkBigEndian>, apache::thrift::protocol::TProtocolDefaults>::writeMessageBegin_virt
     0.10%  HomeTimelineSer  libjaegertracing.so.0  [.] std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<jaegertracing::Tag const*, std::vector<jaegertracing::Tag, std::allocator<jaegertracing::Tag> > >, jaegertracing::Tag*>
     0.10%  HomeTimelineSer  [kernel.kallsyms]      [k] dev_hard_start_xmit
     0.10%  HomeTimelineSer  [kernel.kallsyms]      [k] ip_local_out
     0.10%  HomeTimelineSer  [kernel.kallsyms]      [k] ip_vs_out.part.0
     0.10%  HomeTimelineSer  libjaegertracing.so.0  [.] std::mersenne_twister_engine<unsigned long, 64ul, 312ul, 156ul, 31ul, 13043109905998158313ul, 29ul, 6148914691236517205ul, 17ul, 8202884508482404352ul, 37ul, 18444473444759240704ul, 43ul, 6364136223846793005ul>::operator()
     0.10%  HomeTimelineSer  [kernel.kallsyms]      [k] intel_pmu_enable_all
     0.10%  HomeTimelineSer  HomeTimelineService    [.] sw::redis::SafeConnection::~SafeConnection
     0.10%  HomeTimelineSer  libstdc++.so.6.0.21    [.] operator new
     0.10%  HomeTimelineSer  HomeTimelineService    [.] pthread_mutex_lock@plt
     0.10%  HomeTimelineSer  HomeTimelineService    [.] apache::thrift::transport::TVirtualTransport<apache::thrift::transport::TFramedTransport, apache::thrift::transport::TBufferBase>::consume_virt
     0.10%  HomeTimelineSer  [kernel.kallsyms]      [k] __cgroup_bpf_run_filter_skb
     0.10%  HomeTimelineSer  [kernel.kallsyms]      [k] __skb_ext_del
     0.10%  HomeTimelineSer  [kernel.kallsyms]      [k] ip_vs_forward_icmp
     0.10%  HomeTimelineSer  [kernel.kallsyms]      [k] release_sock
     0.10%  HomeTimelineSer  [kernel.kallsyms]      [k] ip_rcv_finish
     0.10%  HomeTimelineSer  libc-2.23.so           [.] _IO_default_xsputn
     0.10%  HomeTimelineSer  [kernel.kallsyms]      [k] enqueue_timer
     0.10%  HomeTimelineSer  [kernel.kallsyms]      [k] ip_route_input_slow
     0.09%  HomeTimelineSer  [kernel.kallsyms]      [k] ip_forward
     0.09%  HomeTimelineSer  [kernel.kallsyms]      [k] sk_stream_alloc_skb
     0.09%  HomeTimelineSer  [kernel.kallsyms]      [k] __enqueue_entity
     0.09%  HomeTimelineSer  [kernel.kallsyms]      [k] __br_forward
     0.09%  HomeTimelineSer  HomeTimelineService    [.] social_network::TextMapWriter::Set
     0.09%  HomeTimelineSer  [kernel.kallsyms]      [k] rb_insert_color
     0.09%  HomeTimelineSer  [kernel.kallsyms]      [k] dequeue_task_fair
     0.09%  HomeTimelineSer  [kernel.kallsyms]      [k] br_nf_post_routing
     0.09%  HomeTimelineSer  [kernel.kallsyms]      [k] ttwu_do_wakeup
     0.09%  HomeTimelineSer  libpthread-2.23.so     [.] __pthread_mutex_lock
     0.09%  HomeTimelineSer  [kernel.kallsyms]      [k] __lock_text_start
     0.09%  HomeTimelineSer  libc-2.23.so           [.] strchr
     0.09%  HomeTimelineSer  [kernel.kallsyms]      [k] _raw_spin_lock_bh
     0.09%  HomeTimelineSer  [kernel.kallsyms]      [k] nf_nat_ipv4_fn
     0.09%  HomeTimelineSer  [kernel.kallsyms]      [k] __tcp_push_pending_frames
     0.09%  HomeTimelineSer  [kernel.kallsyms]      [k] ktime_get
     0.08%  HomeTimelineSer  [kernel.kallsyms]      [k] _raw_read_lock_irqsave
     0.08%  HomeTimelineSer  HomeTimelineService    [.] apache::thrift::protocol::TBinaryProtocolT<apache::thrift::transport::TTransport, apache::thrift::protocol::TNetworkBigEndian>::readSetBegin
     0.08%  HomeTimelineSer  [kernel.kallsyms]      [k] bictcp_cong_avoid
     0.08%  HomeTimelineSer  [kernel.kallsyms]      [k] nf_nat_ipv4_pre_routing
     0.08%  HomeTimelineSer  [kernel.kallsyms]      [k] nf_nat_manip_pkt
     0.08%  HomeTimelineSer  [kernel.kallsyms]      [k] __kfree_skb_flush
