# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'cycles'
# Event count (approx.): 1363038392
#
# Overhead  Command  Shared Object      Symbol                                                                                     
# ........  .......  .................  ...........................................................................................
#
     0.03%  user     [kernel.kallsyms]  [k] tcp_sendmsg_locked
     0.03%  user     [kernel.kallsyms]  [k] sock_put
     0.03%  user     user               [.] github.com/rs/zerolog.colorize
     0.03%  user     user               [.] runtime.copystack
     0.03%  user     user               [.] runtime.stopTheWorldWithSema
     0.03%  user     [kernel.kallsyms]  [k] event_sched_in.isra.0
     0.03%  user     [kernel.kallsyms]  [k] __x64_sys_futex
     0.03%  user     user               [.] golang.org/x/net/http2.(*Framer).WritePing
     0.03%  user     [kernel.kallsyms]  [k] __kmalloc_node_track_caller
     0.03%  user     [kernel.kallsyms]  [k] __br_forward
     0.03%  user     [kernel.kallsyms]  [k] __x64_sys_getcwd
     0.03%  user     user               [.] runtime.mcall
     0.03%  user     user               [.] runtime.typedmemmove
     0.03%  user     [kernel.kallsyms]  [k] sched_clock_cpu
     0.03%  user     [kernel.kallsyms]  [k] enqueue_to_backlog
     0.03%  user     [kernel.kallsyms]  [k] __schedule
     0.03%  user     user               [.] sync/atomic.runtime_procPin
     0.02%  user     user               [.] sync.(*Pool).Get
     0.02%  user     [kernel.kallsyms]  [k] __run_timers.part.0
     0.02%  user     [kernel.kallsyms]  [k] __perf_event_task_sched_out
     0.02%  user     [kernel.kallsyms]  [k] sock_rfree
     0.02%  user     [kernel.kallsyms]  [k] trigger_load_balance
     0.02%  user     user               [.] runtime.(*addrRanges).removeGreaterEqual
     0.02%  user     [kernel.kallsyms]  [k] nf_ct_deliver_cached_events
     0.02%  user     user               [.] runtime.mapaccess2_fast32
     0.02%  user     user               [.] runtime.resolveTypeOff
     0.02%  user     user               [.] encoding/json.stateBeginValue
     0.01%  user     [kernel.kallsyms]  [k] smp_call_function_single
     0.01%  user     user               [.] google.golang.org/grpc/transport.loopyWriter
     0.01%  user     user               [.] memeqbody
     0.01%  user     user               [.] encoding/json.stateInString
     0.01%  user     [kernel.kallsyms]  [k] br_nf_forward_ip
     0.01%  user     user               [.] github.com/golang/protobuf/proto.(*Buffer).DecodeRawBytes
     0.01%  user     user               [.] runtime.newobject
     0.01%  user     user               [.] fmt.(*fmt).fmtInteger
     0.01%  user     user               [.] reflect.valueInterface
     0.01%  user     user               [.] encoding/json.unquoteBytes
     0.01%  user     [kernel.kallsyms]  [k] read_tsc
     0.01%  user     [kernel.kallsyms]  [k] native_sched_clock
     0.01%  user     [kernel.kallsyms]  [k] clear_page_erms
     0.01%  user     [kernel.kallsyms]  [k] tcp_rack_advance
     0.01%  user     user               [.] golang.org/x/net/http2/hpack.(*Decoder).readString
     0.01%  user     [kernel.kallsyms]  [k] pick_next_task_fair
     0.01%  user     [kernel.kallsyms]  [k] __remove_hrtimer
     0.01%  user     user               [.] runtime.getitab
     0.01%  user     user               [.] golang.org/x/net/http2/hpack.(*Decoder).parseFieldIndexed
     0.01%  user     user               [.] strconv.formatBits
     0.01%  user     [kernel.kallsyms]  [k] __accumulate_pelt_segments
     0.01%  user     user               [.] runtime.mapaccess2
     0.01%  user     user               [.] runtime.mapaccess2_faststr
     0.01%  user     user               [.] runtime.injectglist
     0.01%  user     [kernel.kallsyms]  [k] __get_vma_policy
     0.01%  user     user               [.] runtime.execute
     0.01%  user     [kernel.kallsyms]  [k] perf_event_update_time
     0.01%  user     user               [.] syscall.Getwd
     0.00%  user     user               [.] runtime.(*pallocData).findScavengeCandidate
     0.00%  user     [kernel.kallsyms]  [k] __slab_free
     0.00%  user     [kernel.kallsyms]  [k] _raw_spin_lock_irq
     0.00%  user     [kernel.kallsyms]  [k] release_pages
     0.00%  user     [kernel.kallsyms]  [k] tcp_keepalive_timer
     0.00%  user     user               [.] runtime.concatstrings
     0.00%  user     [kernel.kallsyms]  [k] pipe_write
     0.00%  user     user               [.] strings.LastIndex
     0.00%  user     user               [.] io.ReadAtLeast
     0.00%  user     [kernel.kallsyms]  [k] sched_clock
     0.00%  user     [kernel.kallsyms]  [k] perf_event_sched_in
     0.00%  user     [kernel.kallsyms]  [k] hrtimer_active
     0.00%  user     [kernel.kallsyms]  [k] perf_pmu_nop_void
     0.00%  user     user               [.] github.com/golang/protobuf/proto.(*Buffer).enc_struct
     0.00%  user     [kernel.kallsyms]  [k] perf_pmu_disable.part.0
     0.00%  user     [kernel.kallsyms]  [k] rebalance_domains
     0.00%  user     [kernel.kallsyms]  [k] futex_wait
     0.00%  user     [kernel.kallsyms]  [k] mutex_lock
     0.00%  user     [kernel.kallsyms]  [k] update_rt_rq_load_avg
     0.00%  user     [kernel.kallsyms]  [k] __ip_local_out
     0.00%  user     [kernel.kallsyms]  [k] x86_pmu_enable
     0.00%  user     [kernel.kallsyms]  [k] intel_pmu_enable_all
     0.00%  user     [kernel.kallsyms]  [k] perf_pmu_enable.part.0


#
# (Cannot load tips.txt file, please install perf!)
#
