# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cycles'
# Event count (approx.): 1372116104
#
# Overhead  Command  Shared Object      Symbol                                                                   
# ........  .......  .................  .........................................................................
#
     0.05%  user     [kernel.kallsyms]  [k] eth_type_trans
     0.05%  user     [kernel.kallsyms]  [k] futex_wait
     0.05%  user     user               [.] fmt.(*pp).fmtString
     0.05%  user     [kernel.kallsyms]  [k] ep_poll
     0.04%  user     [kernel.kallsyms]  [k] net_rx_action
     0.04%  user     user               [.] google.golang.org/grpc/transport.(*bdpEstimator).add
     0.04%  user     user               [.] reflect.cvtBytesString
     0.04%  user     [kernel.kallsyms]  [k] tcp_stream_memory_free
     0.04%  user     user               [.] runtime.rawstringtmp
     0.04%  user     user               [.] github.com/rs/zerolog.ConsoleWriter.Write
     0.04%  user     [kernel.kallsyms]  [k] apic_timer_interrupt
     0.04%  user     user               [.] runtime.mapdelete_fast32
     0.04%  user     [kernel.kallsyms]  [k] getname_flags
     0.04%  user     [kernel.kallsyms]  [k] group_sched_in
     0.04%  user     [kernel.kallsyms]  [k] veth_xmit
     0.03%  user     user               [.] runtime.concatstrings
     0.03%  user     [kernel.kallsyms]  [k] perf_pmu_nop_int
     0.03%  user     user               [.] reflect.directlyAssignable
     0.03%  user     user               [.] time.tzsetName
     0.03%  user     [kernel.kallsyms]  [k] __x64_sys_read
     0.03%  user     user               [.] sync.(*Pool).Get
     0.03%  user     [kernel.kallsyms]  [k] __x86_indirect_thunk_rax
     0.03%  user     [kernel.kallsyms]  [k] page_fault
     0.03%  user     user               [.] reflect.Value.SetMapIndex
     0.03%  user     [kernel.kallsyms]  [k] nf_nat_ipv4_out
     0.03%  user     [kernel.kallsyms]  [k] ctx_sched_in
     0.03%  user     user               [.] runtime.growslice
     0.03%  user     [kernel.kallsyms]  [k] up_read
     0.03%  user     [kernel.kallsyms]  [k] __get_vma_policy
     0.02%  user     [kernel.kallsyms]  [k] br_fdb_update
     0.02%  user     [kernel.kallsyms]  [k] cpus_share_cache
     0.02%  user     [kernel.kallsyms]  [k] skb_release_data
     0.02%  user     [kernel.kallsyms]  [k] ipv4_dst_check
     0.02%  user     user               [.] context.(*cancelCtx).Value
     0.02%  user     user               [.] net.(*conn).Read
     0.02%  user     user               [.] net.(*netFD).Write
     0.02%  user     [kernel.kallsyms]  [k] native_flush_tlb_one_user
     0.02%  user     [kernel.kallsyms]  [k] update_blocked_averages
     0.02%  user     user               [.] encoding/json.(*decodeState).unmarshal
     0.02%  user     user               [.] golang.org/x/net/http2.(*MetaHeadersFrame).checkPseudos
     0.02%  user     [kernel.kallsyms]  [k] new_sync_write
     0.02%  user     user               [.] strconv.ParseUint
     0.02%  user     [kernel.kallsyms]  [k] __hrtimer_run_queues
     0.02%  user     [kernel.kallsyms]  [k] release_pages
     0.02%  user     [kernel.kallsyms]  [k] get_task_policy.part.0
     0.02%  user     user               [.] runtime.systemstack.abi0
     0.02%  user     user               [.] golang.org/x/net/http2.(*Framer).checkFrameOrder
     0.02%  user     [kernel.kallsyms]  [k] pipe_write
     0.02%  user     [kernel.kallsyms]  [k] inet_frag_destroy_rcu
     0.02%  user     user               [.] runtime.typeBitsBulkBarrier
     0.02%  user     [kernel.kallsyms]  [k] __ksize
     0.01%  user     [kernel.kallsyms]  [k] get_futex_key_refs.isra.0
     0.01%  user     [kernel.kallsyms]  [k] interrupt_entry
     0.01%  user     [kernel.kallsyms]  [k] read_tsc
     0.01%  user     [kernel.kallsyms]  [k] native_sched_clock
     0.01%  user     [kernel.kallsyms]  [k] available_idle_cpu
     0.01%  user     [kernel.kallsyms]  [k] common_perm
     0.01%  user     [kernel.kallsyms]  [k] _raw_read_lock_irqsave
     0.01%  user     [kernel.kallsyms]  [k] perf_event_sched_in
     0.01%  user     [kernel.kallsyms]  [k] event_sched_in.isra.0
     0.01%  user     user               [.] golang.org/x/net/http2.parseDataFrame
     0.01%  user     user               [.] golang.org/x/net/http2.(*Framer).readMetaFrame.func1
     0.01%  user     [kernel.kallsyms]  [k] futex_wake
     0.01%  user     user               [.] encoding/json.(*Decoder).refill
     0.01%  user     user               [.] github.com/golang/protobuf/proto.Clone
     0.01%  user     [kernel.kallsyms]  [k] tcp_mstamp_refresh
     0.01%  user     user               [.] runtime.(*pallocBits).summarize
     0.01%  user     [kernel.kallsyms]  [k] sock_recvmsg
     0.01%  user     user               [.] runtime.convI2I
     0.01%  user     user               [.] runtime.lock2
     0.01%  user     [kernel.kallsyms]  [k] br_handle_frame_finish
     0.01%  user     [kernel.kallsyms]  [k] copy_user_generic_unrolled
     0.01%  user     [kernel.kallsyms]  [k] do_epoll_wait
     0.01%  user     user               [.] golang.org/x/net/http2.(*HeadersFrame).invalidate
     0.01%  user     [kernel.kallsyms]  [k] futex_wait_setup
     0.01%  user     user               [.] golang.org/x/net/http2.parseWindowUpdateFrame
     0.01%  user     [kernel.kallsyms]  [k] pick_next_task_fair
     0.01%  user     [kernel.kallsyms]  [k] bictcp_cong_avoid
     0.00%  user     [kernel.kallsyms]  [k] find_next_bit
     0.00%  user     [kernel.kallsyms]  [k] account_entity_enqueue
     0.00%  user     [kernel.kallsyms]  [k] __dev_queue_xmit
     0.00%  user     [kernel.kallsyms]  [k] smp_apic_timer_interrupt
     0.00%  user     [kernel.kallsyms]  [k] __softirqentry_text_start
     0.00%  user     user               [.] runtime.mapassign_fast32
     0.00%  user     [kernel.kallsyms]  [k] __wake_up_common
     0.00%  user     [kernel.kallsyms]  [k] update_rt_rq_load_avg
     0.00%  user     [kernel.kallsyms]  [k] sched_clock
     0.00%  user     [kernel.kallsyms]  [k] common_file_perm
     0.00%  user     [kernel.kallsyms]  [k] __hrtimer_next_event_base
     0.00%  user     [kernel.kallsyms]  [k] perf_pmu_disable.part.0
     0.00%  user     [kernel.kallsyms]  [k] __intel_pmu_enable_all.constprop.0
     0.00%  user     [kernel.kallsyms]  [k] x86_pmu_enable
     0.00%  user     [kernel.kallsyms]  [k] intel_pmu_enable_all
     0.00%  user     [kernel.kallsyms]  [k] perf_pmu_enable.part.0


#
# (Cannot load tips.txt file, please install perf!)
#
