# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 37K of event 'cycles'
# Event count (approx.): 84489284583
#
# Overhead  Command  Shared Object      Symbol                                                                                             
# ........  .......  .................  ...................................................................................................
#
     0.14%  profile  profile            [.] reflect.(*rtype).Elem
     0.14%  profile  profile            [.] runtime.exitsyscallfast
     0.14%  profile  profile            [.] runtime.makeslice
     0.14%  profile  profile            [.] runtime.schedule
     0.14%  profile  [kernel.kallsyms]  [k] kmem_cache_alloc
     0.14%  profile  [kernel.kallsyms]  [k] br_handle_frame
     0.14%  profile  profile            [.] bufio.(*Reader).Read
     0.14%  profile  [kernel.kallsyms]  [k] read_tsc
     0.14%  profile  profile            [.] github.com/uber/jaeger-client-go.(*Tracer).startSpanInternal
     0.14%  profile  profile            [.] runtime.checkRunqsNoP
     0.14%  profile  profile            [.] io.ReadAtLeast
     0.14%  profile  [kernel.kallsyms]  [k] common_file_perm
     0.14%  profile  [kernel.kallsyms]  [k] __perf_event_task_sched_out
     0.14%  profile  profile            [.] fmt.(*ss).advance
     0.13%  profile  profile            [.] runtime.futex.abi0
     0.13%  profile  [kernel.kallsyms]  [k] rb_next
     0.13%  profile  profile            [.] encoding/json.(*decodeState).scanWhile
     0.13%  profile  [kernel.kallsyms]  [k] __x86_indirect_thunk_rax
     0.13%  profile  [kernel.kallsyms]  [k] br_nf_pre_routing
     0.13%  profile  profile            [.] runtime.makechan
     0.13%  profile  profile            [.] internal/poll.(*FD).Read
     0.13%  profile  profile            [.] syscall.Syscall.abi0
     0.13%  profile  [kernel.kallsyms]  [k] pick_next_task_fair
     0.13%  profile  profile            [.] strconv.ParseUint
     0.13%  profile  profile            [.] runtime.duffzero
     0.13%  profile  profile            [.] runtime.notesleep
     0.13%  profile  profile            [.] runtime.mapiterinit
     0.13%  profile  profile            [.] github.com/rs/zerolog.(*Event).msg
     0.13%  profile  [kernel.kallsyms]  [k] _raw_read_lock_irqsave
     0.13%  profile  [kernel.kallsyms]  [k] process_backlog
     0.13%  profile  [kernel.kallsyms]  [k] kmem_cache_alloc_node
     0.13%  profile  [kernel.kallsyms]  [k] update_cfs_rq_h_load
     0.13%  profile  [kernel.kallsyms]  [k] tcp_ack
     0.13%  profile  profile            [.] reflect.Value.Set
     0.12%  profile  [kernel.kallsyms]  [k] tcp_rcv_established
     0.12%  profile  [kernel.kallsyms]  [k] ctx_sched_in
     0.12%  profile  profile            [.] runtime.exitsyscall
     0.12%  profile  profile            [.] runtime.concatstrings
     0.12%  profile  profile            [.] runtime.stackalloc
     0.12%  profile  [kernel.kallsyms]  [k] _raw_spin_lock_bh
     0.12%  profile  profile            [.] sync.(*RWMutex).Unlock
     0.12%  profile  profile            [.] encoding/json.stateBeginValue
     0.12%  profile  profile            [.] runtime.(*Frames).Next
     0.12%  profile  profile            [.] runtime.sweepone
     0.12%  profile  profile            [.] runtime.mapaccess2
     0.12%  profile  [kernel.kallsyms]  [k] tcp_write_xmit
     0.12%  profile  profile            [.] google.golang.org/grpc/transport.(*http2Server).HandleStreams
     0.12%  profile  profile            [.] google.golang.org/grpc/transport.(*http2Server).operateHeaders
     0.12%  profile  [kernel.kallsyms]  [k] __kmalloc_node_track_caller
     0.12%  profile  [kernel.kallsyms]  [k] tcp_clean_rtx_queue
     0.12%  profile  profile            [.] time.Time.locabs
     0.12%  profile  profile            [.] internal/poll.(*FD).Write
     0.12%  profile  [kernel.kallsyms]  [k] find_next_bit
     0.12%  profile  profile            [.] reflect.(*rtype).ptrTo
     0.11%  profile  profile            [.] runtime.typedmemmove
     0.11%  profile  profile            [.] runtime.usleep.abi0
     0.11%  profile  profile            [.] runtime.mcall
     0.11%  profile  profile            [.] github.com/rs/zerolog.ConsoleWriter.writeFields
     0.11%  profile  profile            [.] context.(*cancelCtx).Done
     0.11%  profile  profile            [.] runtime.(*mspan).refillAllocCache
     0.11%  profile  [kernel.kallsyms]  [k] futex_wake
     0.11%  profile  [kernel.kallsyms]  [k] ep_poll_callback
     0.11%  profile  profile            [.] runtime.resolveTypeOff
     0.11%  profile  profile            [.] github.com/rs/zerolog.(*Event).write
     0.11%  profile  profile            [.] runtime.(*spanSet).push
     0.11%  profile  profile            [.] os.(*File).Write
     0.11%  profile  [kernel.kallsyms]  [k] hash_conntrack_raw
     0.11%  profile  profile            [.] runtime.(*pallocBits).summarize
     0.11%  profile  profile            [.] runtime.funcMaxSPDelta
     0.11%  profile  profile            [.] sync.runtime_procPin
     0.11%  profile  [kernel.kallsyms]  [k] update_rq_clock
     0.11%  profile  [kernel.kallsyms]  [k] fpregs_assert_state_consistent
     0.11%  profile  [kernel.kallsyms]  [k] __x64_sys_futex
     0.11%  profile  profile            [.] strconv.formatBits
     0.11%  profile  [kernel.kallsyms]  [k] prepare_exit_to_usermode
     0.11%  profile  [kernel.kallsyms]  [k] perf_event_update_userpage
     0.11%  profile  [kernel.kallsyms]  [k] account_entity_enqueue
     0.11%  profile  [kernel.kallsyms]  [k] copy_user_generic_unrolled
     0.11%  profile  [kernel.kallsyms]  [k] br_nf_forward_ip
     0.10%  profile  profile            [.] runtime.mDoFixup
     0.10%  profile  [kernel.kallsyms]  [k] resched_curr
     0.10%  profile  [kernel.kallsyms]  [k] flexible_sched_in
     0.10%  profile  profile            [.] sync.(*Pool).pin
     0.10%  profile  [kernel.kallsyms]  [k] apic_timer_interrupt
     0.10%  profile  [kernel.kallsyms]  [k] mutex_lock
     0.10%  profile  profile            [.] runtime.pidleget
     0.10%  profile  [kernel.kallsyms]  [k] __wake_up_common
     0.10%  profile  [kernel.kallsyms]  [k] prepend_name
     0.10%  profile  [kernel.kallsyms]  [k] __legitimize_mnt
     0.10%  profile  profile            [.] encoding/json.(*decodeState).unmarshal
     0.10%  profile  profile            [.] google.golang.org/grpc/transport.(*http2Server).WriteStatus
     0.10%  profile  [kernel.kallsyms]  [k] fdb_find_rcu
     0.10%  profile  [kernel.kallsyms]  [k] ctx_sched_out
     0.10%  profile  profile            [.] time.Date
     0.10%  profile  profile            [.] sync.(*Pool).Put
     0.10%  profile  [kernel.kallsyms]  [k] dequeue_entity
     0.10%  profile  [kernel.kallsyms]  [k] tcp_ack_update_rtt.isra.0
     0.10%  profile  [kernel.kallsyms]  [k] nf_ct_get_tuple
     0.09%  profile  profile            [.] internal/poll.(*fdMutex).rwlock
     0.09%  profile  profile            [.] sync.(*RWMutex).Lock
     0.09%  profile  profile            [.] reflect.Value.Type
     0.09%  profile  profile            [.] reflect.name.name
     0.09%  profile  [kernel.kallsyms]  [k] attach_entity_load_avg
     0.09%  profile  [kernel.kallsyms]  [k] pipe_write
     0.09%  profile  profile            [.] runtime.(*mcache).refill
     0.09%  profile  profile            [.] fmt.(*fmt).fmtS
     0.09%  profile  profile            [.] reflect.Value.Elem
     0.09%  profile  profile            [.] github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.OpenTracingServerInterceptor.func1
     0.09%  profile  profile            [.] google.golang.org/grpc.(*Server).processUnaryRPC
     0.09%  profile  [kernel.kallsyms]  [k] set_task_cpu
     0.09%  profile  [kernel.kallsyms]  [k] __update_idle_core
     0.09%  profile  profile            [.] runtime.futexsleep
     0.09%  profile  [kernel.kallsyms]  [k] skb_release_data
     0.09%  profile  profile            [.] runtime.runqput
     0.09%  profile  [kernel.kallsyms]  [k] intel_pstate_update_util
     0.09%  profile  [kernel.kallsyms]  [k] __lock_text_start
     0.09%  profile  profile            [.] reflect.Value.SetMapIndex
     0.09%  profile  profile            [.] runtime.stackfree
     0.09%  profile  profile            [.] encoding/json.(*Decoder).refill
     0.08%  profile  [kernel.kallsyms]  [k] net_rx_action
     0.08%  profile  [kernel.kallsyms]  [k] prepend_path.isra.0
     0.08%  profile  [kernel.kallsyms]  [k] br_nf_post_routing
     0.08%  profile  profile            [.] runtime.systemstack.abi0
     0.08%  profile  [kernel.kallsyms]  [k] futex_wait
     0.08%  profile  profile            [.] runtime.gopark
     0.08%  profile  [kernel.kallsyms]  [k] sock_rfree
     0.08%  profile  [kernel.kallsyms]  [k] conntrack_mt
     0.08%  profile  profile            [.] runtime.mapdelete
     0.08%  profile  profile            [.] golang.org/x/net/http2.(*MetaHeadersFrame).checkPseudos
     0.08%  profile  profile            [.] time.(*Location).lookup
     0.08%  profile  [kernel.kallsyms]  [k] ktime_get
     0.08%  profile  profile            [.] golang.org/x/net/http2.(*Framer).WriteHeaders
     0.08%  profile  profile            [.] runtime.assertE2I2
     0.08%  profile  [kernel.kallsyms]  [k] new_sync_write
     0.08%  profile  profile            [.] runtime.(*fixalloc).alloc
     0.08%  profile  [kernel.kallsyms]  [k] get_l4proto
     0.08%  profile  profile            [.] fmt.(*fmt).pad
     0.08%  profile  [kernel.kallsyms]  [k] ep_send_events_proc
     0.08%  profile  profile            [.] runtime.startm
     0.08%  profile  [kernel.kallsyms]  [k] __cgroup_account_cputime
     0.08%  profile  profile            [.] google.golang.org/grpc/transport.(*http2Server).Write
     0.08%  profile  profile            [.] encoding/json.(*decodeState).value
     0.08%  profile  [kernel.kallsyms]  [k] __local_bh_enable_ip
     0.08%  profile  profile            [.] github.com/rs/zerolog.newEvent
     0.08%  profile  profile            [.] runtime.(*sweepLocked).sweep
     0.07%  profile  [kernel.kallsyms]  [k] sk_stream_alloc_skb
     0.07%  profile  [kernel.kallsyms]  [k] nf_ct_seq_offset
     0.07%  profile  profile            [.] bytes.(*Buffer).WriteString
     0.07%  profile  [kernel.kallsyms]  [k] _cond_resched
     0.07%  profile  profile            [.] reflect.implements
     0.07%  profile  profile            [.] time.absDate
     0.07%  profile  profile            [.] github.com/golang/protobuf/proto.GetProperties
     0.07%  profile  [kernel.kallsyms]  [k] _raw_write_lock_irq
     0.07%  profile  [kernel.kallsyms]  [k] br_handle_frame_finish
     0.07%  profile  [kernel.kallsyms]  [k] sock_read_iter
     0.07%  profile  [kernel.kallsyms]  [k] tcp_v4_rcv
     0.07%  profile  profile            [.] runtime.pidleput
     0.07%  profile  [kernel.kallsyms]  [k] schedule
     0.07%  profile  [kernel.kallsyms]  [k] ipv4_conntrack_defrag
     0.07%  profile  profile            [.] strings.ToLower
     0.07%  profile  [kernel.kallsyms]  [k] fsnotify
     0.07%  profile  profile            [.] runtime.convTstring
     0.07%  profile  profile            [.] runtime.mapdelete_fast32
     0.07%  profile  [kernel.kallsyms]  [k] hrtimer_nanosleep
     0.07%  profile  [kernel.kallsyms]  [k] futex_wait_queue_me
     0.07%  profile  [kernel.kallsyms]  [k] br_fdb_update
     0.07%  profile  profile            [.] runtime.runqget
     0.07%  profile  profile            [.] reflect.makemap
     0.07%  profile  [kernel.kallsyms]  [k] record_times
     0.07%  profile  profile            [.] runtime.(*mcache).prepareForSweep
     0.07%  profile  [kernel.kallsyms]  [k] vfs_write
     0.07%  profile  [kernel.kallsyms]  [k] interrupt_entry
     0.07%  profile  profile            [.] strconv.readFloat
     0.07%  profile  [kernel.kallsyms]  [k] tcp_event_new_data_sent
     0.07%  profile  [kernel.kallsyms]  [k] account_entity_dequeue
     0.07%  profile  profile            [.] runtime.netpollready
     0.07%  profile  [kernel.kallsyms]  [k] sched_clock_cpu
     0.07%  profile  profile            [.] reflect.cvtBytesString
     0.07%  profile  profile            [.] sync.(*Mutex).Unlock
     0.07%  profile  profile            [.] runtime.epollwait.abi0
     0.07%  profile  profile            [.] reflect.packEface
     0.07%  profile  profile            [.] google.golang.org/grpc/transport.(*controlBuffer).put
     0.07%  profile  [kernel.kallsyms]  [k] event_sched_in.isra.0
     0.07%  profile  profile            [.] bufio.(*Writer).Write
     0.07%  profile  profile            [.] runtime.copystack
     0.07%  profile  [kernel.kallsyms]  [k] __netif_receive_skb_one_core
     0.07%  profile  [kernel.kallsyms]  [k] __skb_datagram_iter
     0.07%  profile  profile            [.] runtime.(*spanSet).pop
     0.07%  profile  [kernel.kallsyms]  [k] __x64_sys_nanosleep
     0.07%  profile  [kernel.kallsyms]  [k] nf_nat_packet
     0.07%  profile  [kernel.kallsyms]  [k] ip_output
     0.07%  profile  [kernel.kallsyms]  [k] ovl_permission
     0.07%  profile  [kernel.kallsyms]  [k] validate_xmit_skb
     0.07%  profile  profile            [.] time.tzsetNum
     0.06%  profile  [kernel.kallsyms]  [k] eth_type_trans
     0.06%  profile  profile            [.] runtime.mapdelete_faststr
     0.06%  profile  [kernel.kallsyms]  [k] amd_clear_divider
     0.06%  profile  [kernel.kallsyms]  [k] ip_rcv_finish_core.isra.0
     0.06%  profile  profile            [.] runtime.sellock
     0.06%  profile  [kernel.kallsyms]  [k] x86_pmu_disable
     0.06%  profile  [kernel.kallsyms]  [k] futex_wait_setup
     0.06%  profile  profile            [.] runtime.selunlock
     0.06%  profile  profile            [.] fmt.(*ss).ReadRune
     0.06%  profile  [kernel.kallsyms]  [k] get_futex_key
     0.06%  profile  [kernel.kallsyms]  [k] vfs_getattr_nosec
     0.06%  profile  [kernel.kallsyms]  [k] nf_nat_inet_fn
     0.06%  profile  [kernel.kallsyms]  [k] ovl_getattr
     0.06%  profile  profile            [.] runtime.wakep
     0.06%  profile  profile            [.] reflect.directlyAssignable
     0.06%  profile  [kernel.kallsyms]  [k] mod_timer
     0.06%  profile  [kernel.kallsyms]  [k] place_entity
     0.06%  profile  profile            [.] runtime.newMarkBits
     0.06%  profile  [kernel.kallsyms]  [k] group_sched_in
     0.06%  profile  [kernel.kallsyms]  [k] nf_ct_deliver_cached_events
     0.06%  profile  [kernel.kallsyms]  [k] sock_poll
     0.06%  profile  [kernel.kallsyms]  [k] __x64_sys_getcwd
     0.06%  profile  profile            [.] fmt.(*pp).fmtString
     0.06%  profile  [kernel.kallsyms]  [k] __check_object_size
     0.06%  profile  [kernel.kallsyms]  [k] enqueue_to_backlog
     0.06%  profile  profile            [.] reflect.(*rtype).Name
     0.06%  profile  profile            [.] github.com/rs/zerolog.colorize
     0.06%  profile  [kernel.kallsyms]  [k] do_nanosleep
     0.06%  profile  profile            [.] fmt.(*fmt).padString
     0.06%  profile  [kernel.kallsyms]  [k] nf_nat_ipv4_local_fn
     0.06%  profile  [kernel.kallsyms]  [k] ip_rcv_core.isra.0
     0.06%  profile  profile            [.] runtime.memequal
     0.06%  profile  profile            [.] internal/poll.runtime_pollReset
     0.06%  profile  profile            [.] github.com/rs/zerolog.(*Event).Msgf
     0.06%  profile  profile            [.] fmt.(*readRune).ReadRune
     0.06%  profile  [kernel.kallsyms]  [k] skb_network_protocol
     0.06%  profile  profile            [.] runtime.stopm
     0.06%  profile  [kernel.kallsyms]  [k] __enqueue_entity
     0.06%  profile  [kernel.kallsyms]  [k] do_futex
     0.06%  profile  profile            [.] reflect.valueInterface
     0.06%  profile  [kernel.kallsyms]  [k] finish_task_switch
     0.06%  profile  profile            [.] runtime.pcdatavalue
     0.06%  profile  profile            [.] github.com/rs/zerolog.(*Logger).newEvent
     0.06%  profile  profile            [.] syscall.read
     0.06%  profile  profile            [.] time.skip
     0.06%  profile  [kernel.kallsyms]  [k] new_sync_read
     0.06%  profile  [kernel.kallsyms]  [k] memcg_kmem_put_cache
     0.06%  profile  profile            [.] fmt.(*ss).doScanf
     0.06%  profile  profile            [.] internal/poll.(*fdMutex).rwunlock
     0.06%  profile  [kernel.kallsyms]  [k] memcmp
     0.06%  profile  profile            [.] runtime.interhash
     0.06%  profile  profile            [.] runtime.Caller
     0.06%  profile  [kernel.kallsyms]  [k] tcp_current_mss
     0.06%  profile  profile            [.] runtime.(*consistentHeapStats).acquire
     0.06%  profile  profile            [.] runtime.(*mcentral).cacheSpan
     0.06%  profile  profile            [.] time.tzsetName
     0.06%  profile  [kernel.kallsyms]  [k] update_min_vruntime
     0.06%  profile  profile            [.] reflect.(*rtype).Kind
     0.06%  profile  [kernel.kallsyms]  [k] common_perm_cond
     0.06%  profile  [kernel.kallsyms]  [k] deactivate_task
     0.06%  profile  profile            [.] google.golang.org/grpc/transport.(*http2Server).handleData
     0.06%  profile  profile            [.] encoding/json.(*scanner).popParseState
     0.06%  profile  profile            [.] fmt.(*stringReader).Read
     0.06%  profile  profile            [.] runtime.makemap
     0.06%  profile  profile            [.] context.WithValue
     0.06%  profile  [kernel.kallsyms]  [k] activate_task
     0.06%  profile  [kernel.kallsyms]  [k] sock_recvmsg
     0.06%  profile  profile            [.] encoding/json.stateBeginString
     0.05%  profile  profile            [.] runtime.assertI2I2
     0.05%  profile  profile            [.] runtime.acquireSudog
     0.05%  profile  profile            [.] runtime.convTslice
     0.05%  profile  [kernel.kallsyms]  [k] update_blocked_averages
     0.05%  profile  profile            [.] internal/poll.(*FD).writeUnlock
     0.05%  profile  profile            [.] reflect.(*rtype).Key
     0.05%  profile  profile            [.] sync.(*WaitGroup).Add
     0.05%  profile  profile            [.] runtime.netpollblockcommit
     0.05%  profile  [kernel.kallsyms]  [k] ovl_inode_upper
     0.05%  profile  profile            [.] net/url.unescape
     0.05%  profile  [kernel.kallsyms]  [k] hash_futex
     0.05%  profile  [kernel.kallsyms]  [k] __ip_finish_output
     0.05%  profile  [kernel.kallsyms]  [k] get_futex_value_locked
     0.05%  profile  [kernel.kallsyms]  [k] nf_confirm
     0.05%  profile  [kernel.kallsyms]  [k] __sb_start_write
     0.05%  profile  profile            [.] github.com/rs/zerolog/internal/json.Encoder.AppendTime
     0.05%  profile  profile            [.] golang.org/x/net/http2.validWireHeaderFieldName
     0.05%  profile  profile            [.] golang.org/x/net/http2/hpack.(*Decoder).at
     0.05%  profile  profile            [.] runtime.wirep
     0.05%  profile  profile            [.] encoding/json.(*scanner).pushParseState
     0.05%  profile  profile            [.] github.com/rs/zerolog.(*Logger).should
     0.05%  profile  profile            [.] runtime.callers
     0.05%  profile  profile            [.] runtime.duffcopy
     0.05%  profile  [kernel.kallsyms]  [k] ksys_write
     0.05%  profile  [kernel.kallsyms]  [k] pick_next_task_idle
     0.05%  profile  [kernel.kallsyms]  [k] ip_protocol_deliver_rcu
     0.05%  profile  profile            [.] sync.(*RWMutex).RUnlock
     0.05%  profile  profile            [.] runtime.newstack
     0.05%  profile  profile            [.] reflect.Value.NumMethod
     0.05%  profile  [kernel.kallsyms]  [k] apparmor_socket_recvmsg
     0.05%  profile  [kernel.kallsyms]  [k] swapgs_restore_regs_and_return_to_usermode
     0.05%  profile  [kernel.kallsyms]  [k] lapic_next_deadline
     0.05%  profile  [kernel.kallsyms]  [k] __fsnotify_parent
     0.05%  profile  [kernel.kallsyms]  [k] get_nohz_timer_target
     0.05%  profile  [kernel.kallsyms]  [k] walk_component
     0.05%  profile  [kernel.kallsyms]  [k] check_preempt_wakeup
     0.05%  profile  profile            [.] time.Now
     0.05%  profile  profile            [.] google.golang.org/grpc.(*Server).sendResponse
     0.05%  profile  [kernel.kallsyms]  [k] ttwu_do_wakeup
     0.05%  profile  profile            [.] internal/testlog.Getenv
     0.05%  profile  [kernel.kallsyms]  [k] fput_many
     0.05%  profile  profile            [.] net.(*netFD).Write
     0.05%  profile  [kernel.kallsyms]  [k] __x64_sys_write
     0.05%  profile  profile            [.] net.(*TCPConn).Write
     0.05%  profile  profile            [.] sync.(*Map).Load
     0.05%  profile  [kernel.kallsyms]  [k] nf_nat_ipv4_local_in
     0.05%  profile  profile            [.] github.com/uber/jaeger-client-go.(*textMapPropagator).Extract
     0.05%  profile  profile            [.] bufio.(*Writer).Flush
     0.05%  profile  profile            [.] runtime.gfget
     0.05%  profile  profile            [.] golang.org/x/net/http2/hpack.(*headerFieldTable).evictOldest
     0.05%  profile  [kernel.kallsyms]  [k] sk_reset_timer
     0.05%  profile  profile            [.] github.com/uber/jaeger-client-go.(*Tracer).StartSpan
