# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 13K of event 'cycles'
# Event count (approx.): 29345699138
#
# Overhead  Command         Shared Object      Symbol                                                                                                                
# ........  ..............  .................  ......................................................................................................................
#
     0.25%  recommendation  [kernel.kallsyms]  [k] rb_next
     0.24%  recommendation  [kernel.kallsyms]  [k] tcp_rcv_established
     0.24%  recommendation  recommendation     [.] runtime.futex.abi0
     0.24%  recommendation  recommendation     [.] time.nextStdChunk
     0.24%  recommendation  recommendation     [.] golang.org/x/net/http2.(*Framer).readMetaFrame.func1
     0.24%  recommendation  [kernel.kallsyms]  [k] record_times
     0.23%  recommendation  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.23%  recommendation  recommendation     [.] runtime.runqgrab
     0.23%  recommendation  recommendation     [.] fmt.(*pp).doPrintf
     0.23%  recommendation  recommendation     [.] runtime.sysmon
     0.23%  recommendation  [kernel.kallsyms]  [k] perf_swevent_add
     0.22%  recommendation  [kernel.kallsyms]  [k] prepare_exit_to_usermode
     0.22%  recommendation  recommendation     [.] sync.(*RWMutex).Lock
     0.22%  recommendation  [kernel.kallsyms]  [k] tcp_write_xmit
     0.22%  recommendation  [kernel.kallsyms]  [k] clear_page_erms
     0.21%  recommendation  [kernel.kallsyms]  [k] __schedule
     0.21%  recommendation  recommendation     [.] runtime.checkRunqsNoP
     0.21%  recommendation  [kernel.kallsyms]  [k] ipv4_dst_check
     0.21%  recommendation  [kernel.kallsyms]  [k] schedule
     0.21%  recommendation  [kernel.kallsyms]  [k] __netif_receive_skb_core
     0.20%  recommendation  recommendation     [.] runtime.mapaccess1_faststr
     0.20%  recommendation  [kernel.kallsyms]  [k] __perf_event_task_sched_in
     0.20%  recommendation  recommendation     [.] memeqbody
     0.20%  recommendation  recommendation     [.] encoding/json.(*decodeState).object
     0.20%  recommendation  recommendation     [.] internal/poll.(*FD).Read
     0.20%  recommendation  recommendation     [.] aeshashbody
     0.20%  recommendation  [kernel.kallsyms]  [k] read_tsc
     0.19%  recommendation  [kernel.kallsyms]  [k] __tcp_transmit_skb
     0.19%  recommendation  recommendation     [.] runtime.mDoFixup
     0.19%  recommendation  recommendation     [.] runtime.futexsleep
     0.19%  recommendation  [kernel.kallsyms]  [k] select_task_rq_fair
     0.19%  recommendation  [kernel.kallsyms]  [k] __update_load_avg_se
     0.19%  recommendation  [kernel.kallsyms]  [k] deactivate_task
     0.19%  recommendation  recommendation     [.] runtime.pidleput
     0.19%  recommendation  [kernel.kallsyms]  [k] futex_wait
     0.18%  recommendation  [kernel.kallsyms]  [k] fdb_find_rcu
     0.18%  recommendation  [kernel.kallsyms]  [k] br_nf_forward_ip
     0.18%  recommendation  recommendation     [.] runtime.mapassign_faststr
     0.18%  recommendation  [kernel.kallsyms]  [k] newidle_balance
     0.18%  recommendation  recommendation     [.] github.com/uber/jaeger-client-go.(*Tracer).startSpanWithOptions
     0.18%  recommendation  recommendation     [.] google.golang.org/grpc/transport.(*decodeState).processHeaderField
     0.18%  recommendation  recommendation     [.] runtime.(*itabTableType).find
     0.18%  recommendation  recommendation     [.] runtime.pidleget
     0.18%  recommendation  recommendation     [.] encoding/json.stateInString
     0.18%  recommendation  [kernel.kallsyms]  [k] kmem_cache_alloc
     0.18%  recommendation  recommendation     [.] runtime.exitsyscall
     0.18%  recommendation  [kernel.kallsyms]  [k] tcp_v4_rcv
     0.17%  recommendation  [kernel.kallsyms]  [k] tcp_ack
     0.17%  recommendation  [kernel.kallsyms]  [k] __x64_sys_futex
     0.17%  recommendation  recommendation     [.] google.golang.org/grpc/transport.(*http2Server).itemHandler
     0.17%  recommendation  [kernel.kallsyms]  [k] tcp_in_window
     0.17%  recommendation  [kernel.kallsyms]  [k] __handle_mm_fault
     0.17%  recommendation  [kernel.kallsyms]  [k] tcp_clean_rtx_queue
     0.17%  recommendation  recommendation     [.] runtime.reentersyscall
     0.16%  recommendation  [kernel.kallsyms]  [k] __lock_text_start
     0.16%  recommendation  [kernel.kallsyms]  [k] br_nf_pre_routing
     0.16%  recommendation  recommendation     [.] runtime.interhash
     0.16%  recommendation  recommendation     [.] google.golang.org/grpc.(*Server).processUnaryRPC
     0.16%  recommendation  [kernel.kallsyms]  [k] dequeue_entity
     0.16%  recommendation  recommendation     [.] math.atan2
     0.16%  recommendation  recommendation     [.] google.golang.org/grpc/transport.(*controlBuffer).load
     0.15%  recommendation  recommendation     [.] runtime.stackfree
     0.15%  recommendation  recommendation     [.] runtime.newstack
     0.15%  recommendation  [kernel.kallsyms]  [k] __dev_queue_xmit
     0.15%  recommendation  recommendation     [.] encoding/json.(*decodeState).rescanLiteral
     0.15%  recommendation  recommendation     [.] math.modf
     0.15%  recommendation  [kernel.kallsyms]  [k] apic_timer_interrupt
     0.15%  recommendation  [kernel.kallsyms]  [k] ip_finish_output2
     0.15%  recommendation  [kernel.kallsyms]  [k] ipv4_confirm
     0.15%  recommendation  [kernel.kallsyms]  [k] __cgroup_bpf_run_filter_skb
     0.15%  recommendation  [kernel.kallsyms]  [k] get_futex_key
     0.15%  recommendation  [kernel.kallsyms]  [k] eth_type_trans
     0.14%  recommendation  recommendation     [.] net/url.unescape
     0.14%  recommendation  recommendation     [.] runtime.memclrNoHeapPointers
     0.14%  recommendation  recommendation     [.] runtime.exitsyscallfast
     0.14%  recommendation  recommendation     [.] runtime.usleep.abi0
     0.14%  recommendation  recommendation     [.] golang.org/x/net/http2/hpack.(*headerFieldTable).search
     0.14%  recommendation  recommendation     [.] runtime.pcdatavalue
     0.14%  recommendation  [kernel.kallsyms]  [k] do_softirq.part.0
     0.14%  recommendation  [kernel.kallsyms]  [k] native_sched_clock
     0.14%  recommendation  [kernel.kallsyms]  [k] __wake_up_common
     0.14%  recommendation  recommendation     [.] runtime.mapaccess2_faststr
     0.14%  recommendation  [kernel.kallsyms]  [k] ctx_sched_out
     0.14%  recommendation  recommendation     [.] github.com/rs/zerolog/internal/json.Encoder.AppendString
     0.14%  recommendation  recommendation     [.] google.golang.org/grpc/transport.(*controlBuffer).put
     0.14%  recommendation  [kernel.kallsyms]  [k] __kmalloc_node_track_caller
     0.14%  recommendation  [kernel.kallsyms]  [k] do_futex
     0.14%  recommendation  [kernel.kallsyms]  [k] __x86_indirect_thunk_rax
     0.14%  recommendation  recommendation     [.] github.com/rs/zerolog.ConsoleWriter.writePart
     0.13%  recommendation  [kernel.kallsyms]  [k] __virt_addr_valid
     0.13%  recommendation  recommendation     [.] runtime.(*mheap).allocSpan
     0.13%  recommendation  [kernel.kallsyms]  [k] account_entity_dequeue
     0.13%  recommendation  [kernel.kallsyms]  [k] skb_release_data
     0.13%  recommendation  [kernel.kallsyms]  [k] __calc_delta
     0.13%  recommendation  [kernel.kallsyms]  [k] x86_pmu_disable
     0.13%  recommendation  [kernel.kallsyms]  [k] ep_send_events_proc
     0.13%  recommendation  [kernel.kallsyms]  [k] common_file_perm
     0.13%  recommendation  [kernel.kallsyms]  [k] __inet_lookup_established
     0.13%  recommendation  recommendation     [.] runtime.stackalloc
     0.13%  recommendation  recommendation     [.] time.Now
     0.13%  recommendation  [kernel.kallsyms]  [k] hash_conntrack_raw
     0.13%  recommendation  [kernel.kallsyms]  [k] nf_ct_get_tuple
     0.13%  recommendation  recommendation     [.] syscall.read
     0.13%  recommendation  [kernel.kallsyms]  [k] vfs_write
     0.13%  recommendation  recommendation     [.] runtime.checkTimersNoP
     0.12%  recommendation  [kernel.kallsyms]  [k] __hrtimer_init
     0.12%  recommendation  [kernel.kallsyms]  [k] copy_user_generic_unrolled
     0.12%  recommendation  [kernel.kallsyms]  [k] update_cfs_rq_h_load
     0.12%  recommendation  recommendation     [.] runtime.typedmemmove
     0.12%  recommendation  [kernel.kallsyms]  [k] get_nohz_timer_target
     0.12%  recommendation  recommendation     [.] time.absDate
     0.12%  recommendation  recommendation     [.] encoding/json.stateEndValue
     0.12%  recommendation  recommendation     [.] path/filepath.Rel
     0.12%  recommendation  [kernel.kallsyms]  [k] veth_xmit
     0.12%  recommendation  [kernel.kallsyms]  [k] futex_wake
     0.12%  recommendation  [kernel.kallsyms]  [k] process_backlog
     0.12%  recommendation  recommendation     [.] github.com/rs/zerolog.ConsoleWriter.Write
     0.12%  recommendation  recommendation     [.] net.(*conn).Read
     0.12%  recommendation  [kernel.kallsyms]  [k] tcp_mstamp_refresh
     0.12%  recommendation  recommendation     [.] sync.(*Pool).pin
     0.12%  recommendation  [kernel.kallsyms]  [k] ip_output
     0.11%  recommendation  [kernel.kallsyms]  [k] conntrack_mt
     0.11%  recommendation  [kernel.kallsyms]  [k] __perf_event_task_sched_out
     0.11%  recommendation  recommendation     [.] golang.org/x/net/http2/hpack.(*Decoder).parseFieldIndexed
     0.11%  recommendation  recommendation     [.] encoding/json.indirect
     0.11%  recommendation  [kernel.kallsyms]  [k] __intel_pmu_enable_all.constprop.0
     0.11%  recommendation  recommendation     [.] internal/poll.(*fdMutex).rwlock
     0.11%  recommendation  [kernel.kallsyms]  [k] _raw_spin_lock_bh
     0.11%  recommendation  recommendation     [.] syscall.Syscall.abi0
     0.11%  recommendation  [kernel.kallsyms]  [k] _raw_write_lock_irq
     0.11%  recommendation  [kernel.kallsyms]  [k] set_task_cpu
     0.11%  recommendation  [kernel.kallsyms]  [k] ip_rcv_core.isra.0
     0.11%  recommendation  recommendation     [.] runtime.schedule
     0.10%  recommendation  recommendation     [.] runtime.(*mcache).refill
     0.10%  recommendation  [kernel.kallsyms]  [k] mark_wake_futex
     0.10%  recommendation  recommendation     [.] runtime.timeSleepUntil
     0.10%  recommendation  [kernel.kallsyms]  [k] finish_task_switch
     0.10%  recommendation  [kernel.kallsyms]  [k] pick_next_task_fair
     0.10%  recommendation  [kernel.kallsyms]  [k] lapic_next_deadline
     0.10%  recommendation  recommendation     [.] internal/poll.runtime_pollReset
     0.10%  recommendation  recommendation     [.] runtime.nanotime1.abi0
     0.10%  recommendation  recommendation     [.] github.com/golang/protobuf/proto.(*Buffer).enc_struct
     0.10%  recommendation  recommendation     [.] runtime.notetsleep_internal
     0.10%  recommendation  [kernel.kallsyms]  [k] enqueue_to_backlog
     0.10%  recommendation  recommendation     [.] encoding/json.unquoteBytes
     0.10%  recommendation  [kernel.kallsyms]  [k] tcp_queue_rcv
     0.10%  recommendation  recommendation     [.] context.(*cancelCtx).Done
     0.10%  recommendation  recommendation     [.] golang.org/x/net/http2/hpack.(*Decoder).at
     0.10%  recommendation  recommendation     [.] runtime.makechan
     0.10%  recommendation  recommendation     [.] context.(*valueCtx).Done
     0.10%  recommendation  recommendation     [.] runtime.releaseSudog
     0.10%  recommendation  [kernel.kallsyms]  [k] new_sync_write
     0.10%  recommendation  [kernel.kallsyms]  [k] apparmor_inode_getattr
     0.10%  recommendation  recommendation     [.] strings.ToLower
     0.10%  recommendation  [kernel.kallsyms]  [k] event_sched_in.isra.0
     0.10%  recommendation  recommendation     [.] github.com/uber/jaeger-client-go.(*textMapPropagator).Extract.func1
     0.10%  recommendation  recommendation     [.] runtime.(*spanSet).push
     0.10%  recommendation  [kernel.kallsyms]  [k] update_rq_clock
     0.10%  recommendation  recommendation     [.] reflect.packEface
     0.09%  recommendation  [kernel.kallsyms]  [k] __hrtimer_next_event_base
     0.09%  recommendation  [kernel.kallsyms]  [k] __fsnotify_parent
     0.09%  recommendation  [kernel.kallsyms]  [k] __check_object_size
     0.09%  recommendation  recommendation     [.] time.appendInt
     0.09%  recommendation  [kernel.kallsyms]  [k] br_nf_post_routing
     0.09%  recommendation  [kernel.kallsyms]  [k] __mod_memcg_state
     0.09%  recommendation  recommendation     [.] io.ReadAtLeast
     0.09%  recommendation  [kernel.kallsyms]  [k] group_sched_in
     0.09%  recommendation  [kernel.kallsyms]  [k] ipv4_mtu
     0.09%  recommendation  [kernel.kallsyms]  [k] do_user_addr_fault
     0.09%  recommendation  [kernel.kallsyms]  [k] path_init
     0.09%  recommendation  [kernel.kallsyms]  [k] tcp_stream_memory_free
     0.09%  recommendation  [kernel.kallsyms]  [k] __cgroup_account_cputime
     0.09%  recommendation  recommendation     [.] github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.OpenTracingServerInterceptor.func1
     0.09%  recommendation  [kernel.kallsyms]  [k] security_socket_recvmsg
     0.09%  recommendation  recommendation     [.] runtime.slicebytetostring
     0.09%  recommendation  [kernel.kallsyms]  [k] nf_nat_ipv4_out
     0.09%  recommendation  [kernel.kallsyms]  [k] place_entity
     0.09%  recommendation  recommendation     [.] runtime.concatstrings
     0.09%  recommendation  [kernel.kallsyms]  [k] nf_nat_packet
     0.09%  recommendation  recommendation     [.] google.golang.org/grpc/transport.(*http2Server).handleData
     0.09%  recommendation  recommendation     [.] strconv.FormatInt
     0.09%  recommendation  [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     0.09%  recommendation  [kernel.kallsyms]  [k] fput_many
     0.09%  recommendation  [kernel.kallsyms]  [k] interrupt_entry
     0.09%  recommendation  [kernel.kallsyms]  [k] raw_local_deliver
     0.09%  recommendation  recommendation     [.] runtime.(*mcache).prepareForSweep
     0.09%  recommendation  [kernel.kallsyms]  [k] __ksize
     0.09%  recommendation  recommendation     [.] runtime.(*consistentHeapStats).acquire
     0.08%  recommendation  recommendation     [.] runtime.duffcopy
     0.08%  recommendation  recommendation     [.] runtime.mapiterinit
     0.08%  recommendation  [kernel.kallsyms]  [k] fpregs_assert_state_consistent
     0.08%  recommendation  [kernel.kallsyms]  [k] sock_sendmsg
     0.08%  recommendation  recommendation     [.] runtime.notesleep
     0.08%  recommendation  recommendation     [.] bufio.(*Reader).Read
     0.08%  recommendation  [kernel.kallsyms]  [k] apparmor_socket_sendmsg
     0.08%  recommendation  [kernel.kallsyms]  [k] do_nanosleep
     0.08%  recommendation  [kernel.kallsyms]  [k] rb_erase
     0.08%  recommendation  recommendation     [.] runtime.sellock
     0.08%  recommendation  recommendation     [.] runtime.runqget
     0.08%  recommendation  [kernel.kallsyms]  [k] br_nf_hook_thresh
     0.08%  recommendation  [kernel.kallsyms]  [k] skb_entail
     0.08%  recommendation  recommendation     [.] reflect.(*rtype).Field
     0.08%  recommendation  recommendation     [.] reflect.Value.SetMapIndex
     0.08%  recommendation  [kernel.kallsyms]  [k] update_min_vruntime
     0.08%  recommendation  [kernel.kallsyms]  [k] ip_rcv_finish_core.isra.0
     0.08%  recommendation  recommendation     [.] reflect.Value.Elem
     0.08%  recommendation  [kernel.kallsyms]  [k] __remove_hrtimer
     0.08%  recommendation  [kernel.kallsyms]  [k] futex_wait_setup
     0.08%  recommendation  recommendation     [.] encoding/json.stateBeginValue
     0.08%  recommendation  [kernel.kallsyms]  [k] ep_poll_callback
     0.08%  recommendation  [kernel.kallsyms]  [k] tcp_cleanup_rbuf
     0.08%  recommendation  [kernel.kallsyms]  [k] account_entity_enqueue
     0.08%  recommendation  [kernel.kallsyms]  [k] memset_erms
     0.08%  recommendation  recommendation     [.] runtime.netpollblock
     0.08%  recommendation  [kernel.kallsyms]  [k] kmem_cache_free
     0.08%  recommendation  recommendation     [.] golang.org/x/net/http2/hpack.(*Encoder).WriteField
     0.08%  recommendation  recommendation     [.] reflect.Value.assignTo
     0.08%  recommendation  [kernel.kallsyms]  [k] security_sock_rcv_skb
     0.08%  recommendation  [kernel.kallsyms]  [k] ktime_get
     0.08%  recommendation  recommendation     [.] github.com/golang/protobuf/proto.(*Buffer).Marshal
     0.08%  recommendation  recommendation     [.] runtime.goready.func1
     0.08%  recommendation  recommendation     [.] github.com/golang/protobuf/proto.GetProperties
     0.07%  recommendation  recommendation     [.] github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.metadataReaderWriter.ForeachKey
     0.07%  recommendation  recommendation     [.] reflect.valueInterface
     0.07%  recommendation  recommendation     [.] internal/poll.(*fdMutex).rwunlock
     0.07%  recommendation  recommendation     [.] runtime.makeslice
     0.07%  recommendation  [kernel.kallsyms]  [k] swapgs_restore_regs_and_return_to_usermode
     0.07%  recommendation  [kernel.kallsyms]  [k] vfs_getattr_nosec
     0.07%  recommendation  recommendation     [.] runtime.(*mspan).refillAllocCache
     0.07%  recommendation  [kernel.kallsyms]  [k] br_nf_pre_routing_finish
     0.07%  recommendation  [kernel.kallsyms]  [k] net_rx_action
     0.07%  recommendation  [kernel.kallsyms]  [k] tcp_recv_timestamp
     0.07%  recommendation  recommendation     [.] google.golang.org/grpc/transport.(*http2Server).closeStream
     0.07%  recommendation  [kernel.kallsyms]  [k] arch_perf_update_userpage
     0.07%  recommendation  recommendation     [.] internal/poll.(*FD).Write
     0.07%  recommendation  recommendation     [.] google.golang.org/grpc/transport.(*http2Server).itemHandler-fm
     0.07%  recommendation  recommendation     [.] golang.org/x/net/http2.(*Framer).checkFrameOrder
     0.07%  recommendation  [kernel.kallsyms]  [k] __br_forward
     0.07%  recommendation  [kernel.kallsyms]  [k] br_nf_forward_finish
     0.07%  recommendation  recommendation     [.] runtime.mapdelete_fast32
     0.07%  recommendation  recommendation     [.] context.(*valueCtx).Value
     0.07%  recommendation  recommendation     [.] runtime.wirep
     0.07%  recommendation  recommendation     [.] runtime.typehash
     0.07%  recommendation  [kernel.kallsyms]  [k] legitimize_links
     0.07%  recommendation  [kernel.kallsyms]  [k] page_counter_try_charge
     0.07%  recommendation  [kernel.kallsyms]  [k] __x64_sys_nanosleep
     0.07%  recommendation  [kernel.kallsyms]  [k] validate_xmit_skb
     0.07%  recommendation  [kernel.kallsyms]  [k] schedule_hrtimeout_range
     0.07%  recommendation  [kernel.kallsyms]  [k] conntrack_mt_v3
     0.07%  recommendation  [kernel.kallsyms]  [k] kmem_cache_alloc_node
     0.07%  recommendation  recommendation     [.] runtime.startm
     0.07%  recommendation  recommendation     [.] runtime.funcMaxSPDelta
     0.07%  recommendation  recommendation     [.] github.com/rs/zerolog.consoleDefaultFormatLevel.func1
     0.07%  recommendation  recommendation     [.] runtime.mcall
     0.07%  recommendation  [kernel.kallsyms]  [k] nf_ct_seq_offset
     0.07%  recommendation  [kernel.kallsyms]  [k] vfs_getattr
     0.07%  recommendation  recommendation     [.] fmt.(*fmt).fmtInteger
     0.07%  recommendation  recommendation     [.] github.com/golang/protobuf/proto.(*Buffer).unmarshalType
     0.07%  recommendation  recommendation     [.] google.golang.org/grpc/transport.(*http2Server).HandleStreams
     0.07%  recommendation  [kernel.kallsyms]  [k] migrate_task_rq_fair
     0.07%  recommendation  recommendation     [.] golang.org/x/net/http2.(*Framer).WriteDataPadded
     0.07%  recommendation  recommendation     [.] runtime.mapaccess2
     0.07%  recommendation  [kernel.kallsyms]  [k] generic_update_time
     0.07%  recommendation  [kernel.kallsyms]  [k] _raw_read_lock_irqsave
     0.07%  recommendation  [kernel.kallsyms]  [k] inet6_sendmsg
     0.07%  recommendation  [kernel.kallsyms]  [k] ip_queue_xmit
     0.07%  recommendation  recommendation     [.] fmt.(*fmt).fmtS
     0.07%  recommendation  recommendation     [.] bytes.(*Buffer).WriteByte
     0.06%  recommendation  [kernel.kallsyms]  [k] do_epoll_wait
     0.06%  recommendation  recommendation     [.] golang.org/x/net/http2/hpack.readVarInt
     0.06%  recommendation  recommendation     [.] runtime.getitab
     0.06%  recommendation  recommendation     [.] context.WithValue
     0.06%  recommendation  [kernel.kallsyms]  [k] br_handle_frame_finish
     0.06%  recommendation  [kernel.kallsyms]  [k] page_fault
     0.06%  recommendation  [kernel.kallsyms]  [k] mod_timer
     0.06%  recommendation  [kernel.kallsyms]  [k] wakeup_preempt_entity.isra.0
     0.06%  recommendation  [kernel.kallsyms]  [k] mutex_unlock
     0.06%  recommendation  recommendation     [.] golang.org/x/net/http2/hpack.(*Encoder).searchTable
     0.06%  recommendation  [kernel.kallsyms]  [k] __mod_lruvec_state
     0.06%  recommendation  [kernel.kallsyms]  [k] skb_csum_hwoffload_help
     0.06%  recommendation  recommendation     [.] runtime.park_m
     0.06%  recommendation  [kernel.kallsyms]  [k] netif_skb_features
     0.06%  recommendation  [kernel.kallsyms]  [k] nf_nat_inet_fn
     0.06%  recommendation  recommendation     [.] sort.Sort
     0.06%  recommendation  recommendation     [.] reflect.Value.Convert
     0.06%  recommendation  [kernel.kallsyms]  [k] intel_pstate_update_util
     0.06%  recommendation  recommendation     [.] runtime.acquireSudog
     0.06%  recommendation  [kernel.kallsyms]  [k] resched_curr
     0.06%  recommendation  [kernel.kallsyms]  [k] ksoftirqd_running
     0.06%  recommendation  [kernel.kallsyms]  [k] tcp_v4_early_demux
     0.06%  recommendation  [kernel.kallsyms]  [k] ip_rcv
     0.06%  recommendation  [kernel.kallsyms]  [k] hrtimer_start_range_ns
     0.06%  recommendation  recommendation     [.] runtime.typedmemclr
     0.06%  recommendation  [kernel.kallsyms]  [k] tcp_event_data_recv
     0.06%  recommendation  recommendation     [.] runtime.save
     0.06%  recommendation  [kernel.kallsyms]  [k] cpumask_next_wrap
     0.06%  recommendation  recommendation     [.] runtime.gfget
     0.06%  recommendation  recommendation     [.] google.golang.org/grpc/transport.(*http2Server).Write
     0.06%  recommendation  recommendation     [.] golang.org/x/net/http2.validWireHeaderFieldName
     0.06%  recommendation  [kernel.kallsyms]  [k] __count_memcg_events
     0.06%  recommendation  recommendation     [.] time.Date
     0.06%  recommendation  recommendation     [.] github.com/rs/zerolog.(*Event).msg
     0.06%  recommendation  [kernel.kallsyms]  [k] _copy_from_user
     0.06%  recommendation  [kernel.kallsyms]  [k] sock_zerocopy_put
     0.06%  recommendation  recommendation     [.] reflect.(*structType).Field
     0.06%  recommendation  [kernel.kallsyms]  [k] get_mem_cgroup_from_mm
     0.06%  recommendation  recommendation     [.] sync.(*RWMutex).Unlock
     0.06%  recommendation  [kernel.kallsyms]  [k] release_sock
     0.06%  recommendation  [kernel.kallsyms]  [k] memcmp
     0.06%  recommendation  recommendation     [.] syscall.Getwd
     0.06%  recommendation  recommendation     [.] runtime.convTstring
     0.06%  recommendation  [kernel.kallsyms]  [k] inet6_recvmsg
     0.06%  recommendation  [kernel.kallsyms]  [k] rcu_all_qs
     0.06%  recommendation  recommendation     [.] sync.(*Pool).Put
     0.06%  recommendation  [kernel.kallsyms]  [k] ovl_getattr
     0.06%  recommendation  recommendation     [.] runtime.funcspdelta
