# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 57K of event 'cycles'
# Event count (approx.): 130772258060
#
# Overhead  Command  Shared Object       Symbol                                                                                             
# ........  .......  ..................  ...................................................................................................
#
     0.13%  profile  profile             [.] runtime.nanotime1.abi0
     0.13%  profile  profile             [.] runtime.typedmemmove
     0.13%  profile  profile             [.] github.com/rs/zerolog.ConsoleWriter.Write
     0.13%  profile  profile             [.] runtime.systemstack.abi0
     0.13%  profile  [kernel.kallsyms]   [k] interrupt_entry
     0.12%  profile  profile             [.] runtime.concatstrings
     0.12%  profile  profile             [.] github.com/harlow/go-micro-services/services/profile.(*Server).GetProfiles
     0.12%  profile  profile             [.] runtime.gcResetMarkState.func1
     0.12%  profile  profile             [.] reflect.Value.assignTo
     0.12%  profile  profile             [.] github.com/uber/jaeger-client-go.(*Tracer).startSpanWithOptions
     0.12%  profile  profile             [.] runtime.trygetfull
     0.12%  profile  profile             [.] syscall.Getwd
     0.12%  profile  [kernel.kallsyms]   [k] pick_next_task_fair
     0.12%  profile  [kernel.kallsyms]   [k] tcp_in_window
     0.12%  profile  profile             [.] runtime.mapassign_faststr
     0.12%  profile  profile             [.] runtime.slicebytetostring
     0.12%  profile  profile             [.] github.com/rs/zerolog.ConsoleWriter.writePart
     0.11%  profile  [kernel.kallsyms]   [k] __nf_conntrack_find_get
     0.11%  profile  profile             [.] runtime.resolveTypeOff
     0.11%  profile  profile             [.] fmt.isSpace
     0.11%  profile  profile             [.] runtime.mapaccess2
     0.11%  profile  profile             [.] google.golang.org/grpc/transport.(*http2Server).itemHandler
     0.11%  profile  profile             [.] runtime.funcMaxSPDelta
     0.11%  profile  profile             [.] sync.(*poolChain).popTail
     0.11%  profile  profile             [.] reflect.(*rtype).Elem
     0.11%  profile  [kernel.kallsyms]   [k] __calc_delta
     0.11%  profile  profile             [.] indexbytebody
     0.11%  profile  [kernel.kallsyms]   [k] update_cfs_rq_h_load
     0.11%  profile  [kernel.kallsyms]   [k] __tcp_transmit_skb
     0.11%  profile  [kernel.kallsyms]   [k] timerqueue_add
     0.11%  profile  [kernel.kallsyms]   [k] veth_xmit
     0.11%  profile  profile             [.] sync.(*Pool).Get
     0.11%  profile  profile             [.] sync.(*Pool).Put
     0.11%  profile  [kernel.kallsyms]   [k] __dev_queue_xmit
     0.11%  profile  profile             [.] runtime.reentersyscall
     0.10%  profile  profile             [.] runtime.exitsyscall
     0.10%  profile  [kernel.kallsyms]   [k] copy_user_generic_unrolled
     0.10%  profile  profile             [.] syscall.Getenv
     0.10%  profile  [kernel.kallsyms]   [k] __perf_event_task_sched_in
     0.10%  profile  profile             [.] strconv.ParseUint
     0.10%  profile  profile             [.] runtime.duffzero
     0.10%  profile  profile             [.] runtime.futex.abi0
     0.10%  profile  [kernel.kallsyms]   [k] dequeue_task_fair
     0.10%  profile  [kernel.kallsyms]   [k] select_idle_sibling.part.0
     0.10%  profile  profile             [.] runtime.(*mcache).releaseAll
     0.10%  profile  profile             [.] github.com/rs/zerolog.(*Event).msg
     0.10%  profile  profile             [.] runtime.makeslice
     0.10%  profile  profile             [.] reflect.Value.Set
     0.10%  profile  profile             [.] runtime.getitab
     0.10%  profile  [kernel.kallsyms]   [k] tcp_sendmsg_locked
     0.10%  profile  profile             [.] runtime.netpoll
     0.10%  profile  profile             [.] sync.(*Pool).pin
     0.09%  profile  [kernel.kallsyms]   [k] ip_finish_output2
     0.09%  profile  [kernel.kallsyms]   [k] __netif_receive_skb_core
     0.09%  profile  profile             [.] encoding/json.(*decodeState).scanWhile
     0.09%  profile  [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
     0.09%  profile  profile             [.] golang.org/x/net/http2.(*Framer).readMetaFrame.func1
     0.09%  profile  [kernel.kallsyms]   [k] ep_poll_callback
     0.09%  profile  profile             [.] runtime.duffcopy
     0.09%  profile  profile             [.] runtime.(*mheap).nextSpanForSweep
     0.09%  profile  [kernel.kallsyms]   [k] futex_wait
     0.09%  profile  [kernel.kallsyms]   [k] nf_conntrack_in
     0.09%  profile  profile             [.] os.(*File).Write
     0.09%  profile  profile             [.] encoding/json.(*decodeState).value
     0.09%  profile  [kernel.kallsyms]   [k] read_tsc
     0.09%  profile  profile             [.] google.golang.org/grpc/transport.(*decodeState).processHeaderField
     0.09%  profile  [kernel.kallsyms]   [k] __perf_event_task_sched_out
     0.09%  profile  profile             [.] fmt.(*fmt).fmtInteger
     0.09%  profile  [kernel.kallsyms]   [k] rb_next
     0.08%  profile  profile             [.] runtime.mapiterinit
     0.08%  profile  [kernel.kallsyms]   [k] __virt_addr_valid
     0.08%  profile  [kernel.kallsyms]   [k] perf_swevent_add
     0.08%  profile  profile             [.] reflect.Value.Elem
     0.08%  profile  [kernel.kallsyms]   [k] __lock_text_start
     0.08%  profile  [kernel.kallsyms]   [k] ctx_sched_in
     0.08%  profile  profile             [.] encoding/json.stateBeginValue
     0.08%  profile  profile             [.] runtime.usleep.abi0
     0.08%  profile  profile             [.] runtime.(*mspan).refillAllocCache
     0.08%  profile  profile             [.] runtime.suspendG
     0.08%  profile  profile             [.] runtime.scanframeworker
     0.08%  profile  profile             [.] google.golang.org/grpc.(*Server).processUnaryRPC
     0.08%  profile  profile             [.] runtime.runqget
     0.08%  profile  [kernel.kallsyms]   [k] update_blocked_averages
     0.08%  profile  profile             [.] runtime.exitsyscallfast
     0.08%  profile  profile             [.] runtime.cgoSigtramp
     0.07%  profile  profile             [.] time.Time.locabs
     0.07%  profile  profile             [.] runtime.notesleep
     0.07%  profile  [kernel.kallsyms]   [k] br_handle_frame
     0.07%  profile  [kernel.kallsyms]   [k] attach_entity_load_avg
     0.07%  profile  [kernel.kallsyms]   [k] fpregs_assert_state_consistent
     0.07%  profile  [kernel.kallsyms]   [k] update_min_vruntime
     0.07%  profile  profile             [.] runtime.retake
     0.07%  profile  [kernel.kallsyms]   [k] copy_fpstate_to_sigframe
     0.07%  profile  profile             [.] runtime.(*mheap).freeSpanLocked
     0.07%  profile  [kernel.kallsyms]   [k] tcp_v4_rcv
     0.07%  profile  [kernel.kallsyms]   [k] find_next_bit
     0.07%  profile  [kernel.kallsyms]   [k] tcp_ack
     0.07%  profile  [kernel.kallsyms]   [k] tcp_write_xmit
     0.07%  profile  profile             [.] github.com/rs/zerolog.ConsoleWriter.writeFields
     0.07%  profile  profile             [.] internal/poll.(*FD).Write
     0.07%  profile  [kernel.kallsyms]   [k] amd_clear_divider
     0.07%  profile  profile             [.] runtime.sellock
     0.07%  profile  [kernel.kallsyms]   [k] tcp_recvmsg
     0.07%  profile  [kernel.kallsyms]   [k] native_apic_msr_eoi_write
     0.07%  profile  profile             [.] runtime.gcWriteBarrierCX
     0.07%  profile  profile             [.] sync.(*RWMutex).Lock
     0.07%  profile  profile             [.] encoding/json.(*decodeState).unmarshal
     0.07%  profile  [kernel.kallsyms]   [k] __x64_sys_futex
     0.07%  profile  [kernel.kallsyms]   [k] __task_pid_nr_ns
     0.07%  profile  profile             [.] runtime.pidleget
     0.07%  profile  profile             [.] bytes.(*Buffer).WriteByte
     0.07%  profile  [kernel.kallsyms]   [k] futex_wake
     0.07%  profile  profile             [.] runtime.chansend
     0.06%  profile  [kernel.kallsyms]   [k] __x86_indirect_thunk_rax
     0.06%  profile  [kernel.kallsyms]   [k] native_flush_tlb_one_user
     0.06%  profile  profile             [.] runtime.(*gcControllerState).enlistWorker
     0.06%  profile  profile             [.] github.com/golang/protobuf/proto.(*Buffer).enc_struct
     0.06%  profile  profile             [.] runtime.(*gcControllerState).findRunnableGCWorker
     0.06%  profile  profile             [.] runtime.newstack
     0.06%  profile  [kernel.kallsyms]   [k] hash_conntrack_raw
     0.06%  profile  profile             [.] runtime.pcdatavalue
     0.06%  profile  [kernel.kallsyms]   [k] __fpu__restore_sig
     0.06%  profile  profile             [.] reflect.name.name
     0.06%  profile  profile             [.] io.ReadAtLeast
     0.06%  profile  profile             [.] google.golang.org/grpc/transport.(*http2Server).operateHeaders
     0.06%  profile  profile             [.] golang.org/x/net/http2.(*Framer).ReadFrame
     0.06%  profile  [kernel.kallsyms]   [k] do_futex
     0.06%  profile  profile             [.] context.(*cancelCtx).Done
     0.06%  profile  [kernel.kallsyms]   [k] smp_call_function_many
     0.06%  profile  [kernel.kallsyms]   [k] __fsnotify_parent
     0.06%  profile  profile             [.] internal/poll.(*FD).Read
     0.06%  profile  [kernel.kallsyms]   [k] br_nf_pre_routing
     0.06%  profile  profile             [.] syscall.Syscall.abi0
     0.06%  profile  [kernel.kallsyms]   [k] __local_bh_enable_ip
     0.06%  profile  [kernel.kallsyms]   [k] apic_timer_interrupt
     0.06%  profile  profile             [.] fmt.(*ss).ReadRune
     0.06%  profile  profile             [.] fmt.(*ss).advance
     0.06%  profile  profile             [.] runtime.stackfree
     0.06%  profile  profile             [.] runtime.mcall
     0.06%  profile  [kernel.kallsyms]   [k] path_init
     0.06%  profile  profile             [.] runtime.checkTimersNoP
     0.06%  profile  [kernel.kallsyms]   [k] __x64_sys_getcwd
     0.06%  profile  profile             [.] runtime.preemptone
     0.06%  profile  profile             [.] reflect.Value.Convert
     0.06%  profile  [kernel.kallsyms]   [k] __hrtimer_run_queues
     0.06%  profile  profile             [.] github.com/rs/zerolog.(*Event).write
     0.06%  profile  profile             [.] runtime.(*spanSetBlockAlloc).alloc
     0.06%  profile  profile             [.] runtime.markroot.func1
     0.06%  profile  [kernel.kallsyms]   [k] common_file_perm
     0.06%  profile  [kernel.kallsyms]   [k] apparmor_task_kill
     0.06%  profile  profile             [.] runtime.(*mcache).nextFree
     0.06%  profile  profile             [.] time.absDate
     0.06%  profile  [kernel.kallsyms]   [k] vfs_getattr_nosec
     0.06%  profile  profile             [.] runtime.scanstack
     0.06%  profile  profile             [.] github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.OpenTracingServerInterceptor.func1
     0.06%  profile  profile             [.] sort.Sort
     0.06%  profile  profile             [.] time.(*Location).lookup
     0.05%  profile  profile             [.] google.golang.org/grpc/transport.(*http2Server).WriteStatus
     0.05%  profile  profile             [.] github.com/rs/zerolog.(*Logger).newEvent
     0.05%  profile  profile             [.] reflect.Value.Type
     0.05%  profile  profile             [.] strings.ToLower
     0.05%  profile  [kernel.kallsyms]   [k] schedule
     0.05%  profile  [kernel.kallsyms]   [k] ctx_sched_out
     0.05%  profile  [kernel.kallsyms]   [k] fdb_find_rcu
     0.05%  profile  [kernel.kallsyms]   [k] dequeue_entity
     0.05%  profile  profile             [.] runtime.gcBgMarkWorker
     0.05%  profile  [kernel.kallsyms]   [k] __check_heap_object
     0.05%  profile  profile             [.] runtime.futexsleep
     0.05%  profile  profile             [.] runtime.stackalloc
     0.05%  profile  profile             [.] runtime.funcspdelta
     0.05%  profile  [kernel.kallsyms]   [k] strncpy_from_user
     0.05%  profile  [kernel.kallsyms]   [k] pick_next_entity
     0.05%  profile  profile             [.] runtime.(*gcWork).tryGet
     0.05%  profile  [kernel.kallsyms]   [k] futex_wait_queue_me
     0.05%  profile  profile             [.] sync.(*RWMutex).Unlock
     0.05%  profile  profile             [.] reflect.directlyAssignable
     0.05%  profile  [kernel.kallsyms]   [k] __kmalloc_node_track_caller
     0.05%  profile  profile             [.] runtime.gopark
     0.05%  profile  [kernel.kallsyms]   [k] __x64_sys_nanosleep
     0.05%  profile  [kernel.kallsyms]   [k] update_rq_clock
     0.05%  profile  [kernel.kallsyms]   [k] record_times
     0.05%  profile  profile             [.] reflect.makemap
     0.05%  profile  [kernel.kallsyms]   [k] get_l4proto
     0.05%  profile  [kernel.kallsyms]   [k] prepend_path.isra.0
     0.05%  profile  [kernel.kallsyms]   [k] ipv4_dst_check
     0.05%  profile  profile             [.] runtime.convTstring
     0.05%  profile  [kernel.kallsyms]   [k] __wake_up_common
     0.05%  profile  [kernel.kallsyms]   [k] futex_wait_setup
     0.05%  profile  [kernel.kallsyms]   [k] __clear_user
     0.05%  profile  profile             [.] strconv.formatBits
     0.05%  profile  [kernel.kallsyms]   [k] tcp_rcv_established
     0.05%  profile  [kernel.kallsyms]   [k] exit_to_usermode_loop
     0.05%  profile  [kernel.kallsyms]   [k] tcp_clean_rtx_queue
     0.05%  profile  [kernel.kallsyms]   [k] __slab_free
     0.05%  profile  profile             [.] fmt.Sprintf
     0.05%  profile  profile             [.] time.Date
     0.05%  profile  [kernel.kallsyms]   [k] skb_release_data
     0.05%  profile  profile             [.] reflect.(*rtype).Kind
     0.05%  profile  profile             [.] github.com/uber/jaeger-client-go/utils.(*lockedSource).Int63
     0.05%  profile  profile             [.] golang.org/x/net/http2/hpack.(*Decoder).at
     0.05%  profile  profile             [.] runtime.(*mcentral).uncacheSpan
     0.05%  profile  profile             [.] reflect.valueInterface
     0.05%  profile  profile             [.] runtime.shrinkstack
     0.05%  profile  profile             [.] github.com/uber/jaeger-client-go.(*Tracer).startSpanInternal
     0.05%  profile  [kernel.kallsyms]   [k] sock_poll
     0.05%  profile  [kernel.kallsyms]   [k] ip_rcv_core.isra.0
     0.05%  profile  [kernel.kallsyms]   [k] do_signal
     0.05%  profile  profile             [.] github.com/golang/protobuf/proto.(*Buffer).enc_proto3_string
     0.05%  profile  [kernel.kallsyms]   [k] fpu__clear
     0.05%  profile  [kernel.kallsyms]   [k] newidle_balance
     0.05%  profile  [kernel.kallsyms]   [k] __inet_lookup_established
     0.05%  profile  profile             [.] runtime.copystack
     0.05%  profile  profile             [.] github.com/bradfitz/gomemcache/memcache.(*Client).GetMulti
     0.05%  profile  profile             [.] unicode/utf8.DecodeRuneInString
     0.05%  profile  [kernel.kallsyms]   [k] inode_permission
     0.05%  profile  profile             [.] runtime.(*Frames).Next
     0.05%  profile  [kernel.kallsyms]   [k] __dequeue_signal
     0.05%  profile  [kernel.kallsyms]   [k] pipe_write
     0.05%  profile  profile             [.] runtime.mapdelete
     0.05%  profile  [kernel.kallsyms]   [k] account_entity_dequeue
     0.05%  profile  profile             [.] internal/poll.(*fdMutex).rwunlock
     0.05%  profile  [kernel.kallsyms]   [k] recalc_sigpending
     0.04%  profile  [kernel.kallsyms]   [k] skb_page_frag_refill
     0.04%  profile  profile             [.] reflect.(*rtype).ptrTo
     0.04%  profile  profile             [.] time.atoi
     0.04%  profile  [kernel.kallsyms]   [k] ipv4_conntrack_defrag
     0.04%  profile  profile             [.] runtime.convT2I
     0.04%  profile  profile             [.] runtime.makechan
     0.04%  profile  [kernel.kallsyms]   [k] kmem_cache_alloc_node
     0.04%  profile  profile             [.] reflect.packEface
     0.04%  profile  [kernel.kallsyms]   [k] rb_insert_color
     0.04%  profile  profile             [.] github.com/rs/zerolog.(*LevelWriterAdapter).WriteLevel
     0.04%  profile  profile             [.] github.com/golang/protobuf/proto.(*Buffer).unmarshalType
     0.04%  profile  profile             [.] reflect.(*rtype).NumMethod
     0.04%  profile  profile             [.] golang.org/x/net/http2.(*Framer).WriteHeaders
     0.04%  profile  profile             [.] runtime.gcFlushBgCredit
     0.04%  profile  [kernel.kallsyms]   [k] mutex_lock
     0.04%  profile  profile             [.] runtime.stackcache_clear
     0.04%  profile  profile             [.] github.com/rs/zerolog.consoleDefaultFormatCaller.func1
     0.04%  profile  profile             [.] runtime.stackpoolalloc
     0.04%  profile  profile             [.] runtime.binarySearchTree
     0.04%  profile  profile             [.] encoding/json.stateBeginString
     0.04%  profile  profile             [.] runtime.sigfwdgo
     0.04%  profile  profile             [.] runtime.sysmon
     0.04%  profile  [kernel.kallsyms]   [k] prepend_name
     0.04%  profile  profile             [.] reflect.New
     0.04%  profile  [kernel.kallsyms]   [k] nf_ct_seq_offset
     0.04%  profile  profile             [.] github.com/uber/jaeger-client-go.(*Span).FinishWithOptions
     0.04%  profile  [kernel.kallsyms]   [k] validate_xmit_skb
     0.04%  profile  [kernel.kallsyms]   [k] enqueue_to_backlog
     0.04%  profile  profile             [.] runtime.doSigPreempt
     0.04%  profile  [kernel.kallsyms]   [k] filename_lookup
     0.04%  profile  profile             [.] google.golang.org/grpc/transport.(*quotaPool).get
     0.04%  profile  profile             [.] runtime.(*mcache).prepareForSweep
     0.04%  profile  profile             [.] github.com/golang/protobuf/proto.GetProperties
     0.04%  profile  [kernel.kallsyms]   [k] place_entity
     0.04%  profile  profile             [.] bufio.(*Reader).Read
     0.04%  profile  profile             [.] runtime.memequal
     0.04%  profile  profile             [.] golang.org/x/net/http2.validWireHeaderFieldName
     0.04%  profile  profile             [.] runtime.gcAssistAlloc
     0.04%  profile  profile             [.] github.com/harlow/go-micro-services/services/profile/proto._Profile_GetProfiles_Handler.func1
     0.04%  profile  [kernel.kallsyms]   [k] put_prev_entity
     0.04%  profile  profile             [.] reflect.resolveTypeOff
     0.04%  profile  profile             [.] runtime.mDoFixup
     0.04%  profile  [kernel.kallsyms]   [k] ext4_getattr
     0.04%  profile  [kernel.kallsyms]   [k] nf_ct_get_tuple
     0.04%  profile  [kernel.kallsyms]   [k] flexible_sched_in
     0.04%  profile  profile             [.] internal/poll.(*fdMutex).rwlock
     0.04%  profile  profile             [.] fmt.(*readRune).ReadRune
     0.04%  profile  profile             [.] runtime.pidleput
     0.04%  profile  [kernel.kallsyms]   [k] activate_task
     0.04%  profile  [kernel.kallsyms]   [k] account_entity_enqueue
     0.04%  profile  [kernel.kallsyms]   [k] common_perm
     0.04%  profile  [kernel.kallsyms]   [k] cpumask_next_wrap
     0.04%  profile  profile             [.] runtime.deductSweepCredit
     0.04%  profile  profile             [.] google.golang.org/grpc/transport.(*controlBuffer).put
     0.04%  profile  profile             [.] fmt.(*fmt).padString
     0.04%  profile  profile             [.] google.golang.org/grpc/transport.(*http2Server).closeStream
     0.04%  profile  profile             [.] runtime.(*gcControllerState).revise
     0.04%  profile  profile             [.] reflect.Value.SetMapIndex
     0.04%  profile  [kernel.kallsyms]   [k] set_next_entity
     0.04%  profile  profile             [.] github.com/golang/protobuf/proto.getbase
     0.04%  profile  profile             [.] runtime.gcWriteBarrierDX
     0.04%  profile  profile             [.] runtime.freeSomeWbufs
     0.04%  profile  profile             [.] reflect.Value.SetString
     0.04%  profile  profile             [.] fmt.(*fmt).truncateString
     0.04%  profile  [kernel.kallsyms]   [k] __update_idle_core
     0.04%  profile  profile             [.] github.com/uber/jaeger-client-go.ContextFromString
     0.04%  profile  profile             [.] internal/reflectlite.(*rtype).Comparable
     0.04%  profile  [kernel.kallsyms]   [k] finish_task_switch
     0.04%  profile  profile             [.] reflect.makeString
     0.04%  profile  profile             [.] strconv.special
     0.04%  profile  [kernel.kallsyms]   [k] _raw_read_lock_irqsave
     0.04%  profile  profile             [.] time.Now
     0.04%  profile  profile             [.] encoding/json.(*scanner).pushParseState
     0.04%  profile  profile             [.] runtime.interhash
     0.04%  profile  [kernel.kallsyms]   [k] memcpy_erms
     0.04%  profile  profile             [.] time.getnum
     0.04%  profile  profile             [.] time.(*Location).get
     0.04%  profile  profile             [.] runtime.checkRunqsNoP
     0.04%  profile  profile             [.] runtime.execute
     0.04%  profile  [kernel.kallsyms]   [k] set_task_cpu
     0.04%  profile  [kernel.kallsyms]   [k] __check_object_size
     0.04%  profile  [kernel.kallsyms]   [k] ovl_getattr
     0.04%  profile  [kernel.kallsyms]   [k] clear_buddies
     0.04%  profile  [kernel.kallsyms]   [k] find_task_by_vpid
     0.04%  profile  [kernel.kallsyms]   [k] x86_pmu_disable
     0.04%  profile  [kernel.kallsyms]   [k] tcp_rearm_rto
     0.04%  profile  profile             [.] github.com/rs/zerolog.consoleDefaultFormatTimestamp.func1
     0.04%  profile  [kernel.kallsyms]   [k] ktime_get
     0.04%  profile  profile             [.] google.golang.org/grpc/transport.(*http2Server).HandleStreams
     0.04%  profile  profile             [.] reflect.MakeMapWithSize
     0.04%  profile  profile             [.] encoding/json.(*Decoder).Decode
     0.04%  profile  profile             [.] net/url.unescape
     0.04%  profile  profile             [.] runtime.bgsweep
     0.04%  profile  profile             [.] math/rand.(*rngSource).Int63
     0.04%  profile  [kernel.kallsyms]   [k] ipv4_mtu
     0.04%  profile  profile             [.] runtime.markrootSpans
     0.04%  profile  profile             [.] github.com/rs/zerolog.(*ConsoleWriter).Write
     0.04%  profile  profile             [.] internal/poll.runtime_pollReset
     0.04%  profile  [kernel.kallsyms]   [k] hrtimer_interrupt
     0.04%  profile  [kernel.kallsyms]   [k] ip_rcv_finish_core.isra.0
     0.04%  profile  [kernel.kallsyms]   [k] __cgroup_bpf_run_filter_skb
     0.04%  profile  [kernel.kallsyms]   [k] mod_timer
     0.04%  profile  profile             [.] runtime.gfget
     0.04%  profile  [kernel.kallsyms]   [k] br_handle_frame_finish
     0.04%  profile  [kernel.kallsyms]   [k] __legitimize_mnt
     0.04%  profile  profile             [.] runtime.goexit0
     0.04%  profile  profile             [.] reflect.convertOp
