# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 82K of event 'cycles'
# Event count (approx.): 143709593444
#
# Overhead  Command   Shared Object       Symbol                                                                                                          
# ........  ........  ..................  ................................................................................................................
#
     0.38%  frontend  [vdso]              [.] __vdso_clock_gettime
     0.37%  frontend  [kernel.kallsyms]   [k] __nf_conntrack_find_get
     0.37%  frontend  frontend            [.] runtime.mapassign_faststr
     0.35%  frontend  [kernel.kallsyms]   [k] ipt_do_table
     0.35%  frontend  frontend            [.] runtime.getStackMap
     0.33%  frontend  frontend            [.] encoding/json.unquoteBytes
     0.33%  frontend  [kernel.kallsyms]   [k] nf_hook_slow
     0.32%  frontend  frontend            [.] encoding/json.(*decodeState).object
     0.30%  frontend  frontend            [.] encoding/json.(*decodeState).rescanLiteral
     0.30%  frontend  [kernel.kallsyms]   [k] nf_conntrack_tcp_packet
     0.30%  frontend  frontend            [.] runtime.mapassign
     0.30%  frontend  [kernel.kallsyms]   [k] tcp_recvmsg
     0.30%  frontend  frontend            [.] runtime.mapaccess2
     0.29%  frontend  frontend            [.] runtime.(*itabTableType).find
     0.28%  frontend  frontend            [.] google.golang.org/grpc/transport.(*http2Client).NewStream
     0.28%  frontend  [kernel.kallsyms]   [k] __tcp_transmit_skb
     0.28%  frontend  [kernel.kallsyms]   [k] update_cfs_group
     0.27%  frontend  frontend            [.] encoding/json.stateInString
     0.27%  frontend  frontend            [.] path/filepath.Rel
     0.27%  frontend  [kernel.kallsyms]   [k] native_queued_spin_lock_slowpath
     0.27%  frontend  [kernel.kallsyms]   [k] veth_xmit
     0.26%  frontend  frontend            [.] runtime.schedule
     0.26%  frontend  frontend            [.] fmt.(*pp).printArg
     0.26%  frontend  frontend            [.] runtime.stealWork
     0.26%  frontend  [kernel.kallsyms]   [k] enqueue_task_fair
     0.26%  frontend  [kernel.kallsyms]   [k] try_to_wake_up
     0.26%  frontend  [kernel.kallsyms]   [k] _raw_spin_lock
     0.25%  frontend  frontend            [.] runtime.findrunnable
     0.25%  frontend  [kernel.kallsyms]   [k] select_task_rq_fair
     0.25%  frontend  frontend            [.] golang.org/x/net/http2/hpack.AppendHuffmanString
     0.24%  frontend  frontend            [.] indexbytebody
     0.24%  frontend  [kernel.kallsyms]   [k] enqueue_entity
     0.24%  frontend  frontend            [.] runtime.gcDrainN
     0.24%  frontend  [kernel.kallsyms]   [k] tcp_sendmsg_locked
     0.24%  frontend  frontend            [.] fmt.(*fmt).fmtInteger
     0.23%  frontend  frontend            [.] runtime.(*spanSet).pop
     0.23%  frontend  frontend            [.] github.com/rs/zerolog/internal/json.Encoder.AppendString
     0.23%  frontend  frontend            [.] memeqbody
     0.23%  frontend  [kernel.kallsyms]   [k] _raw_spin_lock_irqsave
     0.23%  frontend  frontend            [.] google.golang.org/grpc/transport.(*http2Client).itemHandler
     0.23%  frontend  [kernel.kallsyms]   [k] br_handle_frame
     0.22%  frontend  [kernel.kallsyms]   [k] tcp_write_xmit
     0.22%  frontend  [kernel.kallsyms]   [k] __netif_receive_skb_core
     0.22%  frontend  frontend            [.] net/url.unescape
     0.22%  frontend  frontend            [.] runtime.reentersyscall
     0.21%  frontend  [kernel.kallsyms]   [k] __update_load_avg_cfs_rq
     0.21%  frontend  [kernel.kallsyms]   [k] tcp_in_window
     0.21%  frontend  [kernel.kallsyms]   [k] nf_conntrack_in
     0.20%  frontend  [kernel.kallsyms]   [k] memset_erms
     0.20%  frontend  frontend            [.] time.appendInt
     0.20%  frontend  [kernel.kallsyms]   [k] ip_finish_output2
     0.19%  frontend  [kernel.kallsyms]   [k] skb_release_data
     0.19%  frontend  [kernel.kallsyms]   [k] update_curr
     0.19%  frontend  [kernel.kallsyms]   [k] available_idle_cpu
     0.19%  frontend  [kernel.kallsyms]   [k] br_nf_pre_routing
     0.18%  frontend  frontend            [.] internal/poll.(*FD).Write
     0.18%  frontend  frontend            [.] runtime.exitsyscall
     0.18%  frontend  frontend            [.] github.com/rs/zerolog.ConsoleWriter.writePart
     0.18%  frontend  [kernel.kallsyms]   [k] reweight_entity
     0.18%  frontend  frontend            [.] runtime.mapaccess2_faststr
     0.18%  frontend  [kernel.kallsyms]   [k] ep_poll_callback
     0.18%  frontend  [kernel.kallsyms]   [k] tcp_ack
     0.18%  frontend  [kernel.kallsyms]   [k] __inet_lookup_established
     0.18%  frontend  [kernel.kallsyms]   [k] __dev_queue_xmit
     0.17%  frontend  [kernel.kallsyms]   [k] tcp_v4_rcv
     0.17%  frontend  [kernel.kallsyms]   [k] kmem_cache_alloc
     0.17%  frontend  frontend            [.] google.golang.org/grpc.newClientStream
     0.17%  frontend  [kernel.kallsyms]   [k] select_idle_sibling.part.0
     0.17%  frontend  frontend            [.] internal/poll.(*FD).Read
     0.17%  frontend  [kernel.kallsyms]   [k] copy_user_enhanced_fast_string
     0.17%  frontend  frontend            [.] github.com/rs/zerolog.ConsoleWriter.Write
     0.17%  frontend  [kernel.kallsyms]   [k] tcp_clean_rtx_queue
     0.17%  frontend  frontend            [.] runtime.(*spanSet).push
     0.17%  frontend  frontend            [.] runtime.chansend
     0.17%  frontend  frontend            [.] google.golang.org/grpc/transport.loopyWriter
     0.16%  frontend  frontend            [.] runtime.getitab
     0.16%  frontend  [kernel.kallsyms]   [k] kmem_cache_free
     0.16%  frontend  frontend            [.] runtime.mapiterinit
     0.16%  frontend  [kernel.kallsyms]   [k] common_file_perm
     0.16%  frontend  frontend            [.] runtime.wbBufFlush1
     0.16%  frontend  frontend            [.] runtime.adjustframe
     0.16%  frontend  frontend            [.] runtime.netpoll
     0.16%  frontend  frontend            [.] runtime.typedmemmove
     0.16%  frontend  frontend            [.] runtime.sellock
     0.16%  frontend  [kernel.kallsyms]   [k] visit_groups_merge
     0.15%  frontend  frontend            [.] github.com/uber/jaeger-client-go.(*Tracer).startSpanWithOptions
     0.15%  frontend  frontend            [.] context.(*cancelCtx).Done
     0.15%  frontend  frontend            [.] golang.org/x/net/http2.(*Framer).ReadFrame
     0.15%  frontend  [kernel.kallsyms]   [k] nf_ct_get_tuple
     0.15%  frontend  frontend            [.] sync.(*Pool).Get
     0.15%  frontend  [kernel.kallsyms]   [k] _raw_spin_lock_bh
     0.15%  frontend  [kernel.kallsyms]   [k] tcp_rcv_established
     0.15%  frontend  [kernel.kallsyms]   [k] ip_rcv_core.isra.0
     0.15%  frontend  [kernel.kallsyms]   [k] read_tsc
     0.15%  frontend  [kernel.kallsyms]   [k] __wake_up_common
     0.15%  frontend  frontend            [.] bufio.(*Reader).Read
     0.14%  frontend  frontend            [.] google.golang.org/grpc/transport.(*http2Client).reader
     0.14%  frontend  [kernel.kallsyms]   [k] __x86_indirect_thunk_rax
     0.14%  frontend  [kernel.kallsyms]   [k] kmem_cache_alloc_node
     0.14%  frontend  [kernel.kallsyms]   [k] ipv4_dst_check
     0.14%  frontend  frontend            [.] reflect.Value.assignTo
     0.14%  frontend  frontend            [.] google.golang.org/grpc.(*clientStream).RecvMsg
     0.14%  frontend  [kernel.kallsyms]   [k] __kmalloc_node_track_caller
     0.14%  frontend  [kernel.kallsyms]   [k] br_nf_forward_ip
     0.14%  frontend  frontend            [.] net/url.parseQuery
     0.14%  frontend  frontend            [.] runtime.nanotime1.abi0
     0.14%  frontend  [kernel.kallsyms]   [k] fdb_find_rcu
     0.14%  frontend  [kernel.kallsyms]   [k] __update_load_avg_se
     0.13%  frontend  [kernel.kallsyms]   [k] update_cfs_rq_h_load
     0.13%  frontend  frontend            [.] sync.(*Pool).pin
     0.13%  frontend  [kernel.kallsyms]   [k] native_write_msr
     0.13%  frontend  [kernel.kallsyms]   [k] process_backlog
     0.13%  frontend  frontend            [.] sync.(*RWMutex).Unlock
     0.13%  frontend  [kernel.kallsyms]   [k] __virt_addr_valid
     0.13%  frontend  frontend            [.] io.ReadAtLeast
     0.13%  frontend  [kernel.kallsyms]   [k] ipv4_conntrack_defrag
     0.13%  frontend  frontend            [.] runtime.concatstrings
     0.13%  frontend  frontend            [.] github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.OpenTracingClientInterceptor.func1
     0.13%  frontend  frontend            [.] github.com/rs/zerolog.(*Event).msg
     0.13%  frontend  frontend            [.] encoding/json.stateEndValue
     0.13%  frontend  frontend            [.] runtime.mapdelete
     0.13%  frontend  [kernel.kallsyms]   [k] hash_conntrack_raw
     0.13%  frontend  [kernel.kallsyms]   [k] nf_nat_inet_fn
     0.12%  frontend  frontend            [.] syscall.Getwd
     0.12%  frontend  [kernel.kallsyms]   [k] native_sched_clock
     0.12%  frontend  frontend            [.] context.(*valueCtx).Value
     0.12%  frontend  frontend            [.] sync.(*Pool).Put
     0.12%  frontend  [kernel.kallsyms]   [k] net_rx_action
     0.12%  frontend  frontend            [.] runtime.(*sweepLocked).sweep
     0.12%  frontend  [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
     0.12%  frontend  frontend            [.] runtime.makechan
     0.12%  frontend  frontend            [.] encoding/json.indirect
     0.12%  frontend  frontend            [.] runtime.runqgrab
     0.12%  frontend  frontend            [.] golang.org/x/net/http2/hpack.(*headerFieldTable).search
     0.12%  frontend  frontend            [.] runtime.checkTimers
     0.12%  frontend  frontend            [.] golang.org/x/net/http2.(*Framer).readMetaFrame.func1
     0.12%  frontend  [kernel.kallsyms]   [k] switch_fpu_return
     0.12%  frontend  frontend            [.] syscall.Syscall.abi0
     0.12%  frontend  [kernel.kallsyms]   [k] __schedule
     0.12%  frontend  frontend            [.] runtime.exitsyscallfast
     0.12%  frontend  [kernel.kallsyms]   [k] copy_user_generic_unrolled
     0.11%  frontend  [kernel.kallsyms]   [k] mod_timer
     0.11%  frontend  frontend            [.] runtime.duffzero
     0.11%  frontend  frontend            [.] syscall.Getenv
     0.11%  frontend  [kernel.kallsyms]   [k] __cgroup_bpf_run_filter_skb
     0.11%  frontend  frontend            [.] runtime.sweepone
     0.11%  frontend  frontend            [.] runtime.slicebytetostring
     0.11%  frontend  frontend            [.] golang.org/x/net/http2/hpack.(*Encoder).WriteField
     0.11%  frontend  [kernel.kallsyms]   [k] enqueue_to_backlog
     0.11%  frontend  [kernel.kallsyms]   [k] cpuacct_charge
     0.11%  frontend  frontend            [.] runtime.acquireSudog
     0.11%  frontend  [kernel.kallsyms]   [k] path_init
     0.11%  frontend  frontend            [.] github.com/golang/protobuf/proto.(*Buffer).unmarshalType
     0.11%  frontend  frontend            [.] sync.(*RWMutex).Lock
     0.11%  frontend  frontend            [.] github.com/golang/protobuf/proto.(*Buffer).enc_struct
     0.11%  frontend  [kernel.kallsyms]   [k] __skb_datagram_iter
     0.10%  frontend  frontend            [.] github.com/rs/zerolog.ConsoleWriter.writeFields
     0.10%  frontend  [kernel.kallsyms]   [k] sock_poll
     0.10%  frontend  frontend            [.] github.com/harlow/go-micro-services/services/frontend.(*Server).searchHandler
     0.10%  frontend  frontend            [.] runtime.makeslice
     0.10%  frontend  [kernel.kallsyms]   [k] nf_ct_deliver_cached_events
     0.10%  frontend  frontend            [.] strconv.formatBits
     0.10%  frontend  [kernel.kallsyms]   [k] br_handle_frame_finish
     0.10%  frontend  [kernel.kallsyms]   [k] nf_ct_seq_offset
     0.10%  frontend  frontend            [.] runtime.gcWriteBarrier
     0.10%  frontend  [kernel.kallsyms]   [k] tcp_ack_update_rtt.isra.0
     0.10%  frontend  frontend            [.] runtime.selunlock
     0.10%  frontend  frontend            [.] encoding/json.(*encodeState).string
     0.10%  frontend  [kernel.kallsyms]   [k] _raw_read_lock_irqsave
     0.10%  frontend  [kernel.kallsyms]   [k] ipv4_mtu
     0.10%  frontend  [kernel.kallsyms]   [k] __local_bh_enable_ip
     0.10%  frontend  [kernel.kallsyms]   [k] vfs_write
     0.10%  frontend  [kernel.kallsyms]   [k] __slab_free
     0.10%  frontend  frontend            [.] google.golang.org/grpc/transport.(*decodeState).processHeaderField
     0.10%  frontend  frontend            [.] internal/poll.(*fdMutex).rwlock
     0.10%  frontend  frontend            [.] reflect.Value.Set
     0.10%  frontend  frontend            [.] runtime.memequal
     0.09%  frontend  frontend            [.] runtime.gcmarknewobject
     0.09%  frontend  [kernel.kallsyms]   [k] validate_xmit_skb
     0.09%  frontend  frontend            [.] reflect.(*rtype).Elem
     0.09%  frontend  frontend            [.] runtime.park_m
     0.09%  frontend  frontend            [.] net/http.(*conn).readRequest
     0.09%  frontend  frontend            [.] runtime.gopark
     0.09%  frontend  [kernel.kallsyms]   [k] new_sync_write
     0.09%  frontend  frontend            [.] internal/poll.runtime_pollReset
     0.09%  frontend  frontend            [.] runtime.newMarkBits
     0.09%  frontend  frontend            [.] google.golang.org/grpc/transport.(*http2Client).Write
     0.09%  frontend  [kernel.kallsyms]   [k] fsnotify
     0.09%  frontend  frontend            [.] golang.org/x/net/http2/hpack.appendHpackString
     0.09%  frontend  frontend            [.] runtime.runqget
     0.09%  frontend  [kernel.kallsyms]   [k] prepare_exit_to_usermode
     0.09%  frontend  frontend            [.] encoding/json.(*decodeState).literalStore
     0.09%  frontend  [kernel.kallsyms]   [k] ip_output
     0.09%  frontend  frontend            [.] runtime.adjustpointers
     0.09%  frontend  frontend            [.] context.(*valueCtx).Done
     0.09%  frontend  frontend            [.] sync.runtime_procPin
     0.09%  frontend  frontend            [.] runtime.(*mcache).refill
     0.09%  frontend  [kernel.kallsyms]   [k] __fsnotify_parent
     0.09%  frontend  frontend            [.] time.(*Location).lookup
     0.09%  frontend  frontend            [.] runtime.scanframeworker
     0.09%  frontend  frontend            [.] runtime.(*mheap).allocSpan
     0.09%  frontend  [kernel.kallsyms]   [k] eth_type_trans
     0.09%  frontend  frontend            [.] sync.(*Mutex).Unlock
     0.09%  frontend  frontend            [.] runtime.(*Frames).Next
     0.09%  frontend  [kernel.kallsyms]   [k] __ip_queue_xmit
     0.09%  frontend  frontend            [.] runtime.bulkBarrierPreWrite
     0.09%  frontend  [kernel.kallsyms]   [k] ktime_get
     0.08%  frontend  [kernel.kallsyms]   [k] ep_send_events_proc
     0.08%  frontend  [kernel.kallsyms]   [k] memcg_kmem_put_cache
     0.08%  frontend  [kernel.kallsyms]   [k] br_nf_hook_thresh
     0.08%  frontend  [kernel.kallsyms]   [k] prepend_name
     0.08%  frontend  frontend            [.] reflect.Value.Elem
     0.08%  frontend  frontend            [.] encoding/json.mapEncoder.encode
     0.08%  frontend  [kernel.kallsyms]   [k] __ip_finish_output
     0.08%  frontend  frontend            [.] runtime.duffcopy
     0.08%  frontend  [kernel.kallsyms]   [k] tcp_event_new_data_sent
     0.08%  frontend  frontend            [.] runtime.runqput
     0.08%  frontend  [kernel.kallsyms]   [k] ipv4_confirm
     0.08%  frontend  frontend            [.] runtime.closechan
     0.08%  frontend  frontend            [.] runtime.releaseSudog
     0.08%  frontend  frontend            [.] internal/poll.runtime_pollSetDeadline
     0.08%  frontend  frontend            [.] bytes.(*Buffer).WriteByte
     0.08%  frontend  frontend            [.] github.com/uber/jaeger-client-go.(*Tracer).startSpanInternal
     0.08%  frontend  frontend            [.] time.absDate
     0.08%  frontend  [kernel.kallsyms]   [k] br_nf_post_routing
     0.08%  frontend  frontend            [.] net/http.(*chunkWriter).writeHeader
     0.08%  frontend  [kernel.kallsyms]   [k] prepend_path.isra.0
     0.08%  frontend  [kernel.kallsyms]   [k] find_next_bit
     0.08%  frontend  [kernel.kallsyms]   [k] tcp_rearm_rto
     0.08%  frontend  [kernel.kallsyms]   [k] br_nf_pre_routing_finish
     0.08%  frontend  [kernel.kallsyms]   [k] __softirqentry_text_start
     0.08%  frontend  frontend            [.] time.Date
     0.08%  frontend  [kernel.kallsyms]   [k] tcp_current_mss
     0.08%  frontend  frontend            [.] os.(*File).Write
     0.08%  frontend  frontend            [.] runtime.mcall
     0.08%  frontend  [kernel.kallsyms]   [k] account_entity_enqueue
     0.08%  frontend  frontend            [.] golang.org/x/net/http2.(*Framer).readMetaFrame
     0.08%  frontend  frontend            [.] google.golang.org/grpc/transport.(*controlBuffer).put
     0.08%  frontend  frontend            [.] net.(*TCPConn).Read
     0.08%  frontend  frontend            [.] runtime.netpollblock
     0.08%  frontend  frontend            [.] sync.(*Map).Load
     0.08%  frontend  frontend            [.] runtime.resolveTypeOff
     0.08%  frontend  frontend            [.] runtime.(*mcentral).cacheSpan
     0.08%  frontend  [kernel.kallsyms]   [k] strncpy_from_user
     0.07%  frontend  [kernel.kallsyms]   [k] set_task_cpu
     0.07%  frontend  frontend            [.] github.com/uber/jaeger-client-go.(*Span).FinishWithOptions
     0.07%  frontend  frontend            [.] net/textproto.CanonicalMIMEHeaderKey
     0.07%  frontend  frontend            [.] bufio.(*Writer).Flush
     0.07%  frontend  frontend            [.] fmt.Sprintf
     0.07%  frontend  [kernel.kallsyms]   [k] sock_write_iter
     0.07%  frontend  [kernel.kallsyms]   [k] __calc_delta
     0.07%  frontend  frontend            [.] runtime.systemstack.abi0
     0.07%  frontend  [kernel.kallsyms]   [k] pipe_write
     0.07%  frontend  [kernel.kallsyms]   [k] kfree
     0.07%  frontend  [kernel.kallsyms]   [k] __check_object_size
     0.07%  frontend  [kernel.kallsyms]   [k] nf_nat_packet
     0.07%  frontend  [kernel.kallsyms]   [k] tcp_cleanup_rbuf
     0.07%  frontend  frontend            [.] context.(*cancelCtx).Value
     0.07%  frontend  [kernel.kallsyms]   [k] get_l4proto
     0.07%  frontend  [kernel.kallsyms]   [k] memcmp
     0.07%  frontend  frontend            [.] syscall.write
     0.07%  frontend  [kernel.kallsyms]   [k] ksoftirqd_running
     0.07%  frontend  frontend            [.] net.(*conn).Read
     0.07%  frontend  frontend            [.] runtime.netpollready
     0.07%  frontend  [kernel.kallsyms]   [k] nf_nat_ipv4_local_fn
     0.07%  frontend  [kernel.kallsyms]   [k] __ksize
     0.07%  frontend  frontend            [.] google.golang.org/grpc/transport.(*quotaPool).get
     0.07%  frontend  frontend            [.] runtime.(*mspan).refillAllocCache
     0.07%  frontend  frontend            [.] encoding/json.stateBeginValue
     0.07%  frontend  frontend            [.] reflect.(*rtype).Kind
     0.07%  frontend  frontend            [.] bufio.(*Writer).Write
     0.07%  frontend  [kernel.kallsyms]   [k] apparmor_socket_recvmsg
     0.07%  frontend  frontend            [.] internal/poll.(*fdMutex).rwunlock
     0.07%  frontend  frontend            [.] encoding/json.(*decodeState).value
     0.07%  frontend  frontend            [.] runtime.(*lfstack).push
     0.07%  frontend  [kernel.kallsyms]   [k] fpregs_assert_state_consistent
     0.07%  frontend  [kernel.kallsyms]   [k] common_perm
     0.07%  frontend  [kernel.kallsyms]   [k] ipv4_conntrack_local
     0.07%  frontend  frontend            [.] github.com/rs/zerolog.(*Event).write
     0.07%  frontend  frontend            [.] runtime.makemap
     0.07%  frontend  frontend            [.] net.(*conn).Write
     0.07%  frontend  [kernel.kallsyms]   [k] __perf_event_task_sched_out
     0.07%  frontend  frontend            [.] runtime.efaceeq
     0.07%  frontend  [kernel.kallsyms]   [k] update_rq_clock
     0.07%  frontend  [kernel.kallsyms]   [k] ksys_write
     0.07%  frontend  [kernel.kallsyms]   [k] fput_many
     0.07%  frontend  [kernel.kallsyms]   [k] dequeue_task_fair
     0.07%  frontend  [kernel.kallsyms]   [k] update_blocked_averages
     0.07%  frontend  [kernel.kallsyms]   [k] place_entity
     0.07%  frontend  [kernel.kallsyms]   [k] apic_timer_interrupt
     0.07%  frontend  [kernel.kallsyms]   [k] mutex_unlock
     0.07%  frontend  [kernel.kallsyms]   [k] mutex_lock
     0.06%  frontend  [kernel.kallsyms]   [k] rb_next
     0.06%  frontend  frontend            [.] google.golang.org/grpc/transport.(*http2Client).operateHeaders
     0.06%  frontend  frontend            [.] runtime.mapaccess2_fast32
     0.06%  frontend  frontend            [.] golang.org/x/net/http2.(*Framer).endWrite
     0.06%  frontend  frontend            [.] golang.org/x/net/http2/hpack.(*Decoder).at
     0.06%  frontend  [kernel.kallsyms]   [k] check_preempt_curr
     0.06%  frontend  frontend            [.] reflect.Value.SetMapIndex
     0.06%  frontend  [kernel.kallsyms]   [k] sock_recvmsg
     0.06%  frontend  frontend            [.] runtime.mapdelete_fast32
     0.06%  frontend  frontend            [.] runtime.execute
     0.06%  frontend  [kernel.kallsyms]   [k] __lock_text_start
     0.06%  frontend  frontend            [.] google.golang.org/grpc/transport.(*recvBufferReader).read
     0.06%  frontend  [kernel.kallsyms]   [k] tcp_schedule_loss_probe
     0.06%  frontend  [kernel.kallsyms]   [k] tcp_event_data_recv
     0.06%  frontend  frontend            [.] google.golang.org/grpc/transport.(*http2Client).itemHandler-fm
     0.06%  frontend  [kernel.kallsyms]   [k] ip_local_deliver
     0.06%  frontend  frontend            [.] runtime.(*spanSet).reset
     0.06%  frontend  frontend            [.] net/http.DetectContentType
     0.06%  frontend  [kernel.kallsyms]   [k] pick_next_task_fair
     0.06%  frontend  [kernel.kallsyms]   [k] _cond_resched
     0.06%  frontend  frontend            [.] encoding/json.(*decodeState).scanWhile
     0.06%  frontend  [kernel.kallsyms]   [k] resched_curr
     0.06%  frontend  [kernel.kallsyms]   [k] dev_hard_start_xmit
     0.06%  frontend  frontend            [.] reflect.convertOp
     0.06%  frontend  frontend            [.] net.(*netFD).Write
     0.06%  frontend  [kernel.kallsyms]   [k] ip_rcv_finish_core.isra.0
     0.06%  frontend  frontend            [.] fmt.(*fmt).pad
     0.06%  frontend  frontend            [.] google.golang.org/grpc.invoke
     0.06%  frontend  [kernel.kallsyms]   [k] tcp_release_cb
     0.06%  frontend  [kernel.kallsyms]   [k] sock_rfree
     0.06%  frontend  [kernel.kallsyms]   [k] ovl_getattr
     0.06%  frontend  frontend            [.] google.golang.org/grpc/transport.(*decodeState).decodeResponseHeader
     0.06%  frontend  frontend            [.] encoding/json.(*decodeState).unmarshal
     0.06%  frontend  frontend            [.] runtime.interhash
     0.06%  frontend  [kernel.kallsyms]   [k] newidle_balance
     0.06%  frontend  [kernel.kallsyms]   [k] sock_read_iter
     0.06%  frontend  frontend            [.] google.golang.org/grpc/transport.(*http2Client).newStream
     0.06%  frontend  frontend            [.] google.golang.org/grpc.recv
     0.06%  frontend  [kernel.kallsyms]   [k] __alloc_skb
     0.06%  frontend  frontend            [.] net/http.(*conn).serve
     0.06%  frontend  frontend            [.] runtime.tracebackdefers
     0.06%  frontend  frontend            [.] runtime.(*consistentHeapStats).acquire
     0.06%  frontend  frontend            [.] runtime.convTslice
     0.06%  frontend  [kernel.kallsyms]   [k] skb_entail
     0.06%  frontend  frontend            [.] bytes.(*Buffer).WriteString
     0.06%  frontend  frontend            [.] google.golang.org/grpc.(*balancerWrapper).Pick
     0.06%  frontend  [kernel.kallsyms]   [k] tcp_stream_memory_free
     0.06%  frontend  [kernel.kallsyms]   [k] skb_page_frag_refill
     0.06%  frontend  frontend            [.] runtime.chanrecv
     0.06%  frontend  [kernel.kallsyms]   [k] ctx_sched_in
     0.06%  frontend  frontend            [.] golang.org/x/net/http2.(*Framer).checkFrameOrder
     0.06%  frontend  frontend            [.] google.golang.org/grpc/transport.(*controlBuffer).load
     0.06%  frontend  [kernel.kallsyms]   [k] attach_entity_load_avg
     0.06%  frontend  frontend            [.] github.com/golang/protobuf/proto.GetProperties
     0.06%  frontend  [kernel.kallsyms]   [k] record_times
     0.06%  frontend  [kernel.kallsyms]   [k] __legitimize_mnt
     0.06%  frontend  frontend            [.] google.golang.org/grpc/encoding/proto.codec.Unmarshal
     0.06%  frontend  frontend            [.] google.golang.org/grpc.(*roundRobin).Get
     0.06%  frontend  frontend            [.] runtime.convTstring
     0.06%  frontend  [kernel.kallsyms]   [k] apparmor_socket_sendmsg
     0.06%  frontend  [kernel.kallsyms]   [k] conntrack_mt
     0.06%  frontend  frontend            [.] github.com/rs/zerolog.(*Logger).newEvent
     0.06%  frontend  [kernel.kallsyms]   [k] sock_def_readable
     0.06%  frontend  frontend            [.] runtime.pidleget
     0.06%  frontend  frontend            [.] strings.ToLower
     0.06%  frontend  [kernel.kallsyms]   [k] tcp_wfree
     0.06%  frontend  [kernel.kallsyms]   [k] _raw_read_unlock_irqrestore
     0.05%  frontend  [kernel.kallsyms]   [k] skb_ext_add
     0.05%  frontend  frontend            [.] google.golang.org/grpc.(*pickerWrapper).pick
     0.05%  frontend  frontend            [.] time.Now
     0.05%  frontend  [kernel.kallsyms]   [k] ip_protocol_deliver_rcu
     0.05%  frontend  frontend            [.] golang.org/x/net/http2.validWireHeaderFieldName
     0.05%  frontend  frontend            [.] github.com/uber/jaeger-client-go/utils.(*lockedSource).Int63
     0.05%  frontend  frontend            [.] context.(*cancelCtx).cancel
     0.05%  frontend  [kernel.kallsyms]   [k] ip_rcv
     0.05%  frontend  [kernel.kallsyms]   [k] timerqueue_add
     0.05%  frontend  frontend            [.] encoding/json.(*Decoder).Decode
     0.05%  frontend  frontend            [.] google.golang.org/grpc.(*ClientConn).Invoke
     0.05%  frontend  [kernel.kallsyms]   [k] ksys_read
     0.05%  frontend  frontend            [.] runtime.getempty
     0.05%  frontend  frontend            [.] github.com/golang/protobuf/proto.getbase
     0.05%  frontend  [kernel.kallsyms]   [k] br_forward
     0.05%  frontend  frontend            [.] google.golang.org/grpc/transport.(*http2Client).CloseStream
     0.05%  frontend  frontend            [.] fmt.(*fmt).padString
     0.05%  frontend  frontend            [.] runtime.convT2I
     0.05%  frontend  frontend            [.] net.(*netFD).Read
     0.05%  frontend  frontend            [.] reflect.(*rtype).ptrTo
     0.05%  frontend  frontend            [.] runtime.wirep
     0.05%  frontend  frontend            [.] strings.Index
     0.05%  frontend  frontend            [.] github.com/rs/zerolog.(*LevelWriterAdapter).WriteLevel
