# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 151K of event 'cycles'
# Event count (approx.): 212631010484
#
# Overhead  Command          Shared Object            Symbol                                                                                                                                                                                                                                                                                                                                                                                                                
# ........  ...............  .......................  ......................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.10%  swapper          [kernel.kallsyms]        [k] __next_timer_interrupt
     0.10%  containerd-shim  [kernel.kallsyms]        [k] update_load_avg
     0.10%  dockerd          dockerd                  [.] runtime.mallocgc
     0.09%  frontend         frontend                 [.] runtime.mapaccess1
     0.09%  search           search                   [.] runtime.mapassign
     0.09%  search           search                   [.] encoding/json.unquoteBytes
     0.09%  search           search                   [.] runtime.growslice
     0.09%  frontend         frontend                 [.] google.golang.org/grpc/transport.(*http2Client).NewStream
     0.09%  frontend         frontend                 [.] runtime.(*itabTableType).find
     0.09%  search           search                   [.] path/filepath.Rel
     0.09%  search           search                   [.] runtime.gcWriteBarrier
     0.09%  search           search                   [.] memeqbody
     0.09%  frontend         frontend                 [.] encoding/json.stateInString
     0.09%  swapper          [kernel.kallsyms]        [k] find_next_bit
     0.09%  geo              geo                      [.] golang.org/x/net/http2/hpack.huffmanDecode
     0.09%  frontend         frontend                 [.] encoding/json.(*decodeState).object
     0.09%  frontend         [kernel.kallsyms]        [k] __nf_conntrack_find_get
     0.09%  frontend         frontend                 [.] path/filepath.Rel
     0.09%  search           search                   [.] runtime.unlock2
     0.08%  frontend         frontend                 [.] encoding/json.(*decodeState).rescanLiteral
     0.08%  search           search                   [.] runtime.lock2
     0.08%  wrk              [kernel.kallsyms]        [k] sock_poll
     0.08%  geo              geo                      [.] runtime.gentraceback
     0.08%  frontend         frontend                 [.] runtime.gcmarknewobject
     0.08%  geo              geo                      [.] runtime.scanobject
     0.08%  wrk              [vdso]                   [.] gettimeofday
     0.08%  wrk              wrk                      [.] lj_alloc_malloc
     0.08%  search           search                   [.] runtime.(*itabTableType).find
     0.08%  search           search                   [.] runtime.adjustframe
     0.08%  geo              [kernel.kallsyms]        [k] update_load_avg
     0.08%  containerd-shim  [kernel.kallsyms]        [k] update_cfs_group
     0.08%  dockerd          dockerd                  [.] github.com/docker/docker/daemon/logger.(*Copier).copySrc
     0.08%  swapper          [kernel.kallsyms]        [k] apic_timer_interrupt
     0.08%  frontend         frontend                 [.] memeqbody
     0.08%  frontend         frontend                 [.] runtime.gcWriteBarrier
     0.08%  geo              [kernel.kallsyms]        [k] entry_SYSCALL_64
     0.08%  frontend         frontend                 [.] fmt.(*fmt).fmtInteger
     0.08%  search           search                   [.] runtime.greyobject
     0.08%  wrk              wrk                      [.] gc_sweep
     0.08%  docker-proxy     docker-proxy             [.] runtime.findRunnable
     0.08%  search           search                   [.] runtime.bulkBarrierPreWrite
     0.08%  swapper          [kernel.kallsyms]        [k] native_sched_clock
     0.08%  frontend         frontend                 [.] runtime.getStackMap
     0.08%  dockerd          [kernel.kallsyms]        [k] try_to_wake_up
     0.08%  search           search                   [.] runtime.getStackMap
     0.08%  search           search                   [.] github.com/rs/zerolog/internal/json.Encoder.AppendString
     0.07%  swapper          [kernel.kallsyms]        [k] nr_iowait_cpu
     0.07%  wrk              wrk                      [.] lj_cf_string_format
     0.07%  dockerd          [kernel.kallsyms]        [k] update_cfs_group
     0.07%  geo              geo                      [.] runtime.getStackMap
     0.07%  swapper          [kernel.kallsyms]        [k] pick_next_task_fair
     0.07%  swapper          [kernel.kallsyms]        [k] rb_next
     0.07%  dockerd          dockerd                  [.] time.appendInt
     0.07%  frontend         frontend                 [.] golang.org/x/net/http2/hpack.AppendHuffmanString
     0.07%  containerd-shim  [kernel.kallsyms]        [k] ep_send_events_proc
     0.07%  docker-proxy     [kernel.kallsyms]        [k] __nf_conntrack_find_get
     0.07%  wrk              libc-2.31.so             [.] hack_digit
     0.07%  containerd-shim  [kernel.kallsyms]        [k] pipe_poll
     0.07%  search           search                   [.] runtime.mapassign_faststr
     0.07%  frontend         frontend                 [.] github.com/uber/jaeger-client-go.(*Tracer).startSpanWithOptions
     0.07%  search           search                   [.] encoding/json.stateInString
     0.07%  swapper          [kernel.kallsyms]        [k] _raw_spin_lock_irqsave
     0.07%  search           search                   [.] encoding/json.(*decodeState).rescanLiteral
     0.07%  docker-proxy     docker-proxy             [.] runtime.casgstatus
     0.07%  frontend         [kernel.kallsyms]        [k] __tcp_transmit_skb
     0.07%  geo              geo                      [.] runtime.memmove
     0.07%  dockerd          [kernel.kallsyms]        [k] ext4_do_update_inode
     0.07%  frontend         frontend                 [.] github.com/rs/zerolog/internal/json.Encoder.AppendString
     0.07%  containerd-shim  [kernel.kallsyms]        [k] __schedule
     0.07%  frontend         frontend                 [.] net/url.parseQuery
     0.07%  search           search                   [.] runtime.gcmarknewobject
     0.07%  geo              geo                      [.] runtime.nextFreeFast
     0.07%  geo              geo                      [.] runtime.adjustframe
     0.07%  dockerd          dockerd                  [.] runtime.casgstatus
     0.07%  containerd-shim  [kernel.kallsyms]        [k] __fget_light
     0.07%  frontend         [kernel.kallsyms]        [k] ipt_do_table
     0.06%  swapper          [kernel.kallsyms]        [k] _raw_spin_lock
     0.06%  dockerd          dockerd                  [.] bytes.(*Buffer).WriteString
     0.06%  docker-proxy     docker-proxy             [.] internal/poll.spliceDrain
     0.06%  docker-proxy     [kernel.kallsyms]        [k] __schedule
     0.06%  wrk              wrk                      [.] lj_alloc_free
     0.06%  containerd-shim  [kernel.kallsyms]        [k] ep_poll_callback
     0.06%  dockerd          [kernel.kallsyms]        [k] __schedule
     0.06%  frontend         frontend                 [.] runtime.mapaccess2_faststr
     0.06%  dockerd          [kernel.kallsyms]        [k] ep_poll_callback
     0.06%  wrk              libc-2.31.so             [.] __memcpy_avx_unaligned_erms
     0.06%  docker-proxy     [kernel.kallsyms]        [k] update_cfs_group
     0.06%  wrk              [kernel.kallsyms]        [k] __schedule
     0.06%  search           [vdso]                   [.] __vdso_clock_gettime
     0.06%  frontend         frontend                 [.] runtime.schedule
     0.06%  dockerd          [kernel.kallsyms]        [k] native_queued_spin_lock_slowpath
     0.06%  frontend         frontend                 [.] net/http.(*conn).readRequest
     0.06%  frontend         [kernel.kallsyms]        [k] copy_user_enhanced_fast_string
     0.06%  containerd-shim  [kernel.kallsyms]        [k] timerqueue_add
     0.06%  docker-proxy     [kernel.kallsyms]        [k] __tcp_transmit_skb
     0.06%  frontend         frontend                 [.] reflect.Value.assignTo
     0.06%  frontend         frontend                 [.] runtime.scanblock
     0.06%  frontend         frontend                 [.] runtime.mapaccess2
     0.06%  frontend         [kernel.kallsyms]        [k] nf_conntrack_tcp_packet
     0.06%  frontend         [kernel.kallsyms]        [k] tcp_recvmsg
     0.06%  search           [kernel.kallsyms]        [k] update_load_avg
     0.06%  recommendation   [kernel.kallsyms]        [k] entry_SYSCALL_64
     0.06%  frontend         [kernel.kallsyms]        [k] nf_hook_slow
     0.06%  frontend         frontend                 [.] time.appendInt
     0.06%  search           search                   [.] runtime.mapaccess2
     0.06%  dockerd          [kernel.kallsyms]        [k] __update_load_avg_cfs_rq
     0.06%  frontend         frontend                 [.] runtime.mapiterinit
     0.06%  dockerd          dockerd                  [.] bytes.(*Buffer).WriteByte
     0.06%  search           search                   [.] golang.org/x/net/http2/hpack.huffmanDecode
     0.06%  wrk              libc-2.31.so             [.] epoll_wait
     0.06%  frontend         frontend                 [.] runtime.bulkBarrierPreWrite
     0.06%  dockerd          dockerd                  [.] github.com/docker/docker/pkg/ioutils.(*BytesPipe).Write
     0.06%  frontend         frontend                 [.] google.golang.org/grpc/transport.(*http2Client).itemHandler
     0.06%  geo              geo                      [.] runtime.memclrNoHeapPointers
     0.06%  dockerd          [kernel.kallsyms]        [k] reweight_entity
     0.06%  recommendation   recommendation           [.] runtime.gentraceback
     0.06%  search           [kernel.kallsyms]        [k] __fget_light
     0.06%  swapper          [kernel.kallsyms]        [k] enqueue_task_fair
     0.06%  geo              geo                      [.] runtime.findfunc
     0.06%  frontend         [kernel.kallsyms]        [k] br_handle_frame
     0.06%  search           search                   [.] runtime.adjustpointers
     0.06%  geo              geo                      [.] runtime.selectgo
     0.06%  wrk              [kernel.kallsyms]        [k] ep_send_events_proc
     0.06%  search           search                   [.] fmt.(*fmt).fmtInteger
     0.06%  search           [kernel.kallsyms]        [k] ipt_do_table
     0.06%  search           search                   [.] reflect.Value.assignTo
     0.05%  containerd-shim  [kernel.kallsyms]        [k] mutex_lock
     0.05%  frontend         [kernel.kallsyms]        [k] tcp_sendmsg_locked
     0.05%  search           search                   [.] golang.org/x/net/http2.(*Framer).readMetaFrame.func1
     0.05%  frontend         frontend                 [.] google.golang.org/grpc.newClientStream
     0.05%  containerd-shim  [kernel.kallsyms]        [k] reweight_entity
     0.05%  frontend         [kernel.kallsyms]        [k] update_load_avg
     0.05%  frontend         frontend                 [.] net/textproto.CanonicalMIMEHeaderKey
     0.05%  frontend         frontend                 [.] net/http.(*chunkWriter).writeHeader
     0.05%  wrk              [kernel.kallsyms]        [k] update_load_avg
     0.05%  swapper          [kernel.kallsyms]        [k] cpuidle_not_available
     0.05%  geo              [kernel.kallsyms]        [k] syscall_return_via_sysret
     0.05%  containerd-shim  [kernel.kallsyms]        [k] update_curr
     0.05%  search           [kernel.kallsyms]        [k] memset_erms
     0.05%  frontend         frontend                 [.] runtime.reentersyscall
     0.05%  search           search                   [.] google.golang.org/grpc/transport.(*http2Client).NewStream
     0.05%  frontend         frontend                 [.] sync.(*Pool).Get
     0.05%  dockerd          [kernel.kallsyms]        [k] update_curr
     0.05%  search           search                   [.] golang.org/x/net/http2/hpack.AppendHuffmanString
     0.05%  docker-proxy     [kernel.kallsyms]        [k] update_curr
     0.05%  frontend         [kernel.kallsyms]        [k] memset_erms
     0.05%  frontend         frontend                 [.] sync.(*RWMutex).Lock
     0.05%  search           search                   [.] runtime.getitab
     0.05%  swapper          [kernel.kallsyms]        [k] tick_nohz_next_event
     0.05%  frontend         frontend                 [.] runtime.(*spanSet).push
     0.05%  wrk              [kernel.kallsyms]        [k] ep_poll
     0.05%  dockerd          [vdso]                   [.] __vdso_clock_gettime
     0.05%  search           search                   [.] time.appendInt
     0.05%  frontend         frontend                 [.] sync.(*Pool).Put
     0.05%  search           search                   [.] runtime.reentersyscall
     0.05%  dockerd          dockerd                  [.] runtime.checkTimers
     0.05%  geo              geo                      [.] runtime.adjustpointers
     0.05%  dockerd          dockerd                  [.] runtime.lock2
     0.05%  geo              [kernel.kallsyms]        [k] update_cfs_group
     0.05%  swapper          [kernel.kallsyms]        [k] __hrtimer_next_event_base
     0.05%  frontend         frontend                 [.] sync.(*Pool).pin
     0.05%  dockerd          dockerd                  [.] bytes.(*Buffer).Write
     0.05%  frontend         [kernel.kallsyms]        [k] nf_conntrack_in
     0.05%  frontend         [kernel.kallsyms]        [k] __netif_receive_skb_core
     0.05%  recommendation   [kernel.kallsyms]        [k] syscall_return_via_sysret
     0.05%  geo              geo                      [.] runtime.findrunnable
     0.05%  recommendation   recommendation           [.] runtime.nextFreeFast
     0.05%  docker-proxy     [kernel.kallsyms]        [k] enqueue_task_fair
     0.05%  docker-proxy     [kernel.kallsyms]        [k] ipt_do_table
     0.05%  recommendation   recommendation           [.] runtime.adjustframe
     0.05%  geo              geo                      [.] runtime.mapaccess1
     0.05%  frontend         [kernel.kallsyms]        [k] veth_xmit
     0.05%  recommendation   [kernel.kallsyms]        [k] update_load_avg
     0.05%  containerd-shim  [kernel.kallsyms]        [k] __switch_to
     0.05%  containerd-shim  [kernel.kallsyms]        [k] copy_user_enhanced_fast_string
     0.05%  docker-proxy     [kernel.kallsyms]        [k] skb_release_data
     0.05%  recommendation   recommendation           [.] golang.org/x/net/http2/hpack.huffmanDecode
     0.05%  containerd-shim  [kernel.kallsyms]        [k] __update_load_avg_cfs_rq
     0.05%  frontend         frontend                 [.] internal/poll.(*FD).Read
     0.05%  frontend         frontend                 [.] runtime.(*spanSet).pop
     0.05%  frontend         frontend                 [.] context.(*cancelCtx).Done
     0.05%  wrk              [kernel.kallsyms]        [k] switch_fpu_return
     0.05%  search           [kernel.kallsyms]        [k] native_queued_spin_lock_slowpath
     0.05%  frontend         frontend                 [.] runtime.mapdelete
     0.05%  dockerd          [kernel.kallsyms]        [k] enqueue_entity
     0.05%  geo              [kernel.kallsyms]        [k] __schedule
     0.05%  dockerd          [kernel.kallsyms]        [k] __update_load_avg_se
     0.05%  frontend         [kernel.kallsyms]        [k] __dev_queue_xmit
     0.05%  dockerd          [kernel.kallsyms]        [k] _raw_spin_lock_irqsave
     0.05%  search           search                   [.] google.golang.org/grpc/transport.(*decodeState).processHeaderField
     0.05%  frontend         frontend                 [.] syscall.Getwd
     0.05%  search           search                   [.] runtime.(*spanSet).pop
     0.05%  wrk              wrk                      [.] lj_BC_CALL
     0.05%  docker-proxy     [kernel.kallsyms]        [k] ip_finish_output2
     0.05%  frontend         frontend                 [.] runtime.concatstrings
     0.05%  frontend         [kernel.kallsyms]        [k] ep_poll_callback
     0.05%  docker-proxy     docker-proxy             [.] runtime.netpoll
     0.04%  docker-proxy     [kernel.kallsyms]        [k] __inet_lookup_established
     0.04%  search           search                   [.] compress/flate.(*decompressor).Reset
     0.04%  recommendation   recommendation           [.] runtime.getStackMap
     0.04%  frontend         [kernel.kallsyms]        [k] ip_finish_output2
     0.04%  docker-proxy     [kernel.kallsyms]        [k] __update_load_avg_cfs_rq
     0.04%  search           search                   [.] runtime.typedmemmove
     0.04%  search           [kernel.kallsyms]        [k] nf_hook_slow
     0.04%  search           search                   [.] runtime.stealWork
     0.04%  containerd-shim  [kernel.kallsyms]        [k] enqueue_task_fair
     0.04%  frontend         frontend                 [.] runtime.adjustframe
     0.04%  frontend         [kernel.kallsyms]        [k] tcp_v4_rcv
     0.04%  swapper          [kernel.kallsyms]        [k] ktime_get
     0.04%  frontend         frontend                 [.] github.com/rs/zerolog.ConsoleWriter.Write
     0.04%  recommendation   recommendation           [.] runtime.scanobject
     0.04%  swapper          [kernel.kallsyms]        [k] enqueue_entity
     0.04%  recommendation   recommendation           [.] runtime.findrunnable
     0.04%  containerd-shim  [vdso]                   [.] __vdso_clock_gettime
     0.04%  docker-proxy     [kernel.kallsyms]        [k] _raw_spin_lock_irqsave
     0.04%  frontend         [kernel.kallsyms]        [k] __virt_addr_valid
     0.04%  dockerd          [kernel.kallsyms]        [k] enqueue_task_fair
     0.04%  dockerd          dockerd                  [.] runtime.netpoll
     0.04%  frontend         [kernel.kallsyms]        [k] kmem_cache_free
     0.04%  frontend         frontend                 [.] github.com/opentracing-contrib/go-stdlib/nethttp.Middleware.func2
     0.04%  recommendation   recommendation           [.] runtime.findfunc
     0.04%  frontend         frontend                 [.] runtime.getitab
     0.04%  frontend         frontend                 [.] strconv.formatBits
     0.04%  containerd-shim  [kernel.kallsyms]        [k] ep_poll
     0.04%  frontend         [kernel.kallsyms]        [k] _raw_spin_lock_bh
     0.04%  frontend         [kernel.kallsyms]        [k] skb_release_data
     0.04%  wrk              [kernel.kallsyms]        [k] ipt_do_table
     0.04%  search           search                   [.] syscall.Getwd
     0.04%  search           search                   [.] runtime.slicebytetostring
     0.04%  wrk              [kernel.kallsyms]        [k] timerqueue_add
     0.04%  frontend         [kernel.kallsyms]        [k] _raw_read_lock_irqsave
     0.04%  containerd-shim  [kernel.kallsyms]        [k] _raw_spin_lock_irqsave
     0.04%  frontend         [kernel.kallsyms]        [k] __inet_lookup_established
     0.04%  wrk              wrk                      [.] lj_meta_cat
     0.04%  frontend         frontend                 [.] github.com/rs/zerolog.ConsoleWriter.writePart
     0.04%  wrk              [kernel.kallsyms]        [k] __x64_sys_epoll_ctl
     0.04%  docker-proxy     [kernel.kallsyms]        [k] available_idle_cpu
     0.04%  search           [kernel.kallsyms]        [k] __nf_conntrack_find_get
     0.04%  containerd-shim  [kernel.kallsyms]        [k] __update_load_avg_se
     0.04%  docker-proxy     [kernel.kallsyms]        [k] nf_conntrack_in
     0.04%  search           [kernel.kallsyms]        [k] nf_conntrack_tcp_packet
     0.04%  dockerd          [kernel.kallsyms]        [k] copy_user_enhanced_fast_string
     0.04%  docker-proxy     [kernel.kallsyms]        [k] __dev_queue_xmit
     0.04%  search           [kernel.kallsyms]        [k] update_cfs_group
     0.04%  docker-proxy     [kernel.kallsyms]        [k] reweight_entity
     0.04%  frontend         frontend                 [.] runtime.gopark
     0.04%  containerd-shim  containerd-shim-runc-v2  [.] 0x000000000003da95
     0.04%  search           search                   [.] runtime.duffzero
     0.04%  swapper          [kernel.kallsyms]        [k] rcu_idle_enter
     0.04%  geo              geo                      [.] aeshashbody
     0.04%  docker-proxy     [kernel.kallsyms]        [k] _raw_spin_lock_bh
     0.04%  frontend         frontend                 [.] runtime.typedmemmove
     0.04%  docker-proxy     docker-proxy             [.] internal/poll.Splice
     0.04%  frontend         [kernel.kallsyms]        [k] kmem_cache_alloc
     0.04%  search           [kernel.kallsyms]        [k] veth_xmit
     0.04%  containerd-shim  [kernel.kallsyms]        [k] pipe_read
     0.04%  dockerd          dockerd                  [.] runtime.unlock2
     0.04%  frontend         frontend                 [.] sync.(*RWMutex).Unlock
     0.04%  dockerd          dockerd                  [.] github.com/docker/docker/pkg/broadcaster.(*Unbuffered).Write
     0.04%  docker-proxy     [kernel.kallsyms]        [k] _raw_spin_lock
     0.04%  dockerd          [kernel.kallsyms]        [k] select_task_rq_fair
     0.04%  wrk              [kernel.kallsyms]        [k] fput_many
     0.04%  search           search                   [.] sync.(*Pool).Get
     0.04%  wrk              [kernel.kallsyms]        [k] tcp_poll
     0.04%  swapper          [kernel.kallsyms]        [k] pm_qos_request
     0.04%  containerd-shim  [kernel.kallsyms]        [k] mutex_unlock
     0.04%  containerd-shim  [kernel.kallsyms]        [k] cpuacct_charge
     0.04%  containerd-shim  [kernel.kallsyms]        [k] dequeue_task_fair
     0.04%  frontend         [kernel.kallsyms]        [k] tcp_ack
     0.04%  docker-proxy     [kernel.kallsyms]        [k] nf_conntrack_tcp_packet
     0.04%  search           [kernel.kallsyms]        [k] nf_conntrack_in
     0.04%  recommendation   recommendation           [.] runtime.memmove
     0.04%  search           [kernel.kallsyms]        [k] enqueue_task_fair
     0.04%  search           search                   [.] sync.(*Pool).Put
     0.04%  search           [kernel.kallsyms]        [k] __update_load_avg_cfs_rq
     0.04%  wrk              [kernel.kallsyms]        [k] __tcp_transmit_skb
     0.04%  swapper          [kernel.kallsyms]        [k] pm_qos_read_value
     0.04%  docker-proxy     [kernel.kallsyms]        [k] switch_fpu_return
     0.04%  frontend         frontend                 [.] runtime.slicebytetostring
     0.04%  dockerd          dockerd                  [.] runtime.chanrecv
     0.04%  frontend         frontend                 [.] syscall.Getenv
     0.04%  wrk              wrk                      [.] propagatemark
     0.04%  dockerd          [kernel.kallsyms]        [k] pipe_read
     0.04%  containerd-shim  [kernel.kallsyms]        [k] switch_fpu_return
     0.04%  recommendation   recommendation           [.] runtime.adjustpointers
     0.04%  docker-proxy     docker-proxy             [.] runtime.lock2
     0.04%  frontend         frontend                 [.] runtime.duffzero
     0.04%  frontend         [kernel.kallsyms]        [k] tcp_clean_rtx_queue
