# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 18K of event 'cycles'
# Event count (approx.): 33701115651
#
# Overhead  Command         Shared Object       Symbol                                                                                                                
# ........  ..............  ..................  ......................................................................................................................
#
     0.13%  recommendation  [kernel.kallsyms]   [k] page_fault
     0.12%  recommendation  recommendation      [.] google.golang.org/grpc/transport.loopyWriter
     0.12%  recommendation  recommendation      [.] runtime.(*mheap).allocSpan
     0.12%  recommendation  recommendation      [.] runtime.notetsleep_internal
     0.12%  recommendation  recommendation      [.] runtime.futexsleep
     0.12%  recommendation  recommendation      [.] runtime.stackpoolalloc
     0.12%  recommendation  recommendation      [.] runtime.(*gcControllerState).enlistWorker
     0.12%  recommendation  recommendation      [.] runtime.tracebackdefers
     0.12%  recommendation  [kernel.kallsyms]   [k] tcp_recvmsg
     0.12%  recommendation  recommendation      [.] github.com/uber/jaeger-client-go.(*Tracer).startSpanWithOptions
     0.12%  recommendation  recommendation      [.] runtime.forEachG
     0.12%  recommendation  recommendation      [.] runtime.pidleget
     0.12%  recommendation  [kernel.kallsyms]   [k] ctx_sched_out
     0.12%  recommendation  [kernel.kallsyms]   [k] tcp_in_window
     0.12%  recommendation  [kernel.kallsyms]   [k] record_times
     0.12%  recommendation  [kernel.kallsyms]   [k] common_file_perm
     0.12%  recommendation  [kernel.kallsyms]   [k] _raw_read_lock_irqsave
     0.12%  recommendation  recommendation      [.] path/filepath.Rel
     0.12%  recommendation  [kernel.kallsyms]   [k] account_entity_enqueue
     0.12%  recommendation  [kernel.kallsyms]   [k] br_handle_frame
     0.12%  recommendation  recommendation      [.] sync.(*RWMutex).Lock
     0.12%  recommendation  recommendation      [.] runtime.checkRunqsNoP
     0.12%  recommendation  [kernel.kallsyms]   [k] swapgs_restore_regs_and_return_to_usermode
     0.11%  recommendation  recommendation      [.] runtime.chanrecv
     0.11%  recommendation  recommendation      [.] runtime.wbBufFlush1
     0.11%  recommendation  recommendation      [.] google.golang.org/grpc/transport.(*controlBuffer).load
     0.11%  recommendation  recommendation      [.] runtime.(*lfstack).push
     0.11%  recommendation  [kernel.kallsyms]   [k] put_prev_task_fair
     0.11%  recommendation  [kernel.kallsyms]   [k] copy_user_enhanced_fast_string
     0.11%  recommendation  recommendation      [.] encoding/json.(*decodeState).rescanLiteral
     0.11%  recommendation  recommendation      [.] runtime.(*mcache).prepareForSweep
     0.11%  recommendation  [kernel.kallsyms]   [k] call_function_interrupt
     0.11%  recommendation  recommendation      [.] google.golang.org/grpc.(*Server).handleStream
     0.10%  recommendation  [kernel.kallsyms]   [k] kmem_cache_free
     0.10%  recommendation  [kernel.kallsyms]   [k] __cgroup_bpf_run_filter_skb
     0.10%  recommendation  [kernel.kallsyms]   [k] sched_clock_cpu
     0.10%  recommendation  [kernel.kallsyms]   [k] skb_release_data
     0.10%  recommendation  [kernel.kallsyms]   [k] memcmp
     0.10%  recommendation  [kernel.kallsyms]   [k] update_cfs_rq_h_load
     0.10%  recommendation  recommendation      [.] runtime.pcdatavalue
     0.10%  recommendation  recommendation      [.] runtime.convTstring
     0.10%  recommendation  recommendation      [.] runtime.stackalloc
     0.10%  recommendation  [kernel.kallsyms]   [k] rb_insert_color
     0.10%  recommendation  recommendation      [.] runtime.concatstrings
     0.10%  recommendation  recommendation      [.] os.(*File).Write
     0.10%  recommendation  recommendation      [.] runtime.(*itabTableType).find
     0.10%  recommendation  [kernel.kallsyms]   [k] inet6_sendmsg
     0.10%  recommendation  [kernel.kallsyms]   [k] kfree_skbmem
     0.10%  recommendation  recommendation      [.] sync.runtime_procPin
     0.10%  recommendation  [kernel.kallsyms]   [k] smp_call_function_single
     0.10%  recommendation  recommendation      [.] google.golang.org/grpc.(*Server).processUnaryRPC
     0.10%  recommendation  [kernel.kallsyms]   [k] ovl_getattr
     0.10%  recommendation  [kernel.kallsyms]   [k] _copy_to_iter
     0.10%  recommendation  [kernel.kallsyms]   [k] __ksize
     0.10%  recommendation  recommendation      [.] strings.ToLower
     0.10%  recommendation  [kernel.kallsyms]   [k] finish_task_switch
     0.10%  recommendation  [kernel.kallsyms]   [k] net_rx_action
     0.09%  recommendation  recommendation      [.] runtime.(*pageAlloc).scavengeRangeLocked
     0.09%  recommendation  [kernel.kallsyms]   [k] ipv4_dst_check
     0.09%  recommendation  recommendation      [.] runtime.gcResetMarkState.func1
     0.09%  recommendation  [kernel.kallsyms]   [k] __do_sys_madvise
     0.09%  recommendation  [kernel.kallsyms]   [k] br_nf_pre_routing
     0.09%  recommendation  recommendation      [.] github.com/rs/zerolog.(*Event).write
     0.09%  recommendation  recommendation      [.] runtime.makechan
     0.09%  recommendation  [kernel.kallsyms]   [k] ttwu_do_wakeup
     0.09%  recommendation  [kernel.kallsyms]   [k] __dev_queue_xmit
     0.09%  recommendation  recommendation      [.] google.golang.org/grpc/transport.(*http2Server).operateHeaders
     0.09%  recommendation  [kernel.kallsyms]   [k] hash_conntrack_raw
     0.09%  recommendation  recommendation      [.] runtime.(*gcWork).tryGet
     0.09%  recommendation  recommendation      [.] runtime.procyield.abi0
     0.09%  recommendation  recommendation      [.] runtime.reentersyscall
     0.09%  recommendation  recommendation      [.] runtime.(*spanSet).push
     0.09%  recommendation  [kernel.kallsyms]   [k] ip_finish_output2
     0.09%  recommendation  [kernel.kallsyms]   [k] native_apic_msr_eoi_write
     0.09%  recommendation  [kernel.kallsyms]   [k] kfree
     0.09%  recommendation  recommendation      [.] runtime.releaseSudog
     0.09%  recommendation  [kernel.kallsyms]   [k] futex_wait_setup
     0.09%  recommendation  [kernel.kallsyms]   [k] resched_curr
     0.09%  recommendation  [kernel.kallsyms]   [k] kmem_cache_alloc
     0.09%  recommendation  recommendation      [.] github.com/golang/protobuf/proto.mergeAny
     0.09%  recommendation  recommendation      [.] sync.(*poolChain).popTail
     0.09%  recommendation  recommendation      [.] golang.org/x/net/http2.(*Framer).WriteHeaders
     0.09%  recommendation  recommendation      [.] runtime.newstack
     0.09%  recommendation  recommendation      [.] sync.(*RWMutex).Unlock
     0.09%  recommendation  [kernel.kallsyms]   [k] get_nohz_timer_target
     0.09%  recommendation  [kernel.kallsyms]   [k] apic_timer_interrupt
     0.09%  recommendation  recommendation      [.] golang.org/x/net/http2.(*Framer).endWrite
     0.09%  recommendation  recommendation      [.] google.golang.org/grpc/transport.(*decodeState).processHeaderField
     0.09%  recommendation  recommendation      [.] fmt.(*fmt).padString
     0.09%  recommendation  recommendation      [.] runtime.execute
     0.09%  recommendation  [kernel.kallsyms]   [k] do_nanosleep
     0.09%  recommendation  [kernel.kallsyms]   [k] group_sched_in
     0.09%  recommendation  recommendation      [.] golang.org/x/net/http2.(*Framer).ReadFrame
     0.09%  recommendation  [kernel.kallsyms]   [k] update_rq_clock
     0.09%  recommendation  [kernel.kallsyms]   [k] br_nf_forward_ip
     0.09%  recommendation  [kernel.kallsyms]   [k] set_task_cpu
     0.09%  recommendation  recommendation      [.] runtime.(*consistentHeapStats).acquire
     0.09%  recommendation  [kernel.kallsyms]   [k] sk_stream_alloc_skb
     0.09%  recommendation  recommendation      [.] golang.org/x/net/http2/hpack.(*Encoder).WriteField
     0.09%  recommendation  [kernel.kallsyms]   [k] __wake_up_common
     0.09%  recommendation  [kernel.kallsyms]   [k] clear_page_erms
     0.09%  recommendation  recommendation      [.] time.appendInt
     0.08%  recommendation  [kernel.kallsyms]   [k] tcp_rcv_established
     0.08%  recommendation  [kernel.kallsyms]   [k] flexible_sched_in
     0.08%  recommendation  [kernel.kallsyms]   [k] deactivate_task
     0.08%  recommendation  [kernel.kallsyms]   [k] __kmalloc_node_track_caller
     0.08%  recommendation  [kernel.kallsyms]   [k] __x64_sys_epoll_pwait
     0.08%  recommendation  recommendation      [.] github.com/golang/protobuf/proto.(*Buffer).unmarshalType
     0.08%  recommendation  recommendation      [.] github.com/rs/zerolog.ConsoleWriter.Write
     0.08%  recommendation  recommendation      [.] runtime.(*mspan).nextFreeIndex
     0.08%  recommendation  recommendation      [.] runtime.(*mcache).releaseAll
     0.08%  recommendation  [kernel.kallsyms]   [k] tcp_mstamp_refresh
     0.08%  recommendation  recommendation      [.] runtime.wirep
     0.08%  recommendation  recommendation      [.] google.golang.org/grpc/transport.(*http2Server).HandleStreams
     0.08%  recommendation  recommendation      [.] google.golang.org/grpc/transport.(*http2Server).WriteHeader
     0.08%  recommendation  recommendation      [.] golang.org/x/net/http2.validWireHeaderFieldName
     0.08%  recommendation  [kernel.kallsyms]   [k] select_idle_sibling
     0.08%  recommendation  [kernel.kallsyms]   [k] vfs_read
     0.08%  recommendation  recommendation      [.] google.golang.org/grpc/transport.(*http2Server).Write
     0.08%  recommendation  [kernel.kallsyms]   [k] __legitimize_mnt
     0.08%  recommendation  [kernel.kallsyms]   [k] tcp_v4_do_rcv
     0.08%  recommendation  [kernel.kallsyms]   [k] memset_erms
     0.08%  recommendation  [kernel.kallsyms]   [k] get_futex_key
     0.08%  recommendation  [kernel.kallsyms]   [k] dev_hard_start_xmit
     0.08%  recommendation  [kernel.kallsyms]   [k] ep_poll_callback
     0.08%  recommendation  recommendation      [.] runtime.(*mcache).refill
     0.08%  recommendation  recommendation      [.] github.com/rs/zerolog.ConsoleWriter.writePart
     0.08%  recommendation  [kernel.kallsyms]   [k] arch_perf_update_userpage
     0.08%  recommendation  [kernel.kallsyms]   [k] eth_type_trans
     0.08%  recommendation  recommendation      [.] fmt.Sprintf
     0.08%  recommendation  [kernel.kallsyms]   [k] ip_output
     0.08%  recommendation  recommendation      [.] net.(*TCPConn).Write
     0.08%  recommendation  recommendation      [.] bufio.(*Reader).Read
     0.08%  recommendation  [kernel.kallsyms]   [k] sock_poll
     0.08%  recommendation  [kernel.kallsyms]   [k] __ip_finish_output
     0.07%  recommendation  recommendation      [.] reflect.packEface
     0.07%  recommendation  [kernel.kallsyms]   [k] check_preempt_curr
     0.07%  recommendation  recommendation      [.] runtime.gcDrainN
     0.07%  recommendation  recommendation      [.] golang.org/x/net/http2.(*MetaHeadersFrame).checkPseudos
     0.07%  recommendation  recommendation      [.] github.com/golang/protobuf/proto.mergeStruct
     0.07%  recommendation  [kernel.kallsyms]   [k] ep_send_events_proc
     0.07%  recommendation  [kernel.kallsyms]   [k] __remove_hrtimer
     0.07%  recommendation  [kernel.kallsyms]   [k] __lock_text_start
     0.07%  recommendation  [kernel.kallsyms]   [k] __virt_addr_valid
     0.07%  recommendation  recommendation      [.] syscall.Getenv
     0.07%  recommendation  [kernel.kallsyms]   [k] __x86_indirect_thunk_rax
     0.07%  recommendation  [kernel.kallsyms]   [k] __check_heap_object
     0.07%  recommendation  recommendation      [.] sync.(*Pool).getSlow
     0.07%  recommendation  recommendation      [.] runtime.mapaccess2_faststr
     0.07%  recommendation  [kernel.kallsyms]   [k] fdb_find_rcu
     0.07%  recommendation  [kernel.kallsyms]   [k] nf_nat_packet
     0.07%  recommendation  [kernel.kallsyms]   [k] nf_nat_inet_fn
     0.07%  recommendation  recommendation      [.] github.com/golang/protobuf/proto.(*Buffer).Unmarshal
     0.07%  recommendation  [kernel.kallsyms]   [k] tcp_established_options
     0.07%  recommendation  [kernel.kallsyms]   [k] __check_object_size
     0.07%  recommendation  recommendation      [.] bytes.(*Buffer).WriteTo
     0.07%  recommendation  recommendation      [.] runtime.(*pallocBits).summarize
     0.07%  recommendation  [kernel.kallsyms]   [k] lapic_next_deadline
     0.07%  recommendation  [kernel.kallsyms]   [k] reschedule_interrupt
     0.07%  recommendation  recommendation      [.] github.com/rs/zerolog.ConsoleWriter.writeFields
     0.07%  recommendation  recommendation      [.] time.getnum
     0.07%  recommendation  recommendation      [.] runtime.gcWriteBarrier
     0.07%  recommendation  [kernel.kallsyms]   [k] __bitmap_or_equal
     0.07%  recommendation  [kernel.kallsyms]   [k] sched_clock
     0.07%  recommendation  [kernel.kallsyms]   [k] futex_wait_queue_me
     0.07%  recommendation  [kernel.kallsyms]   [k] fsnotify
     0.07%  recommendation  [kernel.kallsyms]   [k] get_l4proto
     0.07%  recommendation  [kernel.kallsyms]   [k] vfs_write
     0.07%  recommendation  recommendation      [.] net.(*netFD).Write
     0.07%  recommendation  recommendation      [.] time.absDate
     0.07%  recommendation  [kernel.kallsyms]   [k] drop_futex_key_refs.isra.0
     0.07%  recommendation  [kernel.kallsyms]   [k] hrtimer_active
     0.07%  recommendation  recommendation      [.] runtime.park_m
     0.06%  recommendation  recommendation      [.] syscall.write
     0.06%  recommendation  [kernel.kallsyms]   [k] copy_user_generic_unrolled
     0.06%  recommendation  [kernel.kallsyms]   [k] _raw_spin_lock_bh
     0.06%  recommendation  recommendation      [.] runtime.memequal
     0.06%  recommendation  recommendation      [.] runtime.(*mspan).refillAllocCache
     0.06%  recommendation  recommendation      [.] runtime.runqget
     0.06%  recommendation  recommendation      [.] runtime.typedslicecopy
     0.06%  recommendation  [kernel.kallsyms]   [k] pick_next_task_idle
     0.06%  recommendation  [kernel.kallsyms]   [k] br_nf_post_routing
     0.06%  recommendation  [kernel.kallsyms]   [k] __ip_local_out
     0.06%  recommendation  recommendation      [.] google.golang.org/grpc/transport.(*http2Server).WriteStatus
     0.06%  recommendation  [kernel.kallsyms]   [k] put_prev_entity
     0.06%  recommendation  recommendation      [.] syscall.Getwd
     0.06%  recommendation  recommendation      [.] runtime.(*Frames).Next
     0.06%  recommendation  recommendation      [.] runtime.gopark
     0.06%  recommendation  recommendation      [.] internal/poll.(*FD).Write.dwrap.13
     0.06%  recommendation  [kernel.kallsyms]   [k] perf_event_update_time
     0.06%  recommendation  recommendation      [.] net.(*conn).Read
     0.06%  recommendation  [kernel.kallsyms]   [k] do_softirq.part.0
     0.06%  recommendation  [kernel.kallsyms]   [k] event_sched_in.isra.0
     0.06%  recommendation  [kernel.kallsyms]   [k] irq_exit
     0.06%  recommendation  recommendation      [.] golang.org/x/net/http2/hpack.(*Decoder).parseFieldIndexed
     0.06%  recommendation  [kernel.kallsyms]   [k] path_init
     0.06%  recommendation  [kernel.kallsyms]   [k] intel_pstate_update_util
     0.06%  recommendation  [kernel.kallsyms]   [k] mutex_lock
     0.06%  recommendation  recommendation      [.] runtime.save
     0.06%  recommendation  recommendation      [.] github.com/harlow/go-micro-services/services/recommendation/proto._Recommendation_GetRecommendations_Handler
     0.06%  recommendation  [kernel.kallsyms]   [k] set_next_buddy
     0.06%  recommendation  recommendation      [.] bytes.(*Buffer).WriteByte
     0.06%  recommendation  recommendation      [.] runtime.updateTimerPMask
     0.06%  recommendation  [kernel.kallsyms]   [k] br_nf_hook_thresh
     0.06%  recommendation  recommendation      [.] reflect.makemap
     0.06%  recommendation  [kernel.kallsyms]   [k] dequeue_entity
     0.06%  recommendation  [kernel.kallsyms]   [k] do_epoll_wait
     0.06%  recommendation  [kernel.kallsyms]   [k] security_sock_rcv_skb
     0.06%  recommendation  recommendation      [.] golang.org/x/net/http2.(*Framer).readMetaFrame
     0.06%  recommendation  [kernel.kallsyms]   [k] __hrtimer_init
     0.06%  recommendation  [kernel.kallsyms]   [k] conntrack_mt
     0.06%  recommendation  recommendation      [.] context.(*valueCtx).Value
     0.06%  recommendation  [kernel.kallsyms]   [k] hash_futex
     0.06%  recommendation  [kernel.kallsyms]   [k] x86_pmu_disable
     0.06%  recommendation  recommendation      [.] google.golang.org/grpc/transport.(*recvBuffer).load
     0.06%  recommendation  recommendation      [.] math/rand.(*rngSource).Int63
     0.06%  recommendation  [kernel.kallsyms]   [k] enqueue_hrtimer
     0.06%  recommendation  recommendation      [.] golang.org/x/net/http2/hpack.(*Decoder).at
     0.06%  recommendation  recommendation      [.] google.golang.org/grpc.(*Server).processUnaryRPC.func3
     0.06%  recommendation  recommendation      [.] github.com/rs/zerolog/internal/json.Encoder.AppendString
     0.06%  recommendation  recommendation      [.] runtime.bgsweep
     0.06%  recommendation  [kernel.kallsyms]   [k] perf_log_itrace_start
     0.06%  recommendation  recommendation      [.] runtime.slicebytetostring
     0.06%  recommendation  [kernel.kallsyms]   [k] mem_cgroup_page_lruvec
     0.06%  recommendation  recommendation      [.] github.com/rs/zerolog.colorize
     0.06%  recommendation  [kernel.kallsyms]   [k] memcg_kmem_put_cache
     0.06%  recommendation  recommendation      [.] strings.LastIndex
     0.06%  recommendation  [kernel.kallsyms]   [k] schedule
     0.06%  recommendation  [kernel.kallsyms]   [k] release_pages
     0.05%  recommendation  [kernel.kallsyms]   [k] copy_fpstate_to_sigframe
     0.05%  recommendation  recommendation      [.] runtime.stackfree
     0.05%  recommendation  recommendation      [.] syscall.fstatat
