# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 122979635
#
# Overhead  Command          Shared Object      Symbol                                                                                                                                                                                                                                                                                                                                     
# ........  ...............  .................  ...........................................................................................................................................................................................................................................................................................................................................
#
     0.65%  ftdc             mongod             [.] std::__find_if<char const*, __gnu_cxx::__ops::_Iter_pred<mongo::procparser::parseProcNetstat(std::vector<mongo::StringData, std::allocator<mongo::StringData> > const&, mongo::StringData, mongo::BSONObjBuilder*)::{lambda(char)#2}> >
     0.61%  ftdc             [kernel.kallsyms]  [k] memcg_kmem_put_cache
     0.50%  mongod           mongod             [.] __curhs_file_cursor_open
     0.29%  mongod           [kernel.kallsyms]  [k] apparmor_file_open
     0.28%  ftdc             mongod             [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_mutate
     0.22%  DeadlineMonitor  [kernel.kallsyms]  [k] __update_load_avg_cfs_rq
     0.20%  ftdc             [kernel.kallsyms]  [k] format_decode
     0.20%  ftdc             mongod             [.] std::__find_if<char const*, __gnu_cxx::__ops::_Iter_pred<mongo::procparser::parseProcMemInfo(std::vector<mongo::StringData, std::allocator<mongo::StringData> > const&, mongo::StringData, mongo::BSONObjBuilder*)::{lambda(char)#1}> >
     0.17%  ftdc             [kernel.kallsyms]  [k] find_next_bit
     0.15%  ftdc             libc-2.27.so       [.] _IO_vfscanf
     0.15%  ftdc             mongod             [.] mongo::MetricTree::appendTo
     0.08%  ftdc             [kernel.kallsyms]  [k] string_nocheck
     0.07%  ftdc             [kernel.kallsyms]  [k] seq_read
     0.07%  ftdc             [kernel.kallsyms]  [k] blk_mq_queue_tag_busy_iter
     0.06%  ftdc             [kernel.kallsyms]  [k] seq_puts
     0.05%  ftdc             [kernel.kallsyms]  [k] put_dec_trunc8
     0.05%  mongod           [kernel.kallsyms]  [k] update_blocked_averages
     0.05%  ftdc             [kernel.kallsyms]  [k] always_delete_dentry
     0.05%  ftdc             [kernel.kallsyms]  [k] memcg_kmem_get_cache
     0.04%  ftdc             [kernel.kallsyms]  [k] check_pointer
     0.04%  ftdc             [kernel.kallsyms]  [k] seq_put_decimal_ll
     0.04%  ftdc             libc-2.27.so       [.] __fxstat
     0.04%  ftdc             [kernel.kallsyms]  [k] number
     0.04%  ftdc             [kernel.kallsyms]  [k] __check_object_size
     0.04%  ftdc             [kernel.kallsyms]  [k] dput
     0.03%  mongod           [kernel.kallsyms]  [k] dnotify_flush
     0.03%  mongod           [kernel.kallsyms]  [k] copy_user_generic_unrolled
     0.01%  mongod           [kernel.kallsyms]  [k] __x64_sys_getdents
     0.01%  DeadlineMonitor  [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.01%  mongod           [kernel.kallsyms]  [k] prepare_exit_to_usermode
     0.01%  mongod           [kernel.kallsyms]  [k] __update_load_avg_cfs_rq
     0.00%  mongod           [kernel.kallsyms]  [k] native_write_msr
     0.00%  JournalFlusher   [kernel.kallsyms]  [k] native_write_msr
     0.00%  Backgro.kSource  [kernel.kallsyms]  [k] native_write_msr
     0.00%  Timesta.Monitor  [kernel.kallsyms]  [k] native_write_msr
     0.00%  FlowCon.fresher  [kernel.kallsyms]  [k] native_write_msr
     0.00%  DeadlineMonitor  [kernel.kallsyms]  [k] native_write_msr
     0.00%  ftdc             [kernel.kallsyms]  [k] native_write_msr
     0.00%  clientcursormon  [kernel.kallsyms]  [k] native_write_msr
     0.00%  decreas.ressure  [kernel.kallsyms]  [k] native_write_msr
     0.00%  WTIdleS.Sweeper  [kernel.kallsyms]  [k] native_write_msr
     0.00%  conn2            [kernel.kallsyms]  [k] native_write_msr
     0.00%  abortEx.actions  [kernel.kallsyms]  [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
